Protein ID,Protein Description,Peptides,PSMs,n113,n114,n115,n116,n117,n118,n119,n121,GOannotation,Training
sp|Q6PB66|LPPRC_MOUSE,"Leucine-rich PPR motif-containing protein, mitochondrial",6,6,0.013595244,0.035592398,0.008686786,0.092848405,0.423586212,0.320893993,0.09785797,0.006938992,MIT,
sp|P27659|RL3_MOUSE,60S ribosomal protein L3,6,6,0.018918164,0.064355672,0.020748127,0.133414561,0.142474783,0.147789254,0.391193127,0.081106312,RIB,
tr|A2AQR0|A2AQR0_MOUSE,"Glycerol phosphate dehydrogenase 2, mitochondrial",6,6,0.030152337,0.043288229,0.013748551,0.102045712,0.426752507,0.29435241,0.089504307,0.000155947,MIT,
sp|Q9Z0U1|ZO2_MOUSE,Tight junction protein ZO-2,6,6,0.179394069,0.207360826,0.132759509,0.192872027,0.119176892,0.089282593,0.023082342,0.056071743,PLM-NUC,
sp|Q8K297|GT251_MOUSE,Procollagen galactosyltransferase 1,6,6,0.075072045,0.152838315,0.024057425,0.243078308,0.236941347,0.198020212,0.060744352,0.009247996,ERT,
sp|P11688|ITA5_MOUSE,Integrin alpha-5,6,6,0.273879085,0.250071854,0.044055345,0.217755176,0.128328761,0.059042246,0.023482198,0.003385334,PLM,PLM
sp|P26041|MOES_MOUSE,Moesin,6,6,0.2364805,0.336344339,0.05835747,0.201669486,0.075247978,0.029195314,0.030531108,0.032173806,PLM-SKE,
sp|Q9CPY7|AMPL_MOUSE,Cytosol aminopeptidase (multiple isoforms),6,6,0.071668934,0.054472297,0.023917671,0.078560714,0.262257315,0.199639547,0.086038521,0.223445001,CYT,
sp|P14148|RL7_MOUSE,60S ribosomal protein L7,6,6,0.045030087,0.068070426,0.01524071,0.118845377,0.126991477,0.137611138,0.403312462,0.084898323,RIB,
sp|Q9D8E6|RL4_MOUSE,60S ribosomal protein L4,6,6,0.024683456,0.031282581,0.044368597,0.064937871,0.153804759,0.204617242,0.323928779,0.152376715,null,RIB
sp|Q7TPV4|MBB1A_MOUSE,Myb-binding protein 1A,6,6,0.021184723,0.045667133,0.010267585,0.082744293,0.06711101,0.194948669,0.440146022,0.137930564,NUC,
sp|P49718|MCM5_MOUSE,DNA replication licensing factor MCM5,6,6,0.049308482,0.052531014,0.021462602,0.080011391,0.081895167,0.154660855,0.268789851,0.291340637,null,
sp|Q62318|TIF1B_MOUSE,Transcription intermediary factor 1-beta (multiple isoforms),6,6,0.022636349,0.036560277,0.0131512,0.058537007,0.058504074,0.192297724,0.302615974,0.315697396,NUC,
sp|P62918|RL8_MOUSE,60S ribosomal protein L8,6,6,0.068010017,0.070111326,0.038384638,0.117003767,0.114788312,0.125397821,0.375090083,0.091214037,RIB,
sp|P63038|CH60_MOUSE,"60 kDa heat shock protein, mitochondrial (multiple isoforms)",5,5,0.020310756,0.036568559,0.00654316,0.093533808,0.442439792,0.305471626,0.095126514,5.79E-06,PLM-MIT-VES,
sp|Q61553|FSCN1_MOUSE,Fascin,5,5,0.153945451,0.334803259,0.095180085,0.204334919,0.057254868,0.011223306,0.007869889,0.135388223,SKE,
sp|Q02257|PLAK_MOUSE,Junction plakoglobin,5,5,0.133661487,0.193666156,0.102161133,0.2467671,0.152720708,0.10644932,0.04430492,0.020269177,null,
tr|D4AFX7|D4AFX7_MOUSE,Receptor mediated endocytosis-8,5,5,0.049513371,0.271352811,0.050280306,0.390484003,0.134962092,0.048213102,0.041255679,0.013938635,null,
sp|O35129|PHB2_MOUSE,Prohibitin-2,5,5,0.02534261,0.031179339,0.016914139,0.103320308,0.429141517,0.28891999,0.105040035,0.000142063,MIT-NUC,
sp|P38647|GRP75_MOUSE,"Stress-70 protein, mitochondrial",5,5,0.013047187,0.035561421,0.005831107,0.098087167,0.444340976,0.302693931,0.09487178,0.005566431,null,
sp|Q8BK67|RCC2_MOUSE,Protein RCC2,5,5,0.034859526,0.057925808,0.007336605,0.091740307,0.098836455,0.31482451,0.292182314,0.102294475,NUC-SKE,
sp|P54071|IDHP_MOUSE,"Isocitrate dehydrogenase [NADP], mitochondrial",5,5,0.024278045,0.036057662,0.034280116,0.094595965,0.418507456,0.281481582,0.104397675,0.006401499,MIT,
sp|Q07113|MPRI_MOUSE,Cation-independent mannose-6-phosphate receptor,5,5,0.049610356,0.213695069,0.160402462,0.371019164,0.14625058,0.041932905,0.015405061,0.001684402,PLM-NUC-LYS-VES,LYS-END
sp|Q8K3F7|TDH_MOUSE,"L-threonine 3-dehydrogenase, mitochondrial",5,5,0.008411179,0.020453124,0.017339987,0.072755827,0.438067336,0.332644768,0.11032778,0,MIT,
sp|Q9JKF1|IQGA1_MOUSE,Ras GTPase-activating-like protein IQGAP1,5,5,0.18556947,0.319135442,0.044700424,0.207620038,0.075714439,0.036218554,0.041721115,0.089320519,PLM,
sp|P05064|ALDOA_MOUSE,Fructose-bisphosphate aldolase A,5,5,0.028269541,0.054809668,0.021689678,0.055088377,0.032807626,0.026934133,0.028918753,0.751482224,null,
sp|Q8BH04|PCKGM_MOUSE,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",5,5,0.007854853,0.02777329,0.020317969,0.086620193,0.433911305,0.305762293,0.109229015,0.008531082,MIT,
sp|P97351|RS3A_MOUSE,40S ribosomal protein S3a,5,5,0.046468412,0.051247923,0.012613419,0.096894105,0.104506104,0.122015847,0.44153443,0.12471976,NUC-CYT-RIB,
sp|P80314|TCPB_MOUSE,T-complex protein 1 subunit beta,5,5,0.028472954,0.05361765,0.007337719,0.056047237,0.044242289,0.113158521,0.266477516,0.430646114,COM,
sp|Q9Z110|P5CS_MOUSE,Delta-1-pyrroline-5-carboxylate synthase (multiple isoforms),5,5,0.057291452,0.067194888,0.014728236,0.106741074,0.327380887,0.2829757,0.080354486,0.063333277,MIT,MIT
sp|P05202|AATM_MOUSE,"Aspartate aminotransferase, mitochondrial",5,5,0.019781216,0.040315334,0.009861792,0.08974254,0.390426819,0.32265451,0.123472514,0.003745274,PLM-MIT,
sp|P29341|PABP1_MOUSE,Polyadenylate-binding protein 1,5,5,0.019001332,0.036900572,0.022046172,0.067507839,0.1147402,0.146760275,0.494164449,0.098879162,NUC,
sp|P67778|PHB_MOUSE,Prohibitin,5,5,0.011996133,0.036061363,0.028114393,0.103973776,0.455478102,0.278431657,0.085939565,5.01E-06,MIT,
sp|Q9QXZ0|MACF1_MOUSE,Microtubule-actin cross-linking factor 1 (multiple isoforms),5,5,0.161280627,0.1181947,0.036957185,0.102235097,0.148986757,0.190124724,0.163735126,0.078485784,SKE,
sp|P62301|RS13_MOUSE,40S ribosomal protein S13,5,5,0.049926256,0.064242779,0.02701483,0.100732715,0.10327884,0.096562197,0.429676036,0.128566348,RIB,
sp|Q6PIC6|AT1A3_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-3,5,5,0.303647148,0.182416542,0.074413451,0.178446957,0.137614968,0.093693089,0.027130601,0.002637244,PLM-ERT-GOL-NUC,
sp|Q922D8|C1TC_MOUSE,"C-1-tetrahydrofolate synthase, cytoplasmic",5,5,0.0489774,0.094888214,0.018629316,0.131098342,0.120534039,0.129545211,0.370295715,0.086031763,CYT,
sp|P14733|LMNB1_MOUSE,Lamin-B1,5,5,0.030586868,0.044691144,0.022044526,0.07418279,0.122510604,0.549828838,0.12924935,0.02690588,NUC,NUC
sp|P63017|HSP7C_MOUSE,Heat shock cognate 71 kDa protein,5,5,0.045615357,0.067188411,0.010564876,0.077895474,0.06674202,0.058083358,0.051992633,0.621917871,MEL-CYT,CYT
sp|Q8BMK4|CKAP4_MOUSE,Cytoskeleton-associated protein 4,5,5,0.072644947,0.111568222,0.050673557,0.217811067,0.254955951,0.225836411,0.061302315,0.00520753,ERT-ERG,
sp|Q9WV91|FPRP_MOUSE,Prostaglandin F2 receptor negative regulator,5,5,0.18628641,0.209684197,0.050747375,0.161645661,0.096861858,0.102887452,0.113768728,0.078118319,ERT-GOL,
sp|P97855|G3BP1_MOUSE,Ras GTPase-activating protein-binding protein 1,5,5,0.038204992,0.051323207,0.004577992,0.068070583,0.102530708,0.166225297,0.504202807,0.064864415,PLM-NUC-CYT,
sp|P19253|RL13A_MOUSE,60S ribosomal protein L13a,5,5,0.072321367,0.067485206,0.057543186,0.119579895,0.122560241,0.112911715,0.359765751,0.08783264,RIB,RIB
sp|Q76MZ3|2AAA_MOUSE,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,5,5,0.067729989,0.118953031,0.021195239,0.120030813,0.100022699,0.106340427,0.209162401,0.256565401,CYT,
sp|P37040|NCPR_MOUSE,NADPH--cytochrome P450 reductase,5,5,0.133670018,0.16843894,0.103793677,0.244821718,0.181067971,0.116543257,0.037964758,0.013699661,ERT,
sp|Q501J6|DDX17_MOUSE,Probable ATP-dependent RNA helicase DDX17 (multiple isoforms),5,5,0.027651462,0.051814814,0.022595218,0.085607791,0.090313925,0.123970449,0.454347725,0.143698618,NUC,
sp|P62908|RS3_MOUSE,40S ribosomal protein S3,5,5,0.020934568,0.045094881,0.035092184,0.100007545,0.113776999,0.136188273,0.472821609,0.076083942,RIB,
sp|P68040|GBLP_MOUSE,Guanine nucleotide-binding protein subunit beta-2-like 1,5,5,0.038529279,0.081754219,0.007974684,0.090882296,0.10945089,0.135366099,0.441453726,0.094588808,NUC,
tr|Q3V122|Q3V122_MOUSE,Putative uncharacterized protein,5,5,0.033154079,0.034770184,0.003665575,0.033440547,0.034835016,0.123612975,0.103190456,0.633331168,null,
sp|O35855|BCAT2_MOUSE,"Branched-chain-amino-acid aminotransferase, mitochondrial",5,5,0.015249277,0.032407361,0.016195135,0.093071131,0.42626391,0.307804967,0.100108673,0.008899545,MIT,
sp|P11983|TCPA_MOUSE,T-complex protein 1 subunit alpha (multiple isoforms),5,5,0.051224304,0.054386608,0.012320562,0.064095954,0.045368478,0.116796092,0.24515562,0.410652382,COM,
sp|Q01853|TERA_MOUSE,Transitional endoplasmic reticulum ATPase,5,5,0.04193611,0.057425073,0.036228361,0.084981047,0.049742532,0.040007732,0.035061348,0.654617796,ERT-NUC-CYT,
sp|Q9DB77|QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial",5,5,0.023636314,0.043853815,0.013298269,0.09837143,0.37982274,0.297701213,0.119253084,0.024063135,null,
sp|P09055|ITB1_MOUSE,Integrin beta-1,5,5,0.173697119,0.26485101,0.057066902,0.225596615,0.135148114,0.084063037,0.041991728,0.017585474,MEL,PLM
sp|P46460|NSF_MOUSE,Vesicle-fusing ATPase,5,5,0.058017722,0.139025264,0.026714217,0.212524256,0.155397837,0.196973388,0.19087952,0.020467796,null,
sp|Q8JZQ2|AFG32_MOUSE,AFG3-like protein 2,5,5,0.025436742,0.035692689,0.009445902,0.097546406,0.429629153,0.315163526,0.078942313,0.008143268,MIT,
sp|Q8K2B3|DHSA_MOUSE,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",4,4,0.016405766,0.038569516,0.027272999,0.092635006,0.409699435,0.293815234,0.093876543,0.0277255,MIT,
sp|Q9Z1G4|VPP1_MOUSE,Isoform A1-III of V-type proton ATPase 116 kDa subunit a isoform 1,4,4,0.070184877,0.201538969,0.037095225,0.233886197,0.11843153,0.162896401,0.068180863,0.107785938,VES-MEL,
sp|Q61543|GSLG1_MOUSE,Golgi apparatus protein 1,4,4,0.071951708,0.119497918,0.126783592,0.307928124,0.23892225,0.123288327,0.007679434,0.003948646,PLM-GOL,
sp|O70133|DHX9_MOUSE,ATP-dependent RNA helicase A (multiple isoforms),4,4,0.033342694,0.049403668,0.010003315,0.062350173,0.069003777,0.144838516,0.478162867,0.15289499,NUC,RIB
sp|P26040|EZRI_MOUSE,Ezrin,4,4,0.296668582,0.335054796,0.048612971,0.162664086,0.057420614,0.037976753,0.035970189,0.025632009,PLM-SKE,
sp|P09103|PDIA1_MOUSE,Protein disulfide-isomerase,4,4,0.077082752,0.154564652,0.028657194,0.279032922,0.224563788,0.179983691,0.045144733,0.010970267,PLM-ERT-MEL,ERT-GOL
sp|Q9CQN1|TRAP1_MOUSE,"Heat shock protein 75 kDa, mitochondrial",4,4,0.024912011,0.041064548,0.012750194,0.101018402,0.408411508,0.292914369,0.104251544,0.014677423,CYT,MIT
sp|Q9CZ13|QCR1_MOUSE,"Cytochrome b-c1 complex subunit 1, mitochondrial",4,4,0.038797934,0.037966421,0.01883036,0.094582301,0.401055495,0.282957248,0.100296041,0.0255142,null,
sp|P17182|ENOA_MOUSE,Alpha-enolase,4,4,0.064422264,0.058530279,0.020903697,0.041955619,0.017032074,0.025893242,0.033367442,0.737895383,PLM-CYT,CYT
sp|P26443|DHE3_MOUSE,"Glutamate dehydrogenase 1, mitochondrial",4,4,0.021924802,0.034897343,0.010442515,0.098464933,0.417242873,0.301946001,0.114912048,0.000169485,MIT,
tr|Q99K87|Q99K87_MOUSE,Serine hydroxymethyltransferase,4,4,0.028048828,0.035658477,0.014838598,0.101712814,0.432226897,0.29185924,0.090118494,0.005536652,MIT,
sp|P70404|IDHG1_MOUSE,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial",4,4,0.036564569,0.046366299,0.014034621,0.093346902,0.371744793,0.294284578,0.12615742,0.017500819,MIT,
sp|Q9JKR6|HYOU1_MOUSE,Hypoxia up-regulated protein 1,4,4,0.095788349,0.120834467,0.067101193,0.2012252,0.230698524,0.192205074,0.070842513,0.021304681,ERT,
sp|P51432|PLCB3_MOUSE,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3",4,4,0.280110797,0.339829937,0.053906376,0.188849651,0.068081582,0.024798247,0.021461687,0.022961724,NUC,
sp|P84099|RL19_MOUSE,60S ribosomal protein L19,4,4,0.026393407,0.076856615,0.024317558,0.125003508,0.138603801,0.133897646,0.385856966,0.0890705,RIB,
sp|Q91YQ5|RPN1_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,4,4,0.090539781,0.14567833,0.049529845,0.236379859,0.217397042,0.19691923,0.06009832,0.003457593,ERT-MEL,
sp|P17809|GTR1_MOUSE,"Solute carrier family 2, facilitated glucose transporter member 1",4,4,0.124021728,0.211613005,0.060839932,0.281339518,0.176328299,0.11651222,0.029345297,0,PLM-MEL,
sp|P62806|H4_MOUSE,Histone H4,4,4,0.009102347,0.023340513,0.003645714,0.051401785,0.070570863,0.579476391,0.238541569,0.023920819,NUC,NUC
sp|P14206|RSSA_MOUSE,40S ribosomal protein SA,4,4,0.07688215,0.075150018,0.013400843,0.10557662,0.102590342,0.10761649,0.358792896,0.15999064,PLM-NUC-RIB,
sp|Q91W90|TXND5_MOUSE,Thioredoxin domain-containing protein 5,4,4,0.085702553,0.160630488,0.034840078,0.248693913,0.221216401,0.1813869,0.035293245,0.032236421,ERT,
sp|Q9D8N0|EF1G_MOUSE,Elongation factor 1-gamma,4,4,0.08155474,0.080603593,0.044072,0.12887021,0.095168571,0.176288406,0.129967276,0.263475203,COM,
sp|Q9CZM2|RL15_MOUSE,60S ribosomal protein L15,4,4,0.035856217,0.081748948,0.005413413,0.139185538,0.128111513,0.142808556,0.391953904,0.074921912,RIB,RIB
sp|P62245|RS15A_MOUSE,40S ribosomal protein S15a,4,4,0.036800117,0.059948375,0.016946685,0.093467011,0.114001658,0.123293348,0.443770055,0.11177275,RIB,RIB
sp|Q8CAQ8|IMMT_MOUSE,Mitochondrial inner membrane protein (multiple isoforms),4,4,0.026956357,0.034485796,0.021217921,0.099874234,0.43157856,0.286579026,0.091079619,0.008228487,MIT,
sp|Q8BKG3|PTK7_MOUSE,Inactive tyrosine-protein kinase 7,4,4,0.19497909,0.271418637,0.024494657,0.209033109,0.13637715,0.09666595,0.046447004,0.020584404,null,
sp|O88307|SORL_MOUSE,Sortilin-related receptor,4,4,0.05618638,0.289705904,0.038419027,0.407206027,0.120835308,0.05118817,0.025586565,0.010872618,null,
sp|Q8R3B1|PLCD1_MOUSE,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1",4,4,0.105213976,0.221227614,0.035318019,0.248613858,0.179476102,0.109248349,0.038062229,0.062839852,CYT,
sp|Q9DBG6|RPN2_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,4,4,0.051849602,0.170726993,0.014561967,0.264054043,0.212698883,0.204902445,0.063255741,0.017950326,ERT,
sp|Q3UJB9|EDC4_MOUSE,Enhancer of mRNA-decapping protein 4 (multiple isoforms),4,4,0.086219481,0.087408672,0.040186126,0.11287833,0.118456639,0.183338204,0.333458279,0.038054268,NUC,
sp|Q6ZQ08|CNOT1_MOUSE,CCR4-NOT transcription complex subunit 1 (multiple isoforms),4,4,0.022316973,0.049062363,0.035917405,0.08403693,0.099996952,0.137137795,0.539607882,0.0319237,null,RIB
sp|P14602|HSPB1_MOUSE,Heat shock protein beta-1 (multiple isoforms),4,4,0.053521548,0.056664002,0.010454143,0.04225855,0.026632179,0.021374928,0.010507158,0.778587491,PLM-NUC-SKE-PSO,
sp|O54734|OST48_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,4,4,0.073204877,0.144026842,0.043531351,0.253662711,0.227335168,0.204633399,0.053601163,4.49E-06,ERT,ERT-GOL
sp|Q9Z1Q9|SYVC_MOUSE,Valyl-tRNA synthetase,4,4,0.067828027,0.089718514,0.010933964,0.126308187,0.112991978,0.139408893,0.096625664,0.356184774,CYT,
sp|Q8VEK3|HNRPU_MOUSE,Heterogeneous nuclear ribonucleoprotein U,4,4,0.032871552,0.048949969,0.008914437,0.077314701,0.074317685,0.154530697,0.404562267,0.198538692,PLM-NUC,
sp|Q60767|LY75_MOUSE,Lymphocyte antigen 75,4,4,0.073646575,0.202683635,0.113516987,0.334692891,0.158713076,0.093141045,0.022889806,0.000715986,null,
sp|O55022|PGRC1_MOUSE,Membrane-associated progesterone receptor component 1,4,4,0.1302816,0.171460685,0.078431375,0.266670106,0.177303213,0.141235303,0.034472766,0.000144954,ERT,
sp|P24668|MPRD_MOUSE,Cation-dependent mannose-6-phosphate receptor,4,4,0.015878965,0.174475697,0.057859735,0.468588267,0.196506881,0.059385003,0.019904595,0.007400858,LYS-END,
sp|P47911|RL6_MOUSE,60S ribosomal protein L6,4,4,0.035991946,0.070072932,0.007081583,0.134546272,0.13418863,0.132986455,0.397448984,0.087683198,RIB,
sp|Q8VDJ3|VIGLN_MOUSE,Vigilin,4,4,0.06216511,0.091239589,0.031627784,0.141748138,0.171380951,0.193333238,0.275237604,0.033267585,NUC,
sp|Q9JIK9|RT34_MOUSE,"28S ribosomal protein S34, mitochondrial",4,4,0.03176079,0.047421919,0.006710478,0.087741851,0.394118703,0.32741907,0.091167101,0.013660088,MIT-RIB,
sp|Q99PL5|RRBP1_MOUSE,Ribosome-binding protein 1 (multiple isoforms),4,4,0.107327785,0.131905364,0.03511647,0.215685004,0.222683847,0.193751267,0.084941733,0.00858853,ERT,
sp|P35980|RL18_MOUSE,60S ribosomal protein L18,4,4,0.07738658,0.07742242,0.048658939,0.126609258,0.121421971,0.117784045,0.354736076,0.075980711,RIB,RIB
sp|O09061|PSB1_MOUSE,Proteasome subunit beta type-1,4,4,0.050845532,0.050600222,0.022542919,0.050095266,0.041029424,0.03788771,0.081325469,0.665673458,NUC-PSO,
sp|P61979|HNRPK_MOUSE,Heterogeneous nuclear ribonucleoprotein K (multiple isoforms),4,4,0.021851567,0.021426946,0.016825769,0.034580229,0.051811662,0.129191107,0.455624028,0.268688692,NUC,
sp|Q61656|DDX5_MOUSE,Probable ATP-dependent RNA helicase DDX5,4,4,0.037896484,0.064275849,0.010348787,0.100912648,0.103951211,0.131289505,0.40371214,0.147613376,NUC,
sp|Q8VIJ6|SFPQ_MOUSE,"Splicing factor, proline- and glutamine-rich",4,4,0.013721064,0.037113622,0.014161111,0.064621914,0.080319921,0.14979212,0.523347304,0.116922945,NUC,RIB
sp|Q8K0D5|EFGM_MOUSE,"Elongation factor G, mitochondrial",4,4,0.023021499,0.034243462,0.020724301,0.091007787,0.368585368,0.325658869,0.121502579,0.015256136,MIT,MIT
sp|Q6DYE8|ENPP3_MOUSE,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,4,4,0.311305444,0.292236193,0.08046472,0.196629544,0.079884527,0.030465478,0.009014094,0,ECM,
sp|P80313|TCPH_MOUSE,T-complex protein 1 subunit eta,4,4,0.060218466,0.059117315,0.040900239,0.084608769,0.080368362,0.123279613,0.275180637,0.2763266,MIT-COM,
sp|P56480|ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial",3,3,0.028559012,0.037640908,0.012332836,0.101999742,0.429607273,0.30333103,0.086528191,1.01E-06,null,
sp|Q925I1|ATAD3_MOUSE,ATPase family AAA domain-containing protein 3 (multiple isoforms),3,3,0.04560542,0.043422469,0.018734432,0.099554565,0.418946774,0.292632555,0.071949627,0.009154157,MIT,
sp|Q9WTI7|MYO1C_MOUSE,Myosin-Ic (multiple isoforms),3,3,0.141659849,0.304089307,0.077682702,0.207845115,0.094621282,0.067675009,0.059501142,0.046925594,NUC,
sp|P43247|MSH2_MOUSE,DNA mismatch repair protein Msh2,3,3,0.019550915,0.035544309,0.026468826,0.081827658,0.085938535,0.319975022,0.154979656,0.275715079,null,
sp|Q9D6Z1|NOP56_MOUSE,Nucleolar protein 56,3,3,0.015201455,0.069179754,0.009514101,0.107794664,0.105067629,0.21141462,0.343177085,0.138650691,NUC,
sp|P57780|ACTN4_MOUSE,Alpha-actinin-4,3,3,0.038337396,0.094555452,0.04927178,0.139888919,0.109691123,0.048440848,0.027828582,0.4919859,SKE,
sp|Q91V92|ACLY_MOUSE,ATP-citrate synthase,3,3,0.054719042,0.06076789,0.004714259,0.07753033,0.077142956,0.101520994,0.234448652,0.389155876,CYT,CYT
sp|P10852|4F2_MOUSE,4F2 cell-surface antigen heavy chain,3,3,0.219245879,0.197715529,0.082701855,0.20274567,0.153703802,0.114404175,0.028106882,0.001376208,PLM-MEL,
