Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
O43290,U4/U6.U5 tri-snRNP-associated protein 1,SART1,0.991,5.708,0.156,0.000,
Q14498;Q14498-2;Q14498-3,RNA-binding protein 39,RBM39,0.841,2.003,0.148,0.000,
P11216,"Glycogen phosphorylase, brain form",PYGB,0.817,1.961,0.148,0.000,
O95782;O95782-2,AP-2 complex subunit alpha-1,AP2A1,0.930,3.048,0.146,0.000,
Q96FZ2,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein,HMCES,0.924,1.609,0.141,0.000,
P07919;A0A096LP55,"Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 6",UQCRH;UQCRHL,0.990,3.635,0.141,0.000,
O15269,Serine palmitoyltransferase 1,SPTLC1,0.935,2.023,0.138,0.000,
Q14114;Q14114-4;Q14114-2;Q14114-3,Low-density lipoprotein receptor-related protein 8,LRP8,0.853,1.632,0.124,0.000,
Q96C19,EF-hand domain-containing protein D2,EFHD2,0.833,3.979,0.058,0.000,
O95757,Heat shock 70 kDa protein 4L,HSPA4L,0.911,5.585,-0.010,0.000,
Q02750;Q02750-2,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,0.962,4.272,-0.021,0.000,
Q05682-3,Caldesmon,CALD1,0.981,1.661,-0.046,0.000,
P61289;P61289-3;P61289-2,Proteasome activator complex subunit 3,PSME3,0.837,1.516,-0.052,0.000,
P51809;P51809-3;P51809-2,Vesicle-associated membrane protein 7,VAMP7,0.776,2.886,-0.054,0.000,
O94855;O94855-2,Protein transport protein Sec24D,SEC24D,0.857,1.661,-0.066,0.000,
Q99538;Q99538-2;Q99538-3,Legumain,LGMN,0.843,10.258,-0.068,0.000,
Q99615;Q99615-2,DnaJ homolog subfamily C member 7,DNAJC7,0.843,2.492,-0.069,0.000,
P17812;P17812-2,CTP synthase 1,CTPS1,0.767,2.244,-0.072,0.000,
O00499;O00499-2;O00499-9;O00499-7;O00499-4;O00499-6;O00499-3;O00499-5;O00499-10;O00499-8;O00499-11,Myc box-dependent-interacting protein 1,BIN1,0.930,15.802,-0.086,0.000,
P54802,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU,0.889,3.990,-0.090,0.000,
Q96EE3;Q96EE3-1,Nucleoporin SEH1,SEH1L,0.759,2.516,-0.093,0.000,
Q15042;Q15042-3;Q15042-4,Rab3 GTPase-activating protein catalytic subunit,RAB3GAP1,0.921,1.783,-0.104,0.000,
Q15031,"Probable leucine--tRNA ligase, mitochondrial",LARS2,0.789,1.807,-0.132,0.000,
O60762,Dolichol-phosphate mannosyltransferase subunit 1,DPM1,0.783,1.518,-0.154,0.000,
P25685;P25685-2,DnaJ homolog subfamily B member 1,DNAJB1,0.861,2.885,-0.156,0.000,
P24928,DNA-directed RNA polymerase II subunit RPB1,POLR2A,0.815,12.181,-0.165,0.000,
P33981;P33981-2,Dual specificity protein kinase TTK,TTK,0.917,16.477,-0.175,0.000,
O95466-2;O95466;O95466-3,Formin-like protein 1,FMNL1,0.788,1.851,-0.179,0.000,
O60832;O60832-2,H/ACA ribonucleoprotein complex subunit 4,DKC1,0.967,3.885,-0.194,0.000,
O15067,Phosphoribosylformylglycinamidine synthase,PFAS,0.769,3.209,-0.198,0.000,
Q00796,Sorbitol dehydrogenase,SORD,0.770,4.447,-0.206,0.000,
Q9NTZ6,RNA-binding protein 12,RBM12,0.812,2.668,-0.232,0.000,
Q14134;Q14134-2,Tripartite motif-containing protein 29,TRIM29,0.955,2.764,-0.238,0.000,
A6NHR9;A6NHR9-2,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,0.760,2.219,-0.255,0.000,
O14656,Torsin-1A,TOR1A,0.899,2.555,-0.256,0.000,
Q96SU4;Q96SU4-7;Q96SU4-2;Q96SU4-6;Q96SU4-3;Q96SU4-5;Q96SU4-4,Oxysterol-binding protein-related protein 9,OSBPL9,0.799,3.018,-0.289,0.000,
P28066;P28066-2,Proteasome subunit alpha type-5,PSMA5,0.805,4.231,-0.317,0.000,
P62714,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,PPP2CB,0.911,4.573,-0.322,0.000,
Q9Y5B9,FACT complex subunit SPT16,SUPT16H,0.929,2.692,-0.327,0.000,
O43896,Kinesin-like protein KIF1C,KIF1C,0.932,1.686,-0.329,0.000,
Q9UGR2;Q9UGR2-2,Zinc finger CCCH domain-containing protein 7B,ZC3H7B,0.843,1.582,-0.344,0.000,
P09972,Fructose-bisphosphate aldolase C,ALDOC,0.804,5.717,-0.345,0.000,
Q9NYF8;Q9NYF8-2;Q9NYF8-4,Bcl-2-associated transcription factor 1,BCLAF1,0.781,7.792,-0.349,0.000,
Q9NR12;Q9NR12-2,PDZ and LIM domain protein 7,PDLIM7,0.782,2.577,-0.387,0.000,
Q8N122;Q8N122-3,Regulatory-associated protein of mTOR,RPTOR,0.789,2.375,-0.398,0.000,
Q9H0V9;Q9H0V9-2;Q9H0V9-3,VIP36-like protein,LMAN2L,0.936,2.489,-0.416,0.000,
Q5W111;Q5W111-2,SPRY domain-containing protein 7,SPRYD7,0.954,3.498,-0.417,0.000,
P31153,S-adenosylmethionine synthase isoform type-2,MAT2A,0.819,6.630,-0.418,0.000,
Q9Y5K5;Q9Y5K5-2;Q9Y5K5-4;Q9Y5K5-3,Ubiquitin carboxyl-terminal hydrolase isozyme L5,UCHL5,0.842,2.064,-0.457,0.000,
Q92621,Nuclear pore complex protein Nup205,NUP205,0.984,1.531,-0.459,0.000,
Q9UBS4,DnaJ homolog subfamily B member 11,DNAJB11,0.937,1.718,-0.465,0.000,
Q15645,Pachytene checkpoint protein 2 homolog,TRIP13,0.950,3.923,-0.467,0.000,
P42345,Serine/threonine-protein kinase mTOR,MTOR,0.856,2.006,-0.468,0.000,
P04075;P04075-2,Fructose-bisphosphate aldolase A,ALDOA,0.938,1.811,-0.500,0.000,
Q9UFF9;Q9UFF9-3;Q9UFF9-2,CCR4-NOT transcription complex subunit 8,CNOT8,0.865,1.977,-0.502,0.000,
Q4KMP7,TBC1 domain family member 10B,TBC1D10B,0.791,2.235,-0.502,0.000,
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,0.924,17.961,-0.524,0.000,
Q9HBL0,Tensin-1,TNS1,0.896,5.682,-0.581,0.000,
Q5VZE5,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",NAA35,0.788,1.842,-0.586,0.000,
Q6WCQ1-2;Q6WCQ1;Q6WCQ1-3,Myosin phosphatase Rho-interacting protein,MPRIP,0.779,8.592,-0.586,0.000,
Q8WUY1,Protein THEM6,THEM6,0.879,2.106,-0.608,0.000,
P19447,TFIIH basal transcription factor complex helicase XPB subunit,ERCC3,0.880,5.622,-0.613,0.000,
P16104;Q96QV6,Histone H2AX;Histone H2A type 1-A,H2AFX;HIST1H2AA,0.944,7.708,-0.613,0.000,
Q9BUF5,Tubulin beta-6 chain,TUBB6,0.828,1.653,-0.625,0.000,
Q8IWC1;Q8IWC1-2;Q8IWC1-4;Q8IWC1-3,MAP7 domain-containing protein 3,MAP7D3,0.914,4.281,-0.646,0.000,
P57737-3;Q9Y3D7,Coronin-7;Mitochondrial import inner membrane translocase subunit TIM16,CORO7;PAM16,0.874,3.608,-0.652,0.000,
Q71DI3,Histone H3.2,HIST2H3A,0.852,2.688,-0.654,0.000,
Q92820,Gamma-glutamyl hydrolase,GGH,0.943,3.097,-0.656,0.000,
P50995;P50995-2,Annexin A11,ANXA11,0.845,7.199,-0.657,0.000,
Q9H0T7;Q9H0T7-2,Ras-related protein Rab-17,RAB17,0.786,4.763,-0.661,0.000,
O60645;O60645-2;O60645-3,Exocyst complex component 3,EXOC3,0.845,2.267,-0.664,0.000,
Q16543,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,0.787,2.855,-0.673,0.000,
Q9BZI7;Q9BZI7-2,Regulator of nonsense transcripts 3B,UPF3B,0.887,5.396,-0.682,0.000,
P26440;P26440-2,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,0.881,5.745,-0.687,0.000,
O00442;O00442-2,RNA 3-terminal phosphate cyclase,RTCA,0.909,2.358,-0.718,0.000,
O60610;O60610-2;O60610-3,Protein diaphanous homolog 1,DIAPH1,0.908,3.065,-0.747,0.000,
Q5QNW6-2;Q93079;Q99879;Q99877;Q5QNW6;P58876;O60814;P62807;P57053;Q99880,Histone H2B type 2-F;Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B type 1-L,HIST2H2BF;HIST1H2BH;HIST1H2BM;HIST1H2BN;HIST1H2BD;HIST1H2BK;HIST1H2BC;H2BFS;HIST1H2BL,0.872,2.060,-0.757,0.000,
Q9UJX3;Q9UJX3-2,Anaphase-promoting complex subunit 7,ANAPC7,0.823,2.508,-0.766,0.000,
O14578-4;O14578;O14578-3,Citron Rho-interacting kinase,CIT,0.866,1.894,-0.786,0.000,
Q9NV96;Q9NV96-2;Q9NV96-3,Cell cycle control protein 50A,TMEM30A,0.893,4.747,-0.796,0.000,
Q15008;Q15008-4;Q15008-3;Q15008-2,26S proteasome non-ATPase regulatory subunit 6,PSMD6,0.828,2.162,-0.800,0.000,
Q15005,Signal peptidase complex subunit 2,SPCS2,0.973,1.982,-0.813,0.000,
O43663,Protein regulator of cytokinesis 1,PRC1,0.975,8.360,-0.821,0.000,
Q02252;Q02252-2,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1,0.813,2.986,-0.849,0.000,
P16403,Histone H1.2,HIST1H1C,0.947,2.167,-0.869,0.000,
P62805,Histone H4,HIST1H4A,0.932,5.618,-0.880,0.000,
P57678,Gem-associated protein 4,GEMIN4,0.878,2.008,-0.928,0.000,
P17480;P17480-2,Nucleolar transcription factor 1,UBTF,0.886,7.505,-0.952,0.000,
Q9Y5L0;Q9Y5L0-3;Q9Y5L0-5;Q9Y5L0-1,Transportin-3,TNPO3,0.754,1.481,0.111,0.000,
Q9UII4,E3 ISG15--protein ligase HERC5,HERC5,0.816,1.479,-0.450,0.000,
O75934,Pre-mRNA-splicing factor SPF27,BCAS2,0.832,1.458,-0.250,0.000,
Q9UQ35;Q9UQ35-2,Serine/arginine repetitive matrix protein 2,SRRM2,0.889,1.449,-0.667,0.000,
P52948;P52948-5;P52948-6;P52948-2,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,0.888,1.445,-0.080,0.000,
Q8NHV4;Q8NHV4-3;Q8NHV4-2,Protein NEDD1,NEDD1,0.976,1.441,-0.648,0.000,
O43865;O43865-2,Putative adenosylhomocysteinase 2,AHCYL1,0.868,1.434,-0.611,0.000,
Q9NTK5;Q9NTK5-2,Obg-like ATPase 1,OLA1,0.786,1.433,-0.109,0.000,
Q9Y263,Phospholipase A-2-activating protein,PLAA,0.837,1.373,-0.646,0.000,
Q8IZP9;Q8IZP9-8;Q8IZP9-7;Q8IZP9-5;Q8IZP9-6;Q8IZP9-3;Q8IZP9-4;Q8IZP9-2;Q8IZP9-10;Q8IZP9-9,G-protein coupled receptor 64,GPR64,0.834,1.372,0.052,0.000,
Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",ABHD10,0.990,1.357,0.083,0.000,
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit,RAB3GAP2,0.925,1.349,-0.280,0.000,
Q9NVP1,ATP-dependent RNA helicase DDX18,DDX18,0.880,1.348,-0.792,0.000,
Q8NFJ5,Retinoic acid-induced protein 3,GPRC5A,0.968,1.346,0.299,0.000,
Q8N1F7;Q8N1F7-2,Nuclear pore complex protein Nup93,NUP93,0.896,1.317,-0.242,0.000,
P27449,V-type proton ATPase 16 kDa proteolipid subunit,ATP6V0C,0.774,1.310,-0.536,0.000,
Q5BJH7-2;Q5BJH7;Q5BJH7-6;Q5BJH7-3;Q5BJH7-4;Q5BJH7-5,Protein YIF1B,YIF1B,0.830,1.301,-0.169,0.000,
Q658Y4,Protein FAM91A1,FAM91A1,0.873,1.297,-0.338,0.000,
Q9Y237;Q9Y237-2,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,PIN4,0.796,1.263,0.358,0.000,
P83881,60S ribosomal protein L36a,RPL36A,0.937,1.247,-0.257,0.000,
Q13428;Q13428-3;Q13428-4;Q13428-2;Q13428-8;Q13428-5,Treacle protein,TCOF1,0.813,1.240,-0.789,0.000,
Q15785,Mitochondrial import receptor subunit TOM34,TOMM34,0.980,1.228,-0.871,0.000,
P25789;P25789-2,Proteasome subunit alpha type-4,PSMA4,0.834,1.222,-0.373,0.000,
P40227;P40227-2,T-complex protein 1 subunit zeta,CCT6A,0.892,1.207,0.909,0.000,
P09874,Poly [ADP-ribose] polymerase 1,PARP1,0.830,1.198,-0.511,0.000,
Q15836,Vesicle-associated membrane protein 3,VAMP3,0.948,1.172,-0.287,0.000,
O14737;O14737-2,Programmed cell death protein 5,PDCD5,0.960,1.166,0.564,0.000,
Q8N1B4;Q8N1B4-2,Vacuolar protein sorting-associated protein 52 homolog,VPS52,0.841,1.165,-0.223,0.000,
O95373,Importin-7,IPO7,0.884,1.145,0.410,0.000,
Q9NZN8;Q9NZN8-2;Q9NZN8-4;Q9NZN8-5,CCR4-NOT transcription complex subunit 2,CNOT2,0.872,1.145,-0.186,0.000,
P68363;P68363-2,Tubulin alpha-1B chain,TUBA1B,0.889,1.144,-0.379,0.000,
Q9UBU9;Q9UBU9-2,Nuclear RNA export factor 1,NXF1,0.950,1.133,-0.152,0.000,
P09110;P09110-2,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,0.822,1.131,-0.533,0.000,
O95340;O95340-2,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS2,0.822,1.121,-0.073,0.000,
O00505,Importin subunit alpha-4,KPNA3,0.945,1.117,-0.640,0.000,
Q99832;Q99832-3;Q99832-4;Q99832-2,T-complex protein 1 subunit eta,CCT7,0.849,1.110,0.683,0.000,
P13987,CD59 glycoprotein,CD59,0.794,1.098,-0.216,0.000,
Q9C0C2;Q9C0C2-2,182 kDa tankyrase-1-binding protein,TNKS1BP1,0.876,1.089,-0.291,0.000,
Q9Y487,V-type proton ATPase 116 kDa subunit a isoform 2,ATP6V0A2,0.790,1.089,0.017,0.000,
P98082;P98082-3;P98082-2,Disabled homolog 2,DAB2,0.973,1.074,0.867,0.000,
Q9H9A5;Q9H9A5-2;Q9H9A5-3;Q9H9A5-4,CCR4-NOT transcription complex subunit 10,CNOT10,0.947,1.069,0.393,0.000,
Q07960,Rho GTPase-activating protein 1,ARHGAP1,0.877,1.066,-0.804,0.000,
Q9UQ13;Q9UQ13-2,Leucine-rich repeat protein SHOC-2,SHOC2,0.831,1.062,-0.377,0.000,
Q99700;Q99700-4;Q99700-2;Q99700-5,Ataxin-2,ATXN2,0.796,1.041,-0.001,0.000,
O43815;O43815-2,Striatin,STRN,0.896,1.038,0.295,0.000,
O14974;O14974-4;O14974-3;O14974-2;O14974-5,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,0.919,1.033,0.766,0.000,
Q13263;Q13263-2,Transcription intermediary factor 1-beta,TRIM28,0.756,1.024,0.709,0.000,
P61009,Signal peptidase complex subunit 3,SPCS3,0.977,1.023,0.231,0.000,
Q14677-3;Q14677-2,Clathrin interactor 1,CLINT1,0.929,1.021,-0.915,0.000,
Q8N556,Actin filament-associated protein 1,AFAP1,0.962,1.018,0.908,0.000,
Q9H9A6,Leucine-rich repeat-containing protein 40,LRRC40,0.782,1.018,-0.145,0.000,
O15031,Plexin-B2,PLXNB2,0.920,1.018,0.645,0.000,
Q9BSH4,Translational activator of cytochrome c oxidase 1,TACO1,0.790,1.017,-0.595,0.000,
P49720,Proteasome subunit beta type-3,PSMB3,0.938,1.015,-0.760,0.000,
Q01813;Q01813-2,"ATP-dependent 6-phosphofructokinase, platelet type",PFKP,0.798,1.013,-0.537,0.000,
O75569;O75569-3;O75569-2,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,PRKRA,0.914,0.988,-0.184,0.000,
O00264;O00264-2,Membrane-associated progesterone receptor component 1,PGRMC1,0.988,0.985,0.242,0.000,
Q8IVF2-3;Q8IVF2,Protein AHNAK2,AHNAK2,0.791,0.984,-0.287,0.000,
Q86TC9;Q86TC9-2,Myopalladin,MYPN,0.932,0.969,0.401,0.000,
Q8IYI6,Exocyst complex component 8,EXOC8,0.754,0.967,-0.034,0.000,
Q9NUQ7,Ufm1-specific protease 2,UFSP2,0.932,0.967,-0.734,0.000,
P11717,Cation-independent mannose-6-phosphate receptor,IGF2R,0.792,0.958,0.443,0.000,
O00567,Nucleolar protein 56,NOP56,0.927,0.948,-0.511,0.000,
Q9BRX2,Protein pelota homolog,PELO,0.843,0.945,0.342,0.000,
P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,0.962,0.940,-0.933,0.000,
Q05397;Q05397-5;Q05397-7;Q05397-2,Focal adhesion kinase 1,PTK2,0.876,0.937,-0.390,0.000,
O95232,Luc7-like protein 3,LUC7L3,0.961,0.932,-0.374,0.000,
P42892;P42892-3;P42892-4;P42892-2,Endothelin-converting enzyme 1,ECE1,0.932,0.930,0.704,0.000,
P50990;P50990-2;P50990-3,T-complex protein 1 subunit theta,CCT8,0.812,0.920,0.859,0.000,
P31689;P31689-2,DnaJ homolog subfamily A member 1,DNAJA1,0.899,0.917,-0.747,0.000,
Q12800;Q12800-4;Q12800-2;Q12800-3,Alpha-globin transcription factor CP2,TFCP2,0.866,0.916,-0.219,0.000,
Q01081;P0DN76;Q01081-2;Q01081-4,Splicing factor U2AF 35 kDa subunit,U2AF1,0.810,0.915,-0.734,0.000,
Q9Y3C1;Q9Y3C1-3;Q9Y3C1-2,Nucleolar protein 16,NOP16,0.874,0.914,0.435,0.000,
Q15058,Kinesin-like protein KIF14,KIF14,0.944,0.913,-0.783,0.000,
P10909;P10909-4;P10909-5;P10909-2;P10909-3,Clusterin;Clusterin beta chain;Clusterin alpha chain,CLU,0.767,0.912,-0.472,0.000,
Q16643;Q16643-3;Q16643-2,Drebrin,DBN1,0.965,0.912,-0.009,0.000,
Q9NR50;Q9NR50-3;Q9NR50-2,Translation initiation factor eIF-2B subunit gamma,EIF2B3,0.950,0.888,-0.296,0.000,
P48643;P48643-2,T-complex protein 1 subunit epsilon,CCT5,0.898,0.879,0.877,0.000,
Q9BQ70,Transcription factor 25,TCF25,0.967,0.879,-0.400,0.000,
P10586;P10586-2,Receptor-type tyrosine-protein phosphatase F,PTPRF,0.783,0.876,0.133,0.000,
Q9P0K7;Q9P0K7-4;Q9P0K7-3;Q9P0K7-2,Ankycorbin,RAI14,0.799,0.865,-0.769,0.000,
P78371;P78371-2,T-complex protein 1 subunit beta,CCT2,0.859,0.864,0.725,0.000,
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,Anthrax toxin receptor 1,ANTXR1,0.947,0.864,-0.636,0.000,
Q4G176,"Acyl-CoA synthetase family member 3, mitochondrial",ACSF3,0.812,0.861,-0.624,0.000,
O00232;O00232-2,26S proteasome non-ATPase regulatory subunit 12,PSMD12,0.761,0.858,-0.628,0.000,
Q8WUM4;Q8WUM4-2,Programmed cell death 6-interacting protein,PDCD6IP,0.936,0.852,0.802,0.000,
P62633;P62633-2;P62633-7;P62633-3;P62633-5;P62633-6,Cellular nucleic acid-binding protein,CNBP,0.923,0.844,-0.746,0.000,
Q01518,Adenylyl cyclase-associated protein 1,CAP1,0.884,0.840,0.063,0.000,
Q13247;Q13247-3;Q13247-2,Serine/arginine-rich splicing factor 6,SRSF6,0.929,0.837,-0.218,0.000,
P26038,Moesin,MSN,0.895,0.828,0.876,0.000,
Q9BVG8;Q9BVG8-2;Q9BVG8-6;Q9BVG8-5;Q9BVG8-4,Kinesin-like protein KIFC3,KIFC3,0.813,0.827,-0.444,0.000,
Q8NEY1;Q8NEY1-2;Q8NEY1-3;Q8NEY1-7;Q8NEY1-4;Q8NEY1-5;Q8NEY1-6,Neuron navigator 1,NAV1,0.840,0.826,0.078,0.000,
P05362,Intercellular adhesion molecule 1,ICAM1,0.924,0.821,0.617,0.000,
Q99575,Ribonucleases P/MRP protein subunit POP1,POP1,0.897,0.819,-0.557,0.000,
Q9UMY4;Q9UMY4-2;Q9UMY4-3,Sorting nexin-12,SNX12,0.937,0.819,0.631,0.000,
O15344;O15344-2,E3 ubiquitin-protein ligase Midline-1,MID1,0.877,0.812,-0.216,0.000,
P18084,Integrin beta-5,ITGB5,0.933,0.811,0.057,0.000,
P43490,Nicotinamide phosphoribosyltransferase,NAMPT,0.944,0.810,-0.475,0.000,
Q14108;Q14108-2,Lysosome membrane protein 2,SCARB2,0.865,0.804,0.355,0.000,
P08237;P08237-3;P08237-2,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,0.944,0.797,-0.803,0.000,
P42702,Leukemia inhibitory factor receptor,LIFR,0.786,0.789,0.480,0.000,
P50897;P50897-2,Palmitoyl-protein thioesterase 1,PPT1,0.857,0.784,0.029,0.000,
P24941;P24941-2,Cyclin-dependent kinase 2,CDK2,0.881,0.782,-0.317,0.000,
P37268;P37268-2;P37268-3;P37268-5;P37268-4,Squalene synthase,FDFT1,0.750,0.777,-0.444,0.000,
P63244,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,0.964,0.776,-0.900,0.000,
P09132;P09132-2,Signal recognition particle 19 kDa protein,SRP19,0.755,0.771,0.310,0.000,
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein,NIFK,0.931,0.765,0.420,0.000,
P51858;P51858-3;P51858-2,Hepatoma-derived growth factor,HDGF,0.786,0.747,-0.191,0.000,
Q8NFF5;Q8NFF5-3;Q8NFF5-2;Q8NFF5-4,FAD synthase;Molybdenum cofactor biosynthesis protein-like region;FAD synthase region,FLAD1,0.985,0.745,-0.636,0.000,
Q15369;Q15369-2,Transcription elongation factor B polypeptide 1,TCEB1,0.922,0.741,-0.080,0.000,
Q9Y282;Q9Y282-3;Q9Y282-2,Endoplasmic reticulum-Golgi intermediate compartment protein 3,ERGIC3,0.918,0.741,-0.125,0.000,
Q9H7E2-3;Q9H7E2;Q9H7E2-2,Tudor domain-containing protein 3,TDRD3,0.918,0.740,-0.453,0.000,
P15170-3;P15170-2;P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT1,0.786,0.732,-0.380,0.000,
P27694,"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed",RPA1,0.935,0.728,-0.047,0.000,
