IPI,UniProt,Name,Log[Intensity],NumPeptides,Mito,ER,Golgi,ERGDV,EE,RE/TGN,PM,PS,Cyto,Notes
IPI00114162,Q05816,"Fatty acid-binding protein, epidermal ",4.07839850321337,3,,,,,,,,,Yes,
IPI00114209,P26443,"Glutamate dehydrogenase, mitochondrial precursor ",5.045636653,5,Yes,,,,,,,,,
IPI00114285,O09131,"Glutathione transferase omega 1 ",4.17770691087116,5,,,,,,,,,Yes,
IPI00114329,O09172,"Glutamate--cysteine ligase regulatory subunit ",4.1660129181173,3,,,,,,,,,Yes,
IPI00114331,O09174,"alpha-methylacyl-CoA racemase ",4.88246699,1,Yes,,,,,,,,,
IPI00114368,O08547,"Vesicle trafficking protein SEC22b ",4.13672880568373,5,,,,Yes,Yes,Yes,,,,
IPI00114377,P48771,"Cytochrome c oxidase polypeptide VIIa-liver/heart, mitochondrial precursor ",4.522780201,1,Yes,,,,,,,,,
IPI00114473,P11438,"Lysosome-associated membrane glycoprotein 1 precursor ",4.74007622278001,2,,,,,Yes,,,,,
IPI00114560,P11476,"Ras-related protein Rab-1A ",4.58190189730658,5,,,,Yes,,,Probably,,,
IPI00114593,P04270,"Actin, alpha cardiac ",5.74473978587486,5,,,,,,,,,Yes,
IPI00114628,P40936,"Thioether S-methyltransferase ",4.92831259871727,5,,,,,,,,,Probably,"No annotated location"
IPI00114667,P26516,"26S proteasome non-ATPase regulatory subunit 7 ",4.2248163277023,5,,,,,,,,Yes,,
IPI00114710,Q05920,"Pyruvate carboxylase, mitochondrial precursor ",4.60248185,5,Yes,,,,,,,,,
IPI00114778,P56654,"Cytochrome P450 2C37 ",4.7787665047353,5,,Yes,,,,,,,,
IPI00114779,P56655,"Cytochrome P450 2C38 ",4.12111349665353,5,,,,Yes,,,,,,
IPI00114780,P56656,"Cytochrome P450 2C39 ",3.90759993201738,5,,,,Yes,,,,,,
IPI00114781,P56657,"Cytochrome P450 2C40 ",4.53036866153023,5,,Yes,,,,,,,,
IPI00114818,Q99J08,"SEC14-like protein 2 ",4.76440207164375,5,,,,,,,,,Yes,
IPI00114840,O08600,"Endonuclease G, mitochondrial precursor ",2.785457208,5,Yes,,,,,,,,,
IPI00114866,Q99J39,"Mlycd protein ",2.132161274,5,Yes,,,,,,,,,
IPI00114957,Q99J99,"3-mercaptopyruvate sulfurtransferase ",3.858548459,2,Yes,,,,,,,,,
IPI00115097,O55029,"Coatomer beta' subunit ",4.07854789960243,5,,,,,,Yes,No,Probably,,
IPI00115212,P11588,"Major urinary protein 1 precursor ",5.47139733396476,5,,,,Yes,,Probably,,,,"Bulk endocytosis?"
IPI00115215,O55060,"Thiopurine S-methyltransferase ",3.91008547820811,4,,,,,,,,,Yes,
IPI00115243,P11591,"Major urinary protein 5 precursor ",4.88172026937162,3,,Yes,,Yes,,,,,,
IPI00115302,Q6P3A8,"Branched chain ketoacid dehydrogenase E1, beta polypeptide ",3.896754628,1,Yes,,,,,,,,,
IPI00115492,Q99K30,"Epidermal growth factor receptor pathway substrate 8-like protein 2 ",4.512689104,1,Probably,,,,,,,,,
IPI00115522,Q99K47,"fibrinogen, alpha polypeptide ",4.26472806164988,5,,Yes,Yes,,,,,,,"Secretory pathway"
IPI00115528,Q99K51,"Plastin 3, ",4.19652239087142,5,,,,,,,,,Yes,
IPI00115546,P18873,"Guanine nucleotide-binding protein G(o), alpha subunit 2 ",4.33198289738955,2,,Probably,,Probably,Probably,,Yes,,,"Endocytosed? Cytoplasmic localization"
IPI00115564,P48962,"ADP,ATP carrier protein, heart/skeletal muscle isoform T1 ",4.598567735,5,Yes,,,,,,,,,
IPI00115580,Q99JX4,"Dendritic cell protein GA17 ",4.38404198816562,5,,,,,,,,,Probably,
IPI00115599,P50172,"Corticosteroid 11-beta-dehydrogenase, isozyme 1 ",4.78173204668274,5,,Yes,,,,No,,,,
IPI00115607,Q99JY0,"Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase ",4.316001089,5,Yes,,,,,,,,,
IPI00115627,Q99JY9,"Actin-like protein 3 ",3.87611455689683,5,,Probably,,Probably,,Probably,,,,
IPI00115644,Q99JZ4,SAR1a,4.15023317219028,3,,,,,,,,,Yes,
IPI00115679,Q8BHN3,"Neutral alpha-glucosidase AB precursor ",4.4331833449571,5,,Yes,,,,,,,,
IPI00115751,O70194,"Eukaryotic translation initiation factor 3 subunit 7 ",4.09749894864084,4,,,,,,,,,Yes,"Associating with membranes?"
IPI00115787,P58021,"Transmembrane 9 superfamily protein member 2 precursor ",3.14805224022077,2,,,No,,,,,,,
IPI00115824,O55125,"NipSnap1 protein ",4.108035411,5,Yes,,,,,,,,,
IPI00115827,O55126,"NipSnap2 protein ",4.059023886,1,Yes,,,,,,,,,
IPI00115850,P58044,"Isopentenyl-diphosphate delta-isomerase 1 ",4.39783882152442,2,,,,,,,,,No,Peroxisomal
IPI00115866,Q99KB8,"Hydroxyacylglutathione hydrolase ",4.12896708574154,5,,Probably,,Probably,Probably,,Probably,,Probably,
IPI00115902,O55142,"60S ribosomal protein L35a ",3.95033706743752,5,,,,,,Co-migrating,,,,
IPI00116055,,"Ensembl_locations(Chr-bp):9-80901999 ",4.81477666889776,4,,,,Probably,,Probably,,,Probably,
IPI00116074,Q99KI0,"Aconitase 2, mitochondrial ",4.253908217,5,Yes,,,,,,,,,
IPI00116102,Q99KJ2,"RIKEN cDNA 2810405J04 ",3.63719753415469,3,,,,Probably,,Probably,,,,"No annotated location"
IPI00116112,Q99KJ8,"dynactin 2 ",3.84353057730276,4,,,,,Yes,,,,,Membrane-associated
IPI00116134,Q99KK7,"Dipeptidyl-peptidase III ",3.37187321685375,4,,,,,,,,,Yes,
IPI00116154,P19536,"Cytochrome c oxidase polypeptide Vb, mitochondrial precursor ",4.121777707,1,Yes,,,,,,,,,
IPI00116192,P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial precursor ",4.10384001,5,Yes,,,,,,,,,
IPI00116221,Q99KR3,"Lactamase, beta 2 ",4.12475238649481,5,Yes,,,,,,,,No,
IPI00116222,Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial precursor ",4.26985116,5,Yes,,,,,,,,,
IPI00116228,Q99KR7,"Peptidyl-prolyl cis-trans isomerase, mitochondrial precursor ",3.11063279596178,1,,,,,,,,,No,
IPI00116236,Q99L20,"Glutathione S-transferase, theta 3 ",3.70677260915476,3,,,,,,,,,Yes,
IPI00116254,O08807,"Peroxiredoxin 4 ",4.86750814813989,5,,Probably,,,,Probably,,,,"No annotated location"
IPI00116277,P80315,"T-complex protein 1, delta subunit ",4.39125163697264,5,,Yes,,Yes,,,Probably,,,Cytoplasmic
IPI00116279,P80316,"T-complex protein 1, epsilon subunit ",4.51773743389304,5,,,,,,,Probably,,,Cytoplasmic
IPI00116281,P80317,"T-complex protein 1, zeta subunit ",4.45088065144332,5,,,,,,,Probably,,,Cytoplasmic
IPI00116283,P80318,"T-complex protein 1, gamma subunit ",4.63145797090268,5,,,,,,,Probably,,,Cytoplasmic
IPI00116302,Q99L45,"Eukaryotic translation initiation factor 2 subunit 2 ",3.65377152143533,5,,,,,,Probably,Probably,,,"Associating with membranes?"
IPI00116308,Q99L47,"Hsc70-interacting protein ",3.90944557606049,5,,,,,,,,,Yes,
IPI00116342,Q8CE68,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase ",5.80359640474739,5,,,,,,,Probably,,,
IPI00116432,P50285,"Dimethylaniline monooxygenase [N-oxide-forming] 1 ",4.46527678792583,5,,Yes,,,,,,,,
IPI00116459,P50295,"Arylamine N-acetyltransferase 2 ",3.66596104015942,2,,,,,,,,,Yes,
IPI00116498,P35215,"14-3-3 protein zeta/delta ",5.19201097690803,5,,,,,,,,,Yes,
IPI00116563,P61021,"Ras-related protein Rab-5B ",3.63479783532671,2,,,,Yes,,,,,,
IPI00116572,P11714,"Cytochrome P450 2D9 ",5.35084274058253,5,,Yes,,,,,,,,
IPI00116603,P11725,"Ornithine carbamoyltransferase, mitochondrial precursor ",4.638345383,5,Yes,,,,,,,,,
IPI00116643,Q8K0F0,"2310009E04Rik protein ",3.93009056151666,5,,,,,,,,,Probably,
IPI00116706,Q99LB6,"Methionine adenosyltransferase II, beta ",3.54427012746054,2,,,,,,,,,Yes,
IPI00116712,P28063,"Proteasome subunit beta type 8 precursor ",3.79839443361997,4,,,,,,,,,Yes,
IPI00116748,Q99LC3,"NADH-ubiquinone oxidoreductase 42 kDa subunit, mitochondrial precursor ",3.653815549,3,Yes,,,,,,,,,
IPI00116753,Q99LC5,"Electron transfer flavoprotein alpha-subunit, mitochondrial precursor ",4.825488054,5,Yes,,,,,,,,,
IPI00116770,P35293,"Ras-related protein Rab-18 ",3.75381146491055,5,,,Probably,Probably,,Yes,Yes,,,
IPI00116793,Q99LD4,"COP9 signalosome complex subunit 1 ",3.60993560881136,3,,,,,,,,,Yes,
IPI00116850,Q99LF4,"Hypothetical protein ",4.17566115171216,5,,,,,,Probably,,,Probably,"No annotated location"
IPI00116856,Q99LF8,"Poly(A) binding protein, cytoplasmic 4, isoform 1 ",4.00177075367956,5,,Probably,,Probably,,Probably,,,Yes,
IPI00116921,Q61009,"Scavenger receptor class B member 1 ",3.61783311990934,4,,Yes,,,,,,,,
IPI00117083,Q99LP6,"GrpE-like 1, mitochondrial ",3.679230509,2,Yes,,,,,,,,,
IPI00117176,O08914,"Fatty-acid amide hydrolase ",3.99459832036267,5,Probably,Yes,,,,,,,,
IPI00117214,Q99LV2,"RIKEN cDNA 2610207I16 ",3.914139874,1,Yes,,,,,,,,,
IPI00117229,P97421,"Ataxin-2 ",3.26488369910048,1,,,,No,,,,,,
IPI00117264,Q99LX0,"Park7 protein ",4.34962198217846,5,,,,,,,,,Yes,
IPI00117300,Q99LY9,"NADH dehydrogenase (ubiquinone) Fe-S protein 5 ",3.67603020125537,3,Yes,,,,,,,,,
IPI00117312,P05202,"Aspartate aminotransferase, mitochondrial precursor ",4.902974636,5,Yes,,,,,,,,,
IPI00117348,P05213,"Tubulin alpha-2 chain ",5.40820995165205,5,,,,,,,,,Yes,
IPI00117350,P05215,"Tubulin alpha-4 chain ",5.26183322602016,5,,,,,,,,,Yes,
IPI00117352,P05218,"Tubulin beta-5 chain ",5.46956275256238,5,,,,,,,,,Yes,
IPI00117379,O08997,"Copper transport protein ATOX1 ",4.10915983100662,2,,,,,,,,,Probably,"No annotated location"
IPI00117416,O70378,"Neighbor of COX4 ",3.134472653,2,Yes,,,,,,,,,
IPI00117569,P62281,"40S ribosomal protein S11 ",4.34002019933494,5,,Yes,,Yes,,Co-migrating,Co-migrating,,,
IPI00117910,Q61171,"Peroxiredoxin 2 ",4.68739837192769,5,,Probably,,,,Probably,,,Probably,"No annotated location"
IPI00117914,Q61176,"Arginase 1 ",5.66739448698348,5,,,,,,Probably,,,Yes,"Associated with membranes?"
IPI00117978,P19783,"Cytochrome c oxidase subunit IV isoform 1, mitochondrial precursor ",4.40797052,4,Yes,,,,,,,,,
IPI00117994,Q8VCA4,"Cytochrome P450 CYP4F15 ",3.52342221474431,5,,,,,Probably,,Probably,,,"No annotated localization"
IPI00117996,Q99N19,"Cytochrome P450 CYP4F13 ",3.68031105042689,3,,,,Yes,,,Probably,,,"Extracellular - interacting with membrane?"
IPI00118022,Q00380,"Clathrin coat assembly protein AP17 ",3.87938463791938,2,,,,,,,Yes,,,
IPI00118026,P61967,"Adapter-related protein complex 1 sigma 1A subunit ",4.09920361031853,4,,,,,,Yes,,,,
IPI00118059,P50431,"Serine hydroxymethyltransferase, cytosolic ",4.53540841987245,5,,,,,,,,,Yes,
IPI00118217,O70439,"Syntaxin 7 ",3.52587786325236,2,,,,,,Yes,,,,
IPI00118227,Q99N92,"Mitochondrial 60S ribosomal protein L27 ",3.26492349,1,Yes,,,,,,,,,
IPI00118286,O70456,"14-3-3 protein sigma ",5.61555703917929,2,,,,,,,,,Yes,
IPI00118304,Q8BXM7,"RIKEN cDNA 4933409L06 ",4.187376136,2,Probably,,,,,,,,,"No annotated location"
IPI00118344,O70475,"UDP-glucose 6-dehydrogenase ",4.62172295608399,5,,,,,,,,,Probably,"No annotated location"
IPI00118384,P62259,"14-3-3 protein epsilon ",5.05743291598117,5,,,,,,,,,Yes,
IPI00118447,P42669,"Transcriptional activator protein PUR-alpha ",3.74081670512971,5,,,No,,,No,,,,
IPI00118625,P35492,"Histidine ammonia-lyase ",4.69432558143979,5,,,,,,,,,Probably,
IPI00118674,P57716,"Nicastrin precursor ",3.65746435460827,2,,,Yes,,,Yes,,,,
IPI00118676,P60843,"Eukaryotic initiation factor 4A-I ",5.0372680760189,5,,,,,,,Probably,,Yes,"Associating with membranes?"
IPI00118677,P11983,"T-complex protein 1, alpha subunit B ",4.26621714623057,5,,Yes,,Yes,,Probably,,,,Cytoplasmic
IPI00118757,Q9DAK9,"14 kDa phosphohistidine phosphatase ",3.63568382529487,3,,,,,,,,,Yes,
IPI00118875,P57776,"Elongation factor 1-delta ",4.05463204511367,4,,,,,,,,,Yes,
IPI00118892,Q61233,"L-plastin ",4.2829110164026,5,,,,,,,,,Yes,
IPI00118899,P57780,"Alpha-actinin 4 ",4.42216279402943,5,,,,,,,,,Yes,
IPI00118930,Q9DB05,"Alpha-soluble NSF attachment protein ",3.83303871976308,5,,,,Yes,,Yes,,,,
IPI00118963,Q9DB15,"60S ribosomal protein L12, mitochondrial precursor ",3.216510549,1,Yes,,,,,,,,,
IPI00118986,Q9DB20,"ATP synthase oligomycin sensitivity conferral protein, mitochondrial precursor ",4.577973154,5,Yes,,,,,,,,,
IPI00119004,Q9DB29,"hypothetical Esterase/acetylhydrolase structure",4.24558883066732,3,,,,,,,,,Probably,"No annotated location"
IPI00119024,Q9DB37,"ADP-ribosylation-like factor 6 interacting protein 5, full insert sequence ",3.51537941737612,1,,Yes,,,,,,,,
IPI00119057,P20415,"Eukaryotic translation initiation factor 4E ",3.35108019743058,2,,,,,,Probably,Probably,,,"Associating with membranes?"
IPI00119111,Q99JN5,"calponin 3, acidic, full insert sequence ",3.11542467730365,1,,,,,,Probably,,,,"No annotated organelle"
IPI00119112,P50516,"Vacuolar ATP synthase catalytic subunit A, ubiquitous isoform ",3.87285347047458,3,,,,,,Yes,Yes,,Probably,
IPI00119114,P51174,"Acyl-CoA dehydrogenase, long-chain specific, mitochondrial precursor ",4.262078603,5,Yes,,,,,,,,,
IPI00119138,Q9DB77,"Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor ",4.513116881,5,Yes,,,,,,,,,
IPI00119203,P50544,"Acyl-CoA dehydrogenase, very-long-chain specific, mitochondrial precursor ",4.087233795,5,Yes,,,,,,,,,
IPI00119219,O70503,"Putative steroid dehydrogenase KIK-I ",4.16233789226677,5,,Yes,,,,,,,,
IPI00119224,P62320,"Small nuclear ribonucleoprotein Sm D3 ",4.00137437412129,3,,,,,,No,,,,
IPI00119305,P50580,"Proliferation-associated protein 2G4 ",4.64771689129395,5,,No,,,,No,,,,
IPI00119470,Q8R230,"CDNA FLJ30055 FIS, CLONE ADRGL1000165, WEAKLY SIMILAR TO IMIDAZOLONEPROPIONASE (EC 3.5.2.7) homolog ",4.8534174665293,5,,Probably,,Probably,,,,,Yes,"Associated with membranes?"
IPI00119520,Q9DBB8,"DIMERIC DIHYDRODIOL DEHYDROGENASE, similar to",4.36950053611578,5,,,,,,,,,No,
IPI00119618,P35564,"Calnexin precursor ",4.6358212047261,5,,Yes,,,,,,,,
IPI00119622,Q9DBE0,"Cysteine sulfinic acid decarboxylase ",4.64432981659656,5,,,,,,,,,Yes,
IPI00119667,P62631,"Elongation factor 1-alpha 2 ",5.49934638916447,5,,Yes,,Yes,,Co-migrating,Co-migrating,,,
IPI00119680,P35585,"Adaptor-related protein complex 1, mu 1 subunit ",4.76699143135596,5,,,,,,Yes,,,Yes,
IPI00119685,Q9DBG1,"Cytochrome P450 27, mitochondrial precursor ",4.377604031,5,Yes,,,,,,,,,
IPI00119688,Q9DBG2,"propionyl Coenzyme A carboxylase, beta polypeptide, full insert sequence ",3.46062672,1,Yes,,,,,,,,,
IPI00119689,Q9DBG3,"adaptor-related protein complex 2, beta 1 subunit, full insert sequence ",4.84626073478936,5,,,,,,,Yes,,,
IPI00119755,Q9DBI9,"nudix (nucleoside diphosphate linked moiety X)-type motif 7, full insert sequence ",4.1476769500948,3,Probably,,,,,Probably,,,Probably,"No annotated location"
IPI00119766,O54909,"Cis-retinol androgen dehydrogenase 1 ",4.20487256583603,5,,Yes,,Yes,,Yes,,,No,"Secretory pathway. Endocytosed?"
IPI00119806,Q8BJW6,"CDNA FLJ14450 FIS, CLONE HEMBB1001736, WEAKLY SIMILAR T ",3.71036180627066,5,,,,,No,Co-migrating,,,,"Associated with ribosome"
