"Protein Entry Name"	"Accession No."	"Protein Description"	"Peptides"	"PSMs"	113	114	115	116	117	118	119	121	"markers"	"pd.2013"	"pd.validated"
"AATM_HUMAN"	"P00505"	"Aspartate aminotransferase, mitochondrial"	2	2	0.120555233	0.151682937	0.037121008	0.07818851	0.188636449	0.342445718	0.046236445	0.035133701	"unknown"	"Mitochondrion"	"Mitochondrion"
"ABCBA_HUMAN"	"Q9NRK6"	"ATP-binding cassette sub-family B member 10, mitochondrial"	1	1	0.114105556	0.167634272	0.026951713	0.089900537	0.180911928	0.388291554	0.03220444	0	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ABCD3_HUMAN"	"P28288"	"ATP-binding cassette sub-family D member 3 (multiple isoforms)"	2	2	0.106416347	0.164964999	0.054025587	0.166924571	0.247731983	0.208403512	0.048754535	0.002778464	"unknown"	"ER"	"ER"
"ABCD4_HUMAN"	"O14678"	"ATP-binding cassette sub-family D member 4"	1	1	0.190355856	0.245791281	0.030177273	0.202717991	0.257094785	0.073862814	0	0	"unknown"	"unknown"	"unknown"
"ABCE1_HUMAN"	"P61221"	"ATP-binding cassette sub-family E member 1"	1	1	0.082873414	0.115261231	0.108408588	0.109235156	0.147065067	0.089587174	0.048371768	0.299197602	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ABCF1_HUMAN"	"Q8NE71"	"ATP-binding cassette sub-family F member 1 (multiple isoforms)"	1	1	0.166971007	0.227140354	0.048976799	0.13791836	0.159854176	0.063775817	0.039788913	0.155574573	"unknown"	"PM"	"PM"
"ABCG8_HUMAN"	"Q9H221"	"ATP-binding cassette sub-family G member 8 (multiple isoforms)"	1	1	0.148061027	0.145611272	0.069906445	0.084538917	0.149878957	0.086942431	0.059420612	0.255640339	"unknown"	"unknown"	"unknown"
"ABD12_HUMAN"	"Q8N2K0"	"Monoacylglycerol lipase ABHD12 (multiple isoforms)"	2	2	0.124373572	0.171516444	0.115199037	0.166886173	0.235564535	0.12150263	0.052014462	0.012943147	"unknown"	"ER"	"ER"
"ABHDA_HUMAN"	"Q9NUJ1"	"Abhydrolase domain-containing protein 10, mitochondrial"	1	1	0.077012105	0.139516194	0.062505228	0.09671458	0.15925313	0.382784028	0.082214735	0	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ABHDB_HUMAN"	"Q8NFV4"	"Abhydrolase domain-containing protein 11 (multiple isoforms)"	1	1	0.067711255	0.138501071	0.050284949	0.096930837	0.1875354	0.386900815	0.042110227	0.030025446	"unknown"	"Mitochondrion"	"Mitochondrion"
"ACAD9_HUMAN"	"Q9H845"	"Acyl-CoA dehydrogenase family member 9, mitochondrial"	2	2	0.124269021	0.169655259	0.029507266	0.096023981	0.173617108	0.370541535	0.02638497	0.010000859	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ACADV_HUMAN"	"P49748"	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (multiple isoforms)"	1	1	0.10421258	0.163984734	0.076960899	0.052681562	0.13229071	0.428327281	0.041542235	0	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ACD11_HUMAN"	"Q709F0"	"Acyl-CoA dehydrogenase family member 11 (multiple isoforms)"	1	1	0.119917895	0.131821586	0.09476465	0.121791761	0.190933612	0.209086345	0.121743687	0.009940464	"unknown"	"Mitochondrion"	"Mitochondrion"
"ACLY_HUMAN"	"P53396"	"ATP-citrate synthase"	5	5	0.157000904	0.130376275	0.05662248	0.086817724	0.070717892	0.019055768	0.001091013	0.478317944	"unknown"	"Phenotype 1"	"unknown"
"ACOC_HUMAN"	"P21399"	"Cytoplasmic aconitate hydratase"	1	1	0.062339592	0.08800064	0.059849282	0.078415763	0.077473217	0.054569126	0	0.57935238	"unknown"	"Phenotype 8"	"unknown"
"ACOD_HUMAN"	"O00767"	"Acyl-CoA desaturase"	2	2	0.136054722	0.14959608	0.10623931	0.146505012	0.277313695	0.142940248	0.037969699	0.003381233	"ER"	"ER"	"ER"
"ACON_HUMAN"	"Q99798"	"Aconitate hydratase, mitochondrial"	3	3	0.121915047	0.172577184	0.041637981	0.096959381	0.173420028	0.365485495	0.012973937	0.015030948	"unknown"	"Mitochondrion"	"Mitochondrion"
"ACPH_HUMAN"	"P13798"	"Acylamino-acid-releasing enzyme"	1	1	0.089546151	0.108456008	0.033056034	0.095240451	0.09058139	0	0	0.583119965	"unknown"	"Phenotype 1"	"Cytosol.Nucleus"
"ACPL2_HUMAN"	"Q8TE99"	"Acid phosphatase-like protein 2 (multiple isoforms)"	1	1	0.313655431	0.178854738	0.122468299	0.147262504	0.182917186	0.047915903	0	0.00692594	"unknown"	"PM"	"PM"
"ACPM_HUMAN"	"O14561"	"Acyl carrier protein, mitochondrial"	2	2	0.041124952	0.09852533	0.027791628	0.059783423	0.185102435	0.499589666	0.081478329	0.006604237	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ACSL3_HUMAN"	"O95573"	"Long-chain-fatty-acid--CoA ligase 3"	2	2	0.182088662	0.198745351	0.050895418	0.162084614	0.264407893	0.121166482	0.020495987	0.000115593	"unknown"	"unknown"	"unknown"
"ACSL4_HUMAN"	"O60488"	"Long-chain-fatty-acid--CoA ligase 4 (multiple isoforms)"	1	1	0.215466893	0.179040004	0.073232383	0.137173809	0.167810588	0.164037387	0.037436496	0.025802441	"unknown"	"PM"	"PM"
"ACTN1_HUMAN"	"P12814"	"Alpha-actinin-1 (multiple isoforms)"	1	1	0.110142028	0.201027451	0.096281201	0.169117731	0.145554048	0	0	0.27787754	"unknown"	"unknown"	"unknown"
"ACTN4_HUMAN"	"O43707"	"Alpha-actinin-4"	2	2	0.130852492	0.172481106	0.121024176	0.156490501	0.173283835	0.069772464	0.011791428	0.164303998	"unknown"	"PM"	"PM"
"ADA10_HUMAN"	"O14672"	"Disintegrin and metalloproteinase domain-containing protein 10"	1	1	0.249713791	0.261280681	0.057645543	0.18073518	0.186187894	0.057915938	0.003856483	0.00266449	"unknown"	"PM"	"PM"
"ADA15_HUMAN"	"Q13444"	"Disintegrin and metalloproteinase domain-containing protein 15 (multiple isoforms)"	1	1	0.179801578	0.221338983	0.06620943	0.218563787	0.241808184	0.072278038	0	0	"PM"	"PM"	"PM"
"ADAS_HUMAN"	"O00116"	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	2	2	0.065082911	0.127093642	0.055342352	0.122735335	0.250309501	0.290653017	0.083774302	0.00500894	"unknown"	"Phenotype 7"	"Peroxisome"
"ADK_HUMAN"	"P55263"	"Adenosine kinase (multiple isoforms)"	1	1	0.025089762	0.049175809	0.029559919	0.038059513	0.07187092	0.016513713	0	0.769730364	"unknown"	"Phenotype 2"	"Cytosol.Nucleus"
"ADPPT_HUMAN"	"Q9NRN7"	"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	2	2	0.104746651	0.100728418	0.027083731	0.072042898	0.058673639	0.02953527	0.011330931	0.595858461	"unknown"	"Phenotype 1"	"Cytosol"
"ADR2_HUMAN"	"Q86V24"	"Adiponectin receptor protein 2"	1	1	0.121107914	0.144594031	0	0.157837674	0.227251855	0.119551323	0.118827679	0.110829524	"unknown"	"Mitochondrion"	"Mitochondrion"
"ADRO_HUMAN"	"P22570"	"NADPH:adrenodoxin oxidoreductase, mitochondrial (multiple isoforms)"	2	2	0.091973099	0.135027906	0.052342389	0.091067137	0.189649938	0.357674997	0.053782402	0.028482131	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ADT1_HUMAN"	"P12235"	"ADP/ATP translocase 1"	1	1	0.045176237	0.100762923	0.047537897	0.064324884	0.190565849	0.487843183	0.051259717	0.012529309	"unknown"	"Mitochondrion"	"Mitochondrion"
"AFAD_HUMAN"	"P55196"	"Afadin (multiple isoforms)"	1	1	0.269643835	0.203079564	0.093194561	0.174049955	0.147953267	0.068054457	0	0.04402436	"unknown"	"PM"	"PM"
"AFG32_HUMAN"	"Q9Y4W6"	"AFG3-like protein 2"	2	2	0.126255764	0.154943695	0.038794709	0.118908801	0.19226298	0.291919954	0.038706753	0.038207345	"unknown"	"Mitochondrion"	"Mitochondrion"
"AGAL_HUMAN"	"P06280"	"Alpha-galactosidase A"	1	1	0.053803125	0.173317044	0.138004968	0.232588597	0.349800386	0.052485879	0	0	"unknown"	"unknown"	"unknown"
"AGK_HUMAN"	"Q53H12"	"Acylglycerol kinase, mitochondrial (multiple isoforms)"	3	3	0.08047973	0.129202517	0.056329124	0.079723262	0.168703363	0.420126808	0.065435197	0	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"AGRIN_HUMAN"	"O00468"	"Agrin"	2	2	0.13104796	0.186181149	0.070167381	0.199630252	0.276152309	0.102232793	0.0096272	0.024960956	"unknown"	"unknown"	"unknown"
"AIFM1_HUMAN"	"O95831"	"Apoptosis-inducing factor 1, mitochondrial (multiple isoforms)"	3	3	0.141365999	0.148868881	0.022952558	0.091805119	0.171943136	0.392525358	0.029045595	0.001493355	"unknown"	"Mitochondrion"	"Mitochondrion"
"AIMP2_HUMAN"	"Q13155"	"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2"	1	1	0.112796109	0.129353716	0.039903636	0.086494236	0.105738223	0.051847492	0.010442573	0.463424014	"unknown"	"unknown"	"unknown"
"AINX_HUMAN"	"Q16352"	"Alpha-internexin"	1	1	0.119984927	0.282526071	0.148776172	0.193725792	0.123259263	0.059562461	0.018070577	0.054094737	"unknown"	"PM"	"PM"
"AKIB1_HUMAN"	"Q9P2G1"	"Ankyrin repeat and IBR domain-containing protein 1"	1	1	0.287017387	0.342146784	0.034629137	0.165054572	0.11699509	0.034203222	0	0.019953809	"unknown"	"PM"	"PM"
"AL3A2_HUMAN"	"P51648"	"Fatty aldehyde dehydrogenase (multiple isoforms)"	2	2	0.1914456	0.205246306	0.056611686	0.165113802	0.23663022	0.099643868	0.018037879	0.02727064	"ER"	"ER"	"ER"
"AL4A1_HUMAN"	"P30038"	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"	1	1	0.127097758	0.161985651	0.075283047	0.110678281	0.167196139	0.27767883	0.062652671	0.017427623	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"AL7A1_HUMAN"	"P49419"	"Alpha-aminoadipic semialdehyde dehydrogenase (multiple isoforms)"	1	1	0.176520915	0.125604841	0	0.109585366	0.267450523	0.21422448	0	0.106613875	"unknown"	"Mitochondrion"	"Mitochondrion"
"ALDH2_HUMAN"	"P05091"	"Aldehyde dehydrogenase, mitochondrial"	2	2	0.137210976	0.167051365	0.029353897	0.094543049	0.181651579	0.339460704	0.02622365	0.02450478	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ALDOA_HUMAN"	"P04075"	"Fructose-bisphosphate aldolase A"	2	2	0.302470353	0.182094938	0.092675659	0.163354315	0.172678829	0.044631791	0	0.042094115	"unknown"	"PM"	"PM"
"ALDR_HUMAN"	"P15121"	"Aldose reductase"	2	2	0.120296766	0.103300624	0.036065303	0.058518103	0.068131794	0.098289051	0.008830659	0.506567701	"unknown"	"Phenotype 8"	"unknown"
"ALG11_HUMAN"	"Q2TAA5"	"Asparagine-linked glycosylation protein 11 homolog"	1	1	0.129706707	0.201454383	0.054564274	0.146029657	0.292301027	0.146348198	0.020574519	0.009021234	"ER"	"ER"	"ER"
"AMFR2_HUMAN"	"Q9UKV5"	"E3 ubiquitin-protein ligase AMFR (multiple isoforms)"	1	1	0.093930565	0.206997555	0.041866184	0.203626753	0.343738631	0.109840312	0	0	"ER"	"ER"	"ER"
"AMOT_HUMAN"	"Q4VCS5"	"Angiomotin (multiple isoforms)"	1	1	0.178630787	0.171452607	0.071416954	0.139624133	0.241950073	0.102816234	0.01761952	0.076489692	"unknown"	"PM"	"PM"
"AMPL_HUMAN"	"P28838"	"Cytosol aminopeptidase (multiple isoforms)"	2	2	0.138968281	0.134208667	0.03969627	0.090763471	0.126977977	0.300710927	0.026230799	0.142443608	"unknown"	"unknown"	"unknown"
"AMRP_HUMAN"	"P30533"	"Alpha-2-macroglobulin receptor-associated protein"	1	1	0.111245448	0.174225795	0.045712344	0.191334518	0.308001552	0.122023855	0.009514855	0.037941634	"PM"	"PM"	"PM"
"AN32A_HUMAN"	"P39687"	"Acidic leucine-rich nuclear phosphoprotein 32 family member A"	1	1	0.030436084	0.032123653	0.025162794	0.026151856	0.042660305	0.017294872	0.008845844	0.817324592	"unknown"	"Phenotype 2"	"unknown"
"ANAG_HUMAN"	"P54802"	"Alpha-N-acetylglucosaminidase"	1	1	0.115361239	0.183136735	0.126651429	0.20783513	0.207446468	0.074392883	0.017040046	0.06813607	"unknown"	"unknown"	"unknown"
"ANKL2_HUMAN"	"Q86XL3"	"Ankyrin repeat and LEM domain-containing protein 2 (multiple isoforms)"	1	1	0.175299699	0.171012616	0.060011935	0.161966735	0.216712128	0.124250655	0.025204242	0.065541989	"unknown"	"PM"	"PM"
"ANM5_HUMAN"	"O14744"	"Protein arginine N-methyltransferase 5 (multiple isoforms)"	2	2	0.076920956	0.113768794	0.033800547	0.074830866	0.079457132	0.03404008	0.007443886	0.57973774	"unknown"	"Phenotype 1"	"Cytosol.Nucleus"
"ANXA2_HUMAN"	"P07355"	"Annexin A2 (multiple isoforms)"	1	1	0.320849724	0.259849343	0.060777784	0.153087694	0.132612067	0.03591137	0.006370096	0.030541923	"unknown"	"PM"	"PM"
"ANXA5_HUMAN"	"P08758"	"Annexin A5"	3	3	0.153086564	0.125467374	0.032431481	0.071216462	0.049783013	0.012264715	0	0.55575039	"unknown"	"Phenotype 1"	"Cytosol"
"ANXA6_HUMAN"	"P08133"	"Annexin A6"	5	5	0.182989279	0.167414412	0.106090175	0.109337906	0.0804054	0.022683861	0.003521017	0.327557949	"unknown"	"unknown"	"unknown"
"AP1B1_HUMAN"	"Q10567"	"AP-1 complex subunit beta-1 (multiple isoforms)"	1	1	0.076752171	0.09862901	0.065924222	0.129327075	0.282976831	0.121682778	0.138867271	0.085840641	"unknown"	"Phenotype 7"	"unknown"
"AP1G1_HUMAN"	"O43747"	"AP-1 complex subunit gamma-1 (multiple isoforms)"	3	3	0.066723235	0.139970324	0.084650319	0.208847602	0.391341978	0.072362802	0	0.036103739	"unknown"	"Golgi"	"Golgi"
"AP2A1_HUMAN"	"O95782"	"AP-2 complex subunit alpha-1 (multiple isoforms)"	1	1	0.21188659	0.164924157	0.072256061	0.165111881	0.264399766	0.084190109	0	0.037231436	"unknown"	"unknown"	"unknown"
"AP2M1_HUMAN"	"Q96CW1"	"AP-2 complex subunit mu (multiple isoforms)"	3	3	0.140702764	0.151530223	0.104790625	0.134077115	0.311699501	0.10831613	0.016280513	0.03260313	"unknown"	"ER"	"ER"
"AP2S1_HUMAN"	"P53680"	"AP-2 complex subunit sigma (multiple isoforms)"	1	1	0.179193936	0.168599762	0.037521212	0.156904576	0.319573107	0.086390909	0.007271761	0.044544737	"unknown"	"unknown"	"unknown"
"APEX1_HUMAN"	"P27695"	"DNA-(apurinic or apyrimidinic site) lyase"	1	1	0.115064868	0.136936645	0.012452648	0.084665227	0.089875935	0.115899448	0.060158099	0.38494713	"unknown"	"unknown"	"unknown"
"APLP2_HUMAN"	"Q06481"	"Amyloid-like protein 2 (multiple isoforms)"	1	1	0.428353187	0.298174855	0.023357544	0.157839531	0.069337669	0.017981951	0	0.004955263	"unknown"	"unknown"	"unknown"
"APMAP_HUMAN"	"Q9HDC9"	"Adipocyte plasma membrane-associated protein (multiple isoforms)"	2	2	0.195034433	0.178450874	0.071406242	0.163841113	0.243216526	0.12198443	0.023949219	0.002117162	"PM"	"PM"	"PM"
"APT_HUMAN"	"P07741"	"Adenine phosphoribosyltransferase"	1	1	0.093716661	0.088216786	0.045764655	0.05867051	0.04817467	0.01405735	0.002825868	0.648573499	"unknown"	"Phenotype 1"	"Cytosol"
"AR13B_HUMAN"	"Q3SXY8"	"ADP-ribosylation factor-like protein 13B (multiple isoforms)"	1	1	0.17071433	0.124990855	0.221796885	0.167555575	0.247303517	0.067638837	0	0	"unknown"	"unknown"	"unknown"
"ARHG2_HUMAN"	"Q92974"	"Rho guanine nucleotide exchange factor 2 (multiple isoforms)"	1	1	0.179325241	0.223970129	0.055936594	0.159320795	0.218925402	0.067004512	0	0.095517328	"unknown"	"unknown"	"unknown"
"ARI4B_HUMAN"	"Q4LE39"	"AT-rich interactive domain-containing protein 4B (multiple isoforms)"	1	1	0.120327174	0.17108589	0.032883121	0.095553684	0.176208183	0.360501386	0.021051746	0.022388816	"unknown"	"Mitochondrion"	"Mitochondrion"
"ARL2_HUMAN"	"P36404"	"ADP-ribosylation factor-like protein 2"	1	1	0.154092245	0.132637186	0	0.098917763	0.085631461	0.154020473	0.06365235	0.311048521	"unknown"	"unknown"	"unknown"
"ARL3_HUMAN"	"P36405"	"ADP-ribosylation factor-like protein 3"	1	1	0.15238843	0.07895168	0.036302063	0.062941333	0.039700123	0	0	0.629716371	"unknown"	"Phenotype 1"	"unknown"
"ARP2_HUMAN"	"P61160"	"Actin-related protein 2"	4	4	0.225682685	0.224887539	0.029647172	0.13674642	0.154358444	0.056839847	0.013344215	0.158493678	"unknown"	"unknown"	"unknown"
"ARPC2_HUMAN"	"O15144"	"Actin-related protein 2/3 complex subunit 2"	1	1	0.257020982	0.184030447	0.064051717	0.14450923	0.144418229	0.056601257	0.016407998	0.132960141	"Golgi"	"Golgi"	"Golgi"
"ARPC3_HUMAN"	"O15145"	"Actin-related protein 2/3 complex subunit 3"	1	1	0.176604419	0.150676022	0.076749783	0.121772684	0.150564307	0.105683317	0.025437988	0.19251148	"unknown"	"unknown"	"unknown"
"ARPC5_HUMAN"	"O15511"	"Actin-related protein 2/3 complex subunit 5 (multiple isoforms)"	1	1	0.235749483	0.194239757	0.050765679	0.121361477	0.141756393	0.050687221	0	0.205439991	"unknown"	"unknown"	"unknown"
"ARSB_HUMAN"	"P15848"	"Arylsulfatase B"	1	1	0.160747248	0.218743097	0.130805269	0.222779685	0.20030689	0.050369991	0.008715295	0.007532524	"unknown"	"PM"	"PM"
"ASM3B_HUMAN"	"Q92485"	"Acid sphingomyelinase-like phosphodiesterase 3b (multiple isoforms)"	1	1	0.358887843	0.253356769	0.058952634	0.147225288	0.137278213	0.030159873	0	0.01413938	"unknown"	"PM"	"PM"
"ASML_HUMAN"	"O95671"	"N-acetylserotonin O-methyltransferase-like protein (multiple isoforms)"	1	1	0.146960598	0.126983732	0.037300534	0.087456251	0.082539343	0.074504333	0.022211034	0.422044176	"unknown"	"unknown"	"unknown"
"ASNS_HUMAN"	"P08243"	"Asparagine synthetase [glutamine-hydrolyzing]"	1	1	0.092917824	0.117824557	0.073631535	0.060615328	0.058403559	0	0	0.596607197	"unknown"	"Phenotype 1"	"Cytosol"
"ASPH_HUMAN"	"Q12797"	"Isoform Junctin-2 of Aspartyl/asparaginyl beta-hydroxylase"	2	2	0.170855346	0.192001989	0	0.156101638	0.239947188	0.117142963	0	0.123950875	"ER"	"ER"	"ER"
"ASTN2_HUMAN"	"O75129"	"Astrotactin-2 (multiple isoforms)"	1	1	0.262124257	0.26950143	0.043567751	0.172704489	0.190381853	0.06172022	0	0	"unknown"	"PM"	"PM"
"AT11B_HUMAN"	"Q9Y2G3"	"Probable phospholipid-transporting ATPase IF"	1	1	0.132468029	0.253478292	0.07057154	0.275727349	0.220673015	0.047081776	0	0	"unknown"	"unknown"	"unknown"
"AT11C_HUMAN"	"Q8NB49"	"Probable phospholipid-transporting ATPase IG (multiple isoforms)"	1	1	0.18643896	0.280803867	0.066359005	0.206129792	0.197662438	0.052904543	0.005000822	0.004700572	"PM"	"PM"	"PM"
"AT131_HUMAN"	"Q9HD20"	"Probable cation-transporting ATPase 13A1 (multiple isoforms)"	2	2	0.13328399	0.230787588	0.075373643	0.156696653	0.259680723	0.142704189	0.001473215	0	"unknown"	"unknown"	"unknown"
"AT132_HUMAN"	"Q9NQ11"	"Probable cation-transporting ATPase 13A2 (multiple isoforms)"	1	1	0.150746538	0.212470824	0.141791769	0.258010599	0.197318469	0.033186067	0	0.006475734	"unknown"	"PM"	"PM"
"AT1A1_HUMAN"	"P05023"	"Sodium/potassium-transporting ATPase subunit alpha-1 (multiple isoforms)"	4	4	0.298709988	0.210370941	0.129082398	0.141673845	0.171471671	0.045021538	0.003545757	0.000123863	"unknown"	"PM"	"PM"
"AT1B3_HUMAN"	"P54709"	"Sodium/potassium-transporting ATPase subunit beta-3"	1	1	0.287208953	0.208796054	0.07459608	0.156523106	0.213047805	0.059828003	0	0	"unknown"	"PM"	"PM"
"AT2A2_HUMAN"	"P16615"	"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (multiple isoforms)"	2	2	0.155321602	0.223694408	0.040189413	0.17230413	0.282015772	0.113501621	0.012973055	0	"ER"	"ER"	"ER"
"AT2B1_HUMAN"	"P20020"	"Plasma membrane calcium-transporting ATPase 1 (multiple isoforms)"	4	4	0.304433973	0.222033967	0.11389073	0.136091149	0.171883835	0.041854025	0.005722968	0.004089353	"PM"	"PM"	"PM"
"AT2C1_HUMAN"	"P98194"	"Calcium-transporting ATPase type 2C member 1 (multiple isoforms)"	1	1	0.199747605	0.18244189	0.054388161	0.247577585	0.254051365	0.061793394	0	0	"Golgi"	"Golgi"	"Golgi"
"AT2C2_HUMAN"	"O75185"	"Calcium-transporting ATPase type 2C member 2 (multiple isoforms)"	1	1	0.219170982	0.204366573	0.139854013	0.147243158	0.199663361	0.081964844	0.00773707	0	"Golgi"	"Golgi"	"Golgi"
"ATP7A_HUMAN"	"Q04656"	"Copper-transporting ATPase 1 (multiple isoforms)"	1	1	0.196582652	0.238134912	0.217773641	0.167225974	0.133064702	0.047218119	0	0	"unknown"	"PM"	"PM"
"ATP7B_HUMAN"	"P35670"	"Copper-transporting ATPase 2 (multiple isoforms)"	1	1	0.185440454	0.27755673	0.105613832	0.218022964	0.173480707	0.039885312	0	0	"unknown"	"PM"	"PM"
"ATPA_HUMAN"	"P25705"	"ATP synthase subunit alpha, mitochondrial"	8	8	0.092518416	0.126787868	0.050329664	0.077438274	0.162140062	0.407835148	0.082371074	0.000579493	"unknown"	"Mitochondrion"	"Mitochondrion"
"ATPB_HUMAN"	"P06576"	"ATP synthase subunit beta, mitochondrial"	1	1	0.18781144	0.211859726	0.027143544	0.155082614	0.161846232	0.226491091	0.029765354	0	"unknown"	"unknown"	"unknown"
"ATPF1_HUMAN"	"Q5TC12"	"ATP synthase mitochondrial F1 complex assembly factor 1"	1	1	0.025121276	0.075311779	0.028710555	0.056925677	0.183837114	0.53729097	0.048829643	0.043972987	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ATPG_HUMAN"	"P36542"	"ATP synthase subunit gamma, mitochondrial (multiple isoforms)"	1	1	0.120550369	0.129852939	0.03311055	0.090226153	0.162125109	0.416178069	0.047956811	0	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"ATPO_HUMAN"	"P48047"	"ATP synthase subunit O, mitochondrial"	1	1	0.119468651	0.136536464	0.026408258	0.084072898	0.149603275	0.427604798	0	0.056305657	"unknown"	"Mitochondrion"	"Mitochondrion"
"AUHM_HUMAN"	"Q13825"	"Methylglutaconyl-CoA hydratase, mitochondrial (multiple isoforms)"	1	1	0.091176029	0.138418233	0.127174699	0.063463433	0.154792053	0.315180124	0.071925514	0.037869914	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"AUP1_HUMAN"	"Q9Y679"	"Ancient ubiquitous protein 1 (multiple isoforms)"	1	1	0.189847203	0.219725802	0.039773599	0.170850507	0.25034176	0.118889178	0.010571951	0	"unknown"	"unknown"	"unknown"
"B2L12_HUMAN"	"Q9HB09"	"Bcl-2-like protein 12 (multiple isoforms)"	2	2	0.34062489	0.270917946	0.040468179	0.144921028	0.146961856	0.033561723	0.002901305	0.019643073	"unknown"	"PM"	"PM"
"B2MG_HUMAN"	"P61769"	"Beta-2-microglobulin"	1	1	0.275669572	0.227979703	0.093672394	0.194999537	0.150315099	0.040811714	0.008491167	0.008060813	"unknown"	"PM"	"PM"
"B3GA3_HUMAN"	"O94766"	"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3"	2	2	0.143331676	0.123122374	0.11901009	0.195221253	0.291336528	0.083233542	0.031108068	0.013636471	"Golgi"	"Golgi"	"Golgi"
"B3GN1_HUMAN"	"O43505"	"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase"	2	2	0.119542585	0.159074084	0.116715171	0.1841972	0.286981718	0.107506286	0.025982955	0	"Golgi"	"Golgi"	"Golgi"
"B3KX12_HUMAN"	"B3KX12"	"#N/A"	1	1	0.045398286	0.05049346	0.010828466	0.049707137	0.065699446	0.027270138	0	0.750603066	"unknown"	"Phenotype 2"	"unknown"
"B4DFT1_HUMAN"	"B4DFT1"	"#N/A"	1	1	0.105600742	0.134167804	0.085114047	0.104631449	0.142163663	0.112094862	0.089953934	0.226273499	"unknown"	"unknown"	"unknown"
