IPI,UniProt,Name,Log[Intensity],NumPeptides,"Mito (Fr4)","ER (Fr11)","Golgi (Fr13)","ERGDV (Fr14)","EE (Fr16)","RE/TGN (Fr17)","PM (Fr19)","PS (Fr20)","Cyto (Fr30)",Nucleus
IPI00110673,Q9D816,"RIKEN cDNA 2010318C06 gene coding for a Cytochrome P450 -like protein ",3.66191912534798,2,,,,,,0.00518127686193,0.03208831150386,,,
IPI00110684,Q8BTY3,"INORGANIC PYROPHOSPHATASE ",5.07596115683711,5,,,,,,,,,0.00117763225276,
IPI00110806,P01901,"H-2 class I histocompatibility antigen, K-B alpha chain precursor ",4.25435545200332,5,,,,0.03131589397252,0.02735010198685,,0.01112360582974,,,
IPI00110850,P60710,"Actin, cytoplasmic 1 ",5.80618828773784,5,,,,,,,,,0.00015100373499,
IPI00110852,Q99MP2,"Translocon-associated protein alpha ",3.73502143427224,1,,,,,,,,,,5.7126439262751
IPI00110986,P62204,"Calmodulin ",4.61935580643086,4,,,,,,,,,0.00130230941496,
IPI00111181,Q9EQH3,"Vacuolar protein sorting 35 ",4.6893376910253,5,,,,,,0.00755101812431,0.00851219300571,,,
IPI00111211,Q9EQI8,"Hypothetical protein ",3.08941584103012,1,,,,,,,,,,2.03928216539457
IPI00111218,P47738,"Aldehyde dehydrogenase, mitochondrial precursor ",5.39066824813723,5,0.00513303951802,,,,,,,,0.00906492345901,
IPI00111265,P47754,"capping protein (actin filament) muscle Z-line, alpha 2 ",4.13589861671949,3,,0.04212552462167,,0.02191634510817,,0.00616128347835,0.01081552472419,,0.02516636387948,
IPI00111271,P47758,"Signal recognition particle receptor beta subunit ",3.281825733,2,0.09772418393861,,,,,,,,,
IPI00111315,P09813,"Apolipoprotein A-II precursor ",4.1785108330436,4,,,,0.02439224972372,,,,0.00890145263944,0.00120703858786,
IPI00111320,Q7TQL6,"RIKEN cDNA 5730552M22 ",3.56070130516117,1,,,,0.0309468518008,0.03151802470752,,,,,
IPI00111359,P47791,"Glutathione reductase, mitochondrial precursor ",3.61366268540655,2,,,,,,,,,0.00109862706779,
IPI00111412,Q9D8E6,"60S ribosomal protein L4 ",4.79409035879267,5,0.03320268742024,,,,,0.00705199821279,,,,
IPI00111416,Q9ER00,"Syntaxin 12 ",3.76977475599356,4,,,,,0.03324797150623,0.01067047107357,,,,
IPI00111634,Q9EQW4,"Cytochrome P450, CYP3A ",4.57703932440361,5,,,,,0.04725138514996,,,,,
IPI00111770,Q06185,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e ",4.258738131,2,0.01006156207667,,,,,,,,,
IPI00111831,P70670,"Alpha-NAC, muscle-specific form gp220 ",4.98235811265484,5,,,,,,0.00056025003499,,,,
IPI00111855,P26150,"hydroxysteroid dehydrogenase-3, delta<5>-3-beta ",4.17676628689824,5,,0.01757697450703,,,0.04527047448384,,0.02330771942308,,,
IPI00111876,Q8VCR7,"CCG1-interacting factor B ",4.52018013774965,5,,,,,,,,0.01359895126086,0.00058950606409,
IPI00111885,Q9CZ13,"Ubiquinol-cytochrome-c reductase complex core protein I, mitochondrial precursor ",4.311458831,5,0.02519141976314,,,,,,,,,
IPI00111908,Q8C196,"Carbamoyl-phosphate synthase, similar to",5.6640831209473,5,0.00276547024854,,,,,0.00746223312682,0.00289951347443,,0.01292511892122,
IPI00111950,P70694,"Estradiol 17 beta-dehydrogenase 5 ",4.73155526417957,5,,,,,,0.01434993026082,,,0.00038380439219,
IPI00111981,Q9CZ30,"Putative GTP-binding protein PTD004 homolog ",4.03937586469,5,,,,,,0.0244048216234,0.03301014920879,,0.00085848144031,
IPI00112053,Q9D8U8,"Sorting nexin 5 ",4.07665980278674,5,,,,,,,0.00192998645471,,,
IPI00112093,Q9CYV6,"RIKEN cDNA 2810439F02 ",3.8168143639434,5,,,,,,,0.03242320117951,,0.03988438757403,
IPI00112097,Q9D8V8,"HYPOTHETICAL 21.9 kDa PROTEIN homolog ",3.73292634436284,2,,,,0.02072290953765,0.03436161311342,,,,,
IPI00112251,Q9ERD7,"Tubulin beta-3 ",5.55967792202277,5,,,,,,,,,0.00079795715787,
IPI00112322,P17717,"UDP-glucuronosyltransferase 2B5 precursor, microsomal ",5.29746403160806,5,,0.01168423119945,,,,,,,,75.942340390809
IPI00112366,XP_145307,"similar to FLJ23469 protein ",3.71162418869639,1,,,,,,,,,,2.73840388995169
IPI00112448,P09900,"40S ribosomal protein S10 ",4.359138321766,5,,,,0.04136216539188,,0.00372309107651,0.01380281994524,,,
IPI00112549,P41216,"Long-chain-fatty-acid--CoA ligase 2 ",5.1777038695429,5,0.01872953321297,0.00712329983216,,,,,0.00315456345183,,,
IPI00112555,Q9CZD3,"Glycyl-tRNA synthetase ",4.23566427844214,2,,,,,,,,,0.00479818786752,
IPI00112630,Q9D9F5,"hypothetical Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase structure containin ",4.15257508897529,2,,,,,,,,,0.00079469265051,
IPI00112641,Q9ERR7,"15 kDa selenoprotein precursor ",3.84568722192994,2,,0.0035371068915,,,,,,,,
IPI00112719,P10518,"Delta-aminolevulinic acid dehydratase ",4.94766135840679,5,,,,,,,,,0.00233274522798,
IPI00112816,P17742,"peptidylprolyl isomerase A, full insert sequence ",5.67305471225712,5,,,,,,,,,0.02298501464333,
IPI00112923,Q78IK4,"Ensembl_locations(Chr-bp):X-102084724 RIKEN cDNA 9430083G14 ",3.643009856,1,0.02928868944053,,,,,,,,,
IPI00112935,Q9CZN7,"SERINE HYDROXYMETHYLTRANSFERASE ",4.32169749259674,5,0.06916906118478,,,,,,,,0.00797060190973,
IPI00112947,P19001,"Keratin, type I cytoskeletal 19 ",4.30918857284041,3,0.05837912087088,,,,,,0.00661380515105,,,2.54611199955766
IPI00112963,P26231,"Alpha-1 catenin ",3.9451450575807,5,,,,,0.0231376013982,0.03445681036305,,,,
IPI00113073,Q9CZS1,"aldehyde dehydrogenase 1 family, member B1, full insert sequence ",5.06434737004615,1,,,,,,,,,0.00175373924844,
IPI00113127,P56371,"Ras-related protein Rab-4A ",4.20879614082197,2,,0.02770152641624,,,,0.02916450453951,0.029145626302,,,
IPI00113134,Q8BTX6,"Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610528A15 product:weakly similar to PUTATIVE HELICASE W08D2.7 ",3.387699702,2,,,,,,,,,,16.2193089010314
IPI00113141,Q9CZU6,"citrate synthase, full insert sequence ",4.173407198,5,0.06702497493397,,,,,,,,,
IPI00113214,P56399,"Ubiquitin carboxyl-terminal hydrolase 5 ",3.92351009539781,4,,,,,,,,,0.0003085949963,
IPI00113241,Q9CZX8,"40S ribosomal protein S19 ",5.00500333089077,5,,,,,,0.00091436763809,,,,
IPI00113257,Q9CZY3,"ubiquitin-conjugating enzyme E2 variant 1, full insert sequence ",4.02389861860839,3,,,,,,,0.0488333085857,,0.01598643649899,
IPI00113262,Q9CZY6,"26S proteasome-associated pad1 homolog, full insert sequence ",4.09772551978973,5,,,,,,,,0.02622207242878,,
IPI00113287,Q9CR00,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9, full insert sequence ",3.56211011368082,2,,,0.00136586315259,0.02740875025729,,,,,0.00574466725155,
IPI00113318,XP_136032,"ubiquitin-conjugating enzyme E2N, similar to",3.87976283083739,3,0.11888170022807,,,,,,,,0.0030016261514,
IPI00113325,Q8VI15,"Aldehyde oxidase homolog-1 ",5.60159677327221,5,,,,,,,,,0.00660987638935,
IPI00113536,Q9EST5,"Proliferation related acidic leucine rich protein PAL31 ",3.81607622881351,1,,,,,,,,,0.01892762639901,
IPI00113635,Q9ESX5,"DYSKERIN ",3.17449129399036,4,,,,,,,,,,9.38049355984469
IPI00113655,P10660,"40S ribosomal protein S6 ",4.6324833236033,5,,,,0.03502805518617,0.04674616213025,,,,,
IPI00113801,P56480,"ATP synthase beta chain, Mitochondrial precursor ",5.26050887,5,0,,,,,,,,,
IPI00113845,O09061,"Proteasome subunit beta type 1 ",4.31389605280286,5,,,,,,,,0.00182919112515,,
IPI00113895,P61164,"Alpha-centractin ",3.78993146669847,4,,,,0.0406085297216,,0.00836986870939,,,,
IPI00113992,Q8BTZ7,"GDP-MANNOSE PYROPHOSPHORYLASE B homolog ",4.07406651890678,2,,,,,,0.00252772912644,0.01603524363659,,0.01982036922971,
IPI00113996,Q923D2,"biliverdin reductase B (flavin reductase (NADPH)) ",4.07402636072279,5,,,,,,,,,0.00015772234746,
IPI00114017,Q07076,"Annexin A7 ",3.34390028888559,5,,,,,,,,,0.00108204284262,
IPI00114044,P27046,"Alpha-mannosidase II ",4.28687245097219,5,,,0.0283144034417,0.01164890322333,,,,,,
IPI00114065,P04186,"Complement factor B precursor ",2.8461478485052,4,,,,0.00181306257011,,0.00657525919756,,,,
IPI00114099,P33622,"Apolipoprotein C-III precursor ",4.2042617985055,3,,,,0.02634149472468,,0.0257426550716,,,,
IPI00114162,Q05816,"Fatty acid-binding protein, epidermal ",4.07839850321337,3,,,,,,,,,0.00129964413779,
IPI00114209,P26443,"Glutamate dehydrogenase, mitochondrial precursor ",5.045636653,5,0.00398846128533,,,,,,,,,
IPI00114285,O09131,"Glutathione transferase omega 1 ",4.17770691087116,5,,,,,,,,,6.8533475820703E-05,
IPI00114329,O09172,"Glutamate--cysteine ligase regulatory subunit ",4.1660129181173,3,,,,,,,,,0.00020781973682,
IPI00114331,O09174,"alpha-methylacyl-CoA racemase ",4.88246699,1,0.11998370184148,,,,,,,,,
IPI00114368,O08547,"Vesicle trafficking protein SEC22b ",4.13672880568373,5,,,,0.00720951976396,0.03328465415915,0.01003954931519,,,,
IPI00114377,P48771,"Cytochrome c oxidase polypeptide VIIa-liver/heart, mitochondrial precursor ",4.522780201,1,0.02350831776967,,,,,,,,,
IPI00114407,O08583,"THO complex subunit 4 ",3.435595062,2,,,,,,,,,,13.0951402022383
IPI00114473,P11438,"Lysosome-associated membrane glycoprotein 1 precursor ",4.74007622278001,2,,,,,0.04374463444068,,,,,
IPI00114560,P11476,"Ras-related protein Rab-1A ",4.58190189730658,5,,,,0.01478369996194,,,6.7836660257501E-05,,,
IPI00114593,P04270,"Actin, alpha cardiac ",5.74473978587486,5,,,,,,,,,0.00014710031842,
IPI00114628,P40936,"Thioether S-methyltransferase ",4.92831259871727,5,,,,,,,,,0.0015694013321,
IPI00114667,P26516,"26S proteasome non-ATPase regulatory subunit 7 ",4.2248163277023,5,,,,,,,,0.00126679035149,,
IPI00114710,Q05920,"Pyruvate carboxylase, mitochondrial precursor ",4.60248185,5,0.02143152921436,,,,,,,,,
IPI00114733,P19324,"47 kDa heat shock protein precursor ",3.2158418154556,5,,,,,,,,,,2.62833492844274
IPI00114778,P56654,"Cytochrome P450 2C37 ",4.7787665047353,5,,0.01178030493199,,,,,,,,
IPI00114779,P56655,"Cytochrome P450 2C38 ",4.12111349665353,5,,,,0.01338953298427,,,,,,
IPI00114780,P56656,"Cytochrome P450 2C39 ",3.90759993201738,5,,,,0.01817046851044,,,,,,
IPI00114781,P56657,"Cytochrome P450 2C40 ",4.53036866153023,5,,0.01327086402066,,,,,,,,
IPI00114818,Q99J08,"SEC14-like protein 2 ",4.76440207164375,5,,,,,,,,,0.00179837165802,
IPI00114840,O08600,"Endonuclease G, mitochondrial precursor ",2.785457208,5,0.10190279758617,,,,,,,,,
IPI00114866,Q99J39,"Mlycd protein ",2.132161274,5,0.13384212857729,,,,,,,,,
IPI00114957,Q99J99,"3-mercaptopyruvate sulfurtransferase ",3.858548459,2,0.01949996483212,,,,,,,,,
IPI00115097,O55029,"Coatomer beta' subunit ",4.07854789960243,5,,,,,,0.00883028936183,0.04847872219837,0.03912284342881,,
IPI00115212,P11588,"Major urinary protein 1 precursor ",5.47139733396476,5,,,,0.00348646250059,,0.01878589500046,,,,
IPI00115215,O55060,"Thiopurine S-methyltransferase ",3.91008547820811,4,,,,,,,,,0.00227799319984,
IPI00115243,P11591,"Major urinary protein 5 precursor ",4.88172026937162,3,,0.00944738398072,,0.0158378320658,,,,,,
IPI00115302,Q6P3A8,"Branched chain ketoacid dehydrogenase E1, beta polypeptide ",3.896754628,1,0.02566970078747,,,,,,,,,
IPI00115454,Q99JR1,"Sideroflexin 1 ",3.54464382139229,1,,,,,,,,,,3.09491733274573
IPI00115492,Q99K30,"Epidermal growth factor receptor pathway substrate 8-like protein 2 ",4.512689104,1,0.02499053400932,,,,,,,,,
IPI00115522,Q99K47,"fibrinogen, alpha polypeptide ",4.26472806164988,5,,0.03393002097305,0.03928491175904,,,,,,,
IPI00115528,Q99K51,"Plastin 3, ",4.19652239087142,5,,,,,,,,,0.0001375737733,
IPI00115546,P18873,"Guanine nucleotide-binding protein G(o), alpha subunit 2 ",4.33198289738955,2,,0.02659287953719,,0.01275435614032,0.01448171011446,,0.00271341123162,,,
IPI00115564,P48962,"ADP,ATP carrier protein, heart/skeletal muscle isoform T1 ",4.598567735,5,0.00096090267615,,,,,,,,,
IPI00115580,Q99JX4,"Dendritic cell protein GA17 ",4.38404198816562,5,,,,,,,,,0.01106125486334,
IPI00115599,P50172,"Corticosteroid 11-beta-dehydrogenase, isozyme 1 ",4.78173204668274,5,,0.01270146195689,,,,0.01857729158598,,,,
IPI00115607,Q99JY0,"Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase ",4.316001089,5,0.00463296450009,,,,,,,,,
IPI00115627,Q99JY9,"Actin-like protein 3 ",3.87611455689683,5,,0.01239583297455,,0.012136223741,,0.01225787197647,,,,
IPI00115644,Q99JZ4,SAR1a,4.15023317219028,3,,,,,,,,,0.02371035377887,
IPI00115679,Q8BHN3,"Neutral alpha-glucosidase AB precursor ",4.4331833449571,5,,0.00865333497062,,,,,,,,
IPI00115751,O70194,"Eukaryotic translation initiation factor 3 subunit 7 ",4.09749894864084,4,,,,,,,,,0.00084047943839,
IPI00115787,P58021,"Transmembrane 9 superfamily protein member 2 precursor ",3.14805224022077,2,,,0.00356029328341,,,,,,,
IPI00115824,O55125,"NipSnap1 protein ",4.108035411,5,0.00194009584663,,,,,,,,,
IPI00115827,O55126,"NipSnap2 protein ",4.059023886,1,0.03979316719451,,,,,,,,,
IPI00115850,P58044,"Isopentenyl-diphosphate delta-isomerase 1 ",4.39783882152442,2,,,,,,,,,0.00016266965371,
IPI00115866,Q99KB8,"Hydroxyacylglutathione hydrolase ",4.12896708574154,5,,0.04951211575222,,0.04541256710733,0.01620868480276,,0.00571059986576,,0.00135989833229,
IPI00115902,O55142,"60S ribosomal protein L35a ",3.95033706743752,5,,,,,,0.00657765326847,,,,
IPI00116055,,"Ensembl_locations(Chr-bp):9-80901999 ",4.81477666889776,4,,,,0.04795048191033,,0.02308581102001,,,5.81483866307733E-05,
IPI00116074,Q99KI0,"Aconitase 2, mitochondrial ",4.253908217,5,0.0286973000243,,,,,,,,,
IPI00116102,Q99KJ2,"RIKEN cDNA 2810405J04 ",3.63719753415469,3,,,,0.02538795967464,,0.01230563502862,,,,
IPI00116112,Q99KJ8,"dynactin 2 ",3.84353057730276,4,,,,,0.03608444633542,,,,,
IPI00116134,Q99KK7,"Dipeptidyl-peptidase III ",3.37187321685375,4,,,,,,,,,0.00100786132678,
IPI00116154,P19536,"Cytochrome c oxidase polypeptide Vb, mitochondrial precursor ",4.121777707,1,0.08285820184442,,,,,,,,,
IPI00116189,Q99KP6,"Nuclear matrix protein SNEV ",4.004006171,1,,,,,,,,,,12.6628851377056
IPI00116192,P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial precursor ",4.10384001,5,0.01264879932576,,,,,,,,,
IPI00116221,Q99KR3,"Lactamase, beta 2 ",4.12475238649481,5,0.02594733793022,,,,,,,,0.00225013344316,
IPI00116222,Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial precursor ",4.26985116,5,0.01984608154225,,,,,,,,,
IPI00116228,Q99KR7,"Peptidyl-prolyl cis-trans isomerase, mitochondrial precursor ",3.11063279596178,1,,,,,,,,,0.00245274608207,
IPI00116236,Q99L20,"Glutathione S-transferase, theta 3 ",3.70677260915476,3,,,,,,,,,0.00012573003883,
IPI00116254,O08807,"Peroxiredoxin 4 ",4.86750814813989,5,,0.01404907156159,,,,0.00870170644571,,,,
IPI00116277,P80315,"T-complex protein 1, delta subunit ",4.39125163697264,5,,0.02093454682489,,0.02128965804394,,,0.01045887554271,,,
IPI00116279,P80316,"T-complex protein 1, epsilon subunit ",4.51773743389304,5,,,,,,,0.00518923688949,,,
IPI00116281,P80317,"T-complex protein 1, zeta subunit ",4.45088065144332,5,,,,,,,0.00148762605274,,,
IPI00116283,P80318,"T-complex protein 1, gamma subunit ",4.63145797090268,5,,,,,,,0.01414128834717,,,
IPI00116302,Q99L45,"Eukaryotic translation initiation factor 2 subunit 2 ",3.65377152143533,5,,,,,,0.01507284937493,0.010731588699,,,
IPI00116308,Q99L47,"Hsc70-interacting protein ",3.90944557606049,5,,,,,,,,,0.00048563673026,
IPI00116342,Q8CE68,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase ",5.80359640474739,5,,,,,,,0.00208185378074,,,
IPI00116432,P50285,"Dimethylaniline monooxygenase [N-oxide-forming] 1 ",4.46527678792583,5,,0.00142130493526,,,,,,,,
IPI00116459,P50295,"Arylamine N-acetyltransferase 2 ",3.66596104015942,2,,,,,,,,,0.00137748194903,
IPI00116498,P35215,"14-3-3 protein zeta/delta ",5.19201097690803,5,,,,,,,,,0.00026783465332,
IPI00116563,P61021,"Ras-related protein Rab-5B ",3.63479783532671,2,,,,0.02424645521008,,,,,,
IPI00116572,P11714,"Cytochrome P450 2D9 ",5.35084274058253,5,,0.02934820008771,,,,,,,,
IPI00116603,P11725,"Ornithine carbamoyltransferase, mitochondrial precursor ",4.638345383,5,0.002601220704,,,,,,,,,
IPI00116643,Q8K0F0,"2310009E04Rik protein ",3.93009056151666,5,,,,,,,,,0.00054277639635,
IPI00116706,Q99LB6,"Methionine adenosyltransferase II, beta ",3.54427012746054,2,,,,,,,,,0.00243528890538,
IPI00116712,P28063,"Proteasome subunit beta type 8 precursor ",3.79839443361997,4,,,,,,,,,0.02228098800838,
IPI00116748,Q99LC3,"NADH-ubiquinone oxidoreductase 42 kDa subunit, mitochondrial precursor ",3.653815549,3,0.02515546248701,,,,,,,,,
IPI00116753,Q99LC5,"Electron transfer flavoprotein alpha-subunit, mitochondrial precursor ",4.825488054,5,0.00109875906021,,,,,,,,,
IPI00116770,P35293,"Ras-related protein Rab-18 ",3.75381146491055,5,,,0.04274758167466,0.00605876170254,,0.0001543322749,0.00344171769998,,,
IPI00116793,Q99LD4,"COP9 signalosome complex subunit 1 ",3.60993560881136,3,,,,,,,,,0.0070562856297,
IPI00116850,Q99LF4,"Hypothetical protein ",4.17566115171216,5,,,,,,0.01278693398081,,,0.00042591092187,
IPI00116856,Q99LF8,"Poly(A) binding protein, cytoplasmic 4, isoform 1 ",4.00177075367956,5,,0.03741564031213,,0.00166550424418,,0.01347672883853,,,0.00054971026807,
IPI00116921,Q61009,"Scavenger receptor class B member 1 ",3.61783311990934,4,,0.00906562786951,,,,,,,,
IPI00117016,P49717,"DNA replication licensing factor MCM4 ",3.10341704439288,1,,,,,,,,,,4.16902174070906
IPI00117063,P56959,"RNA-binding protein FUS ",3.753479283,4,,,,,,,,,,23.8924724447809
IPI00117083,Q99LP6,"GrpE-like 1, mitochondrial ",3.679230509,2,0.0258178095454,,,,,,,,,
IPI00117176,O08914,"Fatty-acid amide hydrolase ",3.99459832036267,5,0.02793737829313,0.00465131398387,,,,,,,,
IPI00117214,Q99LV2,"RIKEN cDNA 2610207I16 ",3.914139874,1,0.013911923021,,,,,,,,,
IPI00117229,P97421,"Ataxin-2 ",3.26488369910048,1,,,,0.00634755739314,,,,,,
IPI00117264,Q99LX0,"Park7 protein ",4.34962198217846,5,,,,,,,,,0.00028727729551,
IPI00117300,Q99LY9,"NADH dehydrogenase (ubiquinone) Fe-S protein 5 ",3.67603020125537,3,0.14020768022273,,,,,,,,,
IPI00117312,P05202,"Aspartate aminotransferase, mitochondrial precursor ",4.902974636,5,0.00177839402242,,,,,,,,,
IPI00117348,P05213,"Tubulin alpha-2 chain ",5.40820995165205,5,,,,,,,,,0.00113982076078,
IPI00117350,P05215,"Tubulin alpha-4 chain ",5.26183322602016,5,,,,,,,,,0.0012311392348,
IPI00117352,P05218,"Tubulin beta-5 chain ",5.46956275256238,5,,,,,,,,,0.00054424749238,
IPI00117379,O08997,"Copper transport protein ATOX1 ",4.10915983100662,2,,,,,,,,,0.0020008201484,
IPI00117416,O70378,"Neighbor of COX4 ",3.134472653,2,0.01045704059711,,,,,,,,,
IPI00117569,P62281,"40S ribosomal protein S11 ",4.34002019933494,5,,0.02247473631233,,0.04691340856844,,0.00568334536321,0.01058696101952,,,
IPI00117642,Q99ME9,"Nucleolar GTP-binding protein 1 ",2.81252169001361,2,,,,,,,,,,2.09212795993285
IPI00117687,P59708,"Pre-mRNA branch site protein p14 ",4.880003752,1,,,,,,,,,,36.9144366970058
IPI00117910,Q61171,"Peroxiredoxin 2 ",4.68739837192769,5,,0.03343625055728,,,,0.00162831433868,,,0.00869242720726,
IPI00117914,Q61176,"Arginase 1 ",5.66739448698348,5,,,,,,0.00814135274016,,,0.00030548715627,
IPI00117978,P19783,"Cytochrome c oxidase subunit IV isoform 1, mitochondrial precursor ",4.40797052,4,0.00448327277714,,,,,,,,,
IPI00117994,Q8VCA4,"Cytochrome P450 CYP4F15 ",3.52342221474431,5,,,,,0.01071063595542,,0.03429373214988,,,
IPI00117996,Q99N19,"Cytochrome P450 CYP4F13 ",3.68031105042689,3,,,,0.00289213576582,,,0.03278958503831,,,
IPI00118022,Q00380,"Clathrin coat assembly protein AP17 ",3.87938463791938,2,,,,,,,0,,,
IPI00118026,P61967,"Adapter-related protein complex 1 sigma 1A subunit ",4.09920361031853,4,,,,,,0.04463871011921,,,,
IPI00118059,P50431,"Serine hydroxymethyltransferase, cytosolic ",4.53540841987245,5,,,,,,,,,0.00059188949503,
IPI00118217,O70439,"Syntaxin 7 ",3.52587786325236,2,,,,,,0.01159945254741,,,,
IPI00118227,Q99N92,"Mitochondrial 60S ribosomal protein L27 ",3.26492349,1,0.06616617461047,,,,,,,,,
IPI00118286,O70456,"14-3-3 protein sigma ",5.61555703917929,2,,,,,,,,,0.00055050221352,
IPI00118304,Q8BXM7,"RIKEN cDNA 4933409L06 ",4.187376136,2,0.05028491602316,,,,,,,,,
IPI00118344,O70475,"UDP-glucose 6-dehydrogenase ",4.62172295608399,5,,,,,,,,,4.16877662512098E-05,
IPI00118384,P62259,"14-3-3 protein epsilon ",5.05743291598117,5,,,,,,,,,0.00042399763132,
IPI00118438,Q9CVG5,"Plenty-of-prolines-101 ",3.38339339463376,1,,,,,,,,,,5.11275529764053
IPI00118447,P42669,"Transcriptional activator protein PUR-alpha ",3.74081670512971,5,,,0.00621260611205,,,0.01158332299135,,,,
IPI00118625,P35492,"Histidine ammonia-lyase ",4.69432558143979,5,,,,,,,,,0.01033699157508,
IPI00118674,P57716,"Nicastrin precursor ",3.65746435460827,2,,,0.00832393557822,,,0.04278643065369,,,,
IPI00118676,P60843,"Eukaryotic initiation factor 4A-I ",5.0372680760189,5,,,,,,,0.02483758969627,,0.03326870246389,
IPI00118677,P11983,"T-complex protein 1, alpha subunit B ",4.26621714623057,5,,0.02856864855854,,0.03164321266432,,0.00091873017702,,,,
IPI00118757,Q9DAK9,"14 kDa phosphohistidine phosphatase ",3.63568382529487,3,,,,,,,,,0.00118889806505,
IPI00118832,P57759,"Endoplasmic reticulum protein ERp29 precursor ",4.66045915912216,1,,,,,,,,,,3.06532547584457
