UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q62351,Transferrin receptor protein 1 GN=Tfrc PE=1 SV=1 - [TFR1_MOUSE],40,99,62.1,0.000,0.076,0.118,0.121,0.407,0.158,0.056,0.036,0.003,0.026
Q587J6,LINE-1 type transposase domain-containing protein 1 GN=L1td1 PE=2 SV=1 - [LITD1_MOUSE],40,86,49.0,0.055,0.017,0.020,0.011,0.034,0.084,0.130,0.263,0.132,0.253
Q61739,Integrin alpha-6 GN=Itga6 PE=1 SV=3 - [ITA6_MOUSE],40,86,50.0,0.000,0.258,0.187,0.110,0.187,0.127,0.057,0.039,0.005,0.029
Q9Z1Q9,Valine--tRNA ligase GN=Vars PE=2 SV=1 - [SYVC_MOUSE],40,72,38.5,0.117,0.038,0.036,0.019,0.043,0.064,0.081,0.273,0.063,0.266
Q61595;Q61595-3;Q61595-5;Q61595-9,Kinectin GN=Ktn1 PE=1 SV=1 - [KTN1_MOUSE]|Isoform 11 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 13 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 3 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 5 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 9 of Kinectin GN=Ktn1 - [KTN1_MOUSE],40,69,38.4,0.000,0.021,0.032,0.028,0.082,0.280,0.200,0.170,0.037,0.150
P63038,"60 kDa heat shock protein, mitochondrial GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]",39,165,79.4,0.000,0.020,0.021,0.014,0.032,0.097,0.282,0.271,0.010,0.252
P08113,Endoplasmin GN=Hsp90b1 PE=1 SV=2 - [ENPL_MOUSE],39,96,49.9,0.025,0.054,0.064,0.051,0.155,0.259,0.143,0.141,0.000,0.108
Q61316,Heat shock 70 kDa protein 4 GN=Hspa4 PE=1 SV=1 - [HSP74_MOUSE],39,80,55.3,0.609,0.106,0.104,0.039,0.059,0.032,0.014,0.014,0.011,0.012
P43247,DNA mismatch repair protein Msh2 GN=Msh2 PE=2 SV=1 - [MSH2_MOUSE],39,73,52.4,0.152,0.008,0.018,0.005,0.012,0.029,0.078,0.316,0.101,0.281
Q69ZN7,Myoferlin GN=Myof PE=1 SV=2 - [MYOF_MOUSE],39,63,45.4,0.000,0.090,0.209,0.157,0.288,0.115,0.055,0.050,0.000,0.035
Q8VDJ3,Vigilin GN=Hdlbp PE=1 SV=1 - [VIGLN_MOUSE],38,65,32.3,0.059,0.036,0.041,0.026,0.065,0.191,0.185,0.157,0.054,0.186
Q61543,Golgi apparatus protein 1 GN=Glg1 PE=1 SV=1 - [GSLG1_MOUSE],38,60,41.9,0.004,0.058,0.131,0.098,0.226,0.212,0.077,0.101,0.019,0.074
Q8CG47,Structural maintenance of chromosomes protein 4 GN=Smc4 PE=1 SV=1 - [SMC4_MOUSE],38,58,29.2,0.106,0.036,0.036,0.019,0.035,0.055,0.103,0.234,0.132,0.244
Q62261;Q62261-2,"Spectrin beta chain, non-erythrocytic 1 GN=Sptbn1 PE=1 SV=2 - [SPTB2_MOUSE]|Isoform 2 of Spectrin beta chain, non-erythrocytic 1 GN=Sptbn1 - [SPTB2_MOUSE]",38,56,33.2,0.000,0.125,0.074,0.034,0.077,0.189,0.178,0.132,0.080,0.113
Q6PDQ2,Chromodomain-helicase-DNA-binding protein 4 GN=Chd4 PE=1 SV=1 - [CHD4_MOUSE],38,47,29.5,0.039,0.000,0.005,0.000,0.006,0.026,0.108,0.296,0.248,0.271
P11103,Poly [ADP-ribose] polymerase 1 GN=Parp1 PE=1 SV=3 - [PARP1_MOUSE],37,82,38.6,0.030,0.008,0.008,0.004,0.011,0.032,0.112,0.302,0.209,0.283
Q8K298,Actin-binding protein anillin GN=Anln PE=1 SV=2 - [ANLN_MOUSE],37,80,48.2,0.035,0.085,0.051,0.033,0.050,0.087,0.130,0.238,0.087,0.204
P14873,Microtubule-associated protein 1B GN=Map1b PE=1 SV=2 - [MAP1B_MOUSE],37,60,23.1,0.081,0.037,0.028,0.014,0.025,0.049,0.135,0.279,0.108,0.244
Q8BI84,Melanoma inhibitory activity protein 3 GN=Mia3 PE=1 SV=2 - [MIA3_MOUSE],37,59,25.9,0.000,0.041,0.050,0.048,0.122,0.316,0.158,0.140,0.008,0.118
Q3U1J4,DNA damage-binding protein 1 GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE],37,53,38.3,0.451,0.078,0.075,0.032,0.048,0.032,0.030,0.090,0.081,0.082
Q9JLN9,Serine/threonine-protein kinase mTOR GN=Mtor PE=1 SV=2 - [MTOR_MOUSE],37,47,16.9,0.061,0.170,0.155,0.098,0.142,0.105,0.048,0.097,0.024,0.101
P42932,T-complex protein 1 subunit theta GN=Cct8 PE=1 SV=3 - [TCPQ_MOUSE],36,76,66.4,0.446,0.122,0.105,0.049,0.075,0.048,0.023,0.043,0.022,0.066
P17426-2,Isoform B of AP-2 complex subunit alpha-1 GN=Ap2a1 - [AP2A1_MOUSE],36,65,49.0,0.037,0.208,0.112,0.081,0.140,0.154,0.102,0.074,0.031,0.062
Q8CGC7,Bifunctional glutamate/proline--tRNA ligase GN=Eprs PE=1 SV=4 - [SYEP_MOUSE],36,57,34.7,0.630,0.067,0.086,0.023,0.041,0.046,0.027,0.027,0.021,0.034
P09103,Protein disulfide-isomerase GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE],35,105,76.2,0.028,0.063,0.079,0.052,0.133,0.269,0.132,0.133,0.006,0.106
Q78PY7,Staphylococcal nuclease domain-containing protein 1 GN=Snd1 PE=1 SV=1 - [SND1_MOUSE],35,79,55.7,0.031,0.039,0.042,0.031,0.085,0.200,0.142,0.158,0.040,0.233
P57780,Alpha-actinin-4 GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE],35,68,41.2,0.173,0.267,0.149,0.086,0.143,0.104,0.033,0.016,0.019,0.011
P08003,Protein disulfide-isomerase A4 GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE],34,85,56.3,0.025,0.060,0.066,0.051,0.136,0.277,0.139,0.132,0.006,0.109
P14733,Lamin-B1 GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE],34,82,63.3,0.006,0.013,0.014,0.008,0.019,0.036,0.114,0.316,0.176,0.297
Q9JKR6,Hypoxia up-regulated protein 1 GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE],34,75,45.1,0.018,0.049,0.063,0.053,0.125,0.287,0.165,0.132,0.005,0.104
Q01853,Transitional endoplasmic reticulum ATPase GN=Vcp PE=1 SV=4 - [TERA_MOUSE],34,72,56.0,0.478,0.084,0.098,0.043,0.093,0.083,0.032,0.036,0.022,0.030
Q64737,Trifunctional purine biosynthetic protein adenosine-3 GN=Gart PE=2 SV=3 - [PUR2_MOUSE],34,67,55.2,0.446,0.154,0.129,0.056,0.075,0.046,0.020,0.030,0.012,0.032
Q8K2Z4,Condensin complex subunit 1 GN=Ncapd2 PE=1 SV=2 - [CND1_MOUSE],34,47,33.5,0.112,0.036,0.030,0.018,0.032,0.046,0.072,0.284,0.102,0.268
P26041,Moesin GN=Msn PE=1 SV=3 - [MOES_MOUSE],33,75,56.3,0.017,0.341,0.225,0.124,0.157,0.074,0.024,0.018,0.008,0.012
Q8K411-2,"Isoform 2 of Presequence protease, mitochondrial GN=Pitrm1 - [PREP_MOUSE]",33,60,40.1,0.001,0.016,0.016,0.013,0.028,0.094,0.323,0.252,0.021,0.234
P28660,Nck-associated protein 1 GN=Nckap1 PE=1 SV=2 - [NCKP1_MOUSE],33,59,42.5,0.033,0.330,0.184,0.121,0.146,0.086,0.033,0.029,0.013,0.026
Q6GQT9,Nodal modulator 1 GN=Nomo1 PE=1 SV=1 - [NOMO1_MOUSE],33,58,49.2,0.000,0.039,0.048,0.037,0.107,0.257,0.163,0.180,0.026,0.144
P63017,Heat shock cognate 71 kDa protein GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE],32,91,65.0,0.467,0.124,0.101,0.044,0.073,0.048,0.021,0.034,0.054,0.036
Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]",32,89,43.2,0.000,0.013,0.015,0.014,0.030,0.091,0.307,0.274,0.017,0.239
P35564,Calnexin GN=Canx PE=1 SV=1 - [CALX_MOUSE],32,83,51.6,0.000,0.075,0.070,0.054,0.128,0.235,0.144,0.158,0.005,0.132
P26040,Ezrin GN=Ezr PE=1 SV=3 - [EZRI_MOUSE],32,76,49.0,0.020,0.301,0.194,0.121,0.151,0.092,0.039,0.037,0.020,0.027
Q91V92,ATP-citrate synthase GN=Acly PE=1 SV=1 - [ACLY_MOUSE],32,62,41.3,0.416,0.147,0.118,0.057,0.073,0.045,0.023,0.042,0.027,0.053
Q6P9P6,Kinesin-like protein KIF11 GN=Kif11 PE=2 SV=1 - [KIF11_MOUSE],32,61,42.4,0.067,0.042,0.035,0.019,0.036,0.084,0.136,0.268,0.076,0.236
Q8BKG3,Inactive tyrosine-protein kinase 7 GN=Ptk7 PE=1 SV=1 - [PTK7_MOUSE],32,60,38.5,0.001,0.293,0.192,0.115,0.181,0.106,0.046,0.039,0.002,0.026
Q9CQN1,"Heat shock protein 75 kDa, mitochondrial GN=Trap1 PE=1 SV=1 - [TRAP1_MOUSE]",32,57,47.6,0.001,0.016,0.018,0.013,0.035,0.087,0.218,0.324,0.010,0.277
Q02053,Ubiquitin-like modifier-activating enzyme 1 GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE],32,56,45.5,0.604,0.101,0.112,0.044,0.056,0.032,0.011,0.015,0.010,0.014
P39447,Tight junction protein ZO-1 GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE],32,53,22.8,0.037,0.199,0.130,0.083,0.119,0.153,0.097,0.066,0.060,0.056
P80314,T-complex protein 1 subunit beta GN=Cct2 PE=1 SV=4 - [TCPB_MOUSE],32,52,75.7,0.416,0.132,0.109,0.049,0.070,0.043,0.019,0.057,0.022,0.083
P23249,Putative helicase MOV-10 GN=Mov10 PE=1 SV=2 - [MOV10_MOUSE],32,50,40.0,0.146,0.031,0.038,0.017,0.034,0.077,0.101,0.187,0.128,0.240
P08775,DNA-directed RNA polymerase II subunit RPB1 GN=Polr2a PE=1 SV=3 - [RPB1_MOUSE],32,44,23.0,0.231,0.011,0.028,0.005,0.017,0.028,0.067,0.200,0.220,0.194
Q3UIL6-2,Isoform 2 of Pleckstrin homology domain-containing family A member 7 GN=Plekha7 - [PKHA7_MOUSE],32,44,36.7,0.033,0.186,0.128,0.076,0.126,0.144,0.097,0.091,0.047,0.072
Q03265,"ATP synthase subunit alpha, mitochondrial GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]",31,108,68.4,0.000,0.016,0.023,0.014,0.035,0.094,0.261,0.248,0.076,0.234
Q91YQ5,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 GN=Rpn1 PE=2 SV=1 - [RPN1_MOUSE],31,69,58.2,0.000,0.040,0.054,0.037,0.101,0.220,0.146,0.194,0.043,0.165
P37913,DNA ligase 1 GN=Lig1 PE=1 SV=2 - [DNLI1_MOUSE],31,59,49.6,0.189,0.010,0.023,0.000,0.010,0.028,0.100,0.296,0.074,0.270
Q60864,Stress-induced-phosphoprotein 1 GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE],31,59,52.7,0.581,0.114,0.103,0.046,0.057,0.047,0.017,0.014,0.009,0.011
Q8BK67,Protein RCC2 GN=Rcc2 PE=2 SV=1 - [RCC2_MOUSE],31,57,67.5,0.091,0.019,0.024,0.008,0.020,0.035,0.087,0.282,0.180,0.253
Q61191,Host cell factor 1 GN=Hcfc1 PE=1 SV=2 - [HCFC1_MOUSE],31,52,22.7,0.155,0.013,0.020,0.004,0.015,0.029,0.073,0.204,0.278,0.209
P27546,Microtubule-associated protein 4 GN=Map4 PE=1 SV=3 - [MAP4_MOUSE],31,46,33.5,0.137,0.060,0.050,0.023,0.041,0.061,0.098,0.244,0.082,0.203
Q3U7R1,Extended synaptotagmin-1 GN=Esyt1 PE=2 SV=2 - [ESYT1_MOUSE],31,43,39.9,0.000,0.055,0.071,0.065,0.213,0.221,0.098,0.155,0.004,0.119
Q7TMY8,E3 ubiquitin-protein ligase HUWE1 GN=Huwe1 PE=1 SV=5 - [HUWE1_MOUSE],31,43,15.2,0.573,0.088,0.101,0.040,0.051,0.050,0.024,0.023,0.015,0.034
P33174,Chromosome-associated kinesin KIF4 GN=Kif4 PE=2 SV=3 - [KIF4_MOUSE],31,42,34.4,0.013,0.019,0.017,0.009,0.017,0.036,0.129,0.280,0.203,0.276
Q9EPU0,Regulator of nonsense transcripts 1 GN=Upf1 PE=1 SV=2 - [RENT1_MOUSE],31,42,43.9,0.272,0.094,0.089,0.041,0.059,0.062,0.051,0.114,0.074,0.145
P27773,Protein disulfide-isomerase A3 GN=Pdia3 PE=1 SV=2 - [PDIA3_MOUSE],30,96,64.8,0.026,0.066,0.066,0.057,0.146,0.242,0.134,0.140,0.005,0.119
Q9D8E6,60S ribosomal protein L4 GN=Rpl4 PE=1 SV=3 - [RL4_MOUSE],30,70,51.8,0.171,0.055,0.054,0.035,0.071,0.121,0.084,0.109,0.089,0.211
O88477,Insulin-like growth factor 2 mRNA-binding protein 1 GN=Igf2bp1 PE=1 SV=1 - [IF2B1_MOUSE],30,65,57.0,0.153,0.035,0.040,0.018,0.042,0.090,0.110,0.160,0.153,0.201
P11688,Integrin alpha-5 GN=Itga5 PE=1 SV=3 - [ITA5_MOUSE],30,59,40.8,0.000,0.326,0.212,0.114,0.167,0.103,0.041,0.023,0.000,0.014
Q99NB9,Splicing factor 3B subunit 1 GN=Sf3b1 PE=1 SV=1 - [SF3B1_MOUSE],30,55,36.7,0.220,0.008,0.024,0.005,0.012,0.018,0.034,0.080,0.381,0.217
Q69ZN7;Q69ZN7-2,Myoferlin GN=Myof PE=1 SV=2 - [MYOF_MOUSE]|Isoform 2 of Myoferlin GN=Myof - [MYOF_MOUSE],30,54,45.4,0.000,0.074,0.190,0.159,0.287,0.145,0.058,0.049,0.000,0.038
Q8BGQ7,"Alanine--tRNA ligase, cytoplasmic GN=Aars PE=1 SV=1 - [SYAC_MOUSE]",30,50,44.2,0.480,0.148,0.131,0.061,0.078,0.045,0.016,0.017,0.006,0.016
Q3URK3,Methylcytosine dioxygenase TET1 GN=Tet1 PE=1 SV=2 - [TET1_MOUSE],30,48,18.1,0.039,0.000,0.003,0.000,0.006,0.028,0.129,0.275,0.240,0.281
Q811D0-3,Isoform 3 of Disks large homolog 1 GN=Dlg1 - [DLG1_MOUSE],30,47,42.7,0.010,0.277,0.175,0.109,0.147,0.123,0.061,0.052,0.018,0.029
P25976,Nucleolar transcription factor 1 GN=Ubtf PE=1 SV=1 - [UBF1_MOUSE],30,46,32.8,0.016,0.003,0.005,0.003,0.013,0.036,0.134,0.335,0.142,0.312
Q8K224,N-acetyltransferase 10 GN=Nat10 PE=2 SV=1 - [NAT10_MOUSE],30,42,43.1,0.155,0.013,0.022,0.006,0.019,0.024,0.048,0.159,0.359,0.196
A2A8L5,Receptor-type tyrosine-protein phosphatase F GN=Ptprf PE=1 SV=1 - [PTPRF_MOUSE],30,38,31.8,0.000,0.235,0.216,0.119,0.215,0.109,0.038,0.042,0.000,0.026
Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 GN=Lrp1 PE=1 SV=1 - [LRP1_MOUSE],30,32,11.6,0.008,0.067,0.118,0.121,0.401,0.158,0.057,0.039,0.000,0.031
Q03145,Ephrin type-A receptor 2 GN=Epha2 PE=1 SV=3 - [EPHA2_MOUSE],29,66,47.6,0.000,0.299,0.205,0.133,0.174,0.102,0.043,0.027,0.003,0.014
Q8BKC5,Importin-5 GN=Ipo5 PE=1 SV=3 - [IPO5_MOUSE],29,64,43.7,0.574,0.088,0.091,0.044,0.053,0.047,0.022,0.029,0.026,0.027
P46460,Vesicle-fusing ATPase GN=Nsf PE=1 SV=2 - [NSF_MOUSE],29,62,46.9,0.038,0.117,0.099,0.077,0.145,0.116,0.080,0.153,0.018,0.155
P26043,Radixin GN=Rdx PE=1 SV=3 - [RADI_MOUSE],29,61,50.3,0.028,0.315,0.201,0.124,0.158,0.081,0.029,0.029,0.017,0.018
