IPI accession no.,Protein name, MascotScore.1 , NbPeptides.1,NbQuantAC.1,NbQuantBD.1,AC114.1,AC115.1,AC116.1,AC117.1,BD114.1,BD115.1,BD116.1,BD117.1, MascotScore.2 , NbPeptides.2,NbQuantAC.2,NbQuantBD.2,AC114.2,AC115.2,AC116.2,AC117.2,BD114.2,BD115.2,BD116.2,BD117.2
IPI00570986.2,Vacuolar protein sorting 26 homolog A ,274.43,5,13,20,0.158,0.311,0.319,0.212,0.181,0.337,0.269,0.212,228.56,5,11,8,0.305,0.326,0.170,0.200,0.107,0.229,0.363,0.301
IPI00570997.3,Ubiquitin carboxyl-terminal hydrolase-6,200.43,4,12,20,0.119,0.300,0.436,0.145,0.131,0.415,0.245,0.209,176.05,4,12,9,0.136,0.343,0.358,0.163,0.118,0.256,0.340,0.286
IPI00571040.1,"Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)",192.37,4,3,11,0.195,0.163,0.313,0.329,0.186,0.262,0.262,0.291,240.4,5,14,15,0.233,0.315,0.205,0.248,0.131,0.187,0.348,0.334
IPI00571043.1,"Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",226.31,4,10,2,0.147,0.143,0.126,0.585,0.387,0.167,0.150,0.297,199.66,4,11,1,0.201,0.207,0.093,0.499,0.084,0.110,0.448,0.359
IPI00571165.2,Similar to acyl-CoA hydrolase,284.92,5,9,17,0.164,0.181,0.382,0.273,0.156,0.365,0.246,0.233,208.08,4,2,9,0.200,0.271,0.351,0.179,0.117,0.216,0.332,0.336
IPI00571172.2,"Similar to cytochrome P450, family 20, subfamily A, polypeptide 1",690.67,11,35,61,0.086,0.163,0.270,0.481,0.143,0.171,0.257,0.429,464.87,9,29,6,0.227,0.270,0.241,0.262,0.099,0.124,0.430,0.346
IPI00571239.1,Transaldolase 1,428.62,9,15,37,0.127,0.139,0.505,0.229,0.111,0.386,0.263,0.240,475.02,11,40,41,0.158,0.243,0.375,0.224,0.122,0.249,0.334,0.295
IPI00571269.3,"Coatomer protein complex, subunit gamma",614.24,11,26,17,0.137,0.126,0.266,0.471,0.163,0.173,0.275,0.389,452,9,25,17,0.201,0.320,0.132,0.347,0.131,0.119,0.363,0.387
IPI00571288.3,Similar to ubiquinol--cytochrome c reductase,624.52,11,31,15,0.092,0.107,0.111,0.690,0.142,0.201,0.211,0.445,671.85,13,54,21,0.144,0.180,0.088,0.588,0.125,0.112,0.375,0.387
IPI00571305.3,GTPase NRas precursor,274.13,5,8,18,0.473,0.227,0.180,0.121,0.515,0.134,0.148,0.203,216.19,5,13,4,0.523,0.246,0.083,0.148,0.316,0.108,0.318,0.259
IPI00571322.1,Similar to hDj9,172.5,3,6,15,0.130,0.198,0.312,0.360,0.149,0.177,0.264,0.411,76.18,1,3,3,0.176,0.242,0.266,0.315,0.151,0.137,0.316,0.397
IPI00571345.1,Prohibitin2,980.32,17,76,102,0.031,0.065,0.111,0.793,0.113,0.155,0.211,0.520,664.25,12,82,17,0.145,0.161,0.064,0.629,0.116,0.091,0.404,0.389
IPI00571358.2,Similar to LOC495253 protein,169.4,3,6,17,0.118,0.151,0.197,0.534,0.132,0.253,0.256,0.359,180.82,3,13,11,0.204,0.342,0.107,0.347,0.137,0.185,0.353,0.325
IPI00571386.2,50 kDa protein,422.13,9,14,21,0.196,0.141,0.268,0.395,0.255,0.173,0.278,0.295,201.29,5,11,12,0.314,0.272,0.133,0.281,0.197,0.142,0.309,0.352
IPI00571419.1,Sec6 protein,244.4,5,7,11,0.394,0.190,0.208,0.207,0.406,0.189,0.183,0.221,83.98,2,8,3,0.510,0.238,0.100,0.153,0.213,0.175,0.297,0.316
IPI00571423.1,DEK oncogene (DNA binding),106.11,2,5,2,0.104,0.259,0.224,0.413,0.134,0.226,0.261,0.381,165.96,4,10,1,0.153,0.438,0.117,0.292,0.115,0.178,0.314,0.392
IPI00571469.6,Isoform 2 of F-actin capping protein subunit beta isoforms 1 and 2,468.82,8,21,46,0.269,0.218,0.309,0.204,0.270,0.271,0.230,0.229,455.13,8,37,31,0.320,0.295,0.143,0.243,0.192,0.194,0.323,0.290
IPI00571478.5,Ras-related protein Rab-6A,521.25,9,33,63,0.140,0.260,0.232,0.368,0.246,0.299,0.194,0.261,320.83,7,41,13,0.325,0.343,0.187,0.145,0.177,0.219,0.331,0.273
IPI00571483.3,54 kDa protein,173.24,3,3,1,0.145,0.201,0.398,0.256,0.139,0.231,0.276,0.354,107.75,2,3,1,0.111,0.176,0.315,0.399,0.114,0.218,0.367,0.301
IPI00571485.3,DEAD (Asp-Glu-Ala-As) box polypeptide 19 ,197.02,4,6,13,0.158,0.174,0.354,0.314,0.164,0.273,0.265,0.297,131.21,3,3,8,0.187,0.190,0.328,0.295,0.136,0.213,0.340,0.312
IPI00571542.2,Similar to LOC495074 protein,150.48,3,2,5,0.134,0.203,0.361,0.303,0.108,0.143,0.256,0.493,89.36,2,5,3,0.194,0.220,0.256,0.331,0.110,0.181,0.308,0.401
IPI00571581.1,Sulfhydryl oxidase 1 precursor,201.35,5,4,6,0.113,0.277,0.290,0.322,0.305,0.286,0.176,0.234,65.03,1,1,1,0.222,0.441,0.252,0.085,0.146,0.178,0.307,0.369
IPI00571593.1,Similar to thioredoxin-like,242.65,5,14,19,0.177,0.206,0.388,0.230,0.169,0.359,0.241,0.231,384.09,8,31,23,0.202,0.311,0.254,0.233,0.128,0.243,0.332,0.297
IPI00571658.1,Similar to aldose reductase,206.3,5,2,3,0.150,0.228,0.378,0.245,0.105,0.389,0.237,0.270,240.94,5,3,1,0.183,0.283,0.331,0.204,0.103,0.244,0.332,0.321
IPI00571685.2,"Similar to Interleukin enhancer binding factor 2, 45kDa",241.56,5,4,5,0.141,0.098,0.268,0.494,0.138,0.277,0.282,0.304,123.78,3,5,3,0.200,0.311,0.140,0.348,0.140,0.151,0.341,0.368
IPI00571711.1,Adenylate kinase isoenzyme 1,189.85,3,9,7,0.163,0.283,0.367,0.186,0.144,0.364,0.243,0.249,162.74,3,5,7,0.178,0.304,0.322,0.197,0.133,0.249,0.309,0.309
IPI00571732.1,SWAN ribonucleoprotein,178.21,4,7,9,0.086,0.099,0.455,0.360,0.091,0.355,0.290,0.264,207.97,5,9,12,0.118,0.157,0.383,0.343,0.097,0.214,0.372,0.317
IPI00571756.2,Similar to MMS19,191.9,4,3,5,0.235,0.140,0.344,0.280,0.131,0.255,0.278,0.335,47.38,1,2,6,0.193,0.175,0.353,0.280,0.125,0.157,0.367,0.352
IPI00571767.2,Similar to KIAA0051,1219.6,23,46,33,0.283,0.152,0.279,0.287,0.288,0.234,0.240,0.238,679.99,15,33,37,0.352,0.271,0.166,0.211,0.198,0.141,0.339,0.323
IPI00571797.3,"Amyloid beta (a4) precursor protein-binding, family b, member 1 interacting protein",304.52,6,4,12,0.201,0.166,0.107,0.487,0.149,0.168,0.195,7.924,6,7,5,0.405,0.237,0.200,0.157,0.372,0.138,0.255,0.236,13.567
IPI00571823.3,"Similar to DNA segment, Chr 10, Wayne State University 52, expressed",357.88,7,10,12,0.170,0.192,0.220,0.418,0.211,0.216,0.248,0.326,306.43,7,14,10,0.268,0.349,0.142,0.241,0.148,0.196,0.357,0.299
IPI00571847.2,Similar to sec7 domain family member,329.04,7,8,12,0.172,0.317,0.344,0.168,0.195,0.376,0.239,0.191,209.76,4,13,3,0.159,0.332,0.258,0.251,0.131,0.166,0.372,0.332
IPI00571857.2,Hypothetical protein,209.87,4,5,11,0.069,0.303,0.416,0.212,0.118,0.475,0.186,0.220,228.19,5,6,3,0.249,0.460,0.174,0.118,0.139,0.227,0.389,0.245
IPI00571917.2,Similar to EPI64,282.19,5,12,22,0.538,0.236,0.121,0.105,0.525,0.142,0.158,0.174,214.14,5,11,8,0.492,0.206,0.135,0.166,0.414,0.131,0.228,0.228
IPI00571937.1,Ras-related protein Rab-33B,99,2,8,19,0.194,0.227,0.229,0.350,0.319,0.247,0.197,0.236,102.53,2,11,6,0.486,0.250,0.149,0.114,0.241,0.202,0.300,0.256
IPI00572001.3,"Similar to inositol 1,4,5-triphosphate receptor, type 2",358.09,8,3,16,0.149,0.172,0.220,0.459,0.162,0.186,0.249,0.403,107.4,3,2,4,0.272,0.274,0.241,0.211,0.150,0.169,0.316,0.365
IPI00572003.1,"Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6",102.63,2,4,6,0.160,0.257,0.384,0.199,0.145,0.296,0.271,0.289,128.65,3,6,6,0.149,0.291,0.347,0.213,0.113,0.260,0.339,0.288
IPI00572019.2,127 kDa protein,920.12,16,30,72,0.103,0.261,0.377,0.258,0.110,0.480,0.204,0.206,746.33,14,42,16,0.187,0.396,0.271,0.147,0.112,0.287,0.384,0.217
IPI00572165.3,Myosin-9,6369.36,110,453,629,0.293,0.378,0.180,0.149,0.309,0.169,0.257,0.266,5723.79,104,557,478,0.355,0.337,0.106,0.202,0.222,0.113,0.338,0.327
IPI00572174.2,115 kDa protein,1233.44,21,75,7,0.057,0.076,0.101,0.765,0.173,0.197,0.224,0.405,886.41,18,48,20,0.198,0.201,0.089,0.512,0.095,0.118,0.402,0.385
IPI00572209.3,Hypothetical protein,162.66,3,8,3,0.084,0.143,0.232,0.542,0.124,0.164,0.273,0.439,138.84,3,4,6,0.203,0.285,0.226,0.285,0.111,0.139,0.413,0.337
IPI00572236.1,"Adaptor-related protein complex 2, mu 1 subunit",627.23,13,33,94,0.393,0.272,0.184,0.151,0.364,0.193,0.213,0.229,456.48,11,52,30,0.485,0.259,0.121,0.135,0.363,0.132,0.257,0.247
IPI00572250.1,Integrin alpha-6 precursor,458.84,9,19,42,0.351,0.260,0.173,0.215,0.429,0.200,0.163,0.209,320.69,7,25,2,0.526,0.246,0.115,0.113,0.427,0.139,0.251,0.184
IPI00572256.3,Rho GTPase activating protein 1,471.35,10,15,19,0.150,0.183,0.280,0.388,0.179,0.271,0.243,0.307,383.18,8,21,11,0.167,0.273,0.285,0.275,0.139,0.211,0.332,0.318
IPI00572272.2,Similar to endothelial-monocyte activating polypeptide II,496.81,11,22,12,0.158,0.118,0.190,0.535,0.245,0.170,0.236,0.348,459.86,10,28,12,0.189,0.292,0.122,0.397,0.162,0.124,0.351,0.362
IPI00572328.1,Similar to MAPKK like protein kinase,145.45,3,4,4,0.165,0.242,0.414,0.180,0.119,0.379,0.252,0.249,141.45,3,3,7,0.157,0.334,0.348,0.160,0.109,0.238,0.334,0.318
IPI00572461.1,Alpha-actinin-4,1520.84,27,48,117,0.476,0.173,0.224,0.126,0.463,0.162,0.183,0.192,1229.15,23,66,50,0.462,0.219,0.150,0.169,0.321,0.131,0.278,0.271
IPI00572498.1,Similar to C15orf4,96.01,2,3,1,0.125,0.135,0.220,0.519,0.147,0.254,0.248,0.351,170.67,4,7,2,0.167,0.175,0.191,0.467,0.101,0.151,0.321,0.429
IPI00572509.1,Nicastrin,502.96,9,22,47,0.303,0.297,0.205,0.195,0.429,0.207,0.163,0.201,459.86,9,31,3,0.443,0.260,0.191,0.107,0.309,0.162,0.335,0.193
IPI00572560.3,Similar to vesicle soluble NSF attachment protein receptor VTI2,296.23,6,5,37,0.191,0.319,0.308,0.182,0.206,0.341,0.241,0.212,101.01,2,11,1,0.286,0.318,0.299,0.097,0.155,0.341,0.371,0.133
IPI00572576.2,Similar to Methylosome subunit pICln,96.95,2,6,3,0.170,0.191,0.352,0.287,0.171,0.320,0.260,0.249,75.53,2,6,2,0.162,0.209,0.343,0.286,0.086,0.223,0.325,0.366
IPI00572581.1,RAN binding protein 1,267.74,5,19,63,0.154,0.201,0.363,0.282,0.161,0.350,0.256,0.233,304.51,5,30,53,0.227,0.315,0.233,0.223,0.111,0.285,0.319,0.285
IPI00572589.2,Similar to U-snRNP-associated cyclophilin,94.53,2,3,6,0.123,0.188,0.316,0.373,0.142,0.268,0.239,0.351,79.19,2,5,4,0.193,0.303,0.260,0.244,0.130,0.150,0.329,0.391
IPI00572635.2,Similar to Ran_GTP binding protein 5,450.72,9,10,24,0.186,0.134,0.391,0.289,0.164,0.250,0.299,0.287,632.11,12,36,47,0.214,0.263,0.224,0.299,0.120,0.177,0.377,0.326
IPI00572768.1,Similar to tropomodulin 2,95.28,2,4,4,0.121,0.206,0.238,0.436,0.085,0.209,0.309,0.397,94.5,2,3,7,0.146,0.212,0.218,0.424,0.164,0.125,0.342,0.369
IPI00572788.1,Similar to 40S ribosomal protein S2,703.86,13,53,94,0.148,0.142,0.214,0.497,0.182,0.170,0.222,0.426,538.07,10,81,59,0.248,0.402,0.115,0.235,0.157,0.119,0.414,0.310
IPI00572808.2,Similar to Niemann-Pick C1,1121.51,20,145,233,0.096,0.360,0.357,0.187,0.138,0.341,0.303,0.219,772.17,15,116,64,0.214,0.330,0.337,0.118,0.089,0.184,0.462,0.264
IPI00572822.2,"Similar to splicing factor 3b, subunit 1",414.32,9,7,5,0.136,0.126,0.182,0.556,0.171,0.226,0.247,0.356,235.55,5,9,3,0.182,0.271,0.159,0.388,0.130,0.179,0.361,0.331
IPI00572837.1,H/ACA ribonucleoprotein complex subunit 4,376.75,8,7,11,0.111,0.161,0.212,0.515,0.145,0.199,0.260,0.396,87.33,2,6,3,0.186,0.221,0.261,0.333,0.152,0.149,0.349,0.350
IPI00572973.2,Similar to UBX domain containing 8,275.41,5,18,30,0.081,0.121,0.211,0.586,0.128,0.176,0.270,0.426,243.41,5,21,5,0.178,0.213,0.227,0.382,0.089,0.097,0.435,0.380
IPI00572985.1,Chloride intracellular channel 2 ,547.14,11,41,102,0.241,0.260,0.350,0.148,0.242,0.341,0.224,0.193,508.49,12,75,75,0.292,0.332,0.213,0.163,0.172,0.241,0.321,0.266
IPI00573054.1,Hypothetical protein,142.97,3,4,8,0.169,0.247,0.389,0.196,0.195,0.267,0.247,0.291,143.44,3,10,3,0.255,0.346,0.209,0.191,0.177,0.233,0.293,0.297
IPI00573116.2,Hypothetical protein,291.15,4,30,25,0.118,0.122,0.223,0.537,0.155,0.203,0.257,0.385,203.4,4,19,17,0.142,0.417,0.119,0.322,0.121,0.103,0.448,0.329
IPI00573207.3,Similar to nucleoplasmin-3,129.87,2,8,14,0.078,0.131,0.435,0.356,0.074,0.282,0.289,0.355,185.88,3,12,13,0.173,0.353,0.221,0.253,0.122,0.186,0.338,0.354
IPI00573243.1,Similar to guanine nucleotide binding protein alpha 13,359.93,6,41,58,0.416,0.264,0.164,0.156,0.540,0.151,0.132,0.178,439.61,8,52,30,0.593,0.237,0.073,0.097,0.383,0.115,0.262,0.241
IPI00573261.3,Programmed cell death 6 interacting protein ,1491.2,29,2,2,0.241,0.252,0.237,0.271,0.202,0.175,0.175,0.450,1217.71,26,1,5,0.221,0.230,0.160,0.389,0.174,0.128,0.351,0.347
IPI00573336.3,Syntaxin-6,112.11,2,3,21,0.149,0.392,0.241,0.218,0.278,0.299,0.216,0.207,149.82,3,12,2,0.332,0.311,0.221,0.136,0.222,0.195,0.372,0.213
IPI00573341.1,Beta-tubulin cofactor C,150.54,3,4,1,0.179,0.211,0.319,0.291,0.104,0.313,0.255,0.327,213.71,4,10,8,0.197,0.293,0.188,0.322,0.135,0.242,0.336,0.287
IPI00573447.2,41 kDa protein,507.62,10,69,34,0.039,0.063,0.098,0.800,0.097,0.162,0.241,0.500,432.65,9,52,16,0.088,0.143,0.056,0.712,0.078,0.087,0.391,0.444
IPI00573494.3,"Splicing factor, arginine/serine-rich 1",556.59,11,40,70,0.095,0.130,0.410,0.365,0.101,0.306,0.286,0.306,339.73,8,30,23,0.163,0.353,0.157,0.327,0.114,0.169,0.383,0.334
IPI00573507.1,Fumarate hydratase ,458.74,9,17,23,0.153,0.131,0.245,0.472,0.183,0.179,0.282,0.356,636.05,12,43,27,0.173,0.221,0.186,0.420,0.129,0.117,0.349,0.406
IPI00573561.1,Hypothetical protein,180.81,4,22,56,0.108,0.110,0.213,0.570,0.193,0.173,0.227,0.408,259.33,5,29,28,0.279,0.340,0.143,0.237,0.136,0.107,0.431,0.326
IPI00573563.1,Hypothetical protein,586.5,11,2,7,0.250,0.198,0.376,0.177,0.280,0.210,0.193,0.317,383.22,7,75,39,0.349,0.295,0.162,0.194,0.216,0.199,0.309,0.276
IPI00573569.3,Kinesin family member 11 ,418.17,8,9,14,0.184,0.120,0.401,0.295,0.182,0.245,0.298,0.275,494.5,10,8,20,0.173,0.146,0.438,0.244,0.102,0.174,0.375,0.349
IPI00573597.3,Heat shock 70kDa protein 4-like ,960.74,16,34,38,0.201,0.123,0.403,0.273,0.182,0.293,0.276,0.249,831.47,15,27,41,0.215,0.231,0.276,0.278,0.127,0.182,0.369,0.322
IPI00573648.3,"Similar to CTAGE family, member 5",374.93,8,5,25,0.114,0.145,0.174,0.566,0.171,0.162,0.263,0.404,115.09,3,4,12,0.233,0.252,0.260,0.255,0.127,0.112,0.398,0.362
IPI00573658.1,Hypothetical protein (Fragment),413.73,7,16,6,0.150,0.139,0.185,0.526,0.194,0.150,0.302,0.355,214.39,5,13,3,0.214,0.321,0.171,0.294,0.203,0.147,0.315,0.335
IPI00573705.2,Similar to retinoblastoma-associated factor 600,200.32,4,6,11,0.198,0.131,0.232,0.439,0.188,0.263,0.293,0.256,103.67,2,8,4,0.365,0.295,0.129,0.212,0.165,0.174,0.355,0.306
IPI00573727.1,Nucleobindin 2,750.11,13,33,78,0.132,0.459,0.270,0.139,0.169,0.404,0.196,0.231,1140.54,20,100,25,0.266,0.472,0.158,0.103,0.214,0.234,0.300,0.252
IPI00573732.2,Alanyl-tRNA synthetase ,932.34,19,30,42,0.153,0.134,0.411,0.301,0.156,0.283,0.280,0.281,542.81,11,38,35,0.249,0.215,0.307,0.228,0.109,0.181,0.374,0.336
IPI00573759.1,"DnaJ (Hsp40) homolog, subfamily A, member 2",239.04,5,8,11,0.197,0.143,0.264,0.396,0.225,0.200,0.261,0.315,312.46,7,14,14,0.245,0.260,0.159,0.335,0.163,0.145,0.332,0.361
IPI00573787.1,Heterogeneous nuclear ribonucleoprotein H3 (2H9),445.33,7,21,27,0.096,0.102,0.382,0.420,0.114,0.277,0.279,0.330,453.52,8,31,23,0.158,0.435,0.132,0.275,0.090,0.148,0.439,0.322
IPI00573813.1,Serine/arginine repetitive matrix protein 1,160.39,4,8,2,0.132,0.130,0.224,0.514,0.290,0.174,0.212,0.325,160.96,4,5,4,0.230,0.255,0.162,0.352,0.116,0.142,0.339,0.404
IPI00573868.1,Ribonuclease/angiogenin inhibitor 1,213.67,3,8,5,0.184,0.176,0.338,0.303,0.174,0.301,0.263,0.262,224.22,4,8,7,0.168,0.215,0.360,0.258,0.121,0.234,0.329,0.316
IPI00573874.1,"Adaptor-related protein complex 1, mu 1 subunit ",379.59,8,19,29,0.228,0.211,0.297,0.265,0.249,0.219,0.273,0.258,256.97,5,11,15,0.244,0.197,0.292,0.266,0.166,0.152,0.338,0.344
IPI00573893.1, Microtubule-associated protein RP/EB family member 1,451.87,8,17,31,0.189,0.195,0.351,0.265,0.197,0.270,0.243,0.290,421.88,8,42,33,0.237,0.283,0.236,0.245,0.134,0.211,0.354,0.300
IPI00573911.3,Ribosome binding protein 1 homolog 180kDa,600.02,13,8,34,0.189,0.178,0.245,0.388,0.155,0.183,0.264,0.398,287.22,6,5,2,0.254,0.274,0.199,0.272,0.098,0.082,0.475,0.347
IPI00573912.2,Similar to Guanine nucleotide binding protein-like 3,109.24,2,3,11,0.127,0.121,0.393,0.358,0.159,0.228,0.254,0.359,135.96,3,12,3,0.207,0.303,0.229,0.261,0.109,0.166,0.405,0.321
IPI00573927.1,Thymosin beta 4,83.97,2,13,20,0.246,0.234,0.274,0.246,0.221,0.168,0.241,0.370,143.63,4,14,11,0.221,0.298,0.314,0.166,0.158,0.277,0.326,0.240
IPI00573965.3,Similar to protein 4.1-G,1531.92,27,141,131,0.490,0.241,0.135,0.134,0.559,0.148,0.135,0.158,1289.06,23,120,112,0.513,0.233,0.085,0.169,0.410,0.127,0.245,0.218
IPI00573987.3,CFR-associated protein p70,921.92,18,36,15,0.072,0.088,0.109,0.731,0.137,0.151,0.234,0.478,776.85,18,69,30,0.169,0.272,0.092,0.466,0.118,0.118,0.369,0.395
IPI00574033.2,Similar to KIAA1830 protein,672.6,11,29,62,0.104,0.156,0.281,0.460,0.126,0.178,0.281,0.415,287.52,6,23,27,0.267,0.255,0.248,0.230,0.091,0.112,0.422,0.375
IPI00574075.2,"Hypothetical protein, partial",255.23,6,6,7,0.404,0.192,0.233,0.171,0.330,0.165,0.220,0.285,171.91,4,6,11,0.445,0.198,0.203,0.154,0.273,0.150,0.288,0.289
IPI00574108.1,Seryl-tRNA synthetase ,544.79,11,30,50,0.164,0.152,0.436,0.247,0.153,0.329,0.281,0.236,368.88,8,19,28,0.191,0.250,0.314,0.245,0.129,0.195,0.358,0.319
IPI00574122.1,Similar to Tubulin-specific chaperone A,147.38,3,6,16,0.193,0.279,0.307,0.221,0.194,0.367,0.229,0.210,255.77,5,16,13,0.202,0.308,0.274,0.216,0.166,0.261,0.303,0.271
IPI00574127.3,Similar to yeast sds22 homolog,275.95,6,8,25,0.132,0.247,0.437,0.185,0.137,0.358,0.249,0.256,411.12,9,17,14,0.155,0.280,0.357,0.208,0.115,0.263,0.329,0.293
IPI00574153.2,Phosphoglycerate kinase,1095.77,21,160,347,0.143,0.217,0.370,0.270,0.144,0.359,0.253,0.244,1033.61,21,216,204,0.234,0.368,0.189,0.209,0.113,0.232,0.371,0.284
IPI00574214.1,Signal recognition particle 68kDa ,449.67,9,14,23,0.140,0.144,0.248,0.468,0.142,0.132,0.248,0.477,415.16,10,25,12,0.196,0.281,0.140,0.382,0.126,0.131,0.339,0.404
IPI00574217.3,Kinectin,3490.76,62,8,6,0.070,0.111,0.228,0.591,0.088,0.120,0.296,0.496,2560.07,47,2,5,0.198,0.223,0.162,0.418,0.105,0.099,0.410,0.386
IPI00574247.2,Similar to Psmb3 protein,173.18,3,8,4,0.119,0.124,0.151,0.606,0.211,0.206,0.238,0.346,90.1,2,5,3,0.172,0.387,0.142,0.299,0.151,0.105,0.442,0.303
IPI00574295.1,Nicalin precursor,517.42,9,8,36,0.090,0.143,0.220,0.547,0.133,0.143,0.245,0.479,211.73,5,4,2,0.252,0.281,0.192,0.276,0.087,0.102,0.373,0.439
IPI00574303.1,Protein tyrosine phosphatase lamda precursor,1511.92,27,20,16,0.302,0.253,0.173,0.272,0.489,0.135,0.145,0.231,1225.04,24,9,6,0.593,0.227,0.067,0.113,0.513,0.105,0.204,0.179
IPI00574350.3,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,222.91,5,6,7,0.207,0.233,0.379,0.182,0.203,0.343,0.228,0.226,198.45,4,6,4,0.180,0.284,0.328,0.207,0.104,0.272,0.329,0.296
IPI00574362.2,Similar to bifunctional ATP sulfurylase/adenosine 5-phosphosulfate kinase,394.62,8,17,12,0.130,0.108,0.428,0.334,0.141,0.261,0.308,0.290,291.56,6,12,9,0.224,0.293,0.225,0.258,0.116,0.190,0.379,0.315
IPI00574471.2,Similar to eIF-4E,166.84,3,11,15,0.149,0.203,0.379,0.269,0.177,0.335,0.239,0.249,169.99,3,11,7,0.206,0.339,0.219,0.237,0.132,0.216,0.338,0.314
IPI00574482.1,Plastin 3 (T isoform),837.09,16,25,49,0.233,0.174,0.387,0.206,0.207,0.332,0.236,0.225,679.55,13,34,41,0.318,0.234,0.234,0.213,0.162,0.204,0.333,0.301
IPI00574494.3,"TSR1, 20S rRNA accumulation, homolog",238.75,5,5,7,0.112,0.095,0.435,0.358,0.126,0.267,0.300,0.306,73.55,1,6,15,0.152,0.176,0.369,0.302,0.112,0.166,0.382,0.341
IPI00574506.5,46 kDa protein,550.01,8,18,40,0.165,0.133,0.402,0.300,0.176,0.232,0.307,0.285,430.89,7,25,21,0.228,0.311,0.169,0.291,0.123,0.137,0.400,0.340
IPI00574552.2,Similar to nonselective sodium potassium/proton exchanger,263.21,5,18,19,0.164,0.357,0.265,0.214,0.261,0.293,0.210,0.237,55.67,1,5,6,0.304,0.362,0.179,0.156,0.193,0.183,0.364,0.261
IPI00574555.1,Tetratricopeptide repeat domain 7B ,271.32,5,9,7,0.420,0.210,0.193,0.177,0.484,0.171,0.174,0.171,275.2,6,12,4,0.526,0.259,0.093,0.122,0.332,0.121,0.296,0.252
IPI00574581.3,Similar to CDK5 regulatory subunit associated protein 1-like 1,210.71,4,7,23,0.074,0.126,0.292,0.507,0.145,0.186,0.259,0.410,347.5,8,14,7,0.214,0.262,0.286,0.238,0.119,0.129,0.428,0.324
IPI00574602.2,Hypothetical protein,319.79,5,17,34,0.163,0.158,0.268,0.410,0.214,0.196,0.225,0.365,307.64,5,19,16,0.254,0.385,0.110,0.251,0.123,0.111,0.396,0.369
