Lead gene name,Lead ID,Lead protein name,Majority protein IDs,Organellar markers,Profiled in how many Control Maps,Log2 Ratio H/L Con1_03K,Log2 Ratio H/L Con1_06K,Log2 Ratio H/L Con1_12K,Log2 Ratio H/L Con1_24K,Log2 Ratio H/L Con1_80K,Log2 Ratio H/L Con2_03K,Log2 Ratio H/L Con2_06K,Log2 Ratio H/L Con2_12K,Log2 Ratio H/L Con2_24K,Log2 Ratio H/L Con2_80K,Log2 Ratio H/L Con3_03K,Log2 Ratio H/L Con3_06K,Log2 Ratio H/L Con3_12K,Log2 Ratio H/L Con3_24K,Log2 Ratio H/L Con3_80K
ABCC3,O15438,Canalicular multispecific organic anion transporter 2,O15438;O15438-4;O15438-2,,1,,,,,,-0.664105192,-0.441340516,-0.231430302,1.365076587,0.994434904,,,,,
ABCC4,O15439,Multidrug resistance-associated protein 4,O15439;O15439-2;O15439-3;O15439-4,,3,-0.814158821,-0.457771671,0.131194352,1.299010149,2.568907674,-0.595620004,-0.404992918,0.203639694,1.542307584,3.038401062,-0.652946698,-0.353745161,0.184851546,1.385927957,1.833254438
ABCC5,O15440,Multidrug resistance-associated protein 5,O15440;O15440-5,,2,,,,,,-0.313763944,-0.550274887,-0.264339192,0.812292845,1.05165052,0.032806145,-0.486731613,-0.237829805,0.770448505,1.258398318
ABCD1,P33897,ATP-binding cassette sub-family D member 1,P33897,Peroxisome,3,0.655168618,-0.667332162,-0.65469447,0.976803526,3.373509016,0.682573297,-0.63612247,-0.454901463,1.308360875,3.251037343,0.738983955,-0.498708635,-0.701529364,1.069152202,3.781149852
ABCD3,P28288,ATP-binding cassette sub-family D member 3,P28288;P28288-2,Peroxisome,3,0.64745267,-0.724826039,-0.747342136,0.850879415,3.613413781,0.692873507,-0.703900925,-0.619270551,1.285106251,3.763517807,0.824482748,-0.591570728,-0.645028856,1.174406419,3.805602014
ABCE1,P61221,ATP-binding cassette sub-family E member 1,P61221,,3,1.981998742,1.68540198,0.16774328,-0.703055169,-1.121957428,1.850279367,1.222804561,-0.06303234,-0.785004865,-1.229382353,1.767188654,1.137831372,-0.141191434,-0.998586851,-1.414845153
ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1,Q8NE71;Q8NE71-2,,3,1.883034236,2.033334895,0.89917563,-0.142369274,-1.372318461,1.667438019,1.614238683,0.70893764,-0.123292507,-1.542584316,1.762986565,1.777703755,0.858458498,-0.136188385,-1.576045406
ABCF2,Q9UG63,ATP-binding cassette sub-family F member 2,Q9UG63;Q9UG63-2,,3,2.396214302,1.88424624,0.467592509,-0.483077149,-1.197699231,2.196355243,1.391327807,0.034919984,-0.702303802,-1.344648171,1.889434603,1.337311477,0.068051643,-0.94280623,-1.630661948
ABCF3,Q9NUQ8,ATP-binding cassette sub-family F member 3,Q9NUQ8;Q9NUQ8-2,,3,1.172295485,1.240253262,0.249384659,-0.748286966,-0.817053505,1.227925867,0.937495057,-0.314158501,-0.978889877,-0.869095481,1.033722522,0.757791341,-0.382588664,-1.267774223,-1.227252864
ABCG2,Q9UNQ0,ATP-binding cassette sub-family G member 2,Q9UNQ0;Q9UNQ0-2,,3,-0.640321412,-0.329014677,-0.201559564,0.789687524,2.931210275,-0.453913058,-0.407784578,-0.024707326,1.049073097,2.833031746,-0.412788649,-0.349547905,-0.01371286,0.946356572,2.721066369
ABHD10,Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",Q9NUJ1,,3,-1.117568235,-0.585150063,3.332994296,3.522934561,2.790980505,-0.958196312,-0.597779907,3.069633432,6.250336321,5.133316918,-0.821024088,-0.329975489,3.492365963,4.367161356,4.392798241
ABHD12,Q8N2K0,Monoacylglycerol lipase ABHD12,Q8N2K0;Q8N2K0-2;Q8N2K0-3,,2,0.076285443,-0.798391229,-0.7673638,1.03040671,3.068688006,0.161307264,-0.735691776,-0.367508417,1.514955436,2.618473603,,,,,
ABHD16A,O95870,Abhydrolase domain-containing protein 16A,O95870;O95870-2,,3,0.150689643,-0.61098394,-0.393557772,1.163434325,3.172007391,0.094776557,-0.61107208,-0.321261003,1.260025656,2.381034133,0.082838815,-0.533827097,-0.297768015,1.169411952,3.011048305
ABHD17B,Q5VST6,Alpha/beta hydrolase domain-containing protein 17B,Q5VST6;Q5VST6-2,,3,0.915023664,-0.291874579,-0.74429383,0.427927928,0.625364016,0.735522177,-0.6112043,-0.357474011,0.663572335,1.033229161,0.646347015,-0.412327779,-0.891696355,0.140124224,1.192446694
ABI1,Q8IZP0,Abl interactor 1,Q8IZP0;Q8IZP0-3;Q8IZP0-2;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-12,,3,0.284869433,0.761285273,0.154323965,-0.451168846,-0.688822429,0.640620928,0.357833479,-0.149984733,-0.492119118,-0.619181909,0.443818797,0.524966332,-0.026557707,-0.526826137,-0.780487598
ABLIM1,O14639,Actin-binding LIM protein 1,O14639;O14639-2;O14639-5;O14639-4;O14639-3;O14639-6,Actin binding proteins,3,-1.317354794,-0.38947001,0.297484916,-1.668822206,-2.091171724,-0.869754408,-0.434909806,0.075737982,-0.602459868,0.389456678,-0.783538926,-0.490780491,0.947628757,0.442651611,2.341957291
ACAA1,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",P09110;P09110-2,Peroxisome,3,0.651866835,-0.679549982,-0.676203383,0.697151067,3.402039955,0.774502445,-0.673669752,-0.6325842,1.255017236,3.164738016,0.71501475,-0.648552584,-0.699911428,1.100910388,3.413323281
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",P42765,,3,-1.085741651,-0.599024956,3.004339586,2.859532302,4.228510883,-0.994441917,-0.635517214,3.20900099,5.108357178,4.494671612,-0.929885497,-0.409718961,3.478195258,5.120725174,4.758622982
ACACA,Q13085,Acetyl-CoA carboxylase 1,Q13085;Q13085-4;Q13085-2;Q13085-3,,3,-0.886192836,-0.219605904,-0.330410784,-0.136933772,-0.024355141,-0.947806718,-0.60241606,-0.738384942,-0.3025998,-0.356845708,-0.501034346,-0.444203474,-0.01055577,-0.914330609,-0.174995959
ACAD9,Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",Q9H845,,3,-1.060427367,-0.532428358,3.064486263,4.397118409,3.768607806,-1.0473086,-0.609442364,2.818891453,4.694991594,4.801882927,-0.901957808,-0.390812395,3.343549953,5.073520355,4.86289767
ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",P11310;P11310-2,Mitochondrion,3,-1.159621366,-0.615574368,3.283506975,7.467850054,6.055542748,-1.076341164,-0.625845229,2.944989594,5.392317423,6.412798458,-0.927194465,-0.42455212,3.366532046,5.253195112,2.665779318
ACADSB,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",P45954;P45954-2,Mitochondrion,1,-0.926783015,-0.546182192,2.137569099,4.792543047,3.71688118,,,,,,,,,,
ACADVL,P49748-3,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",P49748-3;P49748;P49748-2,,3,-1.12573025,-0.564008778,2.992061409,4.419404054,4.71929298,-0.976105957,-0.60669364,2.883073348,4.593114696,4.508175081,-0.883448929,-0.391228599,3.24389753,4.734926347,4.851199339
ACAP2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Q15057,,2,0.385375813,0.554932602,-0.258062799,-0.787219019,-0.192776988,-0.155180519,-0.007768149,-0.713591945,-0.664173776,-0.422694448,,,,,
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",P24752,Mitochondrion,3,-1.056671247,-0.512966493,3.086410139,4.199044096,5.230894677,-0.996052421,-0.603489746,3.100405837,5.064236183,5.251681226,-0.886326168,-0.396726176,3.34397626,4.992949662,5.344189367
ACAT2,Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",Q9BWD1;Q9BWD1-2,,3,-1.716955368,-1.190305688,-1.251023611,-1.279774077,-0.623465113,-1.414306719,-0.953774384,-1.214675443,-1.364607779,-0.896629934,-1.212634406,-1.261984506,-1.198493649,-1.454980564,-0.490821037
ACBD5,Q5T8D3-3,Acyl-CoA-binding domain-containing protein 5,Q5T8D3-3;Q5T8D3-2;Q5T8D3-4,Peroxisome,3,0.489234635,-0.766038335,-0.747778134,1.197236355,2.853536626,0.722466024,-0.740191216,-0.480840584,1.54532593,3.347949066,0.806612774,-0.575013435,-0.614602097,1.362722356,2.994181435
ACIN1,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,Q9UKV3;Q9UKV3-3;Q9UKV3-2,,2,,,,,,0.186500558,1.051720116,-0.062806289,-1.385751892,-2.276065797,0.135403531,2.041278033,0.261109529,-1.48851172,-2.169485047
ACLY,P53396,ATP-citrate synthase,P53396,,3,0.316956668,0.508428653,-0.385374954,-1.189746114,-1.753750025,0.387472834,0.337311477,-0.417945053,-1.156498474,-1.685709516,0.304277388,0.454807592,-0.31211515,-1.282930116,-1.619403525
ACO1,P21399,Cytoplasmic aconitate hydratase,P21399,,1,,,,,,-0.357769778,-0.685593492,-1.067545695,-1.168317293,-0.318937604,,,,,
ACO2,Q99798,"Aconitate hydratase, mitochondrial",Q99798,,3,-1.146754829,-0.638995292,3.337853785,5.374135291,4.972095236,-0.987617262,-0.61301252,3.271948513,5.233466292,5.2773525,-0.884167701,-0.40091077,3.460349405,4.95363774,5.419943329
ACOT13,Q9NPJ3,Acyl-coenzyme A thioesterase 13,Q9NPJ3;Q9NPJ3-2,Mitochondrion,3,-0.968858921,-0.406808795,2.097442248,2.113833829,2.041102772,-0.83235947,-0.55552375,1.933610405,2.126014705,2.025737561,-0.798215605,-0.234821728,2.160081168,2.104672131,2.301938767
ACOT2,P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial",P49753;P49753-2,,3,-1.148704698,-0.609354324,2.639625782,1.634128558,3.291249913,-0.892258575,-0.644758156,3.1626451,0.176195095,3.070251922,-0.992173009,-0.436939517,3.17255152,2.49676911,5.405924306
ACOT9,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",Q9Y305;Q9Y305-2;Q9Y305-4;Q9Y305-3,,3,-1.04811385,-0.560919471,2.924859999,3.772413555,3.543124645,-0.875936604,-0.594857175,2.903809559,3.672312185,3.566571641,-0.888514577,-0.420028228,3.184915004,4.069358463,2.341444991
ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,Q15067,Peroxisome,3,0.704694936,-0.686800594,-0.697944212,0.933119364,3.756382855,0.771970068,-0.696844677,-0.59570721,1.313245852,3.599436823,0.85861763,-0.654671758,-0.676226436,1.22607689,3.937061852
ACP1,P24666,Low molecular weight phosphotyrosine protein phosphatase,P24666;P24666-4;P24666-3,,1,-0.592962745,-0.30222618,-0.373383312,-0.497669398,-0.114956739,,,,,,,,,,
ACP2,P11117,Lysosomal acid phosphatase,P11117,Lysosome,3,1.496717988,-0.698669896,-0.9763614,0.600364915,2.56963691,1.559540759,-0.6447356,-1.086201035,1.373174891,2.5098225,1.326134626,-0.579727813,-0.802059143,1.098352178,2.588036972
ACSF2,Q96CM8,"Acyl-CoA synthetase family member 2, mitochondrial",Q96CM8;Q96CM8-3;Q96CM8-2;Q96CM8-4,,3,-1.105255949,-0.67915722,2.970025339,3.580748492,3.523812838,-1.069451881,-0.610124859,3.411561831,2.346020784,2.748289473,-0.924371535,-0.438072713,3.243684312,4.511721033,3.734113454
ACSF3,Q4G176,"Acyl-CoA synthetase family member 3, mitochondrial",Q4G176,,3,-1.131724137,-0.587966432,3.109109779,-0.843473941,0.524665509,-0.972987535,-0.578240798,2.764367389,3.675815931,2.813873521,-0.877791138,-0.429284498,3.143524033,4.09017595,2.967260849
ACSL3,O95573,Long-chain-fatty-acid--CoA ligase 3,O95573,,3,0.486559928,-0.703571961,-0.705617453,0.736734744,2.997653714,0.509037042,-0.653559312,-0.567104714,1.360027093,3.178539372,0.577440913,-0.610102838,-0.598413219,1.086579981,3.126262564
ACSL4,O60488,Long-chain-fatty-acid--CoA ligase 4,O60488;O60488-2,,3,-0.571578854,-0.470189046,0.646807808,1.042154018,1.401084302,-0.517523407,-0.521701178,0.717122541,1.400264666,1.406863158,-0.552283285,-0.466396785,0.657640005,1.102859658,1.525818322
ACTA1,P68133,"Actin, alpha skeletal muscle",P68133;P68032;P62736;P63267;P63267-2,,3,-1.077467211,-0.416789032,0.048096653,0.994072791,1.988630159,-0.895046133,-0.550908816,-0.002873824,1.127963378,2.160403926,-0.899183782,-0.403580027,0.347665656,0.911116306,2.115732441
ACTB,P60709,"Actin, cytoplasmic 1",P60709,Actin binding proteins,3,-0.938237625,-0.537110062,-0.043393146,0.955163988,1.98608322,-0.81502154,-0.656717264,0.1212807,1.274351128,1.396762313,-0.793581824,-0.553214438,0.167357928,0.728921827,2.118226814
ACTG1,P63261,"Actin, cytoplasmic 2",P63261,Actin binding proteins,3,-1.07078468,-0.525018912,-0.033215178,0.989575021,1.899601027,-0.879011132,-0.61913759,-0.002122322,1.097543379,2.073306117,-0.913297744,-0.528489953,0.209390977,0.885964757,2.100439479
ACTL6A,O96019,Actin-like protein 6A,O96019;O96019-2,,2,,,,,,-1.680890798,-0.122365674,-0.172912668,-0.256355783,-0.26246898,-1.985587572,0.772392439,-0.013436156,-0.66077138,-0.16805792
ACTN1,P12814,Alpha-actinin-1,P12814;P12814-3;P12814-2;P12814-4,Actin binding proteins,3,-1.2927226,-0.619514345,0.393196512,1.363507527,2.543124645,-1.127021562,-0.665500371,0.546363574,1.729879012,2.693208149,-1.073970209,-0.680798288,0.581206609,1.392866916,2.849739111
ACTN4,O43707,Alpha-actinin-4,O43707;O43707-2;O43707-3,Actin binding proteins,3,-1.542920579,-0.672657544,0.345509924,1.349082146,2.654779217,-1.383792886,-0.725541519,0.32998465,1.672832634,2.755250802,-1.199619823,-0.580310105,0.581881464,1.509290462,3.005094528
ACTR10,Q9NZ32,Actin-related protein 10,Q9NZ32,,2,0.611644543,0.319271091,-0.192282389,-0.12256984,-0.103766908,0.018206857,-0.13577621,-0.630952357,-0.472028887,-0.422423738,,,,,
ACTR1A,P61163,Alpha-centractin,P61163,,3,0.53076994,0.502534286,0.028569152,-0.454980564,-0.480518482,0.560617141,0.14834845,-0.474793055,-0.432143073,-0.588270061,0.277032552,0.131194352,-0.439500243,-0.788314914,-0.731421883
ACTR1B,P42025,Beta-centractin,P42025,,3,0.472903624,0.264956718,-0.143516204,-0.542668375,-0.636503687,0.385817545,0.155749233,-0.550190384,-0.551099049,-0.774651024,0.371837617,0.152507948,-0.447032789,-0.943971461,-0.788564097
ACTR2,P61160,Actin-related protein 2,P61160;P61160-2,,3,-0.239208477,0.271784214,0.053667449,-0.29769708,-0.349860438,-0.268295397,-0.074866458,-0.078898864,-0.294402445,-0.327764767,-0.545992607,-0.090418884,-0.059660324,-0.413076767,-0.454941013
ACTR3,P61158,Actin-related protein 3,P61158,,3,-0.103348392,0.3305584,0.133432007,-0.316294564,-0.409144121,-0.197136784,0.138028045,-0.078228552,-0.179400292,-0.2869025,-0.397676155,-0.030663445,-0.013290544,-0.377238286,-0.437173899
ADAM10,O14672,Disintegrin and metalloproteinase domain-containing protein 10,O14672;O14672-2,,2,0.189666447,-0.574196982,-0.716955368,0.90842865,2.411046539,0.273575566,-0.76748659,-0.673370617,1.147957881,2.523311031,,,,,
ADAM15,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,Q13444;Q13444-2;Q13444-12;Q13444-5;Q13444-4;Q13444-3;Q13444-9;Q13444-8;Q13444-7;Q13444-6;Q13444-10;Q13444-11;Q13444-13,,3,0.506703487,-0.471208668,-0.444753184,0.622274431,2.0824301,0.125915549,-0.573423925,-0.505185047,1.003602237,2.168256923,0.063640993,-0.802159765,-0.757598708,0.525467563,1.889707158
ADAM17,P78536,Disintegrin and metalloproteinase domain-containing protein 17,P78536;P78536-2,Plasma membrane,1,,,,,,,,,,,-0.114378783,-0.444203474,-0.377950524,0.928881927,2.208298748
ADAM9,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,Q13443;Q13443-2,Plasma membrane,3,0.256527627,-0.16501378,-0.544329533,-0.073772805,1.120750053,0.262433158,-0.230719114,-0.58005128,0.263395035,0.857264445,-0.022800686,-0.382607472,-0.744172998,-0.16689132,0.836893627
ADAR,P55265,Double-stranded RNA-specific adenosine deaminase,P55265;P55265-4;P55265-5,,3,0.54181217,1.629613076,-0.255270551,-1.374000164,-1.486933788,0.3658045,1.41921526,-0.286585714,-1.151073656,-1.400986966,0.073408955,1.549767729,-0.264339192,-1.317246939,-1.432415614
ADCY6,O43306,Adenylate cyclase type 6,O43306;O43306-2,,1,,,,,,,,,,,-0.163284075,-0.500646467,-0.174930811,0.568129417,2.282172889
ADCY9,O60503,Adenylate cyclase type 9,O60503,,1,,,,,,,,,,,-0.330701054,-0.764223932,-0.423835859,0.533563348,2.553237611
ADD1,P35611,Alpha-adducin,P35611;P35611-2;P35611-6;P35611-3;P35611-4;P35611-5,,3,-0.574368828,0.188274311,0.603881483,0.40457619,0.029276182,-0.834390295,-0.10159814,0.515207819,-0.073863912,0.109561152,-0.886806266,-0.227151538,0.451751815,0.320542442,0.116098552
ADD3,Q9UEY8,Gamma-adducin,Q9UEY8;Q9UEY8-2,,2,,,,,,-0.663739467,-0.203335802,0.457751869,0.075874867,-0.273779115,-0.701857863,-0.325322418,0.550999139,0.200755432,0.138552375
ADH5,P11766,Alcohol dehydrogenase class-3,P11766,,3,-1.248964823,-0.813626223,-1.599418353,-1.729674395,-0.697289069,-1.144552412,-1.33898014,-1.555841835,-1.490050854,-0.943139057,-1.194360844,-0.945054305,-1.025558794,-1.704629612,-0.755721801
ADPGK,Q9BRR6,ADP-dependent glucokinase,Q9BRR6;Q9BRR6-2,,3,0.468635446,-0.653967866,-0.67915722,0.922730672,2.977499746,0.407624676,-0.666965617,-0.527470638,1.307137042,2.727092709,0.574440641,-0.56492619,-0.539729239,1.331303934,3.314479018
ADRM1,Q16186,Proteasomal ubiquitin receptor ADRM1,Q16186,,3,0.546165985,0.835762419,0.681584195,0.351176003,-1.525953401,0.759752394,0.689656994,0.38835488,0.214124805,-1.263715519,0.301938767,0.461214213,0.183708817,0.048654702,-1.328108837
ADSL,P30566,Adenylosuccinate lyase,P30566;P30566-2,,3,-1.069845534,-0.760186503,-0.999134643,-1.576776832,-1.183441251,-0.746543147,-0.696377044,-1.043229613,-1.190404458,-1.161459626,-0.638254095,-0.597954586,-0.889209157,-1.511032613,-0.584198075
ADSS,P30520,Adenylosuccinate synthetase isozyme 2,P30520,,1,-1.148320909,-0.632204017,-1.716860517,-1.376732435,-0.819291978,,,,,,,,,,
AFAP1,Q8N556,Actin filament-associated protein 1,Q8N556;Q8N556-2,,3,-0.47748218,0.517930742,0.402394751,-0.244018602,-0.511382165,-0.47786388,0.21685836,0.12763328,-0.285741292,-0.50418206,-0.508239239,0.117960953,0.278936315,-0.275419573,-0.496020383
AFG3L2,Q9Y4W6,AFG3-like protein 2,Q9Y4W6,,3,-1.142417045,-0.599024956,3.023574733,0.74166113,2.874010006,-1.077710796,-0.704911783,2.801303539,4.053198243,2.977463111,-0.903711156,-0.326136075,3.410883777,2.494005914,0.498863564
AGFG1,P52594,Arf-GAP domain and FG repeat-containing protein 1,P52594;P52594-2;P52594-3;P52594-4,,3,-0.616127086,-0.268173773,-0.274075656,0.085152681,0.753176627,-0.530489069,-0.16498143,0.102053383,0.664846882,0.842375488,-0.424745766,-0.215596528,0.057276965,0.3305584,1.328376934
AGK,Q53H12,"Acylglycerol kinase, mitochondrial",Q53H12,,2,,,,,,-0.879409179,-0.634822603,2.641314809,3.332564731,3.552991795,-0.877393537,-0.353911093,3.088429971,3.116215023,3.033282029
AGL,P35573,Glycogen debranching enzyme,P35573;P35573-2;P35573-3,Large Protein Complex,3,2.92730864,2.011817633,-0.531760781,-1.724182409,-1.060638,3.14208663,1.75073512,-0.489220327,-1.436861399,-0.962378813,3.234792528,1.931607422,-0.436099963,-1.461362515,-0.735787874
AGO1,Q9UL18,Protein argonaute-1,Q9UL18,,2,1.202072875,1.649983271,-0.261863413,-1.580094414,-1.213202929,,,,,,2.441908364,0.914487986,-0.44528346,-1.150144817,-1.516883334
AGO2,Q9UKV8,Protein argonaute-2,Q9UKV8;Q9UKV8-2,,3,2.029028761,1.483157952,-0.329431554,-1.1285979,-1.003669107,1.934365525,1.182946495,-0.316528107,-0.945998986,-0.889503118,1.93512025,1.254594043,-0.302083875,-1.099803628,-0.942057649
AGPAT1,Q99943,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Q99943,,2,0.321466359,-0.684596075,-0.753823006,0.813524689,3.176753602,0.351289098,-0.654967041,-0.652357019,1.252294541,1.760774494,,,,,
AGPAT3,Q9NRZ7-3,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,Q9NRZ7-3;Q9NRZ7;Q9NRZ7-2,,2,0.63663622,-0.497302787,-0.613078718,0.987175316,3.095215554,,,,,,0.730139952,-0.558325307,-0.679203422,1.424062125,3.46388398
AGPAT5,Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,Q9NUQ2,,1,,,,,,-0.836449744,-0.58227438,1.18027519,2.685581392,4.025294623,,,,,
AGPS,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",O00116,Peroxisome,3,0.726133673,-0.73082319,-0.753385177,0.860287463,3.606560671,0.789604066,-0.668547005,-0.571643178,1.289775458,3.485684428,0.865918815,-0.530364043,-0.647060726,1.086376168,3.918767849
AGR2,O95994,Anterior gradient protein 2 homolog,O95994,,1,,,,,,,,,,,0.446467986,-0.732308405,-0.446619835,1.39884286,3.210871968
AGRN,O00468-6,Agrin,O00468-6;O00468-3;O00468-7;O00468;O00468-5;O00468-4;O00468-2,,3,0.38758312,-0.556796511,-0.495044077,0.287945039,1.176705738,0.337425664,-0.685338273,-0.538094315,0.558267634,1.295311607,0.061983516,-0.994901878,-0.929967955,-0.072209714,0.935686035
AGTRAP,Q6RW13,Type-1 angiotensin II receptor-associated protein,Q6RW13,,1,1.555472615,0.049909522,-0.468251752,-0.574540695,-0.700755342,,,,,,,,,,
AHCY,P23526,Adenosylhomocysteinase,P23526;P23526-2,,3,-1.167442097,-1.033923974,-1.340842648,-1.370676023,-0.65099714,-1.191458434,-1.373738437,-1.388695399,-1.400110955,-0.860347151,-0.867962829,-0.854544264,-1.093632717,-1.566570458,-0.505328388
AHCYL1,O43865,Putative adenosylhomocysteinase 2,O43865;O43865-2,,3,-0.738144276,-1.128881823,-0.931122859,-0.491632201,0.010923027,-0.391834201,-0.923030524,-0.864990559,-0.62035686,0.20739313,-0.696213408,-0.900772134,-1.04510392,-0.712267677,0.092072095
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Q09666,,3,-0.695652512,-0.044092087,0.156267163,0.13251104,0.914028675,-0.613520111,-0.148624734,0.123268887,0.404467197,1.10259095,-0.609002216,-0.242481712,0.058524312,0.170950553,1.050327554
AHNAK2,Q8IVF2,Protein AHNAK2,Q8IVF2;Q8IVF2-3,,3,0.709202395,0.702746186,-0.143994361,-0.852458842,-0.578800942,0.815329494,0.47342327,-0.465998179,-0.974347472,-0.638029565,0.316725022,0.083792032,-0.896415079,-1.540022883,-1.106622256
AHSA1,O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,O95433;O95433-2,,3,-1.439950306,-0.7150832,-0.969310796,-0.731541652,-0.219488316,-1.618517267,-1.132830996,-1.080301434,-0.851911917,-0.315073569,-1.015782536,-0.385827292,-0.2664027,-0.508423928,0.321928095
AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",O95831;O95831-3;O95831-2;O95831-5,,3,-1.157367054,-0.585431453,3.153448671,4.837034966,5.23503771,-1.061631394,-0.590918682,3.116015353,4.84569076,5.271089466,-0.961844799,-0.35346865,3.50156653,5.021879434,5.498346618
AIFM2,Q9BRQ8,Apoptosis-inducing factor 2,Q9BRQ8;Q9BRQ8-2,,3,-0.501871703,-0.144217556,0.621336886,0.91823356,1.411209283,-0.562814882,-0.325412802,0.714926858,1.32803219,1.41921526,-0.528822947,-0.442477175,0.47019844,0.864889364,1.605541743
