UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q7TMY8,E3 ubiquitin-protein ligase HUWE1 GN=Huwe1 PE=1 SV=5 - [HUWE1_MOUSE],50,67,14.1,0.431,0.100,0.108,0.089,0.093,0.061,0.040,0.020,0.024,0.034
A2A8L5,Receptor-type tyrosine-protein phosphatase F GN=Ptprf PE=1 SV=1 - [PTPRF_MOUSE],50,64,41.4,0.006,0.172,0.134,0.169,0.197,0.163,0.105,0.030,0.012,0.013
Q9JLN9,Serine/threonine-protein kinase mTOR GN=Mtor PE=1 SV=2 - [MTOR_MOUSE],50,62,27.1,0.037,0.113,0.148,0.176,0.184,0.133,0.067,0.037,0.026,0.079
Q8CG48,Structural maintenance of chromosomes protein 2 GN=Smc2 PE=1 SV=2 - [SMC2_MOUSE],49,87,43.1,0.067,0.043,0.050,0.052,0.058,0.078,0.115,0.165,0.177,0.195
P02468,Laminin subunit gamma-1 GN=Lamc1 PE=1 SV=2 - [LAMC1_MOUSE],49,69,42.2,0.014,0.056,0.077,0.113,0.192,0.230,0.192,0.075,0.024,0.028
Q9EP71,Ankycorbin GN=Rai14 PE=1 SV=1 - [RAI14_MOUSE],48,70,51.1,0.016,0.114,0.105,0.103,0.109,0.185,0.150,0.101,0.076,0.042
P54276,DNA mismatch repair protein Msh6 GN=Msh6 PE=1 SV=3 - [MSH6_MOUSE],47,89,47.1,0.231,0.017,0.033,0.025,0.031,0.056,0.109,0.192,0.194,0.112
Q61739,Integrin alpha-6 GN=Itga6 PE=1 SV=3 - [ITA6_MOUSE],46,99,48.9,0.002,0.182,0.155,0.156,0.183,0.168,0.104,0.033,0.008,0.008
Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein GN=Hspg2 PE=1 SV=1 - [PGBM_MOUSE],46,62,20.6,0.007,0.049,0.079,0.128,0.214,0.207,0.186,0.069,0.028,0.032
Q61543,Golgi apparatus protein 1 GN=Glg1 PE=1 SV=1 - [GSLG1_MOUSE],45,79,45.0,0.005,0.047,0.097,0.164,0.232,0.232,0.123,0.064,0.020,0.016
O88307,Sortilin-related receptor GN=Sorl1 PE=2 SV=3 - [SORL_MOUSE],45,56,25.9,0.003,0.032,0.064,0.159,0.362,0.239,0.090,0.034,0.008,0.009
Q9JMH9,Unconventional myosin-XVIIIa GN=Myo18a PE=1 SV=2 - [MY18A_MOUSE],45,56,30.3,0.014,0.067,0.065,0.069,0.076,0.227,0.234,0.154,0.048,0.047
P38647,"Stress-70 protein, mitochondrial GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]",44,146,65.2,0.002,0.011,0.014,0.019,0.030,0.103,0.367,0.294,0.021,0.138
Q9CW03,Structural maintenance of chromosomes protein 3 GN=Smc3 PE=1 SV=2 - [SMC3_MOUSE],44,71,37.2,0.060,0.032,0.034,0.034,0.044,0.062,0.112,0.135,0.301,0.186
Q91VW5,Golgin subfamily A member 4 GN=Golga4 PE=1 SV=2 - [GOGA4_MOUSE],44,49,23.2,0.024,0.020,0.067,0.142,0.183,0.168,0.127,0.149,0.016,0.104
P63038,"60 kDa heat shock protein, mitochondrial GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]",43,295,78.5,0.002,0.012,0.016,0.020,0.027,0.103,0.358,0.311,0.015,0.137
P58252,Elongation factor 2 GN=Eef2 PE=1 SV=2 - [EF2_MOUSE],43,113,56.5,0.226,0.067,0.079,0.068,0.077,0.080,0.068,0.040,0.042,0.254
Q9CU62,Structural maintenance of chromosomes protein 1A GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE],43,72,40.7,0.060,0.012,0.017,0.017,0.024,0.045,0.092,0.174,0.400,0.159
P26231,Catenin alpha-1 GN=Ctnna1 PE=1 SV=1 - [CTNA1_MOUSE],42,144,62.1,0.008,0.186,0.158,0.167,0.176,0.177,0.083,0.027,0.010,0.008
O70318,Band 4.1-like protein 2 GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE],42,83,52.1,0.007,0.242,0.169,0.167,0.186,0.131,0.069,0.018,0.006,0.006
Q69ZN7,Myoferlin GN=Myof PE=1 SV=2 - [MYOF_MOUSE],42,74,25.4,0.002,0.057,0.128,0.224,0.284,0.176,0.083,0.031,0.007,0.008
P46735,Unconventional myosin-Ib GN=Myo1b PE=2 SV=3 - [MYO1B_MOUSE],42,73,42.4,0.013,0.237,0.164,0.167,0.180,0.123,0.067,0.018,0.021,0.008
P39447,Tight junction protein ZO-1 GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE],42,65,29.3,0.031,0.124,0.110,0.104,0.123,0.201,0.144,0.048,0.060,0.056
Q64727,Vinculin GN=Vcl PE=1 SV=4 - [VINC_MOUSE],42,61,49.1,0.273,0.145,0.137,0.121,0.139,0.092,0.051,0.016,0.014,0.012
P20029,78 kDa glucose-regulated protein GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE],41,156,67.0,0.020,0.047,0.085,0.124,0.183,0.267,0.161,0.080,0.014,0.019
O08784,Treacle protein GN=Tcof1 PE=1 SV=1 - [TCOF_MOUSE],41,62,32.5,0.202,0.028,0.075,0.050,0.062,0.053,0.084,0.086,0.258,0.102
Q8CG47,Structural maintenance of chromosomes protein 4 GN=Smc4 PE=1 SV=1 - [SMC4_MOUSE],41,62,33.5,0.085,0.044,0.047,0.051,0.060,0.079,0.108,0.152,0.189,0.186
P08113,Endoplasmin GN=Hsp90b1 PE=1 SV=2 - [ENPL_MOUSE],40,178,53.1,0.020,0.046,0.082,0.126,0.186,0.264,0.174,0.081,0.005,0.016
Q9Z0U1,Tight junction protein ZO-2 GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE],40,62,41.8,0.051,0.171,0.123,0.118,0.145,0.148,0.111,0.037,0.039,0.056
Q61316,Heat shock 70 kDa protein 4 GN=Hspa4 PE=1 SV=1 - [HSP74_MOUSE],39,97,60.4,0.520,0.089,0.110,0.082,0.081,0.057,0.026,0.011,0.014,0.010
Q9JIK5,Nucleolar RNA helicase 2 GN=Ddx21 PE=1 SV=3 - [DDX21_MOUSE],39,90,55.7,0.095,0.011,0.022,0.023,0.031,0.036,0.053,0.054,0.434,0.241
Q8BKC5,Importin-5 GN=Ipo5 PE=1 SV=3 - [IPO5_MOUSE],39,81,54.4,0.431,0.091,0.120,0.091,0.091,0.070,0.035,0.021,0.026,0.025
Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1 GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE],39,69,37.6,0.204,0.142,0.124,0.113,0.117,0.082,0.050,0.043,0.064,0.061
Q6GQT9,Nodal modulator 1 GN=Nomo1 PE=1 SV=1 - [NOMO1_MOUSE],39,64,48.8,0.001,0.042,0.067,0.102,0.149,0.267,0.204,0.099,0.037,0.032
Q8VDJ3,Vigilin GN=Hdlbp PE=1 SV=1 - [VIGLN_MOUSE],39,60,36.9,0.052,0.031,0.049,0.061,0.075,0.172,0.155,0.092,0.059,0.254
O88738,Baculoviral IAP repeat-containing protein 6 GN=Birc6 PE=1 SV=2 - [BIRC6_MOUSE],39,44,11.1,0.295,0.102,0.119,0.105,0.095,0.089,0.055,0.031,0.018,0.091
Q5FWI3,Transmembrane protein 2 GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE],38,65,33.3,0.005,0.142,0.125,0.161,0.220,0.172,0.115,0.032,0.020,0.009
Q8K298,Actin-binding protein anillin GN=Anln PE=1 SV=2 - [ANLN_MOUSE],38,63,43.0,0.038,0.089,0.071,0.064,0.082,0.102,0.120,0.151,0.202,0.081
P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]",38,60,41.2,0.014,0.231,0.183,0.174,0.174,0.112,0.058,0.020,0.022,0.013
Q6PDQ2,Chromodomain-helicase-DNA-binding protein 4 GN=Chd4 PE=1 SV=1 - [CHD4_MOUSE],38,46,27.0,0.052,0.009,0.012,0.012,0.019,0.037,0.118,0.168,0.477,0.096
Q91V92,ATP-citrate synthase GN=Acly PE=1 SV=1 - [ACLY_MOUSE],37,65,44.8,0.355,0.097,0.113,0.097,0.094,0.067,0.040,0.019,0.054,0.065
Q8K411-2,"Isoform 2 of Presequence protease, mitochondrial GN=Pitrm1 - [PREP_MOUSE]",37,60,44.3,0.003,0.012,0.015,0.019,0.029,0.101,0.374,0.276,0.032,0.139
B2RXS4,Plexin-B2 GN=Plxnb2 PE=1 SV=1 - [PLXB2_MOUSE],37,57,29.8,0.002,0.220,0.167,0.176,0.182,0.144,0.079,0.022,0.003,0.005
P70398,Probable ubiquitin carboxyl-terminal hydrolase FAF-X GN=Usp9x PE=1 SV=2 - [USP9X_MOUSE],37,49,18.4,0.346,0.111,0.118,0.095,0.108,0.072,0.042,0.024,0.025,0.059
P48725,Pericentrin GN=Pcnt PE=1 SV=2 - [PCNT_MOUSE],37,43,15.3,0.066,0.024,0.036,0.037,0.042,0.113,0.172,0.226,0.148,0.136
P09103,Protein disulfide-isomerase GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE],36,117,71.5,0.026,0.056,0.084,0.116,0.191,0.262,0.166,0.073,0.009,0.018
Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]",36,99,47.9,0.001,0.010,0.015,0.019,0.027,0.105,0.337,0.324,0.026,0.136
P14733,Lamin-B1 GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE],36,86,54.4,0.009,0.029,0.040,0.058,0.083,0.082,0.132,0.229,0.274,0.064
Q587J6,LINE-1 type transposase domain-containing protein 1 GN=L1td1 PE=2 SV=1 - [LITD1_MOUSE],36,85,43.7,0.042,0.017,0.030,0.039,0.061,0.124,0.188,0.134,0.155,0.208
Q78PY7,Staphylococcal nuclease domain-containing protein 1 GN=Snd1 PE=1 SV=1 - [SND1_MOUSE],36,79,50.9,0.019,0.041,0.055,0.065,0.094,0.169,0.149,0.079,0.048,0.280
Q99NB9,Splicing factor 3B subunit 1 GN=Sf3b1 PE=1 SV=1 - [SF3B1_MOUSE],36,63,41.4,0.138,0.011,0.020,0.013,0.016,0.022,0.029,0.032,0.283,0.435
P28660,Nck-associated protein 1 GN=Nckap1 PE=1 SV=2 - [NCKP1_MOUSE],36,56,35.8,0.026,0.227,0.159,0.168,0.153,0.111,0.062,0.025,0.033,0.037
P27546,Microtubule-associated protein 4 GN=Map4 PE=1 SV=3 - [MAP4_MOUSE],36,53,40.3,0.161,0.088,0.084,0.073,0.083,0.074,0.084,0.101,0.162,0.089
O08808,Protein diaphanous homolog 1 GN=Diaph1 PE=1 SV=1 - [DIAP1_MOUSE],36,50,32.4,0.187,0.160,0.138,0.134,0.132,0.097,0.059,0.036,0.019,0.038
Q9DBR7,Protein phosphatase 1 regulatory subunit 12A GN=Ppp1r12a PE=1 SV=2 - [MYPT1_MOUSE],36,48,41.2,0.079,0.118,0.107,0.096,0.108,0.152,0.123,0.095,0.071,0.051
Q6P5D8,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 GN=Smchd1 PE=1 SV=2 - [SMHD1_MOUSE],36,44,24.5,0.055,0.010,0.016,0.014,0.023,0.050,0.097,0.204,0.372,0.160
Q03265,"ATP synthase subunit alpha, mitochondrial GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]",35,139,65.6,0.001,0.013,0.013,0.018,0.026,0.086,0.338,0.287,0.088,0.130
Q6DYE8,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 GN=Enpp3 PE=1 SV=2 - [ENPP3_MOUSE],35,114,44.4,0.002,0.151,0.178,0.213,0.231,0.132,0.063,0.022,0.005,0.005
Q99MD9,Nuclear autoantigenic sperm protein GN=Nasp PE=1 SV=2 - [NASP_MOUSE],35,81,57.7,0.729,0.040,0.089,0.038,0.037,0.025,0.011,0.006,0.013,0.013
Q60864,Stress-induced-phosphoprotein 1 GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE],35,68,54.9,0.456,0.108,0.121,0.094,0.095,0.059,0.032,0.011,0.013,0.010
Q02053,Ubiquitin-like modifier-activating enzyme 1 GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE],35,65,52.3,0.518,0.078,0.114,0.081,0.082,0.051,0.027,0.013,0.016,0.020
Q9Z1Q9,Valine--tRNA ligase GN=Vars PE=2 SV=1 - [SYVC_MOUSE],35,55,33.9,0.121,0.069,0.076,0.076,0.099,0.111,0.127,0.110,0.118,0.093
Q3UIL6-2,Isoform 2 of Pleckstrin homology domain-containing family A member 7 GN=Plekha7 - [PKHA7_MOUSE],35,49,33.6,0.027,0.122,0.096,0.092,0.115,0.180,0.191,0.053,0.058,0.067
Q60597,"2-oxoglutarate dehydrogenase, mitochondrial GN=Ogdh PE=1 SV=3 - [ODO1_MOUSE]",35,49,39.5,0.003,0.012,0.014,0.019,0.031,0.108,0.366,0.264,0.045,0.138
P11103,Poly [ADP-ribose] polymerase 1 GN=Parp1 PE=1 SV=3 - [PARP1_MOUSE],34,79,33.8,0.061,0.023,0.024,0.023,0.029,0.051,0.117,0.182,0.405,0.085
P57780,Alpha-actinin-4 GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE],34,74,41.7,0.175,0.162,0.136,0.132,0.150,0.127,0.071,0.020,0.017,0.009
Q01853,Transitional endoplasmic reticulum ATPase GN=Vcp PE=1 SV=4 - [TERA_MOUSE],34,72,59.6,0.400,0.087,0.105,0.096,0.103,0.090,0.047,0.025,0.029,0.017
Q6P9P6,Kinesin-like protein KIF11 GN=Kif11 PE=2 SV=1 - [KIF11_MOUSE],34,57,43.3,0.054,0.048,0.049,0.049,0.064,0.109,0.158,0.154,0.176,0.139
Q8C2E7,WASH complex subunit strumpellin GN=Kiaa0196 PE=2 SV=2 - [STRUM_MOUSE],34,51,35.5,0.047,0.051,0.084,0.148,0.293,0.207,0.071,0.032,0.016,0.050
Q8K2Z4,Condensin complex subunit 1 GN=Ncapd2 PE=1 SV=2 - [CND1_MOUSE],34,48,30.8,0.085,0.054,0.053,0.050,0.069,0.080,0.124,0.158,0.183,0.143
O88491,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific GN=Nsd1 PE=1 SV=1 - [NSD1_MOUSE]",34,39,16.7,0.051,0.005,0.010,0.011,0.016,0.042,0.095,0.199,0.435,0.136
Q7TT50,Serine/threonine-protein kinase MRCK beta GN=Cdc42bpb PE=1 SV=2 - [MRCKB_MOUSE],34,39,24.3,0.038,0.199,0.131,0.138,0.155,0.124,0.095,0.029,0.043,0.048
Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]",33,83,41.0,0.113,0.070,0.086,0.082,0.088,0.115,0.085,0.054,0.031,0.276
Q9JKR6,Hypoxia up-regulated protein 1 GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE],33,76,42.3,0.019,0.047,0.087,0.113,0.183,0.278,0.164,0.082,0.006,0.020
P43247,DNA mismatch repair protein Msh2 GN=Msh2 PE=2 SV=1 - [MSH2_MOUSE],33,61,49.6,0.224,0.020,0.034,0.028,0.034,0.056,0.114,0.175,0.199,0.116
P25976,Nucleolar transcription factor 1 GN=Ubtf PE=1 SV=1 - [UBF1_MOUSE],33,55,39.3,0.017,0.008,0.021,0.029,0.038,0.069,0.161,0.253,0.298,0.106
P14873,Microtubule-associated protein 1B GN=Map1b PE=1 SV=2 - [MAP1B_MOUSE],33,49,19.1,0.113,0.098,0.103,0.085,0.075,0.094,0.102,0.136,0.151,0.043
P98203-4,Isoform 4 of Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog GN=Arvcf - [ARVC_MOUSE],33,49,49.1,0.003,0.229,0.141,0.152,0.194,0.138,0.102,0.025,0.011,0.006
Q3UQ44,Ras GTPase-activating-like protein IQGAP2 GN=Iqgap2 PE=1 SV=2 - [IQGA2_MOUSE],33,49,26.7,0.064,0.198,0.165,0.161,0.158,0.136,0.061,0.024,0.017,0.016
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic GN=Lars PE=2 SV=2 - [SYLC_MOUSE]",33,49,33.5,0.444,0.086,0.098,0.072,0.088,0.061,0.042,0.022,0.035,0.053
A2AF47,Dedicator of cytokinesis protein 11 GN=Dock11 PE=1 SV=1 - [DOC11_MOUSE],33,41,17.8,0.012,0.187,0.160,0.159,0.150,0.147,0.086,0.034,0.031,0.034
Q9R0L6-2,Isoform 2 of Pericentriolar material 1 protein GN=Pcm1 - [PCM1_MOUSE],33,40,20.8,0.041,0.034,0.045,0.049,0.056,0.143,0.165,0.154,0.132,0.181
P27773,Protein disulfide-isomerase A3 GN=Pdia3 PE=1 SV=2 - [PDIA3_MOUSE],32,111,63.4,0.023,0.055,0.093,0.124,0.189,0.254,0.153,0.081,0.009,0.019
P08003,Protein disulfide-isomerase A4 GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE],32,91,58.6,0.021,0.043,0.087,0.119,0.183,0.288,0.150,0.083,0.009,0.017
P46460,Vesicle-fusing ATPase GN=Nsf PE=1 SV=2 - [NSF_MOUSE],32,50,49.2,0.038,0.102,0.099,0.124,0.150,0.126,0.087,0.078,0.022,0.174
P11881-2,"Isoform 2 of Inositol 1,4,5-trisphosphate receptor type 1 GN=Itpr1 - [ITPR1_MOUSE]",32,45,15.8,0.008,0.060,0.080,0.128,0.188,0.254,0.146,0.079,0.032,0.025
Q8K224,N-acetyltransferase 10 GN=Nat10 PE=2 SV=1 - [NAT10_MOUSE],32,44,39.0,0.100,0.011,0.026,0.024,0.030,0.037,0.049,0.045,0.359,0.318
P58281-2,"Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial GN=Opa1 - [OPA1_MOUSE]",32,43,46.2,0.002,0.012,0.016,0.023,0.035,0.124,0.382,0.245,0.024,0.137
Q3TLH4,Protein PRRC2C GN=Prrc2c PE=1 SV=3 - [PRC2C_MOUSE],32,43,13.8,0.131,0.031,0.048,0.039,0.056,0.077,0.079,0.068,0.070,0.401
P14824,Annexin A6 GN=Anxa6 PE=1 SV=3 - [ANXA6_MOUSE],32,42,52.0,0.371,0.108,0.139,0.117,0.119,0.070,0.034,0.015,0.011,0.015
Q05D44,Eukaryotic translation initiation factor 5B GN=Eif5b PE=1 SV=2 - [IF2P_MOUSE],32,42,30.2,0.197,0.077,0.101,0.075,0.091,0.082,0.078,0.105,0.082,0.113
Q61001,Laminin subunit alpha-5 GN=Lama5 PE=1 SV=4 - [LAMA5_MOUSE],32,39,14.2,0.008,0.064,0.098,0.139,0.200,0.211,0.156,0.070,0.026,0.026
Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 GN=Lrp1 PE=1 SV=1 - [LRP1_MOUSE],32,36,9.5,0.003,0.045,0.080,0.169,0.306,0.243,0.105,0.033,0.008,0.008
Q62351,Transferrin receptor protein 1 GN=Tfrc PE=1 SV=1 - [TFR1_MOUSE],31,104,46.8,0.003,0.067,0.093,0.163,0.295,0.233,0.096,0.034,0.007,0.010
P42932,T-complex protein 1 subunit theta GN=Cct8 PE=1 SV=3 - [TCPQ_MOUSE],31,76,64.8,0.329,0.105,0.113,0.096,0.102,0.072,0.043,0.023,0.027,0.091
Q99P72,Reticulon-4 GN=Rtn4 PE=1 SV=2 - [RTN4_MOUSE],31,70,48.7,0.007,0.051,0.113,0.152,0.232,0.258,0.121,0.051,0.005,0.010
Q80WJ7,Protein LYRIC GN=Mtdh PE=1 SV=1 - [LYRIC_MOUSE],31,68,60.6,0.002,0.054,0.082,0.096,0.139,0.272,0.182,0.107,0.034,0.031
P26041,Moesin GN=Msn PE=1 SV=3 - [MOES_MOUSE],31,58,43.7,0.021,0.237,0.163,0.187,0.170,0.112,0.054,0.019,0.019,0.019
Q8BKG3,Inactive tyrosine-protein kinase 7 GN=Ptk7 PE=1 SV=1 - [PTK7_MOUSE],31,54,42.5,0.005,0.209,0.154,0.158,0.180,0.146,0.101,0.028,0.011,0.008
P23116,Eukaryotic translation initiation factor 3 subunit A GN=Eif3a PE=1 SV=5 - [EIF3A_MOUSE],31,50,25.7,0.421,0.056,0.070,0.039,0.055,0.045,0.037,0.022,0.042,0.213
