Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,568.6383811,70.449521,95,213,94,94,1,1357,156.179,5.64,FALSE,High,Master Protein,50.974,1,3462.474932,70.449521,95,213,3039.8,4228.4,7023.9,12627,18621.6,16234.4,11608.4,4486,2462.4,2131.9,917.1
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,561.1451529,42.70317507,129,196,123,124,1,3433,394.22,5.33,FALSE,High,Master Protein,5.364,5,2883.570757,42.70317507,129,196,1386.1,3967.7,6825,9882.3,8964.4,6308.4,4356.5,2674.5,2776.4,3193.5,1402.4
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,520.1289929,48.28607702,115,197,109,110,1,2363,267.131,5.02,FALSE,High,Master Protein,14.541,4,2675.622049,48.28607702,115,197,12292,4737.5,4356.5,3920.2,3053.1,4769.3,6027.1,6911.3,8558.5,8737.9,5631.1
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,505.2290361,74.25531915,90,199,88,88,1,1410,152.365,8.6,FALSE,High,Master Protein,24.65,1,2450.477813,74.25531915,90,199,2250.9,3402.8,5639.1,9291.7,12615.6,11081.4,8038.8,3914.5,2418.8,1866,853.8
O95613,Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4,497.5727422,41.51678657,128,173,124,124,1,3336,377.806,5.55,FALSE,High,Master Protein,3.75,5,2175.929557,41.51678657,128,173,1898.1,3512.8,4872.5,4935.9,3214.3,4444.8,5020,5070.8,5955.8,4299.5,1538.7
P06576,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3,496.7893917,74.29111531,27,307,27,27,1,529,56.525,5.4,FALSE,High,Master Protein,3045.99,0,5307.960282,74.29111531,27,307,2091.9,15695.8,20485.4,14642.4,3408.1,2760.3,2294,2087.4,2397.5,2517.3,1405.1
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,478.9364173,42.08754209,85,176,85,85,1,2376,266.768,7.11,FALSE,High,Master Protein,7.783,0,3315.686711,42.08754209,85,176,1330.2,2203.4,2988.6,3610.7,4179.6,7195.2,8930,10195.1,7693.7,2793.5,1037.2
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,474.1314508,52.59042033,55,271,33,34,1,1023,112.824,5.49,FALSE,High,Master Protein,411.463,25,4958.307755,52.59042033,55,271,1979.3,5396.8,8726.8,12861.8,12005,8926.5,6400.3,3483.2,2638.5,1941.9,956.2
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,464.9983003,62.53041363,87,209,82,85,1,1233,143.144,7.64,FALSE,High,Master Protein,53.782,1,2982.898115,62.53041363,87,209,13962.3,5468.3,5533.4,5465.4,4804.8,7073.7,8771.7,9644.6,10792.8,5745.1,1147.5
Q5JRA6,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,463.993609,53.95909806,86,163,84,84,1,1907,213.57,4.84,FALSE,High,Master Protein,12.712,1,2437.127819,53.95909806,86,163,1024.2,2152.9,3314.5,5455.3,8270.7,8390.2,6423.8,2443.4,1303.9,1122.2,570
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,463.9735426,53.55976486,77,200,60,60,1,1531,174.276,8.72,FALSE,High,Master Protein,34.35,19,2759.063902,53.55976486,77,200,28780.5,8645.2,7411.7,5385.9,3447.5,3554.5,3545.7,3129.3,3460,2667.6,1088.2
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,454.7275093,73.33333333,21,718,1,1,1,375,41.766,5.48,FALSE,High,Master Protein,40614.86,0,13108.48144,73.33333333,21,718,220.9,533.5,728.3,1188.4,1638,1340.4,810.4,503.7,351.5,342,1888.4
Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,450.3322393,58.2580115,78,181,76,76,1,1217,141.454,7.18,FALSE,High,Master Protein,48.559,3,2602.89355,58.2580115,78,181,9419,3773.1,4076.1,3985.7,3339.3,4860.2,5856.5,6532.2,7645.2,4300.1,775.8
Q5VYK3,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2,449.2975551,48.7804878,70,137,70,70,1,1845,204.16,7.12,FALSE,High,Master Protein,12.37,0,2756.590963,48.7804878,70,137,1608.7,1856.3,2341.5,2699.2,2611.4,4432,5622.1,6866.2,8278.9,7796.3,446.5
Q8NCM8,Cytoplasmic dynein 2 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC2H1 PE=1 SV=4,447.5305235,30.09055027,119,163,116,116,1,4307,492.311,6.54,FALSE,High,Master Protein,2.418,3,2024.739467,30.09055027,119,163,1845.5,2586.2,3344,3807,3659.5,6162.7,7588.6,7706.3,6304.9,3455.5,987.1
Q9NZJ4,Sacsin OS=Homo sapiens OX=9606 GN=SACS PE=1 SV=2,439.1985373,28.23760646,118,144,118,118,1,4579,520.795,7.05,FALSE,High,Master Protein,2.088,0,1997.306193,28.23760646,118,144,1327.4,2053.6,2771,3132.6,2962.5,5763.8,7454.7,8494.9,6125.8,2262.4,842.3
O95714,E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2,424.013682,27.74100124,115,151,98,113,1,4834,526.895,6.28,FALSE,High,Master Protein,2.068,1,1882.716293,27.74100124,115,151,1413.7,2428.5,2966.5,3913.5,3900.1,4760.9,4591.8,3874.5,6583,6764,871.8
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,419.0815954,70.4109589,47,267,47,47,1,730,77.464,8.7,FALSE,High,Master Protein,144.759,0,3670.786973,70.4109589,47,267,18384.6,5055.9,4490.1,3805.3,3414.9,5371.2,6663,7894.1,9439.2,4060.6,1307.8
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,417.0335065,58.8761175,46,201,43,43,1,783,87.29,9.28,FALSE,High,Master Protein,591.553,4,2659.823093,58.8761175,46,201,26013.8,4843.8,4332.8,3369.3,2529.3,3440.2,4272.1,6123.9,9206.6,5297.7,1571.4
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,415.8227187,39.38177439,82,144,80,80,1,2491,274.199,5.94,FALSE,High,Master Protein,6.164,2,2355.354221,39.38177439,82,144,1190.9,4572.5,5760.1,5991.1,4196.4,5718.7,5874.4,5281.9,3626.6,1550.7,718.1
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,414.1650924,59.15915916,46,146,46,46,1,999,111.266,5.22,FALSE,High,Master Protein,51.079,0,3116.147086,59.15915916,46,146,667,2133.1,3485.7,6096.9,9468.9,8706.8,6440.3,2430.6,1240.7,1061.7,1333.3
Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,411.8736336,60.66217733,66,123,66,66,1,1782,191.367,4.41,FALSE,High,Master Protein,12.055,0,2255.778362,60.66217733,66,123,742.5,1992.1,2354.9,2382.8,2209.9,1953.6,1740.9,1581.9,1442.7,1146.4,7340.8
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,411.0925038,66.56716418,62,163,56,56,1,1005,112.519,5.44,FALSE,High,Master Protein,66.728,5,2852.042459,66.56716418,62,163,1753.9,5233.1,8612.7,11823,9731.1,6310.1,4326.8,2421.8,2088.8,1720,1753.4
P13667,Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,404.4619531,63.72093023,35,252,33,33,1,645,72.887,5.07,FALSE,High,Master Protein,257.847,2,4126.819663,63.72093023,35,252,1450.5,4183.5,6524.8,10775.9,16428.2,15319.5,11151.3,4237,2081,1794.3,2751.5
Q12931,Heat shock protein 75 kDa  mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3,401.5690993,70.17045455,43,221,41,41,1,704,80.06,8.21,FALSE,High,Master Protein,185.566,3,3783.98964,70.17045455,43,221,1408.3,14052.2,18167.5,12522.9,2659.7,1879.9,1535.5,1489.5,1544.3,2088.5,2130.8
Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,395.1134798,42.15481172,69,153,49,50,1,1912,217.867,5.86,FALSE,High,Master Protein,12.594,17,2156.563643,42.15481172,69,153,19348,5337.6,4462.3,3315.5,2355,2018.2,1874.5,1581.4,1899.2,2053.1,1008.6
Q15154,Pericentriolar material 1 protein OS=Homo sapiens OX=9606 GN=PCM1 PE=1 SV=5,388.3684238,43.87351779,72,169,69,70,1,2024,228.403,5.02,FALSE,High,Master Protein,12.675,0,2248.407933,43.87351779,72,169,1448.5,3088.8,4138.8,4155.3,3280.6,4530.8,4951.3,4025.3,4126.7,2646.6,882.5
Q96Q15,Serine/threonine-protein kinase SMG1 OS=Homo sapiens OX=9606 GN=SMG1 PE=1 SV=3,380.6589247,28.29827916,90,127,86,88,1,3661,410.241,6.46,FALSE,High,Master Protein,2.667,1,1902.018903,28.29827916,90,127,1122.4,1480.4,1807.7,2113.2,2067,3320.9,4096.3,5602.5,7666.5,4956.5,889.4
Q8WXH0,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,367.9663755,20.31953522,133,154,123,125,1,6885,795.944,5.36,FALSE,High,Master Protein,1.003,4,1152.534251,20.31953522,133,154,6683,3145.6,3371.6,3810.3,3762.3,3796.4,3315.5,2114,1852.4,2101.3,1424
P29144,Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4,366.9997278,55.56445156,55,139,55,55,1,1249,138.263,6.32,FALSE,High,Master Protein,25.586,0,2138.247619,55.56445156,55,139,837.6,1352.1,1978.8,2631.3,2618,2689.4,2702.5,3519.5,10881.5,9425.6,1815.9
Q14573,Inositol 1 4 5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2,366.1527166,34.70610258,85,140,73,73,1,2671,303.912,6.48,FALSE,High,Master Protein,4.838,12,1908.246939,34.70610258,85,140,1676.3,2462.8,3706.6,5752.1,7351.7,7784.1,6622.3,3468.2,2260.4,1783.2,843.5
Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3,362.6351368,40.78110808,78,133,76,76,1,2202,251.301,7.09,FALSE,High,Master Protein,5.508,1,1825.778113,40.78110808,78,133,1172.4,1351.9,1713.7,2045.3,2040.6,2741.5,3165.8,3890.3,6924,7979.5,695.6
Q15021,Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3,361.7549789,51.96288365,59,131,59,59,1,1401,157.082,6.61,FALSE,High,Master Protein,11.271,0,2439.951737,51.96288365,59,131,2997.7,2703.6,3012.5,3343.9,2997.3,4664.2,5776.6,6338.3,6629.9,3310.6,543.2
P49454,Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,360.8983805,37.34746307,115,146,105,106,1,3114,357.306,5.1,FALSE,High,Master Protein,2.471,7,1312.363174,37.34746307,115,146,7015,3851.5,4648.2,4647.3,2760.5,3509.3,3768,3196.8,3191.1,2517.1,1123.1
P35221,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,360.8086666,71.30242826,51,133,35,35,1,906,100.009,6.29,FALSE,High,Master Protein,49.322,14,2415.719892,71.30242826,51,133,963.4,2659.3,3940.6,5519.9,4926.3,4063.5,3426.3,2413.1,2227.3,1774.6,673.3
O75179,Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3,358.3756725,32.15520553,66,128,46,46,1,2603,274.088,6.52,FALSE,High,Master Protein,7.096,22,1707.52357,32.15520553,66,128,1270.8,1621.7,2156.7,2308.1,2303.4,4111.7,5487.2,5986.4,5447.9,2786.3,925.1
Q63HN8,E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=3,348.5703239,23.218744,103,127,101,101,1,5207,591.03,6.48,FALSE,High,Master Protein,1.365,2,1409.193022,23.218744,103,127,1138.4,1235.8,1555.6,1805.2,1822.4,2806.4,3320.6,4044.9,6145.6,4508.1,505.2
O75153,Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2,347.5443575,55.00381971,56,133,54,55,1,1309,146.577,6.13,FALSE,High,Master Protein,17.047,2,1917.082735,55.00381971,56,133,810.4,1185.9,1547.5,1832.7,1859.3,3390.4,4237.7,5411.1,5701.8,3355.6,812.1
P78344,Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1,346.7599262,55.67805954,45,145,45,45,1,907,102.297,7.14,FALSE,High,Master Protein,46.034,0,2645.040284,55.67805954,45,145,1269.6,1682.4,2238.4,2742.3,3036.4,4940.9,6171,8077.3,8836.8,5591.8,625.9
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,343.1267797,62.08425721,21,280,0,1,1,451,50.104,5.06,FALSE,High,Master Protein,2153.435,10,4013.802804,62.08425721,21,280,279.3,481,527.3,800,703.4,815.7,805.2,978.7,903.1,1569.1,3412.2
Q8TEQ6,Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,342.888821,45.42440318,61,155,60,60,1,1508,168.483,6.62,FALSE,High,Master Protein,11.984,1,2053.85525,45.42440318,61,155,897,1607,2086.1,2598.8,2666.4,4620.5,5959.5,6696.2,6450.4,5163,1867.3
Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,338.8559018,54.95426829,77,143,76,76,1,1312,153.797,6.89,FALSE,High,Master Protein,17.102,1,1877.339302,54.95426829,77,143,9379.7,4356.7,4153.2,3602,2811.3,3466.3,3890.7,4139,5529.5,4859,1184.1
Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,337.5943385,55.71878279,46,127,46,46,1,953,105.769,5.39,FALSE,High,Master Protein,52.367,0,2425.532188,55.71878279,46,127,852.1,917.6,1149.8,1354.7,1171.1,1458.6,1603.5,2578.7,4844.9,21608.5,1645.7
Q6P2E9,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,336.730753,45.68165596,45,111,45,45,1,1401,151.567,5.86,FALSE,High,Master Protein,19.806,0,2280.795667,45.68165596,45,111,1013.6,1168.6,1548.1,1675.9,1993.6,3550.1,4680.7,6632.1,7545.5,2641.2,768.6
Q5UIP0,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,336.4880037,37.86407767,77,119,77,77,1,2472,274.294,5.52,FALSE,High,Master Protein,4.061,0,1604.441929,37.86407767,77,119,11300,2978.9,2576.4,2235.3,1847,2115.2,2279.6,2004.8,1761.9,1243.4,582
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,334.2574514,68.0952381,48,126,44,44,1,840,94.271,5.19,FALSE,High,Master Protein,39.128,2,2126.499123,68.0952381,48,126,748.4,1407.6,1538.8,2035.3,1944.4,2415.3,2115.2,4057.9,3155.9,3627.9,17646.4
Q9H583,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,334.0998873,37.17350746,72,130,71,71,1,2144,242.215,6.54,FALSE,High,Master Protein,5.354,1,1835.572149,37.17350746,72,130,11321.3,2742.8,2679,2549.1,2077.9,2859.6,3356.2,4194.9,5422.9,3258.2,728.2
Q15075,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,332.9548869,55.9177888,84,136,78,78,1,1411,162.367,5.68,FALSE,High,Master Protein,8.793,4,1345.291252,55.9177888,84,136,1288.9,2038,2600.7,3352.3,5258.6,6284,5903,4317.4,4668.6,4617.1,5715.8
P55196,Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3,331.2832479,42.37938596,67,120,66,66,1,1824,206.676,6.47,FALSE,High,Master Protein,8.38,0,1721.410853,42.37938596,67,120,1357.5,2367.3,3552,4616.6,6086,5349.4,4363.9,3388,4100,3202.9,1204.1
Q9NQC3,Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2,330.8743445,58.13758389,42,118,42,42,1,1192,129.851,4.5,FALSE,High,Master Protein,26.953,0,2136.89888,58.13758389,42,118,805.6,1413.8,1779.2,2487.8,3419.3,4432.6,4195.9,2784.2,2408.9,1085.7,533.1
O43432,Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens OX=9606 GN=EIF4G3 PE=1 SV=2,324.9021146,44.41640379,69,131,58,58,1,1585,176.542,5.38,FALSE,High,Master Protein,10.482,2,1849.620091,44.41640379,69,131,716.3,1218.8,1719.8,2048.2,2219.2,3959.7,4997.1,6404.9,6775.9,3322.5,555.6
Q14676,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,324.8563129,43.70512207,54,104,53,54,1,2089,226.529,5.47,FALSE,High,Master Protein,7.892,0,1667.175907,43.70512207,54,104,5785.6,1752.8,1474.6,1221.7,873.3,882.5,861.5,687.2,729.4,839.5,331.8
P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,321.0761145,60.3960396,48,117,48,48,1,1010,107.699,6.7,FALSE,High,Master Protein,21.387,0,2285.165579,60.3960396,48,117,1079.9,2291,2472.5,3076.9,2536.5,3300,4028.2,3432.3,2977.5,7180.4,11037.7
P69849,Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=3 SV=2,314.2478123,46.07201309,42,97,1,4,1,1222,134.049,5.67,FALSE,High,Master Protein,10.734,43,2259.608454,46.07201309,42,97,1422,2025.3,3216.8,5388.4,7342.9,7121.2,5371.1,2247,1204.1,1099.9,886.7
P03243,E1B 55 kDa protein OS=Human adenovirus C serotype 5 OX=28285 PE=1 SV=1,311.7734369,62.09677419,26,295,5,26,1,496,54.964,7.3,FALSE,High,Master Protein,1556.068,0,4337.846117,62.09677419,26,295,4250.7,14420.6,11215.1,8929.5,4444.8,5386.5,5924.2,7096,7381.9,7375.3,2181.4
Q99996,A-kinase anchor protein 9 OS=Homo sapiens OX=9606 GN=AKAP9 PE=1 SV=4,308.2472816,27.38674175,105,128,97,98,1,3907,452.708,4.98,FALSE,High,Master Protein,1.463,5,1075.485234,27.38674175,105,128,1371.1,2049.5,2958.3,3060,2343.3,3491.1,4265.1,4537.9,5552.4,4178.2,1879.2
P07237,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,307.9020849,64.17322835,31,218,31,31,1,508,57.081,4.87,FALSE,High,Master Protein,148.624,0,3382.033152,64.17322835,31,218,1209.3,3408.3,5336.4,9118,14104.9,13274,9651.6,3545.6,1890.2,1693.4,2162.8
P07942,Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2,307.2777656,42.38521837,62,129,60,60,1,1786,197.909,4.94,FALSE,High,Master Protein,8.545,3,1631.325559,42.38521837,62,129,1481.7,2166.5,3121.1,5030,6401.2,5960.9,4413.9,2071.2,1661.3,1688.8,892.4
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,306.1125189,66.95544554,47,114,47,47,1,808,90.924,5.77,FALSE,High,Master Protein,28.764,0,2064.852222,66.95544554,47,114,2603,1314.7,1361.4,1444.8,1335.1,2123.7,2554.2,3578.5,5949.4,9300.1,2595.1
P40939,Trifunctional enzyme subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2,305.8054094,58.06028834,37,102,37,37,1,763,82.947,9.04,FALSE,High,Master Protein,53.117,0,2203.947366,58.06028834,37,102,1371,9867.7,13664.5,9318.1,1556.1,1106.9,918.1,897.8,1014.9,1027.4,551.8
Q15155,Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5,305.1458121,43.69885434,40,96,2,2,1,1222,134.239,5.81,FALSE,High,Master Protein,10.007,0,2161.196894,43.69885434,40,96,68.4,143.4,210.6,333.9,468.5,424.8,309.4,130.7,72.4,74.6,42.5
Q08378,Golgin subfamily A member 3 OS=Homo sapiens OX=9606 GN=GOLGA3 PE=1 SV=2,302.6117332,48.79839786,63,88,61,62,1,1498,167.252,5.44,FALSE,High,Master Protein,5.813,0,1715.090615,48.79839786,63,88,1035.7,2488.5,3444.5,3567.4,2161.8,2280.5,2307.4,1846.1,1915.2,3465.5,1590.2
O75592,E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=4,301.8413228,21.18426678,89,118,88,88,1,4678,513.309,7.02,FALSE,High,Master Protein,1.466,1,1266.730167,21.18426678,89,118,1031.3,1790.7,2618.6,3606.8,2602.5,3229.4,3742.1,4024.7,4114.2,1917.4,562.4
Q92621,Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,300.8326697,35.43737575,63,108,62,63,1,2012,227.776,6.19,FALSE,High,Master Protein,5.983,0,1775.431108,35.43737575,63,108,7189.5,2881.5,2886.1,3671.1,3378,3223.2,2660.9,1679.4,1436.7,3353.4,1603.4
P39023,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,299.3980889,55.33498759,23,224,21,21,1,403,46.08,10.18,FALSE,High,Master Protein,4805.381,2,3212.048488,55.33498759,23,224,2599.7,3062.8,3902.2,5022.4,5270.2,8500.1,10822.9,11958.2,12043.7,6296.3,1015.2
Q9NR09,Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=2,299.0020149,19.12703315,67,100,65,66,1,4857,529.919,6.05,FALSE,High,Master Protein,1.319,0,1305.307152,19.12703315,67,100,753.7,988.4,1266.3,1335.1,1179.3,1453.5,1462,1727.9,2225.9,8150.8,1179.8
Q14690,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,298.0805355,40.29930518,69,108,69,69,1,1871,208.57,8.87,FALSE,High,Master Protein,5.114,0,1602.43553,40.29930518,69,108,13706.3,2502.6,2178.3,1763.7,1327.5,1838.2,2265.5,3387.2,5009.2,2509.8,622.9
