"Accession number","Accession number","ENV %","STR %","THY %","Total Spectral count","ENV (spectral count)","STR (spectral count)","THY (spectral count)","TOT (spectral count)",LOC_Training,LOC_Test,"cTP (ChloroP)","TargetP (PPDB)","Description (TAIR)","MapManBin (PPDB)","Curated Location (PPDB)","Location (TAIR)","Subcellular loc MF120725","Subplastidial loc MF120725","Subsubplastidial loc 120725","TMHMM (PPDB)","Calc.MW (PPDB)","Calc.PI (PPDB)","Length (nb of aa)","ProteomicsPub. (PPDB)","GFP/YFP loc. (PPDB)"
AT3G14110.1,AT3G14110,12.9257291639271,0,87.0742708360729,13,1,0,7,5," -"," -",-,C,"tetratricopeptide repeat (TPR)-containing protein, contains Pfam profile PF00515: ","19.4 tetrapyrrole synthesis.regulation","envelope-inner; thylakoid","thylakoid membrane (sensu Viridiplantae) & chloroplast envelope",C,ENV_THY,unknown,1,34.58,9.09,316,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT5G21430.1,AT5G21430,50.9590958577428,0,49.0409041422572,2,1,0,1,0," -",THY,Y,C,"DNAJ heat shock N-terminal domain-containing protein, contains Pfam profile: PF002","26.29* misc. DnaJ domain with unknown function",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,1,24.43,5.07,218,"15322131(Thylakoid-stripped); "," -"
AT3G01480.1,AT3G01480,6.10287815012276,2.86322126013852,91.0339005897387,77,2,3,31,41," -",THY,Y,C,"peptidyl-prolyl cis-trans isomerase, putative / cyclophilin, putative / rotamase, ","29.6 protein.folding",thylakoid-peripheral-lumenal-side,"thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae)",C,ENV_THY,unknown,0,47.98,5.05,437,"15028209(Total chloroplast); 11719511(Thylakoid lumen proteome); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16207701(chloroplast stroma); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT5G35170.1,AT5G35170,14.1344712147879,11.0521946878956,74.8133340973165,24,2,5,11,6," -"," -",Y,C,"adenylate kinase family protein, contains Pfam profile: PF00406 adenylate kinase |","23.4.1 nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase",plastid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,65.73,8.84,588,"12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT5G38660.1,AT5G38660,20.6209681648922,0,79.3790318351078,18,2,0,8,8," -",THY,Y,C,"expressed protein, similar to unknown protein (pir::S75762) | chr5:15490363-154927","35.2 not assigned.unknown",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,1,31.43,8.6,286,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); "," -"
AT1G04620.1,AT1G04620,43.7992469532799,0,56.2007530467201,7,3,0,4,0," -"," -",Y,C,"coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family, contains Pf","35.1 not assigned.no ontology"," -"," -",C,ENV_THY,unknown,0,51.66,8.36,462," -"," -"
AT1G54500.1,AT1G54500,50.9590958577428,0,49.0409041422572,6,3,0,3,0," -",THY,-,C,"rubredoxin family protein, similar to SP:P00270 Rubredoxin (Rd) {Desulfovibrio gig","29.8 protein assembly and cofactor ligation",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,1,21.87,6.28,195,"15028209(Total chloroplast); 14729914(thylakoid stripped); 15322131(Thylakoid-stripped); "," -"
AT1G74470.1,AT1G74470,5.50659235054462,0.43057805134884,94.0628295981065,151,4,1,71,75," -",THY,Y,C,"geranylgeranyl reductase, identical to geranylgeranyl reductase GB:Y14044 (Arabido","16.1.1 secondary metabolism.isoprenoids.non-mevalonate pathway",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,51.83,9.03,467,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT4G01150.1,AT4G01150,5.60498258689092,0,94.3950174131091,109,4,0,70,35," -",THY,Y,C,"expressed protein | chr4:493548-494795 FORWARD | Aliases: F2N1.18, F2N1_18","35.2 not assigned.unknown",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,2,17.69,9.21,164,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 14729914(thylakoid stripped); 15322131(Thylakoid-stripped); 16461379(plastoglubular); "," -"
AT5G42070.1,AT5G42070,80.6068371687766,0,19.3931628312234,7,4,0,1,2," -"," -",Y,C,"expressed protein, similar to unknown protein (dbj:BAA92898.1) | chr5:16836215-168","35.2 not assigned.unknown"," -","thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,17.68,8.88,164,"15322131(Thylakoid-stripped); "," -"
AT2G25080.1,AT2G25080,33.7469459385718,33.7764036615178,32.4766503999105,29,5,16,5,3," -",STR,Y,C,"phospholipid hydroperoxide glutathione peroxidase, chloroplast / PHGPx (GPX1), ide","21.2 redox.ascorbate and glutathione","plastid stroma","thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,26.01,9.41,236,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT3G56690.1,AT3G56690,100,0,0,5,5,0,0,0," -"," -",Y,C,"calmodulin-binding protein, identical to calmodulin-binding protein GI:6760428 fro","30.3 signalling.calcium"," -","thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,111.52,6.05,1022,"15322131(Thylakoid-stripped); "," -"
AT5G28750.1,AT5G28750,100,0,0,5,5,0,0,0," -",THY,Y,C,"thylakoid assembly protein, putative, similar to thylakoid assembly 4 (tha4) prote","29.3.3 protein.targeting.chloroplast",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,1,15.71,9.22,147,"12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT1G06690.1,AT1G06690,100,0,0,11,7,0,0,4," -"," -",Y,C,"aldo/keto reductase family protein, contains Pfam profile PF00248: oxidoreductase,","35.1 not assigned.no ontology",plastoglobules,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,41.49,8.85,377,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 15815986(seedling); 15815986(Leaf); "," -"
AT2G22360.1,AT2G22360,89.5022944136899,10.4977055863101,0,11,8,3,0,0," -",THY,Y,C,"DNAJ heat shock family protein, similar to SP:Q9S5A3 Chaperone protein dnaJ {Liste","26.29* misc. DnaJ domain with unknown function",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,47.76,9.24,442,"15322131(Thylakoid-stripped); "," -"
AT2G43630.1,AT2G43630,100,0,0,8,8,0,0,0," -"," -",Y,C,"expressed protein | chr2:18102854-18104565 FORWARD | Aliases: F18O19.26","35.2 not assigned.unknown",plastid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,30.7,8.29,274,"12938931(Total chloroplast envelope); 14617066(Nuclear proteome); 15322131(Thylakoid-stripped); "," -"
AT5G20140.1,AT5G20140,62.4424795626263,0,37.5575204373737,16,8,0,5,3," -",THY,Y,C,"SOUL heme-binding family protein, contains PFam profile PF04832: SOUL heme-binding","21.3 redox.heme",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,43.16,6.98,378,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); "," -"
AT3G25760.1,AT3G25760,82.5636826982338,8.60789089278251,8.82842640898365,13,9,3,1,0," -"," -",Y,C,"early-responsive to dehydration stress protein (ERD12), nearly identical to early-","17.7.1.3 hormone metabolism.jasmonate.synthesis-degradation.allene oxidase synthase",plastid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,27.8,9.11,254,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT4G27700.1,AT4G27700,70.0420020031115,0,29.9579979968884,17,9,0,4,4," -",THY,Y,C,"rhodanese-like domain-containing protein, contains rhodanese-like domain PF00581 |","26.23 misc.rhodanese",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,24.87,8.78,224,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); ","15181206(Plastid  -SUBA); "
AT5G03880.1,AT5G03880,58.8270978588198,0,41.1729021411803,26,11,0,8,7," -",THY,Y,C,"expressed protein | chr5:1038507-1041479 REVERSE | Aliases: MED24.18, MED24_18","35.2 not assigned.unknown",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,37.04,9.01,339,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); "," -"
AT4G39960.1,AT4G39960,89.2620260880719,10.7379739119281,0,18,13,5,0,0," -",THY,Y,M,"DNAJ heat shock family protein, similar to SP:Q9S5A3 Chaperone protein dnaJ {Liste","26.29* misc. DnaJ domain with unknown function",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,48.03,9.22,447,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); "," -"
AT1G80030.1,AT1G80030,100,0,0,14,14,0,0,0," -",THY,Y,C,"DNAJ heat shock protein, putative, similar to SP:Q05646 Chaperone protein dnaJ {Er","26.29* misc. DnaJ domain with unknown function",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,53.82,7.48,500,"15322131(Thylakoid-stripped); "," -"
AT2G30950.1,AT2G30950,10.3506555046596,0,89.6493444953404,352,14,0,126,212," -",THY,Y,C,"FtsH protease (VAR2), identical to zinc dependent protease VAR2 GI:7650138 from (A","29.5.7 protein.degradation.metalloprotease",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae) & chloroplast",C,ENV_THY,unknown,1,74.15,5.99,695,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 11719511(Thylakoid lumen proteome); 14729914(thylakoid-pheripheral&lumen); 14729914(thylakoid stripped); 15322131(Thylakoid-stripped); 15815986(Silique); 15815986(seedling); 15815986(Leaf)"," -"
AT3G18890.1,AT3G18890,25.2792440456563,0,74.7207559543437,89,14,0,43,32," -",THY,Y,C,"expressed protein, similar to UV-B and ozone similarly regulated protein 1 UOS1 (P","20.2.5 stress.abiotic.light; 30.11  signalling.light",thylakoid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,68.34,8.27,641,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT5G52440.1,AT5G52440,74.4214092763796,0,25.5785907236203,20,14,0,5,1," -",THY,Y,C,"HCF106 protein, identical to HCF106 (Arabidopsis thaliana) GI:4894914; contains Pf","29.3.3 protein.targeting.chloroplast",thylakoid-integral,"thylakoid & thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,1,28.23,8.92,260,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); "," -"
AT1G50250.1,AT1G50250,18.2116025357967,0,81.7883974642033,276,18,0,84,174," -",THY,Y,C,"FTSH1 | encodes an FTSH protease that is localized to the chloroplast. Involved in the D1","29.5.7 protein.degradation.metalloprotease",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae) & chloroplast",C,ENV_THY,unknown,0,76.76,5.63,716,"15028209(Total chloroplast); 11719511(Thylakoid lumen proteome); 15322131(Thylakoid-stripped); 15276459(epidermis); "," -"
AT5G42270.1,AT5G42270,17.0975102048052,0,82.9024897951948,384,26,0,131,227," -",THY,Y,C,"FtsH protease, putative, similar to FtsH protease GI:13183728 from (Medicago sativ","29.5.7 protein.degradation.metalloprotease",thylakoid-integral,"thylakoid membrane (sensu Viridiplantae) & chloroplast",C,ENV_THY,unknown,0,75.23,5.36,704,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 14729914(thylakoid stripped); 15322131(Thylakoid-stripped); "," -"
AT3G53560.1,AT3G53560,92.7477565540056,7.25224344599438,0,42,32,8,0,2," -"," -",Y,C,"chloroplast lumen common family protein | chr3:19870605-19872009 REVERSE | Aliases","35.1 not assigned.no ontology",plastid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,38.66,6.58,340,"15322131(Thylakoid-stripped); 15815986(seedling); "," -"
AT5G16660.1,AT5G16660,87.2743636172852,0,12.7256363827148,44,33,0,5,6," -",ENV,Y,C,"expressed protein | chr5:5465490-5467066 REVERSE | Aliases: MTG13.11, MTG13_11","35.2 not assigned.unknown",envelope," -",C,ENV_THY,unknown,1,18.17,8.51,168,"12938931(Total chloroplast envelope); 14729914(thylakoid stripped); "," -"
AT3G46780.1,AT3G46780,21.9996336545433,0,78.0003663454567,320,38,0,140,142," -",THY,Y,C,"expressed protein | chr3:17239658-17242186 FORWARD | Aliases: T6H20.190","28.3* DNA.plastid nucleoid interacting",thylakoid,"thylakoid membrane (sensu Viridiplantae) & plastid chromosome",C,ENV_THY,unknown,0,54.35,8.9,510,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16326926(nucleoids); 15815986(seedling); 15815986(Leaf); "," -"
AT1G42960.1,AT1G42960,91.4169865996745,0,8.58301340032551,49,41,0,4,4," -",THY,Y,C,"expressed protein localized to the inner membrane of the chloroplast. | chr1:16128","35.2 not assigned.unknown",thylakoid,"thylakoid membrane (sensu Viridiplantae) & chloroplast inner membrane",C,ENV_THY,unknown,1,17.82,8.54,168,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 14729914(thylakoid stripped); 15322131(Thylakoid-stripped); 16618929(MITO/PLASTID-LOPIT-callus); "," -"
AT2G34460.1,AT2G34460,84.1018385608088,0,15.8981614391912,74,56,0,11,7," -"," -",Y,C,"flavin reductase-related, low similarity to SP:P30043 Flavin reductase {Homo sapie","35.1 not assigned.no ontology",plastoglobules,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,30.47,9.03,280,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 16461379(plastoglubular); "," -"
AT5G08540.1,AT5G08540,97.2862543381704,0,2.71374566182962,75,69,0,2,4," -",ENV,Y,C,"expressed protein, similar to unknown protein (pir::T27191) | chr5:2763824-2766156","35.2 not assigned.unknown",envelope,"thylakoid membrane (sensu Viridiplantae) & chloroplast envelope",C,ENV_THY,unknown,0,38.65,5.67,346,"12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT5G54190.1,AT5G54190,59.3384626821267,6.26102130653185,34.4005160113414,232,83,28,50,71," -"," -",Y,C,"protochlorophyllide reductase A, chloroplast / PCR A / NADPH-protochlorophyllide o","19.14 tetrapyrrole synthesis.protochlorophyllide reductase",thylakoid-peripheral-stromal-side," -",C,ENV_THY,unknown,0,43.86,9.42,405,"15815986(Leaf); ","14688290(Plastid  -SUBA); "
AT5G23890.1,AT5G23890,100,0,0,97,95,0,0,2," -",ENV,Y,C,"expressed protein, weak similarity to SP:P12957 Caldesmon (CDM) {Gallus gallus} | ","35.1 not assigned.no ontology",envelope,"thylakoid membrane (sensu Viridiplantae) & chloroplast envelope",C,ENV_THY,unknown,1,103.92,4.61,946,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16618929(MITO/PLASTID-LOPIT-callus); "," -"
AT1G03630.1,AT1G03630,66.8558474076848,1.67896045836514,31.46519213395,287,137,11,67,72," -"," -",Y,C,"protochlorophyllide reductase C, chloroplast / PCR C / NADPH-protochlorophyllide o","19.14 tetrapyrrole synthesis.protochlorophyllide reductase",thylakoid-peripheral-stromal-side,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,43.88,9.18,401,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT4G27440.1,AT4G27440,58.1415908560854,6.92326411896196,34.9351450249527,546,197,75,123,151," -"," -",Y,C,"protochlorophyllide reductase B, chloroplast / PCR B / NADPH-protochlorophyllide o","19.14 tetrapyrrole synthesis.protochlorophyllide reductase",thylakoid-peripheral-stromal-side,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,43.36,9.22,401,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); 15815986(seedling); 15815986(Leaf); ","14688290(Plastid  -SUBA); "
AT5G16620.1,AT5G16620,94.4625304675706,0,5.53746953242935,215,197,0,12,6," -",ENV,Y,C,"ATTIC40 | hydroxyproline-rich glycoprotein family protein, contains proline rich extensin","29.3.3 protein.targeting.chloroplast",envelope-inner-integral,"thylakoid membrane (sensu Viridiplantae) & chloroplast",C,ENV_THY,unknown,0,48.9,5.37,447,"12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
AT5G25510.1,AT5G25510,50.9590958577428,0,49.0409041422572,2,1,0,1,0," -"," -",Y,C,"serine/threonine protein phosphatase 2A (PP2A) regulatory subunit B', putative ","29.4 protein.postranslational modification"," -"," -",C,ENV_THY,unknown,0,56.42,8.9,500," -"," -"
AT2G20890.1,AT2G20890,27.1629808925883,1.54469837896285,71.2923207284489,106,11,2,30,63," -"," -",Y,C,"THF1 | Chloroplast-localized Thylakoid formation1 gene product involved in vesicle-mediat","29.3.3 protein.targeting.chloroplast","envelope; plastid stroma; thylakoid-peripheral-stromal-side","thylakoid membrane (sensu Viridiplantae) & plastid stroma & chloroplast & plastid outer membrane & plastid inner membrane",C,unknown,unknown,0,33.79,9.2,300,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16207701(chloroplast stroma); 15815986(seedling); 15815986(Leaf); ","15516501(Plastid  -SUBA); "
AT1G65260.1,AT1G65260,80.4505881035176,14.0192487711583,5.5301631253241,138,70,39,5,24," -"," -",Y,C,"PspA/IM30 family protein, contains Pfam PF04012: PspA/IM30 family profile; similar","29.3.3 protein.targeting.chloroplast","envelope; plastid stroma; thylakoid-peripheral-stromal-side","thylakoid membrane (sensu Viridiplantae) & plastid chromosome & chloroplast envelope & thylakoid (sensu Viridiplantae)",C,unknown,unknown,0,36.39,9.17,330,"12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16207701(chloroplast stroma); 16326926(nucleoids); "," -"
AT1G79600.1,AT1G79600,0,0,100,4,0,0,4,0," -"," -",Y,C,"ABC1 family protein, contains Pfam domain, PF03109: ABC1 family | chr1:29954839-29","26.56* misc.ABC1k family",plastoglobules," -",C,PG,unknown,0,79.02,6.35,711,"16414959(plastoglubular); 16461379(plastoglubular); "," -"
AT2G46910.1,AT2G46910,0,100,0,4,0,4,0,0," -"," -",Y,C,"plastid-lipid associated protein PAP / fibrillin family protein, contains Pfam pro","26.31* misc. fibrillins",plastoglobules," -",C,PG,unknown,0,31.58,8.34,284,"16461379(plastoglubular); "," -"
AT4G13200.1,AT4G13200,0,0,100,5,0,0,5,0," -"," -",Y,C,"expressed protein, hypothetical protein sll1769 - Synechocystis sp,PID:d1018406 | ","35.2 not assigned.unknown",plastoglobules,"thylakoid membrane (sensu Viridiplantae)",C,PG,unknown,0,20.43,5.26,185,"15028209(Total chloroplast); 14729914(thylakoid stripped); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 16461379(plastoglubular); "," -"
AT3G58010.1,AT3G58010,TOT,TOT,TOT,3,0,0,0,3," -"," -",Y,C,"expressed protein | chr3:21486790-21488475 REVERSE | Aliases: T10K17.220","26.31* misc. fibrillins","plastoglobules; thylakoid-peripheral-stromal-side","thylakoid membrane (sensu Viridiplantae)",C,PG/THY,unknown,0,34.09,5.36,308,"11719511(Thylakoid lumen proteome); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 16461379(plastoglubular); "," -"
AT4G04020.1,AT4G04020,0,0,100,30,0,0,16,14," -"," -",Y,C,"plastid-lipid associated protein PAP, putative / fibrillin, putative, strong simil","26.31* misc. fibrillins","plastoglobules; thylakoid-peripheral-stromal-side","thylakoid membrane (sensu Viridiplantae)",C,PG/THY,unknown,0,34.94,5.44,318,"15028209(Total chloroplast); 11719511(Thylakoid lumen proteome); 14617066(Nuclear proteome); 14729914(thylakoid-pheripheral&lumen); 14729914(thylakoid stripped); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16207701(chloroplast stro"," -"
AT4G22240.1,AT4G22240,0,0,100,17,0,0,7,10," -"," -",Y,C,"plastid-lipid associated protein PAP, putative, similar to plastid-lipid associate","26.31* misc. fibrillins","plastoglobules; thylakoid-peripheral-stromal-side","thylakoid membrane (sensu Viridiplantae)",C,PG/THY,unknown,0,33.65,5.67,310,"15028209(Total chloroplast); 11719511(Thylakoid lumen proteome); 14729914(thylakoid-pheripheral&lumen); 14729914(thylakoid stripped); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 16461379(plastoglubular); 1"," -"
AT2G35490.1,AT2G35490,4.94483436824986,4.63982879643495,90.4153368353152,60,1,3,19,37," -"," -",Y,C,"plastid-lipid associated protein PAP, putative, similar to plastid-lipid associate","26.31* misc. fibrillins","plastoglobules; thylakoid-peripheral-stromal-side","thylakoid membrane (sensu Viridiplantae)",C,PG/THY,unknown,0,40.5,4.45,376,"15028209(Total chloroplast); 14729914(thylakoid-pheripheral&lumen); 14729914(thylakoid stripped); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 16461379(plastoglubular); "," -"
