UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
P13864,DNA (cytosine-5)-methyltransferase 1 OS=Mus musculus GN=Dnmt1 PE=1 SV=5 [DNMT1_MOUSE],74,87,53.6,0.090,0.000,0.005,0.000,0.021,0.070,0.130,0.396,0.270,0.018
P48725,Pericentrin OS=Mus musculus GN=Pcnt PE=1 SV=2 [PCNT_MOUSE],73,76,27.1,0.080,0.000,0.004,0.000,0.024,0.105,0.153,0.278,0.341,0.014
A2ASS6,Titin OS=Mus musculus GN=Ttn PE=1 SV=1 [TITIN_MOUSE],73,73,3.9,0.047,0.000,0.000,0.000,0.029,0.099,0.146,0.363,0.298,0.017
Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2 [LPPRC_MOUSE]",72,99,56.9,0.007,0.000,0.000,0.001,0.038,0.160,0.434,0.216,0.136,0.008
Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3 [CLH1_MOUSE],71,87,53.5,0.464,0.000,0.032,0.001,0.056,0.150,0.115,0.077,0.101,0.003
Q8VHX6-2,Isoform 2 of Filamin-C OS=Mus musculus GN=Flnc [FLNC_MOUSE],71,72,36.2,0.376,0.002,0.027,0.003,0.034,0.077,0.108,0.185,0.174,0.015
Q07113,Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1 [MPRI_MOUSE],69,74,35.2,0.013,0.000,0.004,0.010,0.172,0.345,0.266,0.116,0.070,0.004
O88738,Baculoviral IAP repeat-containing protein 6 OS=Mus musculus GN=Birc6 PE=1 SV=2 [BIRC6_MOUSE],69,71,22.5,0.428,0.000,0.029,0.000,0.021,0.055,0.059,0.069,0.334,0.005
Q9QZQ1-2,Isoform 1 of Afadin OS=Mus musculus GN=Mllt4 [AFAD_MOUSE],68,75,45.7,0.232,0.019,0.031,0.017,0.089,0.169,0.117,0.091,0.224,0.010
Q7TPV4,Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2 [MBB1A_MOUSE],66,90,57.5,0.134,0.000,0.008,0.000,0.006,0.022,0.045,0.131,0.647,0.009
Q9CW03,Structural maintenance of chromosomes protein 3 OS=Mus musculus GN=Smc3 PE=1 SV=2 [SMC3_MOUSE],66,74,50.6,0.092,0.000,0.006,0.000,0.016,0.057,0.099,0.282,0.435,0.014
O88491,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific OS=Mus musculus GN=Nsd1 PE=1 SV=1 [NSD1_MOUSE]",66,71,30.6,0.101,0.000,0.005,0.000,0.023,0.064,0.114,0.298,0.370,0.025
Q8BTI8,Serine/arginine repetitive matrix protein 2 OS=Mus musculus GN=Srrm2 PE=1 SV=3 [SRRM2_MOUSE],65,73,30.4,0.173,0.000,0.014,0.002,0.024,0.046,0.052,0.078,0.548,0.062
Q8CG48,Structural maintenance of chromosomes protein 2 OS=Mus musculus GN=Smc2 PE=1 SV=2 [SMC2_MOUSE],64,80,52.0,0.091,0.000,0.006,0.000,0.018,0.065,0.100,0.233,0.476,0.011
Q9CU62,Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4 [SMC1A_MOUSE],63,74,50.7,0.079,0.000,0.005,0.000,0.016,0.053,0.101,0.314,0.418,0.015
Q9JKF1,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2 [IQGA1_MOUSE],62,71,50.2,0.429,0.000,0.029,0.003,0.052,0.147,0.105,0.085,0.147,0.003
Q8CGC7,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4 [SYEP_MOUSE],62,67,46.0,0.714,0.001,0.042,0.000,0.019,0.047,0.041,0.034,0.100,0.001
P14873,Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2 [MAP1B_MOUSE],62,64,34.5,0.305,0.000,0.021,0.000,0.032,0.112,0.144,0.255,0.117,0.014
Q9R0L6-2,Isoform 2 of Pericentriolar material 1 protein OS=Mus musculus GN=Pcm1 [PCM1_MOUSE],62,63,49.5,0.049,0.000,0.002,0.000,0.021,0.081,0.109,0.355,0.362,0.020
P26231,Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1 [CTNA1_MOUSE],61,77,66.1,0.086,0.009,0.015,0.018,0.188,0.292,0.169,0.116,0.102,0.005
Q8BI84,Melanoma inhibitory activity protein 3 OS=Mus musculus GN=Mia3 PE=1 SV=2 [MIA3_MOUSE],61,68,38.2,0.004,0.000,0.003,0.009,0.095,0.332,0.300,0.161,0.087,0.008
Q64727,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4 [VINC_MOUSE],61,67,65.8,0.790,0.002,0.048,0.000,0.022,0.049,0.037,0.029,0.023,0.000
Q61001,Laminin subunit alpha-5 OS=Mus musculus GN=Lama5 PE=1 SV=4 [LAMA5_MOUSE],61,64,26.0,0.038,0.000,0.005,0.010,0.135,0.315,0.268,0.132,0.091,0.006
Q6P9L6,Kinesin-like protein KIF15 OS=Mus musculus GN=Kif15 PE=1 SV=1 [KIF15_MOUSE],61,63,54.7,0.187,0.000,0.014,0.001,0.023,0.067,0.081,0.089,0.532,0.006
Q69ZN7,Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2 [MYOF_MOUSE],61,62,39.3,0.019,0.000,0.007,0.008,0.148,0.327,0.270,0.135,0.080,0.006
P54276,DNA mismatch repair protein Msh6 OS=Mus musculus GN=Msh6 PE=1 SV=3 [MSH6_MOUSE],60,77,55.9,0.163,0.000,0.011,0.000,0.023,0.069,0.133,0.349,0.237,0.015
Q6PDQ2,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1 [CHD4_MOUSE],60,72,42.3,0.125,0.000,0.007,0.000,0.013,0.064,0.120,0.406,0.243,0.022
Q6P5E4,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus GN=Uggt1 PE=1 SV=4 [UGGG1_MOUSE],60,69,51.3,0.045,0.000,0.002,0.005,0.069,0.338,0.316,0.143,0.081,0.002
Q4U2R1-2,Isoform 2 of E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 [HERC2_MOUSE],60,61,19.7,0.070,0.000,0.005,0.003,0.064,0.197,0.191,0.137,0.326,0.008
Q01320,DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2 [TOP2A_MOUSE],59,82,42.8,0.045,0.000,0.002,0.000,0.016,0.065,0.131,0.487,0.231,0.022
P70398,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Mus musculus GN=Usp9x PE=1 SV=2 [USP9X_MOUSE],59,61,26.5,0.710,0.000,0.042,0.000,0.013,0.040,0.038,0.046,0.112,0.000
P14733,Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3 [LMNB1_MOUSE],58,110,70.6,0.012,0.003,0.004,0.007,0.090,0.223,0.313,0.213,0.120,0.015
Q9JIK5,Nucleolar RNA helicase 2 OS=Mus musculus GN=Ddx21 PE=1 SV=3 [DDX21_MOUSE],58,89,67.9,0.149,0.000,0.009,0.000,0.009,0.029,0.051,0.152,0.589,0.011
Q61687,Transcriptional regulator ATRX OS=Mus musculus GN=Atrx PE=1 SV=3 [ATRX_MOUSE],58,62,28.7,0.102,0.000,0.007,0.000,0.016,0.075,0.145,0.428,0.205,0.021
G5E870,E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1 [TRIPC_MOUSE],58,59,40.8,0.255,0.000,0.017,0.000,0.032,0.072,0.097,0.198,0.316,0.014
Q8CJF7,Protein ELYS OS=Mus musculus GN=Ahctf1 PE=1 SV=1 [ELYS_MOUSE],57,61,31.5,0.035,0.000,0.002,0.000,0.027,0.114,0.212,0.364,0.226,0.020
Q70FJ1-3,Isoform 3 of A-kinase anchor protein 9 OS=Mus musculus GN=Akap9 [AKAP9_MOUSE],57,58,19.7,0.102,0.000,0.004,0.000,0.038,0.111,0.168,0.282,0.278,0.017
Q8CG47,Structural maintenance of chromosomes protein 4 OS=Mus musculus GN=Smc4 PE=1 SV=1 [SMC4_MOUSE],57,58,43.9,0.118,0.000,0.008,0.000,0.014,0.054,0.087,0.226,0.481,0.012
Q8VDR9,Dedicator of cytokinesis protein 6 OS=Mus musculus GN=Dock6 PE=1 SV=4 [DOCK6_MOUSE],57,57,41.4,0.089,0.000,0.007,0.005,0.088,0.246,0.167,0.122,0.273,0.004
Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4 [C1TC_MOUSE]",56,80,66.3,0.134,0.000,0.010,0.002,0.048,0.118,0.120,0.080,0.482,0.005
Q99NB9,Splicing factor 3B subunit 1 OS=Mus musculus GN=Sf3b1 PE=1 SV=1 [SF3B1_MOUSE],56,67,54.2,0.185,0.000,0.012,0.000,0.007,0.018,0.042,0.045,0.683,0.008
Q80WE4-3,Isoform 3 of Kinesin-like protein KIF20B OS=Mus musculus GN=Kif20b [KI20B_MOUSE],56,60,37.0,0.097,0.000,0.005,0.000,0.022,0.080,0.127,0.364,0.289,0.017
P11276,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=4 [FINC_MOUSE],56,58,39.7,0.011,0.000,0.004,0.007,0.096,0.261,0.295,0.194,0.121,0.011
Q5SWU9-2,Isoform 2 of Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca [ACACA_MOUSE],56,58,39.0,0.386,0.000,0.024,0.000,0.021,0.060,0.069,0.091,0.346,0.002
P23116,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus GN=Eif3a PE=1 SV=5 [EIF3A_MOUSE],55,68,36.3,0.704,0.001,0.045,0.000,0.011,0.024,0.026,0.037,0.148,0.002
P02468,Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2 [LAMC1_MOUSE],55,61,42.9,0.027,0.003,0.009,0.015,0.142,0.330,0.265,0.127,0.078,0.005
Q9JMH9,Unconventional myosin-XVIIIa OS=Mus musculus GN=Myo18a PE=1 SV=2 [MY18A_MOUSE],55,57,42.8,0.011,0.000,0.002,0.004,0.051,0.215,0.250,0.306,0.144,0.016
P08113,Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2 [ENPL_MOUSE],54,127,63.1,0.038,0.000,0.003,0.006,0.104,0.335,0.297,0.139,0.074,0.004
P39447,Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2 [ZO1_MOUSE],53,59,38.1,0.180,0.005,0.019,0.010,0.078,0.195,0.128,0.087,0.286,0.014
Q8VDJ3,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1 [VIGLN_MOUSE],53,56,48.2,0.200,0.000,0.014,0.003,0.039,0.148,0.179,0.120,0.291,0.007
P70388,DNA repair protein RAD50 OS=Mus musculus GN=Rad50 PE=1 SV=1 [RAD50_MOUSE],53,55,40.9,0.128,0.000,0.009,0.000,0.018,0.055,0.098,0.235,0.442,0.015
P49025,Citron Rho-interacting kinase OS=Mus musculus GN=Cit PE=1 SV=3 [CTRO_MOUSE],52,53,28.2,0.155,0.000,0.012,0.004,0.055,0.137,0.108,0.119,0.402,0.009
Q64511,DNA topoisomerase 2-beta OS=Mus musculus GN=Top2b PE=1 SV=2 [TOP2B_MOUSE],52,52,38.7,0.053,0.000,0.003,0.000,0.013,0.067,0.140,0.472,0.232,0.021
Q6RT24,Centromere-associated protein E OS=Mus musculus GN=Cenpe PE=1 SV=1 [CENPE_MOUSE],52,52,25.1,0.171,0.000,0.010,0.000,0.031,0.088,0.098,0.140,0.453,0.008
Q91V92,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1 [ACLY_MOUSE],51,63,55.5,0.612,0.001,0.040,0.000,0.023,0.049,0.044,0.050,0.179,0.002
Q9Z1Q9,Valine--tRNA ligase OS=Mus musculus GN=Vars PE=2 SV=1 [SYVC_MOUSE],51,63,49.8,0.389,0.000,0.026,0.002,0.041,0.125,0.131,0.140,0.141,0.005
Q3TLH4,Protein PRRC2C OS=Mus musculus GN=Prrc2c PE=1 SV=3 [PRC2C_MOUSE],51,58,25.5,0.231,0.000,0.016,0.000,0.021,0.053,0.069,0.119,0.480,0.010
Q91VW5,Golgin subfamily A member 4 OS=Mus musculus GN=Golga4 PE=1 SV=2 [GOGA4_MOUSE],51,51,30.3,0.173,0.000,0.010,0.000,0.019,0.074,0.111,0.244,0.354,0.015
P38647,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3 [GRP75_MOUSE]",50,100,66.3,0.006,0.000,0.000,0.003,0.054,0.163,0.424,0.215,0.126,0.009
Q8K2Z4,Condensin complex subunit 1 OS=Mus musculus GN=Ncapd2 PE=1 SV=2 [CND1_MOUSE],50,53,46.9,0.139,0.000,0.009,0.000,0.015,0.066,0.107,0.283,0.368,0.013
Q9Z277,Tyrosine-protein kinase BAZ1B OS=Mus musculus GN=Baz1b PE=1 SV=2 [BAZ1B_MOUSE],50,52,35.2,0.070,0.000,0.004,0.000,0.019,0.067,0.135,0.454,0.228,0.022
P02469,Laminin subunit beta-1 OS=Mus musculus GN=Lamb1 PE=1 SV=3 [LAMB1_MOUSE],50,51,34.7,0.030,0.000,0.004,0.009,0.076,0.351,0.294,0.141,0.089,0.005
P58252,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2 [EF2_MOUSE],49,111,59.7,0.256,0.000,0.017,0.000,0.027,0.060,0.072,0.064,0.499,0.004
Q3U1J4,DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2 [DDB1_MOUSE],49,61,45.6,0.702,0.000,0.046,0.000,0.012,0.031,0.038,0.077,0.094,0.000
Q80U72,Protein scribble homolog OS=Mus musculus GN=Scrib PE=1 SV=2 [SCRIB_MOUSE],49,51,43.3,0.051,0.027,0.021,0.033,0.200,0.334,0.171,0.099,0.062,0.003
Q61316,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1 [HSP74_MOUSE],48,60,70.0,0.858,0.002,0.054,0.000,0.015,0.026,0.018,0.014,0.012,0.000
Q569Z5,Probable ATP-dependent RNA helicase DDX46 OS=Mus musculus GN=Ddx46 PE=1 SV=2 [DDX46_MOUSE],48,54,41.5,0.294,0.000,0.019,0.000,0.012,0.035,0.055,0.069,0.513,0.005
Q80TP3,E3 ubiquitin-protein ligase UBR5 OS=Mus musculus GN=Ubr5 PE=1 SV=2 [UBR5_MOUSE],48,48,24.0,0.677,0.000,0.043,0.000,0.011,0.026,0.039,0.066,0.134,0.005
Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1 [LRP1_MOUSE],48,48,13.5,0.050,0.000,0.007,0.010,0.173,0.274,0.250,0.133,0.097,0.006
P48678,Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2 [LMNA_MOUSE],47,63,67.7,0.011,0.000,0.001,0.003,0.046,0.168,0.273,0.314,0.166,0.017
Q9Z0U1,Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2 [ZO2_MOUSE],47,55,45.2,0.220,0.004,0.025,0.010,0.092,0.154,0.114,0.085,0.286,0.011
Q61543,Golgi apparatus protein 1 OS=Mus musculus GN=Glg1 PE=1 SV=1 [GSLG1_MOUSE],47,53,42.5,0.006,0.000,0.006,0.010,0.166,0.291,0.305,0.133,0.076,0.007
Q3TKT4,Transcription activator BRG1 OS=Mus musculus GN=Smarca4 PE=1 SV=1 [SMCA4_MOUSE],47,52,34.0,0.126,0.000,0.007,0.000,0.016,0.059,0.110,0.318,0.348,0.016
A2AWL7,MAX gene-associated protein OS=Mus musculus GN=Mga PE=2 SV=1 [MGAP_MOUSE],47,50,23.2,0.059,0.000,0.004,0.000,0.018,0.072,0.119,0.445,0.257,0.026
Q6PDI5,Proteasome-associated protein ECM29 homolog OS=Mus musculus GN=Ecm29 PE=1 SV=3 [ECM29_MOUSE],47,49,34.3,0.259,0.000,0.017,0.000,0.016,0.055,0.066,0.078,0.506,0.004
P09405,Nucleolin OS=Mus musculus GN=Ncl PE=1 SV=2 [NUCL_MOUSE],46,107,47.5,0.621,0.000,0.038,0.000,0.007,0.032,0.042,0.066,0.190,0.005
Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2 [C1TM_MOUSE]",46,58,59.9,0.005,0.000,0.000,0.002,0.054,0.162,0.421,0.216,0.132,0.007
Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=2 SV=2 [CAND1_MOUSE],46,55,43.3,0.457,0.000,0.027,0.000,0.018,0.059,0.066,0.152,0.216,0.005
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Lars PE=1 SV=2 [SYLC_MOUSE]",46,54,49.3,0.815,0.000,0.050,0.000,0.013,0.027,0.023,0.028,0.045,0.000
Q6A4J8-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 7 OS=Mus musculus GN=Usp7 [UBP7_MOUSE],46,52,48.6,0.591,0.000,0.037,0.000,0.016,0.034,0.043,0.077,0.199,0.003
Q80YV3,Transformation/transcription domain-associated protein OS=Mus musculus GN=Trrap PE=1 SV=2 [TRRAP_MOUSE],46,47,26.2,0.070,0.000,0.004,0.000,0.011,0.038,0.078,0.212,0.577,0.009
Q571H0,Nucleolar pre-ribosomal-associated protein 1 OS=Mus musculus GN=Urb1 PE=2 SV=2 [NPA1P_MOUSE],46,46,30.7,0.116,0.000,0.009,0.000,0.004,0.017,0.041,0.114,0.694,0.006
Q3UJB9,Enhancer of mRNA-decapping protein 4 OS=Mus musculus GN=Edc4 PE=1 SV=2 [EDC4_MOUSE],45,62,50.7,0.020,0.000,0.000,0.000,0.015,0.038,0.069,0.151,0.698,0.009
Q920B9,FACT complex subunit SPT16 OS=Mus musculus GN=Supt16h PE=1 SV=2 [SP16H_MOUSE],45,50,46.4,0.339,0.000,0.023,0.000,0.011,0.057,0.095,0.285,0.178,0.012
Q9ESZ8-5,Isoform 5 of General transcription factor II-I OS=Mus musculus GN=Gtf2i [GTF2I_MOUSE],45,50,57.2,0.094,0.000,0.006,0.001,0.023,0.082,0.157,0.394,0.223,0.020
P08775,DNA-directed RNA polymerase II subunit RPB1 OS=Mus musculus GN=Polr2a PE=1 SV=3 [RPB1_MOUSE],45,48,31.4,0.362,0.000,0.021,0.000,0.012,0.034,0.051,0.202,0.308,0.011
Q61191,Host cell factor 1 OS=Mus musculus GN=Hcfc1 PE=1 SV=2 [HCFC1_MOUSE],45,48,33.7,0.174,0.000,0.014,0.000,0.018,0.042,0.071,0.198,0.466,0.018
Q3URK3,Methylcytosine dioxygenase TET1 OS=Mus musculus GN=Tet1 PE=1 SV=2 [TET1_MOUSE],45,46,27.6,0.095,0.000,0.006,0.000,0.020,0.049,0.099,0.312,0.391,0.029
Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1 [ATPA_MOUSE]",44,107,79.9,0.007,0.000,0.001,0.003,0.067,0.174,0.402,0.199,0.137,0.009
P20029,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3 [GRP78_MOUSE],44,106,62.9,0.033,0.000,0.004,0.009,0.109,0.339,0.295,0.135,0.072,0.005
P43247,DNA mismatch repair protein Msh2 OS=Mus musculus GN=Msh2 PE=1 SV=1 [MSH2_MOUSE],44,60,62.8,0.156,0.000,0.009,0.000,0.022,0.080,0.145,0.337,0.238,0.013
P11103,Poly [ADP-ribose] polymerase 1 OS=Mus musculus GN=Parp1 PE=1 SV=3 [PARP1_MOUSE],44,54,38.3,0.112,0.000,0.007,0.000,0.017,0.078,0.145,0.413,0.208,0.020
P37913,DNA ligase 1 OS=Mus musculus GN=Lig1 PE=1 SV=2 [DNLI1_MOUSE],44,51,54.3,0.253,0.000,0.016,0.000,0.015,0.060,0.109,0.303,0.229,0.015
Q6P5B0,RRP12-like protein OS=Mus musculus GN=Rrp12 PE=1 SV=1 [RRP12_MOUSE],44,51,40.8,0.120,0.000,0.008,0.000,0.008,0.017,0.040,0.100,0.701,0.007
O70318,Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2 [E41L2_MOUSE],44,48,46.8,0.186,0.038,0.040,0.044,0.144,0.247,0.145,0.098,0.053,0.005
Q6NZJ6,Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=1 SV=1 [IF4G1_MOUSE],44,48,30.2,0.386,0.001,0.027,0.000,0.016,0.045,0.056,0.129,0.334,0.007
A2ASQ1-3,Isoform 3 of Agrin OS=Mus musculus GN=Agrn [AGRIN_MOUSE],44,45,33.6,0.025,0.003,0.008,0.013,0.164,0.292,0.268,0.124,0.096,0.008
O35134,DNA-directed RNA polymerase I subunit RPA1 OS=Mus musculus GN=Polr1a PE=1 SV=2 [RPA1_MOUSE],44,44,33.9,0.303,0.000,0.017,0.000,0.015,0.053,0.077,0.174,0.352,0.008
Q6KCD5,Nipped-B-like protein OS=Mus musculus GN=Nipbl PE=1 SV=1 [NIPBL_MOUSE],44,44,21.1,0.065,0.000,0.004,0.000,0.023,0.063,0.117,0.366,0.345,0.017
Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4 [TERA_MOUSE],43,64,67.0,0.733,0.002,0.047,0.002,0.045,0.065,0.045,0.032,0.029,0.000
P97311,DNA replication licensing factor MCM6 OS=Mus musculus GN=Mcm6 PE=1 SV=1 [MCM6_MOUSE],43,50,54.0,0.756,0.000,0.047,0.000,0.006,0.016,0.022,0.066,0.081,0.005
Q60520,Paired amphipathic helix protein Sin3a OS=Mus musculus GN=Sin3a PE=1 SV=3 [SIN3A_MOUSE],43,49,35.8,0.147,0.000,0.009,0.000,0.011,0.042,0.086,0.249,0.442,0.013
P33174,Chromosome-associated kinesin KIF4 OS=Mus musculus GN=Kif4 PE=1 SV=3 [KIF4_MOUSE],43,46,44.4,0.049,0.000,0.002,0.000,0.027,0.081,0.137,0.427,0.257,0.020
