Majority protein IDs,Protein names,Gene names,Organellar Markers,Ratio H/L R1_C2_03,Ratio H/L R1_C2_06,Ratio H/L R1_C2_12,Ratio H/L R1_C2_24,Ratio H/L R1_C2_80,Ratio H/L R1_C6_03,Ratio H/L R1_C6_06,Ratio H/L R1_C6_12,Ratio H/L R1_C6_24,Ratio H/L R1_C6_80,Ratio H/L R1_Con_03,Ratio H/L R1_Con_06,Ratio H/L R1_Con_12,Ratio H/L R1_Con_24,Ratio H/L R1_Con_80,Ratio H/L R2_C2_03,Ratio H/L R2_C2_06,Ratio H/L R2_C2_12,Ratio H/L R2_C2_24,Ratio H/L R2_C2_80,Ratio H/L R2_C6_03,Ratio H/L R2_C6_06,Ratio H/L R2_C6_12,Ratio H/L R2_C6_24,Ratio H/L R2_C6_80,Ratio H/L R2_Con_03,Ratio H/L R2_Con_06,Ratio H/L R2_Con_12,Ratio H/L R2_Con_24,Ratio H/L R2_Con_80,Ratio H/L R3_C2_03,Ratio H/L R3_C2_06,Ratio H/L R3_C2_12,Ratio H/L R3_C2_24,Ratio H/L R3_C2_80,Ratio H/L R3_C6_03,Ratio H/L R3_C6_06,Ratio H/L R3_C6_12,Ratio H/L R3_C6_24,Ratio H/L R3_C6_80,Ratio H/L R3_Con_03,Ratio H/L R3_Con_06,Ratio H/L R3_Con_12,Ratio H/L R3_Con_24,Ratio H/L R3_Con_80
P80723;P80723-2,Brain acid soluble protein 1,BASP1,Plasma membrane,0.76674,0.7239,0.9284,1.4735,2.0971,0.75911,0.6635,0.8307,1.3514,1.8366,0.81139,0.74843,0.83456,1.3131,1.9678,0.74213,0.68631,0.97692,1.4679,2.0467,0.739,0.71494,0.8865,1.5525,1.9528,0.80435,0.62964,0.76074,1.2209,1.9314,0.60526,0.60197,0.76306,1.2823,2.0744,0.57014,0.55201,0.72551,1.7283,2.1452,0.63909,0.6127,0.77252,1.4118,2.2156
P35613;P35613-2;P35613-4;P35613-3,Basigin,BSG,Plasma membrane,0.59951,0.69802,1.0976,2.4036,5.5039,0.59509,0.63351,0.92143,2.0596,5.0401,0.65886,0.74548,0.96153,2.1078,5.6652,0.61747,0.68641,1.18,2.3683,5.5412,0.62143,0.67335,1.053,2.8217,5.6981,0.63603,0.65675,0.94158,1.969,5.2444,0.47581,0.49575,0.80009,2.0899,5.7755,0.4585,0.51888,0.71418,2.3969,4.9953,0.49268,0.49907,0.73778,1.8287,5.1072
Q6YHK3;Q6YHK3-4;Q6YHK3-2,CD109 antigen,CD109,Plasma membrane,0.62986,0.68613,0.97019,1.8637,4.67,0.63115,0.59016,0.75478,1.6448,4.1972,0.70741,0.74651,0.86858,1.655,4.3625,0.65834,0.65348,1.0012,2.0124,4.8223,0.64136,0.64107,0.96805,2.1189,5.0042,0.71492,0.61593,0.78483,1.5326,4.2329,0.48665,0.52896,0.76264,1.7062,4.98,0.43812,0.45389,0.61628,1.9608,4.4879,0.53222,0.5287,0.6307,1.4192,4.6394
P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8,CD44 antigen,CD44,Plasma membrane,0.55756,0.77464,1.0996,2.2277,6.1931,0.54959,0.67912,1.0035,2.2663,6.4883,0.7057,0.88018,1.0203,2.1606,6.2712,0.58437,0.70903,1.2675,2.561,6.833,0.54569,0.67725,1.1603,3.0472,6.5927,0.61688,0.67006,0.99768,2.1143,6.2389,0.36205,0.47884,0.80988,1.9987,6.3203,0.3391,0.38723,0.61819,2.2695,5.3385,0.4292,0.5234,0.73235,1.7849,5.7771
P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,Complement decay-accelerating factor,CD55,Plasma membrane,0.69335,0.81102,1.0549,1.8971,4.2873,0.64432,0.62995,0.80391,1.5369,3.8598,0.77437,0.80014,0.86609,1.5867,4.2707,0.74775,0.7631,1.1113,1.9764,5.101,0.70815,0.6735,1.0512,2.0346,4.6152,0.80046,0.62593,0.84881,1.5487,4.1386,0.55189,0.53278,0.73402,1.5303,4.7698,0.4466,0.43403,0.623,1.7238,4.4106,0.54695,0.52858,0.6269,1.3737,4.2368
P13987,CD59 glycoprotein,CD59,Plasma membrane,0.67269,0.78387,0.92001,1.5565,3.0623,0.66315,0.69036,0.79657,1.4148,2.6902,0.75595,0.87397,0.84079,1.4382,2.9248,0.67804,0.7096,0.93858,1.6432,3.0484,0.68761,0.70861,0.92615,1.6504,2.9954,0.72948,0.66912,0.76264,1.3023,2.7824,0.50991,0.57539,0.73896,1.3367,2.8391,0.46346,0.45546,0.60736,1.4893,2.6613,0.55565,0.56348,0.59313,1.2791,3.03
P21926,CD9 antigen,CD9,Plasma membrane,0.6599,0.77818,0.94788,1.8264,4.0377,0.62809,0.64803,0.83838,1.5821,3.5101,0.78116,0.8487,0.88747,1.6243,3.7931,0.64671,0.70646,1.0047,1.952,3.8711,0.64794,0.64201,0.93903,2.0964,3.6546,0.70929,0.66224,0.77393,1.4677,3.2432,0.45988,0.57299,0.72707,1.609,4.3928,0.43748,0.4896,0.65102,1.8868,1.3992,0.52497,0.54507,0.69265,1.4425,3.6424
P48960;P48960-3;P48960-2,CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,Plasma membrane,0.78258,0.7535,0.81447,1.3284,2.6291,0.83142,0.71531,0.73785,1.171,1.9631,0.8741,0.92868,0.77678,1.1978,2.3113,0.77288,0.67988,0.7639,1.3459,2.2573,0.75976,0.59579,0.6804,1.3407,2.0142,0.85221,0.71066,0.63978,1.1374,2.3109,0.59799,0.57056,0.57887,0.93196,1.9546,0.70739,0.56466,0.556,1.1872,2.0129,0.73842,0.6208,0.5227,0.97166,1.8837
P98082;P98082-3;P98082-2,Disabled homolog 2,DAB2,Plasma membrane,0.48661,0.73894,1.0301,1.9731,3.8811,0.48867,0.71215,0.98584,1.8715,4.1092,0.44859,0.92504,1.1899,2.0335,3.8779,0.53698,0.64506,1.0173,1.9699,3.8942,0.56174,0.66412,1.0278,2.1671,4.0139,0.51911,0.66453,1.1179,1.994,3.9794,0.42454,0.50899,0.82266,1.9229,3.9544,0.40219,0.46775,0.61555,1.8715,3.6852,0.39842,0.57572,0.85864,1.9226,3.2427
Q14118,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,DAG1,Plasma membrane,0.61347,0.64794,1.001,2.2247,5.9194,0.6188,0.62084,0.81762,2.107,3.1249,0.69766,0.79613,1.0054,2.0727,6.4263,0.57939,0.59843,1.0088,2.2172,2.0544,0.61209,0.60377,0.93045,2.6395,5.5695,0.62541,0.62933,0.7343,1.742,5.6875,0.44904,0.50897,0.75896,1.8835,7.3095,0.43973,0.46685,0.6505,2.7718,4.8189,0.46513,0.51296,0.63716,1.5499,5.711
Q16832,Discoidin domain-containing receptor 2,DDR2,Plasma membrane,0.76941,0.5586,0.62388,1.1361,1.9348,0.94478,0.52228,0.575,1.1377,1.9951,0.74704,0.6627,0.64426,1.0414,1.976,1.0098,0.56506,0.72923,1.2515,2.6742,0.973,0.55468,0.61411,1.1945,2.3338,0.98606,0.63433,0.58239,1.0591,2.0727,0.73563,0.51657,0.51697,1.0538,1.8015,0.73564,0.51735,0.51532,1.1905,2.2079,0.84524,0.63333,0.50077,1.0564,1.9005
Q14126,Desmoglein-2,DSG2,Plasma membrane,0.58553,0.65568,1.0374,2.3929,4.655,0.57783,0.64758,0.96059,2.0812,4.5117,0.59102,0.80543,1.1083,2.4209,4.8071,0.6411,0.66766,1.0454,1.9949,5.4253,0.62961,0.65772,1.0335,2.0404,4.2841,0.68605,0.65833,0.93998,1.8578,4.2397,0.41402,0.48382,0.63007,1.4601,4.3892,0.40275,0.4268,0.53664,1.7329,4.4774,0.3698,0.43785,0.53197,1.2297,3.8404
P00533;P00533-4;P00533-3,Epidermal growth factor receptor,EGFR,Plasma membrane,0.68559,0.72918,0.97956,1.8898,4.6869,0.69817,0.66068,0.85775,1.7506,4.0926,0.70089,0.81333,0.90734,1.6671,4.3461,0.72345,0.6689,1.0093,2.0508,4.3734,0.69639,0.66585,0.95951,2.3272,4.8092,0.78646,0.64589,0.80414,1.5421,4.451,0.5531,0.57007,0.76472,1.7843,4.7264,0.5057,0.48212,0.65388,1.8902,4.3146,0.57849,0.54844,0.68276,1.4954,4.469
Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,Plasma membrane,0.54222,0.75845,1.0652,2.1653,4.9841,0.49522,0.72237,1.0279,2.3216,4.2048,0.46981,0.9155,1.4064,2.5025,6.6762,0.59744,0.68849,0.89657,1.6132,3.6836,0.59431,0.68858,0.85158,1.8471,3.562,0.56093,0.73061,0.97289,1.809,3.2635,0.44678,0.5282,0.74162,1.4313,4.2131,0.48748,0.50571,0.54636,1.5086,3.107,0.45802,0.65564,0.81633,1.6418,2.918
Q9Y4F1;Q9Y4F1-2,"FERM, RhoGEF and pleckstrin domain-containing protein 1",FARP1,Plasma membrane,0.58545,0.81552,1.2644,2.5364,8.8763,0.6242,0.71638,1.0476,2.4762,3.3194,0.59378,0.93037,1.1723,2.4196,1.1054,0.61014,0.7379,1.4183,3.2905,6.5844,0.57765,0.68622,1.6331,3.691,10.728,0.68846,0.66081,1.0937,2.2476,7.683,0.43817,0.49923,0.9046,2.4385,5.7295,0.38934,0.44057,0.74207,2.4627,4.8191,0.45132,0.48039,0.74859,1.8118,5.6888
O95466-2;O95466;O95466-3,Formin-like protein 1,FMNL1,Plasma membrane,0.73358,0.77952,0.95399,1.1666,1.6018,0.61666,0.78905,0.94763,1.3246,1.1356,0.56307,0.82788,0.99744,1.2359,1.187,0.71929,0.69602,1.329,1.807,0.93918,0.68113,0.68428,1.0536,1.38,1.4744,0.63535,0.70524,1.062,1.2466,1.3324,0.58006,0.63148,1.1036,1.3696,1.7218,0.56198,0.62607,0.842,1.7823,1.6335,0.6347,0.61096,0.84202,1.5419,2.7673
P06241;P06241-3,Tyrosine-protein kinase Fyn,FYN,Plasma membrane,0.61627,0.7203,0.94717,1.9011,3.9669,0.6556,0.62386,0.80431,1.619,4.0952,0.60895,0.79169,0.89437,1.8069,3.9462,0.69856,0.66646,0.96904,1.9333,3.8232,0.62592,0.66067,0.94971,2.1075,4.1046,0.71471,0.67256,0.80984,1.5331,3.8436,0.51435,0.55257,0.68393,1.507,3.3905,0.51399,0.48101,0.64314,2.0434,3.4302,0.50337,0.51108,0.66043,1.5238,3.4821
P63092;Q5JWF2;P63092-4,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,GNAS,Plasma membrane,0.58059,0.66435,0.95302,1.9549,4.7556,0.56508,0.58176,0.78439,1.7913,3.8813,0.56249,0.74922,0.84832,1.6318,4.695,0.6073,0.66949,1.0763,2.0075,4.6742,0.62725,0.69072,1.1187,2.1623,4.3619,0.68252,0.63622,0.86784,1.7181,4.3786,0.45881,0.52084,0.76166,1.8794,3.0988,0.41537,0.44012,0.66141,2.2958,5.6014,0.51277,0.49729,0.6774,1.6911,5.6704
Q8IZP9;Q8IZP9-8;Q8IZP9-7;Q8IZP9-5;Q8IZP9-6;Q8IZP9-3;Q8IZP9-4;Q8IZP9-2;Q8IZP9-10;Q8IZP9-9,G-protein coupled receptor 64,GPR64,Plasma membrane,0.83452,0.77496,0.82498,1.2009,2.2165,0.9969,0.64798,0.73838,1.2848,1.9247,1.0456,0.83136,0.83396,1.274,2.3033,0.91039,0.67549,0.72295,1.1701,2.0359,0.89925,0.61042,0.68203,1.3775,2.1566,0.88793,0.68995,0.53358,0.93563,1.7012,0.65948,0.61193,0.57088,1.1455,2.0399,0.69018,0.56727,0.60536,1.5421,2.1856,0.80251,0.6831,0.5969,1.1613,2.1349
P05362,Intercellular adhesion molecule 1,ICAM1,Plasma membrane,0.60905,0.79135,1.1546,2.0617,5.6347,0.58273,0.70235,0.94304,2.1,8.3583,0.73733,0.92825,1.0333,2.1477,5.9302,0.61935,0.72943,1.0214,2.3001,5.2913,0.61003,0.70826,1.0597,2.7299,6.9761,0.74839,0.71912,0.94416,2.034,6.4783,0.42073,0.59276,0.76908,1.8042,6.1663,0.38149,0.41892,0.53213,2.1149,5.3741,0.46758,0.53201,0.67255,1.5017,6.082
P46940,Ras GTPase-activating-like protein IQGAP1,IQGAP1,Plasma membrane,0.46623,0.62476,0.67392,1.0076,1.8592,0.49366,0.6084,0.69051,1.0517,1.7968,0.52229,0.78256,0.75057,1.1439,2.1278,0.52856,0.60584,0.78885,1.0169,1.7268,0.50546,0.60125,0.76619,1.2136,1.7391,0.54223,0.57211,0.61429,0.981,1.7519,0.38242,0.51375,0.66829,1.0712,2.0584,0.35072,0.43518,0.57519,1.253,1.6807,0.4555,0.58886,0.78614,1.3624,2.4532
P26006;P26006-1,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,ITGA3,Plasma membrane,0.8536,0.7762,0.96318,2.3559,4.438,0.89527,0.54728,0.85541,2.1111,4.7421,1.0861,0.77593,0.97914,2.2676,3.7438,0.7319,0.52292,0.77736,1.7994,3.8866,0.66186,0.44198,0.60164,1.9509,4.8125,0.85887,0.53525,0.61444,1.4816,3.0803,0.63037,0.45881,0.53616,1.659,4.0143,0.63325,0.51574,0.65027,2.6201,3.9298,0.61056,0.46848,0.52378,1.5142,3.9579
P06756;P06756-3;P06756-2,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,ITGAV,Plasma membrane,0.66313,0.76598,1.0258,1.9234,4.0875,0.64401,0.71999,0.97007,1.9327,3.577,0.58718,0.89762,1.1482,2.0721,4.433,0.71706,0.63101,0.77235,1.4397,3.1862,0.73271,0.6774,0.79315,1.5655,2.9916,0.72665,0.67294,0.77223,1.3169,3.102,0.60755,0.59363,0.62813,1.2216,2.8453,0.74178,0.6067,0.58691,1.4142,2.4699,0.76095,0.72833,0.68109,1.1913,2.5722
P18084,Integrin beta-5,ITGB5,Plasma membrane,0.80829,0.72527,1.0639,2.0967,4.3789,0.67714,0.68696,0.93312,2.1498,3.7983,0.65543,0.83123,1.1737,2.3335,5.2865,0.74554,0.61238,0.80727,1.5,3.5281,0.75862,0.58981,0.80553,1.7616,3.8053,0.79876,0.64291,0.78292,1.6355,1.5333,0.64858,0.55667,0.67637,1.4611,3.5957,0.76547,0.54974,0.60895,1.7786,2.8308,0.8035,0.63264,0.67541,1.3192,2.6524
P32004;P32004-2;P32004-3,Neural cell adhesion molecule L1,L1CAM,Plasma membrane,0.62589,0.70863,0.995,2.1077,5.3897,0.65812,0.65347,0.92154,1.9511,4.6894,0.74248,0.82443,0.97677,1.9097,5.1251,0.62938,0.64515,0.97788,2.0611,5.495,0.64067,0.61939,0.9655,2.2151,5.5044,0.69639,0.6578,0.86096,1.8096,4.872,0.4821,0.52629,0.7867,1.9171,6.1313,0.46247,0.43759,0.63155,2.2696,5.444,0.53044,0.55153,0.68084,1.7091,5.821
Q9NUP9,Protein lin-7 homolog C,LIN7C,Plasma membrane,0.47232,0.7687,1.1496,2.3176,4.5631,0.53139,0.63113,0.88173,2.0388,4.1414,0.57875,0.87679,1.181,1.7423,4.1433,0.56945,0.7538,1.1715,2.1822,5.901,0.54361,0.6941,1.4619,2.2145,4.5434,0.61524,0.69843,1.0414,1.9918,2.1042,0.39272,0.54931,0.84366,2.0044,4.85,0.2588,0.45724,0.63923,2.1685,3.4258,0.40455,0.51567,0.71966,1.8065,3.6235
P43121;P43121-2,Cell surface glycoprotein MUC18,MCAM,Plasma membrane,0.63326,0.71548,1.0093,2.3155,5.7431,0.6174,0.64037,0.92252,1.9934,5.3443,0.66852,0.79327,0.90701,1.9226,5.5521,0.64692,0.6992,1.1779,2.3921,5.9735,0.60899,0.66468,1.0788,2.6517,6.0039,0.68294,0.66439,0.86589,1.9522,5.61,0.46672,0.54104,0.78522,2.1569,5.9868,0.43395,0.47825,0.66549,2.3296,5.6544,0.50052,0.53667,0.71284,1.6794,5.5362
P08581;P08581-2,Hepatocyte growth factor receptor,MET,Plasma membrane,0.68834,0.67931,0.99036,2.0413,4.1731,0.62044,0.60575,0.81801,1.7094,3.3518,0.61552,0.80996,0.92762,1.7947,3.8442,0.64202,0.58974,0.94099,1.7283,3.4545,0.6283,0.55069,0.80507,1.8016,3.5168,0.71469,0.59613,0.76129,1.4222,3.7521,0.53003,0.52503,0.73511,1.6714,3.9334,0.48855,0.47425,0.57475,1.9975,3.4365,0.53311,0.50369,0.62254,1.428,3.4256
P17342;P17342-2,Atrial natriuretic peptide receptor 3,NPR3,Plasma membrane,0.84343,0.7729,0.95062,1.2405,2.2924,0.98845,0.71626,0.71778,1.0968,1.789,0.78049,0.88775,0.7785,1.2553,1.8288,0.77178,0.61548,0.72018,1.1414,1.5713,0.74171,0.51011,0.63154,1.0596,1.9164,0.84911,0.63251,0.59824,0.92768,1.8568,0.70315,0.57642,0.66684,1.0127,1.6841,0.63327,0.58763,0.59335,1.2005,2.2624,0.73304,0.63472,0.52925,0.92539,1.6092
Q9Y639;Q9Y639-4;Q9Y639-5;Q9Y639-3;Q9Y639-1,Neuroplastin,NPTN,Plasma membrane,0.70479,0.68936,1.1178,2.5881,4.0157,0.70259,0.6021,1.0868,2.5784,2.0055,0.68427,0.70694,1.1367,2.5136,6.6714,0.6365,0.64937,1.0795,2.7081,6.6811,0.65101,0.60827,1.0494,3.1075,6.3522,0.72563,0.65357,0.92782,2.1975,6.6547,0.49978,0.47908,0.79127,0.54888,7.6132,0.45422,0.46218,0.72928,1.4217,7.596,0.49277,0.48895,0.70711,2.2386,6.3094
O15031,Plexin-B2,PLXNB2,Plasma membrane,0.71553,0.6245,0.95413,2.0204,5.1304,0.70763,0.59161,0.80341,2.0117,5.2993,0.67062,0.74323,0.90482,1.8317,5.2524,0.72098,0.58644,0.94142,2.253,5.6873,0.71131,0.58927,0.89843,2.3212,6.0153,0.78442,0.59844,0.74977,1.6721,4.9259,0.55415,0.49239,0.7078,2.064,6.1233,0.52675,0.47365,0.63536,2.346,6.6499,0.58145,0.51684,0.60666,1.577,5.8703
Q12913,Receptor-type tyrosine-protein phosphatase eta,PTPRJ,Plasma membrane,0.91406,0.68083,0.7924,1.7278,1.2452,1.031,0.63323,0.69307,1.3674,3.1491,0.84473,0.65403,0.87634,1.2191,2.7272,0.91419,0.62049,0.74535,1.4412,4.0895,0.9213,0.50809,0.61477,1.7319,3.0888,1.0223,0.62105,0.6997,1.2402,2.4859,0.80991,0.47997,0.52302,1.0329,2.694,0.66541,0.56975,0.5433,1.2976,2.7969,0.74539,0.54376,0.51246,0.86471,1.347
P15151;P15151-3;P15151-2;P15151-4,Poliovirus receptor,PVR,Plasma membrane,0.71878,0.74211,1.1289,1.6411,3.4777,0.69951,0.58106,0.9394,0.96352,1.0942,0.79025,0.87072,0.86739,1.5113,4.6495,0.74626,0.7211,1.0616,1.9485,5.2793,0.5711,0.64853,1.0672,2.2341,2.1422,0.66241,0.61142,0.82504,0.99909,3.9992,0.45006,0.50193,0.75543,1.4992,5.0613,0.46391,0.47379,0.61594,2.2345,3.9326,0.51177,0.52354,0.69382,1.4093,3.3009
Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,ROR2,Plasma membrane,0.67601,0.70176,1.0609,1.9426,4.2049,0.67042,0.62933,0.86079,1.7381,4.2816,0.62645,0.77085,0.82009,1.6779,4.1226,0.71303,0.62991,0.96451,2.0909,5.2952,0.70707,0.6456,0.96717,2.3042,5.3547,0.80945,0.654,0.80792,1.522,4.5324,0.54013,0.51328,0.72112,1.7882,2.8292,0.46055,0.44449,0.67777,1.6792,2.9523,0.49622,0.54746,0.63905,1.2737,2.9442
P53985;P53985-2,Monocarboxylate transporter 1,SLC16A1,Plasma membrane,0.53413,0.71464,1.0253,2.1939,1.4474,0.53783,0.58596,0.88999,2.0972,1.2339,0.55045,0.71716,0.92031,2.0584,1.1432,0.60285,0.63561,1.2356,1.818,1.8876,0.55074,0.63918,1.1368,2.536,3.6869,0.59377,0.60644,0.93259,2.19,1.586,0.38044,0.52576,0.80631,2.0442,3.2258,0.34621,0.40951,0.62111,2.2829,1.3722,0.42381,0.48905,0.72854,1.638,1.0158
O15427,Monocarboxylate transporter 4,SLC16A3,Plasma membrane,0.6001,0.70736,1.0035,2.0691,5.0527,0.63462,0.64531,0.85973,2.055,3.3833,0.63511,0.78504,0.91839,1.7825,3.3307,0.63602,0.66348,1.1266,2.223,1.5755,0.59475,0.67486,1.0376,2.5818,4.821,0.61955,0.61932,0.8932,1.9184,4.7926,0.41938,0.5071,0.80127,1.9393,4.6713,0.44117,0.46687,0.68463,2.2549,5.0577,0.45391,0.48944,0.70135,1.6252,3.3986
