"Table S5.Protein localizations predicted by PLS-DA ",,,,,
"IPI accession no.","Protein name","PLS-DA prediction","Membrane","Soluble/ peripheral","Complete"
"IPI00589800.1","PREDICTED: Similar to transmembrane emp24 protein transport domain containing 7 isoform 2","Predicted Golgi","X","",""
"IPI00591151.3","Integral membrane protein 2A","Predicted Golgi","","","X"
"IPI00592409.2","Similar to Transmembrane 9 superfamily protein member 3 precursor","Predicted Golgi","","","X"
"IPI00593550.2","Hypothetical protein","Predicted Golgi","","","X"
"IPI00594001.2","Similar to KIAA0255","Predicted Golgi","X","","X"
"IPI00594251.4","Synaptosomal-associated protein 29","Predicted Golgi","","","X"
"IPI00596524.2","Similar to Syntaxin 12","Predicted Golgi","X","",""
"IPI00596585.4","Cancer susceptibility candidate 4","Predicted Golgi","X","","X"
"IPI00597983.1","Ubiquitin-conjugating enzyme E2L 3 isoform 1","Predicted Golgi","","","X"
"IPI00598736.2","Similar to membrin isoform 2","Predicted Golgi","","","X"
"IPI00599473.2","Similar to Solute carrier family 35, member B2","Predicted Golgi","X","",""
"IPI00600515.1","G protein-coupled receptor 107","Predicted Golgi","X","",""
"IPI00603346.3","Similar to Inositol monophosphatase domain containing 1","Predicted Golgi","X","","X"
"IPI00603795.2","Similar to quiescin Q6-like 1","Predicted Golgi","X","","X"
"IPI00651395.1","Hypothetical protein","Predicted Golgi","","X",""
"IPI00679931.2","Similar to Thioredoxin domain containing 4","Predicted Golgi","X","",""
"IPI00735127.1","Transmembrane 9 superfamily member 2","Predicted Golgi","X","",""
"IPI00814126.1","Similar to hJTB, partial","Predicted Golgi","X","",""
"IPI00819888.1","Thioredoxin domain containing 17","Predicted Golgi","","","X"
"IPI00822650.1","16 kDa protein","Predicted Golgi","","X","X"
"IPI00580829.2","Similar to Ggh protein","Predicted lysosome","","X","X"
"IPI00596430.3","Similar to LOC548400 protein","Predicted lysosome","","X","X"
"IPI00570686.3","Similar to ATP synthase subunit B","Predicted mitochondrion","X","","X"
"IPI00571043.1","Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1","Predicted mitochondrion","X","",""
"IPI00571345.1","Prohibitin2","Predicted mitochondrion","","","X"
"IPI00572174.2","Nicotinamide nucleotide transhydrogenase ","Predicted mitochondrion","X","","X"
"IPI00573447.2","Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3","Predicted mitochondrion","X","","X"
"IPI00573987.3","CFR-associated protein p70","Predicted mitochondrion","","X","X"
"IPI00576521.1","Leucine aminopeptidase 3 ","Predicted mitochondrion","","","X"
"IPI00576667.1","Progesterone receptor binding protein","Predicted mitochondrion","X","","X"
"IPI00578825.1","TraB domain containing","Predicted mitochondrion","X","","X"
"IPI00582603.3","Similar to ATAD3A protein","Predicted mitochondrion","X","","X"
"IPI00584699.1","Hypothetical protein","Predicted mitochondrion","X","","X"
"IPI00586898.3","Pyrroline-5-carboxylate reductase family, member 2","Predicted mitochondrion","","","X"
"IPI00588431.1","Similar to MGC69144 protein","Predicted mitochondrion","X","","X"
"IPI00589463.1","Proteasome 26S non-ATPase subunit 12 ","Predicted mitochondrion","","","X"
"IPI00591896.2","Similar to Dodecenoyl-Coenzyme A delta isomerase","Predicted mitochondrion","","","X"
"IPI00594952.1","Leucine zipper-EF-hand containing transmembrane protein 1","Predicted mitochondrion","X","","X"
"IPI00595615.1","Hypothetical protein","Predicted mitochondrion","","","X"
"IPI00596994.1","Hypothetical protein","Predicted mitochondrion","X","","X"
"IPI00599833.2","Similar to Dihydrolipoamide S-acetyltransferase","Predicted mitochondrion","X","","X"
"IPI00600901.1","Peptidyl-tRNA hydrolase 2","Predicted mitochondrion","","","X"
"IPI00601185.1","Similar to kinase A anchor protein","Predicted mitochondrion","X","","X"
"IPI00601873.1","Similar to Pyruvate dehydrogenase (lipoamide) beta","Predicted mitochondrion","","","X"
"IPI00602273.3","ATP-binding cassette, sub-family D (ALD), member 3 ","Predicted mitochondrion","X","","X"
"IPI00602465.2","Similar to Sorting and assembly machinery component 50 homolog","Predicted mitochondrion","X","","X"
"IPI00602825.2","Hypothetical protein","Predicted mitochondrion","X","","X"
"IPI00604046.1","NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa","Predicted mitochondrion","","","X"
"IPI00679512.1","Similar to MGC81430 protein","Predicted mitochondrion","X","","X"
"IPI00812017.1","Similar to GekBS039P isoform 1","Predicted mitochondrion","X","","X"
"IPI00813323.1","Hypothetical protein, partial","Predicted mitochondrion","","X","X"
"IPI00813389.1","Similar to LOC446923 protein isoform 1","Predicted mitochondrion","X","","X"
"IPI00819696.1","Leucine-rich PPR-motif containing","Predicted mitochondrion","","X","X"
"IPI00571305.3","GTPase NRas precursor","Predicted plasma membrane","","X","X"
"IPI00573243.1","Similar to guanine nucleotide binding protein alpha 13","Predicted plasma membrane","X","X","X"
"IPI00573965.3","Similar to protein 4.1-G","Predicted plasma membrane","X","X",""
"IPI00574303.1","Protein tyrosine phosphatase lamda precursor","Predicted plasma membrane","X","","X"
"IPI00574555.1","Tetratricopeptide repeat domain 7B ","Predicted plasma membrane","","","X"
"IPI00574780.2","Exocyst complex component 8","Predicted plasma membrane","","","X"
"IPI00576141.2","Solute carrier family 30 (zinc transporter), member 1","Predicted plasma membrane","","","X"
"IPI00576846.2","Similar to Septin 11","Predicted plasma membrane","","X","X"
"IPI00577190.2","Proteolipid GPM6B","Predicted plasma membrane","X","X","X"
"IPI00577333.1","Guanine nucleotide-binding protein G11 alpha-subunit","Predicted plasma membrane","","X",""
"IPI00578334.1","WAS/WASL interacting protein family, member 1","Predicted plasma membrane","","","X"
"IPI00578484.1","Ezrin","Predicted plasma membrane","","X",""
"IPI00578929.2","Similar to protein kinase PRK2","Predicted plasma membrane","X","","X"
"IPI00578962.1","ATP-binding cassette, sub-family C, member 4 ","Predicted plasma membrane","X","",""
"IPI00579307.3","Similar to turkey K-Ras","Predicted plasma membrane","","","X"
"IPI00579414.1","v-yes-1 Yamaguchi sarcoma viral related oncogene homolog ","Predicted plasma membrane","X","X","X"
"IPI00581388.2","Similar to Leucine-rich repeats and calponin homology (CH) domain containing 3","Predicted plasma membrane","","X",""
"IPI00582590.2","Similar to Exocyst complex component Sec8 ","Predicted plasma membrane","","","X"
"IPI00583240.1","Sodium/potassium-transporting ATPase alpha-2 chain","Predicted plasma membrane","X","","X"
"IPI00583673.3","Zinc transporter SLC39A6 precursor (Solute carrier family 39 member 6)","Predicted plasma membrane","X","",""
"IPI00584318.3","Hypothetical protein","Predicted plasma membrane","X","X","X"
"IPI00584357.2","Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6","Predicted plasma membrane","X","",""
"IPI00585001.3","Similar to GTPase Rab8b","Predicted plasma membrane","X","","X"
"IPI00586871.1","Similar to Human Diff6,H5,CDC10 homologue","Predicted plasma membrane","","","X"
"IPI00586873.2","Similar to sphingomyelin phosphodiesterase 3, neutral","Predicted plasma membrane","X","",""
"IPI00589157.2","Guanine nucleotide-binding protein G(i), alpha-2 subunit","Predicted plasma membrane","X","X",""
"IPI00589368.1","Solute carrier family 6 member 9","Predicted plasma membrane","X","",""
"IPI00590098.3","Similar to mKIAA1232 protein","Predicted plasma membrane","","","X"
"IPI00590569.1","Monocarboxylate transporter 4","Predicted plasma membrane","","","X"
"IPI00590781.1","Similar to turkey RAP1Ab","Predicted plasma membrane","X","X","X"
"IPI00591069.3","Similar to Slc7a3-prov protein","Predicted plasma membrane","X","",""
"IPI00591591.2","Similar to RAS protein activator like 2","Predicted plasma membrane","X","","X"
"IPI00591767.2","Myristoylated alanine-rich C-kinase substrate","Predicted plasma membrane","","X","X"
"IPI00592043.1","Phosphatidylinositol-4-phosphate 5-kinase type-2 alpha","Predicted plasma membrane","","","X"
"IPI00592307.1","Hypothetical protein","Predicted plasma membrane","X","X","X"
"IPI00592982.3","Similar to HIV-1 Rev binding protein","Predicted plasma membrane","","","X"
"IPI00593013.2","Solute carrier family 6 (neurotransmitter transporter, taurine), member 6","Predicted plasma membrane","X","","X"
"IPI00593340.2","Similar to KIAA1706 protein","Predicted plasma membrane","X","X",""
"IPI00593521.3","Similar to WASP-family protein","Predicted plasma membrane","","X","X"
"IPI00593783.1","Myosin IG","Predicted plasma membrane","","","X"
"IPI00594457.3","Similar to solute carrier family 43, member 2","Predicted plasma membrane","X","","X"
"IPI00594961.2","Similar to solute carrier family 39 (zinc transporter) member 10","Predicted plasma membrane","X","","X"
"IPI00594999.2","Similar to spectrin, beta, non-erythrocytic 1","Predicted plasma membrane","","","X"
"IPI00595012.1","Solute carrier family 16, member 1","Predicted plasma membrane","X","X","X"
"IPI00596504.1","Related RAS viral (r-ras) oncogene homolog 2","Predicted plasma membrane","X","","X"
"IPI00598216.2","Similar to aromatic amino acid transporter","Predicted plasma membrane","X","",""
"IPI00598427.1","Activin like receptor kinase 5","Predicted plasma membrane","X","","X"
"IPI00598720.1","Ras-related protein Rap-1b precursor","Predicted plasma membrane","","X","X"
"IPI00600181.1","Ras homolog gene family, member G ","Predicted plasma membrane","","X","X"
"IPI00600488.3","Similar to erythrocyte membrane protein band 4.1","Predicted plasma membrane","","","X"
"IPI00600556.3","Similar to plexin A2","Predicted plasma membrane","X","","X"
"IPI00600795.2","Similar to hephaestin","Predicted plasma membrane","","","X"
"IPI00600865.1","STIP1 homology and U box-containing protein 1","Predicted plasma membrane","","X","X"
"IPI00602071.3","TBC1 domain family, member 24","Predicted plasma membrane","","","X"
"IPI00602490.1","Ena/VASP-like protein ","Predicted plasma membrane","","X","X"
"IPI00603030.3","Similar to protein tyrosine phosphatase, receptor type, F","Predicted plasma membrane","X","","X"
"IPI00604237.1","SEC15-like 1","Predicted plasma membrane","","X",""
"IPI00651222.1","Rab35","Predicted plasma membrane","X","",""
"IPI00679498.2","Similar to ectonucleoside triphosphate diphosphohydrolase 1 ","Predicted plasma membrane","X","X","X"
"IPI00680380.2","Septin 7","Predicted plasma membrane","","X",""
"IPI00681484.2","H5 variant (Septin 5)","Predicted plasma membrane","","X","X"
"IPI00735136.1","Integrin beta-1 precursor","Predicted plasma membrane","","X",""
"IPI00811126.1","Similar to neutral amino acid transporter","Predicted plasma membrane","X","","X"
"IPI00811964.1","Similar to RAS related protein 2a","Predicted plasma membrane","","X","X"
"IPI00818248.1","Similar to cask-interacting protein 2","Predicted plasma membrane","","X",""
"IPI00819216.1","Sodium/potassium-transporting ATPase alpha-1 chain precursor","Predicted plasma membrane","X","X","X"
"IPI00820029.1","Similar to scribble","Predicted plasma membrane","X","","X"
"IPI00821222.1","Solute carrier family 12 (sodium/potassium/chloride transporters), member 2","Predicted plasma membrane","X","",""
"IPI00822619.1","Hypothetical protein","Predicted plasma membrane","","X","X"
