Protein.ID,TAIR.annotation,Gene.name,Gene.family,markers,Localization.assigned.by.the.Naive.Bayesian.classifier_start.below.threshold.,Average.Posterior.Probability,Known.Predicted.function,Refered.to.in.discussion.or.figures,Previous.high.confidence.localizations.see.Supplementary.references.,Proteins.with.one.TMD.used.in.the.TMD.analysis,TMD.Span.start,TMD.Span.end,Orientation.of.the.TMD,Number.of.four.plex.labelings.in.which.the.protein.is.observed,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT3G02350,"Encodes a protein with  putative galacturonosyltransferase activity.",GAUT9,GT8,,Golgi/TGN,1,"CAZy GT","putative galacturonosyltransferase","Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",TMD-Golgi,23,45,N-Inside,8,0.071,0.1725,0.38325,0.37275,0.1025,0.19375,0.3945,0.30925,0.07625,0.21125,0.43,0.28225,0.0654,0.2126,0.4497,0.2722,0.1356,0.2184,0.309,0.3366,0.0996666667,0.363,0.225,0.3123333333,0.1926363636,0.2791818182,0.2964545455,0.2320909091,0.1184,0.2632,0.3138,0.3046
AT2G20810,"Encodes a protein with  putative galacturonosyltransferase activity.",GAUT10,GT8,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study, putative galacturonosyltransferase",,TMD-Golgi,21,43,N-Inside,4,0.222,0.236,0.287,0.255,0.244,0.2037777778,0.2862222222,0.2661111111,0.123,0.2176666667,0.3866666667,0.2726666667,0.1386666667,0.2315,0.3546666667,0.2746666667,0.1859566105,0.235213452,0.3136243381,0.2652043212,0.1411175492,0.3168792314,0.2608742513,0.2811502857,0.2365990823,0.246167351,0.2667471943,0.2505179848,0.2154666134,0.2362577786,0.2788168239,0.2694274477
AT1G77130,"CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 8 (InterPro:IPR002495); BEST Arabidopsis thaliana protein match is: plant glycogenin-like starch initiation protein 1 (TAIR:AT3G18660.3); Has 1471 Blast hits to 1463 proteins in 343 species: Archae - 0; Bacteria - 240; Metazoa - 259; Fungi - 287; Plants - 508; Viruses - 75; Other Eukaryotes - 102 (source: NCBI BLink).",GUX3,GT8,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study, xylan glucuronosyltransferase",,TMD-Golgi,32,54,N-Inside,3,0.1546,0.2036,0.3352,0.3066,0.0725791622,0.2009100117,0.3746290907,0.3518486046,0.059,0.126,0.485,0.33,0.06,0.14525,0.4785,0.31675,0.1555573553,0.1993913024,0.3504601937,0.2945758768,0.0860051466,0.3778829517,0.1999032865,0.3361968626,0.1289841593,0.2657821463,0.3185614758,0.2866915432,0.1197408324,0.2706282868,0.3141147065,0.2954479085
AT5G18480,"plant glycogenin-like starch initiation protein 6 (PGSIP6); FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups; INVOLVED IN: carbohydrate biosynthetic process, biosynthetic process; LOCATED IN: membrane; EXPRESSED IN: guard cell, leaf; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 8 (InterPro:IPR002495); BEST Arabidopsis thaliana protein match is: plant glycogenin-like starch initiation protein 5 (TAIR:AT1G08990.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",PGSIP6,GT8,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study",,,NA,NA,,8,0.087,0.2165263158,0.3837368421,0.3128421053,0.0778,0.2422,0.3750666667,0.3047333333,0.056375,0.216125,0.449875,0.277375,0.0575555556,0.2323333333,0.4205555556,0.2895555556,0.11125,0.2485,0.366375,0.273875,0.0765,0.38475,0.209375,0.32925,0.1943809524,0.272952381,0.2998571429,0.2326666667,0.0959,0.3089,0.3208,0.2742
AT1G49710,"Encodes a protein with core &alpha;1,3-fucosyltransferase activity.",FUT12,GT10,Golgi/TGN,Golgi/TGN,1,"CAZy GT",,"Golgi GFP (Strasser, personal communication)",,NA,NA,,8,0.0977142857,0.1995714286,0.3901428571,0.3127142857,0.0933333333,0.1966666667,0.3673333333,0.3423333333,0.0532857143,0.2222857143,0.4497142857,0.2748571429,0.0698333333,0.2466666667,0.4253333333,0.2583333333,0.095,0.221,0.425,0.259,0.0763333333,0.3781666667,0.1913333333,0.3546666667,0.18875,0.25375,0.29675,0.260875,0.1316666667,0.2736666667,0.3136666667,0.28
AT4G38240,"Encodes N-acetyl glucosaminyl transferase I, the first enzyme in the pathway of complex glycan biosynthesis.",CGL1,GT13,Golgi/TGN,Golgi/TGN,1,"CAZy GT","N-Glycan biosynthesis","Golgi GFP (Frank et al., 2008)",,NA,NA,,6,0.106,0.186,0.379,0.33,0.1272,0.1764,0.3778,0.3188,0.0953333333,0.171,0.4476666667,0.2853333333,0.1121666667,0.2111666667,0.3968333333,0.28,0.1248333333,0.2225,0.351,0.3016666667,0.1645,0.3115,0.2405,0.2835,0.2092462339,0.248198657,0.2691881776,0.2733829903,0.1934646918,0.2357148785,0.2757933524,0.2949650387
AT1G08660,"MALE GAMETOPHYTE DEFECTIVE 2 (MGP2); FUNCTIONS IN: transferase activity, transferring glycosyl groups, sialyltransferase activity; INVOLVED IN: protein amino acid glycosylation; LOCATED IN: Golgi apparatus, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 29 (InterPro:IPR001675); BEST Arabidopsis thaliana protein match is: Glycosyltransferase family 29 (sialyltransferase) family protein (TAIR:AT3G48820.1); Has 1529 Blast hits to 1526 proteins in 78 species: Archae - 0; Bacteria - 0; Metazoa - 1325; Fungi - 0; Plants - 155; Viruses - 13; Other Eukaryotes - 36 (source: NCBI BLink).",MGP2,GT29,,Golgi/TGN,1,"CAZy GT",,"Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",,NA,NA,,8,0.0748571429,0.2608571429,0.3715714286,0.2927142857,0.1303333333,0.2406666667,0.3546666667,0.274,0.059,0.3036666667,0.359,0.2786666667,0.0883636364,0.2931818182,0.3540909091,0.2645454545,0.158,0.2435,0.307,0.2915,0.1145,0.34,0.2325,0.3135,0.17525,0.2655,0.300125,0.259,0.14875,0.224,0.34225,0.285
AT3G48820,"Encodes a homolog of the animal sialyltransferases but sialyltransferase activity was not detected (Plant Biology 2009, 11:284).  Located in the Golgi apparatus.",,GT29,,Golgi/TGN,0.99,"CAZy GT",,"Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",,NA,NA,,6,0.0846,0.1826,0.351,0.382,0.1326,0.2188,0.3668,0.2818,0.029,0.233,0.427,0.311,0.0791111111,0.2601111111,0.3785555556,0.2824444444,0.156485215,0.2224459276,0.3274838504,0.2935606554,0.105341105,0.3490475937,0.2296051687,0.3159743432,0.1546,0.2468,0.3172,0.2814,0.302,0.186,0.263,0.248
AT5G53340,"Galactosyltransferase family protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups; INVOLVED IN: protein amino acid glycosylation; LOCATED IN: membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 31 (InterPro:IPR002659); BEST Arabidopsis thaliana protein match is: Galactosyltransferase family protein (TAIR:AT4G32120.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",,GT31,,Golgi/TGN,0.98,"CAZy GT","novel Golgi protein localised in this study",,,NA,NA,,2,0.1352635746,0.207913063,0.3164111378,0.3404155216,0.1694,0.1844,0.3178,0.3284,0.085072189,0.1764925737,0.3939575038,0.3443929071,0.073,0.187,0.4065,0.334,0.1534130797,0.2145600448,0.3238405438,0.3081672409,0.1096270955,0.3431407394,0.2243970657,0.3228386633,0.1894593951,0.2464188955,0.2877920333,0.2763365271,0.1655163166,0.24260368,0.3001843524,0.2916360579
AT1G74800,"Galactosyltransferase family protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups; INVOLVED IN: protein amino acid glycosylation; LOCATED IN: membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Galectin, carbohydrate recognition domain (InterPro:IPR001079), Glycosyl transferase, family 31 (InterPro:IPR002659), Concanavalin A-like lectin/glucanase, subgroup (InterPro:IPR013320), Concanavalin A-like lectin/glucanase (InterPro:IPR008985); BEST Arabidopsis thaliana protein match is: Galactosyltransferase family protein (TAIR:AT5G62620.1); Has 2254 Blast hits to 2220 proteins in 111 species: Archae - 0; Bacteria - 6; Metazoa - 1612; Fungi - 6; Plants - 579; Viruses - 0; Other Eukaryotes - 51 (source: NCBI BLink).",,GT31,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study",,TMD-Golgi,27,49,N-Inside,3,0.1330400809,0.2273834154,0.3241274577,0.3154766245,0.1457925114,0.2272004858,0.3321676569,0.294813893,0.0826685771,0.2281105719,0.3918189001,0.2973289366,0.071,0.238,0.386,0.305,0.1713912745,0.2379120871,0.3297800856,0.2609210444,0.1191127362,0.3385730845,0.2466671005,0.2956813846,0.2225,0.2545,0.28025,0.2425,0.257,0.24,0.27,0.234
AT3G62720,"Encodes a protein with xylosyltransferase activity, which is specific for UDP-xylose as donor substrate and for oligosaccharides with a degree of polymerization >4. Although the enzyme utilizes either cellopentaose or cellohexaose, its activity is four-fold higher with cellohexaose as an acceptor compared to cellopentaose. The enzyme is able to add several xylosyl residues to the acceptor forming mono-, di- and trixylosylated polysaccharides.",XT1,GT34,Golgi/TGN,Golgi/TGN,1,"CAZy GT","xyloglucan xylosyltransferase","Golgi GFP (Chevalier et al., 2010)",,NA,NA,,4,0.1202058953,0.231520603,0.3380773588,0.3101805921,0.1329197693,0.2317546856,0.3360464005,0.2992411429,0.051,0.2295,0.443,0.2765,0.0795,0.23375,0.376,0.31075,0.1473614697,0.2456908005,0.3425206992,0.2644110915,0.1116972318,0.3476958597,0.2486646512,0.2919613115,0.2301428571,0.2661428571,0.2722857143,0.2312857143,0.205,0.25625,0.28,0.259
AT4G02500,"Encodes a protein with xylosyltransferase activity, which is specific for UDP-xylose as donor substrate and for oligosaccharides with a degree of polymerization >4. Although the enzyme utilizes either cellopentaose or cellohexaose, its activity is four-fold higher with cellohexaose as an acceptor compared to cellopentaose. The enzyme is able to add several xylosyl residues to the acceptor forming mono-, di- and trixylosylated polysaccharides.",XT2,GT34,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study, xyloglucan xylosyltransferase",,TMD-Golgi,21,40,N-Inside,3,0.0953717943,0.2316634832,0.3520502413,0.3209504244,0.0930160814,0.2392829533,0.3563878193,0.3112661069,0.0510331385,0.2396870124,0.4080807651,0.301158111,0.0714236395,0.2480589977,0.3934098517,0.2871050457,0.1133333333,0.2746666667,0.3823333333,0.2296666667,0.067,0.364,0.2185,0.351,0.1815,0.255,0.3155,0.2485,0.1223643735,0.2821816341,0.3183557173,0.2770109402
AT1G74380,"xyloglucan xylosyltransferase 5 (XXT5); FUNCTIONS IN: xyloglucan 6-xylosyltransferase activity, transferase activity, transferring glycosyl groups, transferase activity; INVOLVED IN: N-terminal protein myristoylation, root hair elongation; LOCATED IN: Golgi apparatus, Golgi membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Galactosyl transferase (InterPro:IPR008630); BEST Arabidopsis thaliana protein match is: Galactosyl transferase GMA12/MNN10 family protein (TAIR:AT5G07720.1); Has 459 Blast hits to 457 proteins in 98 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 150; Plants - 280; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink).",XXT5,GT34,Golgi/TGN,Golgi/TGN,1,"CAZy GT","xyloglucan xylosyltransferase","Golgi immunolocalization (Zabotina et al., 2008)",TMD-Golgi,47,69,N-Inside,8,0.113,0.2075,0.3365,0.3425,0.1598333333,0.17,0.352,0.318,0.073,0.1935,0.441,0.292,0.0858571429,0.2158571429,0.4025714286,0.2957142857,0.091,0.2527142857,0.3928571429,0.2634285714,0.0728333333,0.3831666667,0.1991666667,0.3448333333,0.215,0.2946666667,0.2796666667,0.2106666667,0.103,0.323,0.319,0.256
AT2G22900,"Galactosyl transferase GMA12/MNN10 family protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups, transferase activity; INVOLVED IN: biological_process unknown; LOCATED IN: Golgi apparatus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Galactosyl transferase (InterPro:IPR008630); BEST Arabidopsis thaliana protein match is: Galactosyl transferase GMA12/MNN10 family protein (TAIR:AT4G37690.1); Has 459 Blast hits to 458 proteins in 96 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 139; Plants - 283; Viruses - 4; Other Eukaryotes - 29 (source: NCBI BLink).",GTL6,GT34,,Golgi/TGN,1,"CAZy GT",,"Golgi GFP (Mogelsvang, University of Cambridge PhD Thesis, 1999), Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",TMD-Golgi,26,48,N-Inside,8,0.0743636364,0.2864545455,0.3721818182,0.2668181818,0.1231914894,0.2971914894,0.3455319149,0.2341276596,0.0581666667,0.3661666667,0.35375,0.222,0.0992727273,0.3406363636,0.3355454545,0.2245454545,0.1163214286,0.2590714286,0.325,0.2995714286,0.0968,0.31496,0.2778,0.31048,0.186225,0.278825,0.3007,0.2344,0.12264,0.27216,0.30628,0.29912
AT4G37690,"Galactosyl transferase GMA12/MNN10 family protein; CONTAINS InterPro DOMAIN/s: Galactosyl transferase (InterPro:IPR008630); BEST Arabidopsis thaliana protein match is: Galactosyl transferase GMA12/MNN10 family protein (TAIR:AT2G22900.1); Has 507 Blast hits to 506 proteins in 109 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 185; Plants - 285; Viruses - 4; Other Eukaryotes - 29 (source: NCBI BLink).",,GT34,,Golgi/TGN,1,"CAZy GT",,"Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",TMD-Golgi,13,35,N-Inside,8,0.0975,0.274,0.3415,0.28675,0.1008571429,0.3013571429,0.3419285714,0.2559285714,0.065,0.373,0.3493333333,0.2128333333,0.0866666667,0.3396666667,0.3253333333,0.2486666667,0.1226,0.2665,0.3319,0.2791,0.1064545455,0.3165454545,0.27,0.3072727273,0.1972777778,0.285,0.3005555556,0.2176666667,0.1326666667,0.2956666667,0.303,0.2688333333
