Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Prom1,Q8R056,Q8R056;G5E8G5;O54990;Q8CDK8;A0A0G2JDH9;G3X9J8;A0A0G2JE50;A0A0R4J0B0;O54990-6;O54990-3;O54990-2;O54990-4;O54990-5,Prominin-1,,Plasma membrane,1.24,High,Mostly Organellar,"3,306","4,226","2,346",37.7%,12.5,14.7,9.6,6.0,9%,90%,1%,158,94.477
Cd47,Q61735,Q61735-2,Leukocyte surface antigen CD47,Plasma membrane,Plasma membrane,1.24,High,Mostly Organellar,"9,338","11,549","5,574",52.5%,33.6,44.7,22.8,6.4,7%,87%,6%,73,35.316
Tmem2,Q5FWI3,Q5FWI3,Transmembrane protein 2,,Plasma membrane,1.23,High,Mostly Organellar,"5,289","5,672","4,089",44.1%,19.4,21.0,16.7,15.7,6%,93%,2%,399,153.8
Flot2,Q60634,Q60634,Flotillin-2,,Plasma membrane,1.23,High,Mostly Organellar,"30,763","40,397","26,900",70.3%,117.5,140.9,108.4,28.0,4%,95%,1%,391,47.037
Nrxn1,Q9CS84,Q9CS84;E0CY11;Q9CS84-4;Q9CS84-3;Q9CS84-2;Q9CS84-5,Neurexin-1,,Plasma membrane,1.23,High,Mostly Organellar,"1,711","2,598",894,29.2%,6.7,9.1,3.5,5.5,6%,88%,6%,146,166.17
Pip5k1c,F8WHW6,F8WHW6;O70161;O70161-3;O70161-2,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,,Plasma membrane,1.21,High,Organellar with Cytosolic pool,"5,346","9,329","5,111",44.3%,20.8,32.5,19.8,7.8,2%,45%,53%,113,75.515
Atp2b1,G5E829,G5E829,Plasma membrane calcium-transporting ATPase 1,Plasma membrane,Plasma membrane,1.20,High,Mostly Organellar,"17,523","26,565","15,195",62.0%,69.8,92.6,56.4,45.6,7%,90%,3%,775,134.75
Tmem30a,Q8VEK0,Q8VEK0;D3YVV1,Cell cycle control protein 50A,,Plasma membrane,1.20,High,,"5,961","7,440","4,942",45.8%,22.9,26.4,19.3,4.7,,,,102,41.06
Ephb2,P54763,P54763;P54763-4;P54763-2,Ephrin type-B receptor 2,,Plasma membrane,1.18,High,Mostly Organellar,"12,635","16,536","11,803",56.8%,48.9,57.7,46.3,26.8,5%,88%,7%,454,109.9
Pag1,Q3U1F9,Q3U1F9;A6H659,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,,Plasma membrane,1.18,High,Mostly Organellar,"13,034","15,919","10,746",57.4%,51.9,55.5,39.9,11.7,7%,88%,5%,240,46.549
Gng7,Q61016,Q61016;Q3UGN1;G3X9Q2;D3Z483,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein subunit gamma,,Plasma membrane,1.18,High,,"18,955","110,335","13,406",63.1%,75.5,384.8,49.7,2.7,,,,58,7.4796
Nrcam,Q810U4,Q810U4;Q810U4-2;Q810U4-3,Neuronal cell adhesion molecule,,Plasma membrane,1.17,High,Organellar with Cytosolic pool,"6,200","9,461","4,820",46.3%,24.7,33.0,17.9,16.6,3%,66%,31%,362,138.52
Epn2,Q8CHU3,Q8CHU3,Epsin-2,,Plasma membrane,1.17,High,Organellar with Cytosolic pool,"8,016","12,343","6,688",50.3%,28.8,47.8,27.4,9.8,4%,60%,36%,197,63.471
Cnnm3,Q32NY4,Q32NY4;Q32NY4-2,Metal transporter CNNM3,Plasma membrane,Plasma membrane,1.17,High,Mostly Organellar,"2,599","2,927","2,341",34.3%,9.6,11.8,8.7,3.8,4%,96%,0%,127,76.278
Ddah1,Q9CWS0,Q9CWS0;D3YU15,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",,Plasma membrane,1.15,High,Mostly Cytosolic,"656,990","662,128","501,124",95.4%,2373.2,2687.6,1941.1,398.5,1%,5%,94%,373,31.381
Pacsin3,Q99JB8,Q99JB8;Q543N7,Protein kinase C and casein kinase II substrate protein 3,,Plasma membrane,1.15,High,Mostly Organellar,"4,708","5,224","4,399",42.4%,18.1,18.7,17.0,4.4,7%,91%,2%,133,48.584
Xpr1,Q9Z0U0,Q9Z0U0;D3Z2B4;Q9Z0U0-2,Xenotropic and polytropic retrovirus receptor 1,Plasma membrane,Plasma membrane,1.14,High,Mostly Organellar,"5,275","5,639","3,690",44.0%,19.4,20.9,15.1,8.3,7%,93%,0%,197,81.75
Mrc2,Q64449,Q64449;A2AAA9,C-type mannose receptor 2,,Plasma membrane,1.12,High,Mostly Organellar,653,800,465,18.5%,2.4,3.0,1.9,2.1,0%,96%,4%,92,167.07
Podxl,Q9R0M4,Q9R0M4;Q791G4,Podocalyxin,,Plasma membrane,1.11,High,,"14,151","17,213","11,581",58.7%,52.0,63.9,47.4,14.6,,,,185,53.389
Dcun1d3,Q8K0V2,Q8K0V2;D3YWG7,DCN1-like protein 3;DCN1-like protein,,Plasma membrane,1.10,High,Mostly Organellar,"1,668","3,395","1,384",28.9%,6.6,11.8,5.1,1.1,0%,99%,1%,78,34.438
Igf1r,Q60751,Q60751;E9QNX9,Insulin-like growth factor 1 receptor;Insulin-like growth factor 1 receptor alpha chain;Insulin-like growth factor 1 receptor beta chain;Tyrosine-protein kinase receptor,Plasma membrane,Plasma membrane,1.10,High,Mostly Organellar,"6,746","10,036","6,562",47.6%,26.5,35.0,25.0,20.3,11%,87%,1%,459,155.79
Ubxn6,Q99PL6,Q99PL6;Q99PL6-2,UBX domain-containing protein 6,,Plasma membrane,1.10,High,Organellar with Cytosolic pool,"23,846","31,910","23,232",66.9%,94.1,111.3,87.8,22.9,1%,22%,77%,173,49.795
Rgs12,Q8CGE9,Q8CGE9;E9Q652;E9Q1K7;D3Z0G6;D3Z0G7;D3Z0G5,Regulator of G-protein signaling 12,,Plasma membrane,1.09,High,Organellar with Cytosolic pool,"2,167","3,112","1,418",32.2%,8.6,10.9,5.3,6.3,2%,58%,41%,207,149.64
Acta1,P68134,P68134;P68033;Q497E4;P62737;P63268;Q3UJ36;D3YZY0;D3Z2K3,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",,Plasma membrane,1.07,High,,"1,630,306","1,768,550","1,527,730",98.1%,6294.1,6560.9,5668.0,1325.0,,,,269,42.051
Smpd3,Q9JJY3,Q9JJY3,Sphingomyelin phosphodiesterase 3,,Plasma membrane,1.05,High,Mostly Organellar,"3,510","3,988","3,039",38.4%,12.9,15.4,11.8,4.8,0%,81%,19%,131,71.196
Kiaa1109,A2AAE1,A2AAE1;A2AAE1-3;A2AAE1-6;A2AAE1-2;A2AAE1-4,Uncharacterized protein KIAA1109,,Plasma membrane,1.05,High,Mostly Organellar,227,245,192,10.1%,0.9,0.9,0.7,2.4,3%,86%,11%,119,555.36
Yes1,Q04736,Q04736;Q3TJI7,Tyrosine-protein kinase Yes;Non-specific protein-tyrosine kinase,,Plasma membrane,1.05,High,Mostly Organellar,"6,552","8,447","5,456",47.1%,24.8,29.5,22.3,7.7,1%,95%,5%,145,60.629
Slc12a2,E9QM38,E9QM38;P55012,Solute carrier family 12 member 2,,Plasma membrane,1.03,High,Mostly Organellar,"6,398","7,452","5,452",46.8%,23.9,28.9,20.6,16.2,17%,82%,1%,314,130.67
Farp1,F8VPU2,F8VPU2,"FERM, RhoGEF and pleckstrin domain-containing protein 1",Plasma membrane,Plasma membrane,1.03,High,Mostly Organellar,"17,458","21,187","14,858",61.9%,69.5,73.9,55.1,40.1,9%,82%,9%,627,118.87
Cd276,A6MDC5,A6MDC5;Q8VE98,CD276 antigen,,Plasma membrane,1.02,High,Mostly Organellar,"2,988","3,991","2,508",36.1%,11.3,13.9,10.3,2.0,1%,98%,1%,58,34.001
Iqgap2,Q3UQ44,Q3UQ44,Ras GTPase-activating-like protein IQGAP2,,Plasma membrane,1.01,High,Organellar with Cytosolic pool,"10,142","11,640","8,649",53.6%,36.7,45.1,35.0,35.4,1%,24%,75%,406,180.53
Lppr3,A0A0R3P9D0,A0A0R3P9D0;Q7TPB0,Lipid phosphate phosphatase-related protein type 3,,Plasma membrane,1.01,High,Mostly Organellar,"11,133","15,932","8,138",55.1%,44.3,55.6,30.2,16.5,8%,90%,3%,305,76.724
Alcam,E9Q3Q6,E9Q3Q6;Q61490;Q54AJ5;E9Q4G8;F6QH25,CD166 antigen,,Plasma membrane,1.00,High,Mostly Organellar,"45,664","70,790","41,387",75.2%,178.0,246.9,160.3,56.2,6%,89%,5%,489,63.668
Cadm4,Q8R464,Q8R464,Cell adhesion molecule 4,,Plasma membrane,1.00,High,Mostly Organellar,"27,272","37,608","25,983",68.7%,108.6,131.2,96.4,22.5,4%,89%,7%,267,42.723
Ptprs,B0V2N1,B0V2N1;B0V2N1-2;B0V2N1-6,Receptor-type tyrosine-protein phosphatase S,,Plasma membrane,1.00,Medium,Mostly Organellar,"5,673","8,416","5,411",45.1%,22.1,29.3,21.0,23.2,7%,88%,5%,534,211.9
Atp1b3,P97370,P97370;Q544Q7,Sodium/potassium-transporting ATPase subunit beta-3,Plasma membrane,Plasma membrane,0.99,Medium,Mostly Organellar,"78,608","94,944","61,122",81.3%,298.0,331.1,250.2,48.3,10%,83%,7%,370,31.775
Efnb1,P52795,P52795;Q544L9,Ephrin-B1,,Plasma membrane,0.99,Medium,Mostly Organellar,"49,693","51,746","46,965",76.3%,190.4,192.2,176.7,36.4,9%,87%,4%,329,37.859
Nfasc,Q810U3,Q810U3;A0A087WR56;A0A087WPX3;E9Q171;E9PW06;A0A087WNW2,Neurofascin,,Plasma membrane,0.98,Medium,,"8,497","10,367","6,483",51.2%,32.3,39.6,24.1,22.7,,,,261,137.97
Mras,O08989,O08989;Q3TPX5;D3Z2V6,Ras-related protein M-Ras,,Plasma membrane,0.98,Medium,Mostly Organellar,"4,406","5,419","3,941",41.3%,17.5,18.9,14.6,2.0,0%,98%,2%,77,23.901
Scrib,Q80U72,Q80U72-3,Protein scribble homolog,,Plasma membrane,0.97,Medium,,"11,086","18,022","10,173",55.0%,44.1,62.9,37.7,38.5,,,,676,179.75
Plxnb1,Q8CJH3,Q8CJH3,Plexin-B1,,Plasma membrane,0.96,Medium,Mostly Organellar,"4,234","6,105","3,569",40.8%,16.9,21.3,13.2,18.9,7%,88%,5%,444,231.37
Lrrc4b,P0C192,P0C192,Leucine-rich repeat-containing protein 4B,,Plasma membrane,0.95,Medium,Mostly Organellar,"8,384","14,152","7,724",51.1%,33.0,49.4,29.3,12.3,5%,86%,9%,199,76.155
Gnai3,Q9DC51,Q9DC51,Guanine nucleotide-binding protein G(k) subunit alpha,,Plasma membrane,0.94,Medium,,"63,082","67,618","47,258",78.8%,231.8,250.9,193.4,49.4,,,,297,40.538
Dlg1,Q811D0,Q811D0;H7BWY4;E9Q9H0;D3Z3B8,Disks large homolog 1,,Plasma membrane,0.93,Medium,Organellar with Cytosolic pool,"20,904","25,338","17,851",64.8%,81.0,93.2,66.2,40.4,4%,45%,52%,380,100.12
Nptn,P97300,P97300;P97300-1;H3BIX4;Z4YLB7;P97300-3,Neuroplastin,Plasma membrane,Plasma membrane,0.92,Medium,,"31,219","32,064","29,515",70.5%,118.8,120.8,110.9,26.8,,,,220,44.373
Insr,P15208,P15208,Insulin receptor;Insulin receptor subunit alpha;Insulin receptor subunit beta,Plasma membrane,Plasma membrane,0.92,Medium,Mostly Organellar,"6,896","7,889","5,660",48.0%,26.1,27.5,23.2,20.7,7%,89%,4%,496,155.61
Akap5,D3YVF0,D3YVF0;H3BIV5,A-kinase anchor protein 5,,Plasma membrane,0.91,Medium,Mostly Organellar,"3,358","3,755","2,974",37.8%,12.2,14.5,11.9,5.2,7%,91%,2%,149,79.396
Kit,P05532,P05532;F7DD14;P05532-2,Mast/stem cell growth factor receptor Kit;Tyrosine-protein kinase receptor,,Plasma membrane,0.90,Medium,Mostly Organellar,"5,538","6,002","4,453",44.7%,20.5,21.9,18.2,11.7,11%,87%,2%,302,109.34
Slc7a6,Q8BGK6,Q8BGK6,Y+L amino acid transporter 2,,Plasma membrane,0.90,Medium,,"6,818","8,270","6,451",47.8%,27.1,28.8,23.9,7.5,,,,85,56.77
Efr3b,Q6ZQ18,Q6ZQ18;Q6ZQ18-2,Protein EFR3 homolog B,,Plasma membrane,0.90,Medium,Mostly Organellar,"1,550","2,161","1,399",28.0%,6.2,7.5,5.2,2.8,0%,100%,0%,118,92.405
Slc16a1,P53986,P53986;Q544N9,Monocarboxylate transporter 1,Plasma membrane,Plasma membrane,0.89,Medium,Mostly Organellar,"16,228","19,907","10,661",60.8%,59.1,75.1,43.6,16.7,11%,86%,3%,174,53.267
Lta4h,P24527,P24527,Leukotriene A-4 hydrolase,,Plasma membrane,0.87,Medium,Mostly Cytosolic,"214,739","225,817","189,289",89.8%,778.2,910.6,733.2,286.6,0%,2%,98%,280,69.05
Gabra3,P26049,P26049;B1AVY2,Gamma-aminobutyric acid receptor subunit alpha-3,,Plasma membrane,0.86,Medium,,"1,871","2,279","1,434",30.3%,6.9,8.5,5.9,2.0,,,,86,55.397
