Protein Group Information,,,,Normalized TMT 10-plex reporter ion values,,,,,,,,,
UniProt ID,UniProt Description,Peptides,PSMs,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q01320,DNA topoisomerase 2-alpha GN=Top2a PE=1 SV=2 - [TOP2A_MOUSE],79,287,0.0258,0.0131,0.0149,0.0080,0.0192,0.0403,0.1176,0.2780,0.2101,0.2732
Q6PDQ2,Chromodomain-helicase-DNA-binding protein 4 GN=Chd4 PE=1 SV=1 - [CHD4_MOUSE],79,141,0.0581,0.0180,0.0239,0.0113,0.0250,0.0419,0.1029,0.2522,0.2283,0.2384
Q7TMY8,E3 ubiquitin-protein ligase HUWE1 GN=Huwe1 PE=1 SV=5 - [HUWE1_MOUSE],79,114,0.4160,0.0938,0.0934,0.0435,0.0678,0.0601,0.0441,0.0698,0.0444,0.0670
Q7TPV4,Myb-binding protein 1A GN=Mybbp1a PE=1 SV=2 - [MBB1A_MOUSE],78,226,0.1534,0.0170,0.0291,0.0111,0.0239,0.0318,0.0603,0.1603,0.3176,0.1954
Q6NS46,Protein RRP5 homolog GN=Pdcd11 PE=2 SV=2 - [RRP5_MOUSE],78,173,0.1288,0.0224,0.0322,0.0147,0.0312,0.0402,0.0648,0.1676,0.3001,0.1980
A2AN08-3,Isoform 3 of E3 ubiquitin-protein ligase UBR4 GN=Ubr4 - [UBR4_MOUSE],78,105,0.3540,0.1079,0.1061,0.0467,0.0666,0.0669,0.0482,0.0781,0.0435,0.0820
Q60767,Lymphocyte antigen 75 GN=Ly75 PE=1 SV=2 - [LY75_MOUSE],77,197,0.0190,0.1333,0.1378,0.1120,0.2542,0.1533,0.0703,0.0572,0.0182,0.0447
Q8CG48,Structural maintenance of chromosomes protein 2 GN=Smc2 PE=1 SV=2 - [SMC2_MOUSE],77,163,0.0895,0.0508,0.0474,0.0271,0.0435,0.0687,0.1040,0.2165,0.1204,0.2321
P54276,DNA mismatch repair protein Msh6 GN=Msh6 PE=1 SV=3 - [MSH6_MOUSE],76,218,0.1518,0.0204,0.0302,0.0106,0.0220,0.0431,0.1030,0.2632,0.1073,0.2485
Q9CU62,Structural maintenance of chromosomes protein 1A GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE],75,147,0.0595,0.0207,0.0276,0.0149,0.0298,0.0452,0.1131,0.2428,0.2051,0.2414
Q6P5E4,UDP-glucose:glycoprotein glucosyltransferase 1 GN=Uggt1 PE=1 SV=4 - [UGGG1_MOUSE],72,188,0.0479,0.0699,0.0772,0.0562,0.1261,0.2125,0.1245,0.1398,0.0263,0.1197
Q9Z0U1,Tight junction protein ZO-2 GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE],70,159,0.0703,0.2158,0.1323,0.0919,0.1324,0.1153,0.0661,0.0732,0.0428,0.0599
P14873,Microtubule-associated protein 1B GN=Map1b PE=1 SV=2 - [MAP1B_MOUSE],69,144,0.0891,0.0617,0.0491,0.0265,0.0412,0.0685,0.1319,0.2187,0.1136,0.1997
Q8CGC7,Bifunctional glutamate/proline--tRNA ligase GN=Eprs PE=1 SV=4 - [SYEP_MOUSE],69,130,0.4962,0.0724,0.0917,0.0345,0.0555,0.0605,0.0398,0.0533,0.0383,0.0577
G5E870,E3 ubiquitin-protein ligase TRIP12 GN=Trip12 PE=1 SV=1 - [TRIPC_MOUSE],69,127,0.1455,0.0971,0.0783,0.0438,0.0630,0.0606,0.0692,0.1516,0.1353,0.1557
Q6P5D8,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 GN=Smchd1 PE=1 SV=2 - [SMHD1_MOUSE],69,102,0.0749,0.0291,0.0337,0.0190,0.0351,0.0449,0.0880,0.2484,0.1842,0.2425
O70318,Band 4.1-like protein 2 GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE],68,171,0.0292,0.2923,0.1744,0.1163,0.1430,0.1003,0.0494,0.0421,0.0214,0.0317
P02468,Laminin subunit gamma-1 GN=Lamc1 PE=1 SV=2 - [LAMC1_MOUSE],68,148,0.0313,0.0578,0.0845,0.0622,0.1373,0.2088,0.1280,0.1375,0.0346,0.1180
Q69ZN7,Myoferlin GN=Myof PE=1 SV=2 - [MYOF_MOUSE],68,142,0.0333,0.0919,0.1862,0.1329,0.2087,0.1156,0.0677,0.0746,0.0263,0.0628
P09405,Nucleolin GN=Ncl PE=1 SV=2 - [NUCL_MOUSE],67,288,0.3651,0.0294,0.0529,0.0137,0.0264,0.0378,0.0538,0.0764,0.2594,0.0851
P46735,Unconventional myosin-Ib GN=Myo1b PE=2 SV=3 - [MYO1B_MOUSE],66,177,0.0288,0.2863,0.1851,0.1163,0.1443,0.0899,0.0415,0.0408,0.0339,0.0329
Q61543,Golgi apparatus protein 1 GN=Glg1 PE=1 SV=1 - [GSLG1_MOUSE],66,144,0.0210,0.0703,0.1362,0.0923,0.2018,0.1811,0.0795,0.1036,0.0296,0.0846
Q61001,Laminin subunit alpha-5 GN=Lama5 PE=1 SV=4 - [LAMA5_MOUSE],66,92,0.0469,0.0776,0.1100,0.0784,0.1577,0.1613,0.0923,0.1215,0.0423,0.1120
A2ASS6,Titin GN=Ttn PE=1 SV=1 - [TITIN_MOUSE],66,74,0.0649,0.0475,0.0501,0.0297,0.0537,0.0750,0.1033,0.2496,0.0826,0.2436
P58252,Elongation factor 2 GN=Eef2 PE=1 SV=2 - [EF2_MOUSE],65,252,0.2460,0.0906,0.0878,0.0490,0.0806,0.0833,0.0659,0.0952,0.0414,0.1603
P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]",65,145,0.0316,0.2905,0.1830,0.1203,0.1366,0.0827,0.0406,0.0483,0.0255,0.0408
Q64727,Vinculin GN=Vcl PE=1 SV=4 - [VINC_MOUSE],65,125,0.2605,0.1874,0.1451,0.0756,0.1076,0.0669,0.0392,0.0453,0.0312,0.0412
O88307,Sortilin-related receptor GN=Sorl1 PE=2 SV=3 - [SORL_MOUSE],65,122,0.0321,0.0477,0.1082,0.1080,0.3508,0.1527,0.0653,0.0591,0.0280,0.0480
Q9CW03,Structural maintenance of chromosomes protein 3 GN=Smc3 PE=1 SV=2 - [SMC3_MOUSE],64,125,0.0664,0.0338,0.0321,0.0189,0.0343,0.0532,0.1017,0.2378,0.1849,0.2370
Q9Z277,Tyrosine-protein kinase BAZ1B GN=Baz1b PE=1 SV=2 - [BAZ1B_MOUSE],64,101,0.0439,0.0201,0.0241,0.0127,0.0283,0.0441,0.1086,0.2705,0.1995,0.2483
Q61739,Integrin alpha-6 GN=Itga6 PE=1 SV=3 - [ITA6_MOUSE],63,189,0.0211,0.2482,0.1723,0.1033,0.1496,0.1178,0.0610,0.0591,0.0205,0.0471
Q9EP71,Ankycorbin GN=Rai14 PE=1 SV=1 - [RAI14_MOUSE],63,119,0.0422,0.1404,0.1014,0.0632,0.0894,0.1211,0.1017,0.1476,0.0583,0.1346
O88491,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific GN=Nsd1 PE=1 SV=1 - [NSD1_MOUSE]",63,101,0.0685,0.0235,0.0276,0.0126,0.0351,0.0464,0.0945,0.2496,0.2086,0.2337
Q8BX70-3,Isoform 3 of Vacuolar protein sorting-associated protein 13C GN=Vps13c - [VP13C_MOUSE],63,90,0.0696,0.1315,0.1344,0.0831,0.1323,0.1071,0.0726,0.1155,0.0425,0.1115
Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 GN=Lrp1 PE=1 SV=1 - [LRP1_MOUSE],63,84,0.0405,0.0693,0.1093,0.0938,0.3024,0.1391,0.0661,0.0769,0.0347,0.0678
P26231,Catenin alpha-1 GN=Ctnna1 PE=1 SV=1 - [CTNA1_MOUSE],62,322,0.0237,0.2785,0.1693,0.1080,0.1357,0.1160,0.0563,0.0512,0.0209,0.0402
Q8K298,Actin-binding protein anillin GN=Anln PE=1 SV=2 - [ANLN_MOUSE],62,149,0.0530,0.0910,0.0629,0.0408,0.0609,0.0877,0.1102,0.2134,0.0930,0.1872
Q5FWI3,Transmembrane protein 2 GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE],62,146,0.0308,0.1643,0.1596,0.1051,0.1950,0.1301,0.0706,0.0649,0.0270,0.0525
Q8BI84,Melanoma inhibitory activity protein 3 GN=Mia3 PE=1 SV=2 - [MIA3_MOUSE],62,107,0.0278,0.0477,0.0579,0.0477,0.1309,0.2376,0.1428,0.1470,0.0298,0.1308
Q8CG47,Structural maintenance of chromosomes protein 4 GN=Smc4 PE=1 SV=1 - [SMC4_MOUSE],61,111,0.1051,0.0579,0.0535,0.0282,0.0499,0.0659,0.0882,0.2137,0.1194,0.2182
F8VQB6,Unconventional myosin-X GN=Myo10 PE=1 SV=1 - [MYO10_MOUSE],61,98,0.0530,0.2581,0.1559,0.0965,0.1272,0.0924,0.0566,0.0612,0.0397,0.0592
Q9JLN9,Serine/threonine-protein kinase mTOR GN=Mtor PE=1 SV=2 - [MTOR_MOUSE],61,93,0.0792,0.1404,0.1307,0.0881,0.1348,0.1018,0.0638,0.1097,0.0417,0.1099
Q61687,Transcriptional regulator ATRX GN=Atrx PE=1 SV=3 - [ATRX_MOUSE],61,92,0.0514,0.0178,0.0239,0.0119,0.0269,0.0430,0.1039,0.2804,0.1827,0.2581
P08113,Endoplasmin GN=Hsp90b1 PE=1 SV=2 - [ENPL_MOUSE],60,332,0.0412,0.0696,0.0772,0.0534,0.1244,0.2511,0.1309,0.1252,0.0187,0.1083
Q9JIK5,Nucleolar RNA helicase 2 GN=Ddx21 PE=1 SV=3 - [DDX21_MOUSE],60,187,0.1511,0.0180,0.0303,0.0123,0.0266,0.0350,0.0643,0.1543,0.3488,0.1594
P39447,Tight junction protein ZO-1 GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE],59,123,0.0588,0.1803,0.1150,0.0743,0.1068,0.1410,0.0939,0.0852,0.0692,0.0755
A2A8L5,Receptor-type tyrosine-protein phosphatase F GN=Ptprf PE=1 SV=1 - [PTPRF_MOUSE],59,104,0.0366,0.1766,0.1645,0.1061,0.1606,0.1079,0.0675,0.0785,0.0332,0.0685
Q3URK3,Methylcytosine dioxygenase TET1 GN=Tet1 PE=1 SV=2 - [TET1_MOUSE],57,111,0.0565,0.0211,0.0240,0.0112,0.0249,0.0449,0.1154,0.2437,0.2122,0.2461
Q8CJF7,Protein ELYS GN=Ahctf1 PE=1 SV=1 - [ELYS_MOUSE],57,101,0.0408,0.0288,0.0245,0.0155,0.0323,0.0503,0.1119,0.2614,0.1794,0.2551
P63038,"60 kDa heat shock protein, mitochondrial GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]",56,521,0.0264,0.0376,0.0391,0.0231,0.0494,0.1035,0.2275,0.2373,0.0313,0.2248
Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1 GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE],56,146,0.1868,0.1431,0.1000,0.0673,0.0890,0.0726,0.0589,0.1171,0.0520,0.1133
Q91V92,ATP-citrate synthase GN=Acly PE=1 SV=1 - [ACLY_MOUSE],56,130,0.3349,0.1345,0.1137,0.0545,0.0765,0.0628,0.0451,0.0631,0.0430,0.0718
O08784,Treacle protein GN=Tcof1 PE=1 SV=1 - [TCOF_MOUSE],56,128,0.2140,0.0398,0.0550,0.0215,0.0404,0.0535,0.0867,0.1709,0.1660,0.1521
Q8VDJ3,Vigilin GN=Hdlbp PE=1 SV=1 - [VIGLN_MOUSE],56,121,0.0729,0.0510,0.0534,0.0349,0.0719,0.1599,0.1485,0.1622,0.0665,0.1788
P70398,Probable ubiquitin carboxyl-terminal hydrolase FAF-X GN=Usp9x PE=1 SV=2 - [USP9X_MOUSE],56,80,0.3765,0.1087,0.1003,0.0511,0.0689,0.0663,0.0449,0.0669,0.0425,0.0739
P38647,"Stress-70 protein, mitochondrial GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]",55,255,0.0137,0.0245,0.0263,0.0196,0.0423,0.1010,0.2475,0.2510,0.0363,0.2377
Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]",55,165,0.1360,0.1160,0.1038,0.0580,0.0924,0.1076,0.0734,0.1060,0.0395,0.1672
P26041,Moesin GN=Msn PE=1 SV=3 - [MOES_MOUSE],55,164,0.0296,0.3178,0.2096,0.1145,0.1354,0.0757,0.0345,0.0333,0.0209,0.0287
Q03145,Ephrin type-A receptor 2 GN=Epha2 PE=1 SV=3 - [EPHA2_MOUSE],55,163,0.0214,0.2568,0.1816,0.1169,0.1652,0.1009,0.0505,0.0474,0.0207,0.0386
Q60864,Stress-induced-phosphoprotein 1 GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE],55,125,0.4838,0.1248,0.1090,0.0492,0.0636,0.0533,0.0328,0.0313,0.0224,0.0299
P08775,DNA-directed RNA polymerase II subunit RPB1 GN=Polr2a PE=1 SV=3 - [RPB1_MOUSE],55,93,0.2021,0.0354,0.0432,0.0194,0.0377,0.0499,0.0761,0.1737,0.1883,0.1743
P11103,Poly [ADP-ribose] polymerase 1 GN=Parp1 PE=1 SV=3 - [PARP1_MOUSE],54,175,0.0430,0.0212,0.0219,0.0113,0.0219,0.0428,0.1146,0.2751,0.1966,0.2515
Q8K411-2,"Isoform 2 of Presequence protease, mitochondrial GN=Pitrm1 - [PREP_MOUSE]",54,135,0.0263,0.0336,0.0365,0.0234,0.0468,0.1015,0.2302,0.2380,0.0405,0.2231
Q9Z1Q9,Valine--tRNA ligase GN=Vars PE=2 SV=1 - [SYVC_MOUSE],54,119,0.1195,0.0478,0.0513,0.0263,0.0491,0.0758,0.0932,0.2307,0.0755,0.2308
A2AF47,Dedicator of cytokinesis protein 11 GN=Dock11 PE=1 SV=1 - [DOC11_MOUSE],54,81,0.0484,0.2355,0.1451,0.0941,0.1193,0.0990,0.0642,0.0766,0.0492,0.0688
Q61316,Heat shock 70 kDa protein 4 GN=Hspa4 PE=1 SV=1 - [HSP74_MOUSE],53,167,0.5076,0.1074,0.1130,0.0457,0.0614,0.0466,0.0297,0.0329,0.0252,0.0304
B2RXS4,Plexin-B2 GN=Plxnb2 PE=1 SV=1 - [PLXB2_MOUSE],53,97,0.0304,0.2730,0.1756,0.1111,0.1520,0.0917,0.0484,0.0529,0.0226,0.0424
Q3TKT4,Transcription activator BRG1 GN=Smarca4 PE=1 SV=1 - [SMCA4_MOUSE],53,91,0.0726,0.0202,0.0223,0.0112,0.0246,0.0389,0.0880,0.2532,0.2219,0.2472
P23116,Eukaryotic translation initiation factor 3 subunit A GN=Eif3a PE=1 SV=5 - [EIF3A_MOUSE],53,88,0.4671,0.0538,0.0803,0.0283,0.0476,0.0573,0.0479,0.0595,0.0532,0.1050
P20029,78 kDa glucose-regulated protein GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE],52,301,0.0362,0.0706,0.0801,0.0550,0.1263,0.2287,0.1212,0.1355,0.0271,0.1194
P08003,Protein disulfide-isomerase A4 GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE],52,188,0.0364,0.0621,0.0687,0.0540,0.1244,0.2480,0.1412,0.1337,0.0204,0.1111
Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]",52,168,0.0168,0.0279,0.0299,0.0205,0.0420,0.1006,0.2408,0.2519,0.0334,0.2363
Q78PY7,Staphylococcal nuclease domain-containing protein 1 GN=Snd1 PE=1 SV=1 - [SND1_MOUSE],52,147,0.0441,0.0514,0.0537,0.0390,0.0837,0.1838,0.1445,0.1509,0.0516,0.1972
Q02053,Ubiquitin-like modifier-activating enzyme 1 GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE],52,126,0.4890,0.1044,0.1119,0.0459,0.0664,0.0479,0.0310,0.0400,0.0246,0.0390
Q9ESZ8-5,Isoform 5 of General transcription factor II-I GN=Gtf2i - [GTF2I_MOUSE],52,91,0.0466,0.0258,0.0254,0.0140,0.0293,0.0473,0.1018,0.2718,0.1817,0.2563
Q6A026,Sister chromatid cohesion protein PDS5 homolog A GN=Pds5a PE=3 SV=3 - [PDS5A_MOUSE],52,87,0.0819,0.0245,0.0291,0.0171,0.0343,0.0497,0.0991,0.2544,0.1737,0.2361
P48725,Pericentrin GN=Pcnt PE=1 SV=2 - [PCNT_MOUSE],52,67,0.0975,0.0478,0.0483,0.0243,0.0507,0.0726,0.1084,0.2158,0.1303,0.2043
Q01853,Transitional endoplasmic reticulum ATPase GN=Vcp PE=1 SV=4 - [TERA_MOUSE],51,156,0.4126,0.1007,0.1012,0.0464,0.0895,0.0821,0.0416,0.0520,0.0305,0.0436
Q587J6,LINE-1 type transposase domain-containing protein 1 GN=L1td1 PE=2 SV=1 - [LITD1_MOUSE],51,146,0.0627,0.0260,0.0297,0.0180,0.0412,0.0915,0.1237,0.2420,0.1378,0.2273
P43247,DNA mismatch repair protein Msh2 GN=Msh2 PE=2 SV=1 - [MSH2_MOUSE],51,141,0.1526,0.0237,0.0307,0.0112,0.0236,0.0454,0.1002,0.2580,0.1096,0.2451
Q99NB9,Splicing factor 3B subunit 1 GN=Sf3b1 PE=1 SV=1 - [SF3B1_MOUSE],51,120,0.1931,0.0238,0.0358,0.0145,0.0281,0.0370,0.0569,0.0900,0.3262,0.1947
P28660,Nck-associated protein 1 GN=Nckap1 PE=1 SV=2 - [NCKP1_MOUSE],51,119,0.0458,0.2842,0.1665,0.1046,0.1208,0.0856,0.0509,0.0541,0.0317,0.0559
Q9JMH9,Unconventional myosin-XVIIIa GN=Myo18a PE=1 SV=2 - [MY18A_MOUSE],51,76,0.0408,0.0934,0.0698,0.0425,0.0688,0.1206,0.1438,0.1723,0.0757,0.1722
Q3TLH4,Protein PRRC2C GN=Prrc2c PE=1 SV=3 - [PRC2C_MOUSE],51,75,0.2178,0.0490,0.0547,0.0271,0.0546,0.0727,0.0687,0.1724,0.0734,0.2095
P27773,Protein disulfide-isomerase A3 GN=Pdia3 PE=1 SV=2 - [PDIA3_MOUSE],50,256,0.0386,0.0785,0.0784,0.0564,0.1310,0.2244,0.1235,0.1322,0.0201,0.1168
Q03265,"ATP synthase subunit alpha, mitochondrial GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]",50,244,0.0180,0.0316,0.0345,0.0223,0.0470,0.0975,0.2129,0.2333,0.0791,0.2237
Q64737,Trifunctional purine biosynthetic protein adenosine-3 GN=Gart PE=2 SV=3 - [PUR2_MOUSE],50,133,0.3452,0.1403,0.1289,0.0587,0.0819,0.0585,0.0410,0.0585,0.0278,0.0591
Q61191,Host cell factor 1 GN=Hcfc1 PE=1 SV=2 - [HCFC1_MOUSE],50,114,0.1368,0.0336,0.0383,0.0176,0.0353,0.0475,0.0875,0.1914,0.2225,0.1896
P46460,Vesicle-fusing ATPase GN=Nsf PE=1 SV=2 - [NSF_MOUSE],50,108,0.0566,0.1081,0.1059,0.0753,0.1324,0.1092,0.0820,0.1497,0.0349,0.1461
Q8BGQ7,"Alanine--tRNA ligase, cytoplasmic GN=Aars PE=1 SV=1 - [SYAC_MOUSE]",50,107,0.3841,0.1417,0.1326,0.0608,0.0785,0.0535,0.0360,0.0449,0.0257,0.0424
Q6PGL7,WASH complex subunit FAM21 GN=Fam21 PE=1 SV=1 - [FAM21_MOUSE],50,102,0.0821,0.0680,0.1087,0.0938,0.2567,0.1468,0.0691,0.0738,0.0353,0.0657
Q05D44,Eukaryotic translation initiation factor 5B GN=Eif5b PE=1 SV=2 - [IF2P_MOUSE],50,96,0.1783,0.0714,0.0713,0.0363,0.0566,0.0726,0.0979,0.1840,0.0671,0.1645
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic GN=Lars PE=2 SV=2 - [SYLC_MOUSE]",50,94,0.4634,0.0879,0.0944,0.0397,0.0561,0.0523,0.0377,0.0601,0.0442,0.0643
P33174,Chromosome-associated kinesin KIF4 GN=Kif4 PE=2 SV=3 - [KIF4_MOUSE],50,88,0.0401,0.0360,0.0332,0.0192,0.0378,0.0535,0.1173,0.2497,0.1765,0.2367
Q8K224,N-acetyltransferase 10 GN=Nat10 PE=2 SV=1 - [NAT10_MOUSE],50,85,0.1467,0.0282,0.0352,0.0173,0.0345,0.0415,0.0661,0.1661,0.2655,0.1989
P70227,"Inositol 1,4,5-trisphosphate receptor type 3 GN=Itpr3 PE=1 SV=3 - [ITPR3_MOUSE]",50,84,0.0402,0.0676,0.0796,0.0539,0.1484,0.1929,0.1093,0.1359,0.0518,0.1203
O88738,Baculoviral IAP repeat-containing protein 6 GN=Birc6 PE=1 SV=2 - [BIRC6_MOUSE],50,65,0.3136,0.1086,0.0997,0.0497,0.0853,0.0698,0.0518,0.0829,0.0441,0.0945
Q62351,Transferrin receptor protein 1 GN=Tfrc PE=1 SV=1 - [TFR1_MOUSE],49,223,0.0171,0.0848,0.1265,0.1116,0.3342,0.1587,0.0627,0.0516,0.0140,0.0388
P14733,Lamin-B1 GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE],49,199,0.0205,0.0251,0.0252,0.0147,0.0279,0.0462,0.1128,0.2853,0.1667,0.2755
Q3UIL6-2,Isoform 2 of Pleckstrin homology domain-containing family A member 7 GN=Plekha7 - [PKHA7_MOUSE],49,83,0.0576,0.1697,0.1215,0.0722,0.1164,0.1304,0.0970,0.0950,0.0581,0.0820
Q8BKC5,Importin-5 GN=Ipo5 PE=1 SV=3 - [IPO5_MOUSE],48,134,0.4398,0.0972,0.1013,0.0502,0.0681,0.0587,0.0437,0.0488,0.0445,0.0476
Q60597,"2-oxoglutarate dehydrogenase, mitochondrial GN=Ogdh PE=1 SV=3 - [ODO1_MOUSE]",48,116,0.0251,0.0313,0.0315,0.0228,0.0442,0.1030,0.2242,0.2412,0.0501,0.2265
Q91W43,"Glycine dehydrogenase [decarboxylating], mitochondrial GN=Gldc PE=1 SV=1 - [GCSP_MOUSE]",48,111,0.0231,0.0312,0.0329,0.0236,0.0463,0.0954,0.1935,0.2567,0.0523,0.2451
Q6GQT9,Nodal modulator 1 GN=Nomo1 PE=1 SV=1 - [NOMO1_MOUSE],48,110,0.0219,0.0474,0.0620,0.0407,0.1078,0.2206,0.1483,0.1675,0.0434,0.1403
