Protein complex	Protein Names	Gene Names	AC
19S proteasome	"26S protease regulatory subunit 7;Proteasome 26S subunit ATPase 2;Protein MSS1"	"PSMC2;MSS1"	"P35998;A4D0Q1;Q3LIA5;Q75L23"
19S proteasome	"26S protease regulatory subunit 6A;Proteasome 26S subunit ATPase 3;TAT-binding protein 1;Proteasome subunit P50"	"PSMC3;TBP1"	"P17980;A8K781;B2R8V1"
19S proteasome	"26S protease regulatory subunit 6B;Proteasome 26S subunit ATPase 4;MB67-interacting protein;MIP224;TAT-binding protein 7"	"PSMC4;MIP224;TBP7"	"P43686-1;P43686;A8K2M0;P43686-2"
19S proteasome	"26S protease regulatory subunit 8;Proteasome 26S subunit ATPase 5;Proteasome subunit p45;p45/SUG;Thyroid hormone receptor-interacting protein 1;cDNA FLJ75514, highly similar to S.scrofa putative 26S protease subunit (Proteasome (Prosome, macropain) 26S subunit, ATPase, 5, isoform CRA_b);Proteasome 26S ATPase subunit 5 variant"	"PSMC5;SUG1;hCG_41818"	"P62195;A8K763;A8K3Z3;Q59GS3"
19S proteasome	"26S protease regulatory subunit S10B;Proteasome 26S subunit ATPase 6;Proteasome subunit p42"	"PSMC6;SUG2"	"P62333;B2R975"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 1;26S proteasome regulatory subunit RPN2;26S proteasome regulatory subunit S1;26S proteasome subunit p112"	PSMD1	"Q99460-1;Q99460;B2R6D0;Q05BX4;Q05CW6;Q99460-2"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 11;26S proteasome regulatory subunit S9;26S proteasome regulatory subunit p44.5"	PSMD11	"O00231;A8K3I7;Q53FT5"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 12;26S proteasome regulatory subunit p55;Uncharacterized protein PSMD12 (Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12, isoform CRA_c) (cDNA FLJ33879 fis, clone CTONG2007091, highly similar to 26S proteasome non-ATPase regulatory subunit 12)"	"PSMD12;hCG_1749256"	"O00232;A6NP15"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 13;26S proteasome regulatory subunit S11;26S proteasome regulatory subunit p40.5"	PSMD13	"Q9UNM6;B2RBM7;Q53GN6;Q53XU2;Q9Y6E3"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 14;26S proteasome regulatory subunit rpn11;26S proteasome-associated PAD1 homolog 1"	"PSMD14;POH1"	"O00487;Q4ZG77;Q53TH1;Q59G89;Q96DE8"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 2;26S proteasome regulatory subunit RPN1;26S proteasome regulatory subunit S2;26S proteasome subunit p97;Tumor necrosis factor type 1 receptor-associated protein 2;55.11 protein;P67"	"PSMD2;TRAP2"	"Q13200;Q53XQ4;Q59EG8;Q9NSM5;Q13041"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 3;Proteasome subunit p58"	PSMD3	"O43242;Q6IBN0;Q8N9M2;Q96N86"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 4;26S proteasome regulatory subunit S5A;Rpn10;Multiubiquitin chain-binding protein;Antisecretory factor 1;Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 4"	"PSMD4;MCB1;RP11-126K1.1-014"	"P55036-1;P55036;P55036-2;Q5VWC4;A6PVX3"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 6;26S proteasome regulatory subunit S10;p42A;Proteasome regulatory particle subunit p44S10;Phosphonoformate immuno-associated protein 4;Breast cancer-associated protein SGA-113M;KIAA0107 isoform (Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 6, isoform CRA_d)"	"PSMD6;KIAA0107;PFAAP4;hCG_23509"	"Q15008;A8K2E0;Q6UV22"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 7;26S proteasome regulatory subunit rpn8;26S proteasome regulatory subunit S12;Proteasome subunit p40;Mov34 protein homolog"	"PSMD7;MOV34L"	"P51665;B2RD27"
19S proteasome	"26S proteasome non-ATPase regulatory subunit 8;26S proteasome regulatory subunit RPN12;26S proteasome regulatory subunit S14;p31;Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 8;cDNA FLJ52462, moderately similar to Mus musculus proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 (Psmd8), mRNA"	PSMD8	"P48556;Q5U0B3;B4E2Y4;K7EJR3"
19S proteasome	26S proteasome subunit p40.5		Q9UNM7
20S proteasome	"Proteasome subunit alpha type-1;Proteasome component C2;Macropain subunit C2;Multicatalytic endopeptidase complex subunit C2;Proteasome nu chain;30 kDa prosomal protein;PROS-30;Proteasome subunit alpha type"	"PSMA1;PROS30;PSC2"	"P25786-2;P25786;P25786-1;A8K400;A8MVJ4;Q53YE8"
20S proteasome	"Proteasome subunit alpha type-2;Proteasome component C3;Macropain subunit C3;Multicatalytic endopeptidase complex subunit C3"	"PSMA2;PSC3"	"P25787;Q53GF5;Q6ICS6;Q6MZI6"
20S proteasome	"Proteasome subunit alpha type-3;Proteasome component C8;Macropain subunit C8;Multicatalytic endopeptidase complex subunit C8"	"PSMA3;PSC8"	"P25788-1;P25788;B2RCK6;Q6IB71;P25788-2"
20S proteasome	"Proteasome subunit alpha type-4;Proteasome component C9;Macropain subunit C9;Multicatalytic endopeptidase complex subunit C9;Proteasome subunit L;Proteasome subunit beta type;PSMA4 protein"	"PSMA4;PSC9"	"P25789;B2RDG0;Q53XP2;Q7Z474;Q567Q5"
20S proteasome	"Proteasome subunit alpha type-5;Proteasome zeta chain;Macropain zeta chain;Multicatalytic endopeptidase complex zeta chain"	PSMA5	"P28066;B2R8F6;Q5U0A0"
20S proteasome	"Proteasome subunit alpha type-6;Proteasome iota chain;Macropain iota chain;Multicatalytic endopeptidase complex iota chain;27 kDa prosomal protein;PROS-27;p27K;Prosomal P27K protein"	"PSMA6;PROS27"	"P60900;B2R7J9;Q9BZ93"
20S proteasome	"Proteasome subunit alpha type-7;Proteasome subunit RC6-1;Proteasome subunit XAPC7;Proteasome subunit alpha type"	"PSMA7;RP5-1005F21.4-005"	"O14818-1;O14818;B2R515;Q05DH1;Q5JXJ2"
20S proteasome	"Proteasome subunit beta type-1;Proteasome component C5;Macropain subunit C5;Multicatalytic endopeptidase complex subunit C5;Proteasome gamma chain;Proteasome beta 1 subunit variant"	"PSMB1;PSC5"	"P20618;Q53FT8;Q59GN1"
20S proteasome	"Proteasome subunit beta type-2;Proteasome component C7-I;Macropain subunit C7-I;Multicatalytic endopeptidase complex subunit C7-I;Proteasome beta 2 subunit variant"	PSMB2	"P49721;Q59FJ0"
20S proteasome	"Proteasome subunit beta type-3;Proteasome theta chain;Proteasome chain 13;Proteasome component C10-II"	PSMB3	"P49720;A0A087WUL2"
20S proteasome	"Proteasome subunit beta type-4;Macropain beta chain;Multicatalytic endopeptidase complex beta chain;Proteasome chain 3;HSN3;HsBPROS26"	PSMB4	"P28070;B2R9L3;Q6IBI4"
20S proteasome	"Proteasome subunit beta type-5;Proteasome epsilon chain;Macropain epsilon chain;Multicatalytic endopeptidase complex epsilon chain;Proteasome subunit X;Proteasome chain 6;Proteasome subunit MB1;Full-length cDNA clone CS0DK007YN03 of HeLa cells of Homo sapiens (human)"	"PSMB5;LMPX"	"P28074;B2R4N9;Q86T01"
20S proteasome	"Proteasome subunit beta type-6;Proteasome delta chain;Macropain delta chain;Multicatalytic endopeptidase complex delta chain;Proteasome subunit Y"	"PSMB6;LMPY"	"P28072;Q6IAT9"
20S proteasome	"Proteasome subunit beta type-7;Proteasome subunit Z;Macropain chain Z;Multicatalytic endopeptidase complex chain Z;Proteasome (Prosome, macropain) subunit, beta type, 7"	"PSMB7;RP11-101K10.7-003"	"Q99436;B2RAQ9;Q5TBG6;Q6IBT1;Q86U62;Q5TBG5"
20S proteasome	"Proteasome subunit beta type-8;Proteasome subunit beta-5i;Proteasome component C13;Macropain subunit C13;Multicatalytic endopeptidase complex subunit C13;Proteasome subunit beta type;Proteasome (Prosome, macropain) subunit, beta type, 8 (Large multifunctional peptidase 7);Proteasome (Prosome, macropain) subunit, beta type, 8 (Large multifunctional peptidase 7) (Large multifunctional protease 7)"	"PSMB8;LMP7;RING10;Y2;DAAP-57C1.3-002;DAMA-91I23.1-002;DAMC-27I8.3-002;DAQB-69D7.6-002;DASS-67H14.1-002;XXbac-BCX32M13.6-002;XXbac-BPG246D15.6-002;hCG_17507;DADB-78A10.2-004;DAAP-57C1.3-004;DAMA-91I23.1-004;DAMC-27I8.3-004;DAQB-69D7.6-004;DASS-67H14.1-004;XXbac-BCX32M13.6-004;XXbac-BPG246D15.6-004"	"P28062-1;P28062;B0UZC0;Q5QNR8;P28062-2;Q5JNW6;Q6FHU0;B0UZC1;Q5JNW7"
20S proteasome	Proteasome subunit beta type OS=Homo sapiens GN=PSMB9	PSMB9	"A2ACR1;P28065"
20S proteasome	Proteasome subunit beta type-10	PSMB10	P40306
39S mitochondrial ribosome	39S ribosomal protein L9, mitochondrial	"RM09;MRPL9"	Q9BYD2
39S mitochondrial ribosome	39S ribosomal protein L47, mitochondrial	"RM47;MRPL47"	Q9HD33
39S mitochondrial ribosome	39S ribosomal protein L40, mitochondrial	"RM40;MRPL40"	Q9NQ50
39S mitochondrial ribosome	39S ribosomal protein L28, mitochondrial	"MRPL28;RM28"	"Q4TT38;Q13084"
39S mitochondrial ribosome	39S ribosomal protein L37, mitochondrial	"RM37;MRPL37"	"Q9BZE1;S4R369"
39S mitochondrial ribosome	39S ribosomal protein L39, mitochondrial	"MRPL39;RM39"	"C9JG87;Q9NYK5"
39S mitochondrial ribosome	39S ribosomal protein L21, mitochondrial	"MRPL21;RM21"	"H3BUY0;Q7Z2W9"
39S mitochondrial ribosome	39S ribosomal protein L19, mitochondrial	"MRPL19;RM19"	"A0A0A0MRF4;P49406"
39S mitochondrial ribosome	39S ribosomal protein L1, mitochondrial	"MRPL1;RM01"	"H0Y8N7;Q9BYD6"
39S mitochondrial ribosome	"39S ribosomal protein L12, mitochondrial;MRP-L12;5c5-2"	"MRPL12;RPML12"	"P52815;Q96Q74"
39S mitochondrial ribosome	"39S ribosomal protein L43, mitochondrial;MRP-L43;Mitochondrial ribosomal protein bMRP36a;MRPL43 protein"	MRPL43	"Q8N983-4;Q8N983;A8K4V4;B1AL10;Q86XN0"
39S mitochondrial ribosome	"39S ribosomal protein L49, mitochondrial;L49mt;MRP-L49;Protein NOF1;Neighbor of FAU;Mitochondrial ribosomal protein L49 variant"	"MRPL49;C11orf4;NOF1;OK/SW-cl.67"	"Q13405;B2R4G6;Q59GE9"
39S mitochondrial ribosome	39S ribosomal protein L4, mitochondrial	"CDABP0091;CGI-28;MRPL4"	"Q9BYD3-1;Q9BYD3;Q9BYD3-2;K7EKI4;K7ELF1"
39S mitochondrial ribosome	"39S ribosomal protein L12, mitochondrial;5c5-2;cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier;Mitochondrial ribosomal protein L7/L12"	"MRPL12;RPML12;MRPL7/L12"	"P52815;B4DLN1;Q96Q74"
39S mitochondrial ribosome	39S ribosomal protein L44, mitochondrial	MRPL44	Q9H9J2
40S ribosome	40S ribosomal protein S30	FAU	P62861
40S ribosome	"40S ribosomal protein S10;Ribosomal protein S10 variant;Putative 40S ribosomal protein S10-like protein;Ribosomal protein S10;Uncharacterized protein ENSP00000383249"	"RPS10;RPS10L;RP11-375E1__A.4-005"	"P46783;B2R4E3;Q59GE4;Q9NQ39;Q5TZB9;A8MVA6"
40S ribosome	40S ribosomal protein S11	RPS11	"P62280;B2R4F5"
40S ribosome	40S ribosomal protein S12	"RPS12;RP5-1181K21.3-001;hCG_2030596"	"Q76M58;P25398"
40S ribosome	40S ribosomal protein S13	RPS13	"P62277;B2R549"
40S ribosome	40S ribosomal protein S14	"RPS14;PRO2640"	"P62263;B2R5G5"
40S ribosome	"40S ribosomal protein S15;RIG protein;Uncharacterized protein ENSP00000260968 (HCG1783417)"	"RPS15;RIG;hCG_1783417"	"P62841;A5D8V9;Q9UDC2;A6NK60"
40S ribosome	40S ribosomal protein S15a	"RPS15A;OK/SW-cl.82"	"P62244;A8K7H3;B2R4W8;H3BN98;I3L3P7"
40S ribosome	"40S ribosomal protein S16;Uncharacterized protein ENSP00000344777"	RPS16	"P62249;B2RDD5;A6NP00"
40S ribosome	"40S ribosomal protein S17;Uncharacterized protein ENSP00000352682"	"RPS17;RPS17P2"	"P08708;B2R4U4;A6NH77"
40S ribosome	"40S ribosomal protein S18;Ke-3"	"RPS18;D6S218E"	"P62269;Q5SUJ3"
40S ribosome	40S ribosomal protein S19	"RPS19;hCG_1995572"	"P39019;B0ZBD0;Q8WVX7"
40S ribosome	"40S ribosomal protein S2;S4;LLRep3 protein;Uncharacterized protein ENSP00000353405;Uncharacterized protein ENSP00000351543;Ribosomal protein S2 (Ribosomal protein S2, isoform CRA_b)"	"RPS2;RPS4;OK/KNS-cl.7;hCG_1990006"	"P15880;B2R5G0;O60249;Q3KQT6;Q6IPX5;Q8J014;Q8N5L9;Q8NI62;Q9BSW5;A6NGR5;A6NI39;Q8NI61"
40S ribosome	40S ribosomal protein S20	RPS20	"P60866;B2R4F4"
40S ribosome	"40S ribosomal protein S21;Ribosomal protein S21 (Ribosomal protein S21, isoform CRA_e)"	"RPS21;RP5-908M14.8-003;hCG_41768"	"P63220;Q6FGH5;Q8WVC2;Q9BYK1"
40S ribosome	40S ribosomal protein S23	"RPS23;hCG_38189"	"P62266;A8K517;D6RD47;D6RGW3"
40S ribosome	40S ribosomal protein S24	"RPS24;DKFZp686N1586"	"P62847-1;P62847;Q5T0P7;Q7Z3D1;P62847-2;Q5T0P8;E7ETK0;A0A087WUS0"
40S ribosome	40S ribosomal protein S25	RPS25	"P62851;B2R4M7"
40S ribosome	"40S ribosomal protein S26;Ribosomal protein 26 (RPS26) pseudogene;Putative uncharacterized protein RPS26 (HCG1745083) (Similar to 40S ribosomal protein S26);Putative 40S ribosomal protein S26-like 1;Ribosomal protein S26"	"RPS26;RP11-151A6.3-001;LOC285938;hCG_1745083;tcag7.125;RPS26L1"	"P62854;Q76N56;Q5JVH5;Q75MH1;Q5JNZ5;Q76N57"
40S ribosome	"40S ribosomal protein S27a;Ubiquitin;cDNA FLJ75516, highly similar to Xenopus tropicalis ubiquitin C, mRNA;UBC protein;Ubiquitin B (Ubiquitin B, isoform CRA_a);Ubiquitin C splice variant"	"RPS27A;UBA80;UBCEP1;UBA52;UBCEP2;UBB;UBC;hCG_1998947"	"P62979;B2RDW1;Q5RKT7;Q8WYN9;P62988;A8CGI2;Q5PY61;Q8WYN8;A8K674;Q59EM9;Q66K58;Q96H31;Q96MH4;Q9UFQ0;Q96C32;Q5U5U6;Q5UGI3"
40S ribosome	"40S ribosomal protein S27-like protein;40S ribosomal protein S27;Metallopan-stimulin 1"	"RPS27L;MPS1;RPS27;LOC392748;tcag7.1276;hCG_1746747;hCG_1996850;hCG_2001249;RP11-422P24.3-001"	"Q71UM5;C9JLI6;P42677;A4D1G5;Q5T4L6"
40S ribosome	40S ribosomal protein S28	"RPS28;hCG_23961;hCG_26477"	"P62857;B2R4R9"
40S ribosome	"40S ribosomal protein S29;Uncharacterized protein RPS29"	RPS29	"P62273;A8MZ73"
40S ribosome	40S ribosomal protein S3	"RPS3;OK/SW-cl.26"	"P23396;B2R7N5;Q53G83;Q6IPX9;Q9NQS8"
40S ribosome	"40S ribosomal protein S3a;Uncharacterized protein ENSP00000343748 (HCG33299, isoform CRA_a);Uncharacterized protein ENSP00000374051"	"RPS3A;MFTL;hCG_33299"	"P61247;A8K4W0;B2R4D4;Q6NXR8;A6NCR2;A6NGM3"
40S ribosome	"40S ribosomal protein S4, X isoform;Single copy abundant mRNA protein;SCR10"	"RPS4X;CCG2;RPS4;SCAR"	"P62701;B2R491;Q53HV1;Q96IR1"
40S ribosome	40S ribosomal protein S5	RPS5	"P46782;B2R4T2;Q53G25"
40S ribosome	"40S ribosomal protein S6;Phosphoprotein NP33;Ribosomal protein S6 (Ribosomal protein S6, isoform CRA_a);Ribosomal protein S6"	"RPS6;OK/SW-cl.2;RP11-513M16.6-002;hCG_1741512;RP11-513M16.6-004"	"P62753;A2A3R6;Q96DV6;A2A3R5;A2A3R7"
40S ribosome	"40S ribosomal protein S7;Uncharacterized protein ENSP00000352132"	"RPS7;hCG_1784266"	"P62081;Q57Z92;A6NE65"
40S ribosome	"40S ribosomal protein S8;Ribosomal protein S8"	"RPS8;OK/SW-cl.83;RP11-269F19.3-003"	"P62241;Q5JR94;Q5JR95;Q9BS10"
40S ribosome	"40S ribosomal protein S9;RPS9 protein"	"RPS9;hCG_2009111;XXbac-BCX105G6.6-001;XXbac-BPG111L9.6-001"	"P46781;A9C4C1;A5D904"
40S ribosome	"40S ribosomal protein SA;Laminin receptor 1;37/67 kDa laminin receptor;Laminin-binding protein precursor p40;37 kDa laminin receptor precursor;67 kDa laminin receptor;Colon carcinoma laminin-binding protein;NEM/1CHD4;Multidrug resistance-associated protein MGr1-Ag;Laminin receptor-like protein LAMRL5;Putative uncharacterized protein RPSAP18"	"RPSA;LAMBR;LAMR1;LAMR1P15;RPSAP18"	"P08865;C9J9K3;Q96RS2;A6NE09;C9JKH4"
60S ribosome	"60S ribosomal protein L10;60S ribosomal protein L10-like"	RPL10	"F8W7C6;A0A087WV22"
60S ribosome	"60S ribosomal protein L10a;CSA-19;Neural precursor cell expressed developmentally down-regulated protein 6"	"RPL10A;NEDD6"	"P62906;B2R801;Q1JQ76"
60S ribosome	"60S ribosomal protein L11;CLL-associated antigen KW-12;Ribosomal protein L11"	"RPL11;hCG_1739238;RP11-223J15.3-001;RP11-223J15.3-005"	"P62913-1;P62913;Q08ES8;Q5VVD0;Q5VVC8;Q5VVC9;P62913-2"
60S ribosome	"60S ribosomal protein L12;Uncharacterized protein ENSP00000352315"	"RPL12;hCG_21173"	"P30050-1;P30050;Q59FI9;A6ND19;P30050-2"
60S ribosome	"60S ribosomal protein L13;Breast basic conserved protein 1"	"RPL13;BBC1;OK/SW-cl.46"	"P26373;A8K4C8;O60250;Q567Q8;Q6NZ55"
60S ribosome	"60S ribosomal protein L13a;23 kDa highly basic protein;Novel protein similar to ribosomal protein L13a RPL13A"	"RPL13A;RP11-365K22.1-001"	"P40429;Q53H34;Q5QTS3;Q9BSQ6;Q5VY36"
60S ribosome	"60S ribosomal protein L14;CAG-ISL 7;Putative uncharacterized protein RPL14P1;cDNA FLJ51325, highly similar to 60S ribosomal protein L14;RPL14 protein"	"RPL14;RPL14P1"	"P50914;A8K3Q9;A8K7N0;Q6IPH7;A6NIH1;B7Z6S8;A0PJ62"
60S ribosome	"60S ribosomal protein L15;Ribosomal protein L15 (RPL15) pseudogene"	"RPL15;EC45;TCBAP0781;RP11-511D14.1-001"	"P61313;Q5U0C0;Q8N6E1;Q5T6E0;Q642I1;Q76N55"
60S ribosome	"60S ribosomal protein L17;60S ribosomal protein L23;PD-1;Putative uncharacterized protein RPL17P34;Putative uncharacterized protein ENSP00000352143"	"RPL17;RPL17P34"	"P18621;B4E3C2;A8MU02;B5ME31;J3KRB3;A0A087WWH0"
60S ribosome	60S ribosomal protein L18	RPL18	"Q07020;Q0QEW2;H0YHA7"
60S ribosome	"60S ribosomal protein L18a;Ribosomal protein L18a-like protein"	RPL18A	"Q02543;B2R4C0;Q53HD3;Q76N54;Q32XH3;M0R3D6;M0R1A7"
60S ribosome	60S ribosomal protein L19	RPL19	"P84098;B2R4K2;Q53G49;Q8IWR8"
60S ribosome	"60S ribosomal protein L21;Ribosomal protein L21 variant"	"RPL21;hCG_2020044;RP11-428O18.5-001"	"P46778;Q6IAX2;Q59GK9"
60S ribosome	"60S ribosomal protein L22;Epstein-Barr virus small RNA-associated protein;EBER-associated protein;Heparin-binding protein HBp15"	RPL22	"P35268;B2R495;Q7Z4W8;Q8WYP0;Q9BYF5;K7EP65;K7EKS7"
60S ribosome	"60S ribosomal protein L23;Ribosomal protein L17;Similar to ribosomal protein L23;RPL23 protein"	RPL23	"P62829;Q9BTQ7;Q8N4F9;C9JD32;J3KT29"
60S ribosome	"60S ribosomal protein L23a;Uncharacterized protein RPL23A (Ribosomal protein L23a, isoform CRA_a);Uncharacterized protein RPL23A;Uncharacterized protein ENSP00000339013"	"RPL23A;hCG_1988529"	"P62750;B2R5B2;A8MUS3;A8MXA8;A6NNC5"
60S ribosome	"60S ribosomal protein L24;Ribosomal protein L30;60S ribosomal protein"	"RPL24;RP1-125M3.2-001"	"P83731;B2R4Y3;Q5T8W0;C9JXB8;C9JNW5"
60S ribosome	"60S ribosomal protein L26;Putative uncharacterized protein RPL26"	"RPL26L1;RPL26P1;RPL26"	"P61254;Q6IBH6;A6NE05;J3KTJ8;J3QRI7;Q9UNX3;B2R4F0"
60S ribosome	60S ribosomal protein L27	RPL27	"P61353;B2R4D8;Q8WTY3"
60S ribosome	60S ribosomal protein L27a	"RPL27A;L27a"	"P46776;B2R4B3;Q6NZ52;Q9BQQ5"
60S ribosome	"60S ribosomal protein L28;Ribosomal protein L28 variant"	RPL28	"P46779;B2R4A6;O60251;Q59F34;H0YLP6;H0YMF4"
60S ribosome	60S ribosomal protein L29	"RL29;RPL29"	P47914
60S ribosome	"60S ribosomal protein L3;HIV-1 TAR RNA-binding protein B;Uncharacterized protein RPL3;RPL3 protein (Ribosomal protein L3, isoform CRA_b)"	"RPL3;OK/SW-cl.32;hCG_2015191"	"P39023;B2RDV9;Q96QL0;A6NHB7;Q49AJ9;Q8TBW1;Q9BT63;Q9NY85"
60S ribosome	60S ribosomal protein L30	RPL30	P62888
60S ribosome	"60S ribosomal protein L31;RPL31 protein"	"RPL31;hCG_27618"	"P62899;B2R4C1;Q76N53;Q6IRZ0;H7C2W9;C9JU56"
60S ribosome	"60S ribosomal protein L32;Uncharacterized protein ENSP00000275524 (HCG18290)"	"RPL32;PP9932;hCG_18290"	"P62910;B2R4Q3;A6NC28"
60S ribosome	60S ribosomal protein L34	RPL34	"P49207;Q5MK14"
60S ribosome	"60S ribosomal protein L35;Similar to 60S ribosomal protein L35"	"RPL35;LOC154880;tcag7.829"	"P42766;A8K4V7;A4D2M5"
60S ribosome	"60S ribosomal protein L35a;Cell growth-inhibiting gene 33 protein"	"RPL35A;GIG33"	P18077
60S ribosome	60S ribosomal protein L36	RPL36	"Q9Y3U8;B2R4Y1;Q9BYF3"
60S ribosome	"60S ribosomal protein L36a;60S ribosomal protein L44;Cell migration-inducing gene 6 protein;60S ribosomal protein L36a-like;Uncharacterized protein ENSP00000382197;Uncharacterized protein ENSP00000348200 (HCG1789827)"	"RPL36A;RPL44;MIG6;RPL36AL;hCG_1789827"	"P83881;B2REA7;Q08ES5;Q969Q0;B2R4V2;A8MWY5;A6NLH4"
60S ribosome	60S ribosomal protein L37a	"RPL37A;hCG_16380"	"P61513;C9J4Z3;Q6P4E4;G5E9R3;M0R0A1"
60S ribosome	60S ribosomal protein L38	RPL38	"P63173;B2R5A8;J3KT73;J3QL01"
60S ribosome	"60S ribosomal protein L39;60S ribosomal protein L39 pseudogene 5;Putative 60S ribosomal protein L39-like 5"	"RPL39;RPL39P5"	"P62891;D6W5G5;Q59GN2"
60S ribosome	"60S ribosomal protein L4;L1"	"RPL4;RPL1"	"P36578;A8K502;Q53G74;Q59GY2"
60S ribosome	"60S ribosomal protein L36a;60S ribosomal protein L44;Cell growth-inhibiting gene 15 protein;Cell migration-inducing gene 6 protein;Putative uncharacterized protein RPL36A;Ribosomal protein L36a;60S ribosomal protein L36a-like;cDNA, FLJ92227, highly similar to Homo sapiens ribosomal protein L36a-like (RPL36AL), mRNA"	"GIG15;MIG6;RPL36A;RPL44;RP1-164F3.1-004;RPL36AL"	"P83881;C9JBJ2;B2REA7;Q969Q0;B2R4V2"
60S ribosome	60S ribosomal protein L5	"RPL5;MSTP030"	"P46777;A2RUM7;Q32LZ3;Q59GX9;Q8WYP1;Q9BUV4"
60S ribosome	"60S ribosomal protein L6;TAX-responsive enhancer element-binding protein 107;Neoplasm-related protein C140"	"RPL6;TXREB1"	"B2R4K7;Q9HBB3;Q02878;B4DRX3;Q8N5Z7;Q8TBK5"
60S ribosome	"60S ribosomal protein L7;Uncharacterized protein ENSP00000381447;Uncharacterized protein RPL7;Uncharacterized protein ENSP00000304033"	"RPL7;WUGSC:H_RG054D04.1"	"P18124;A8K504;A8MY04;A8MVV7;A8MUD9;A6NIE4"
60S ribosome	"60S ribosomal protein L7a;Surfeit locus protein 3;PLA-X polypeptide;Uncharacterized protein ENSP00000372524;Ribosomal protein L7a"	"RPL7A;SURF-3;SURF3;RP11-244N20.10-004"	"P62424;Q5T8U4;A6NH90;Q5T8U3"
60S ribosome	"60S ribosomal protein L7-like 1;cDNA FLJ77818;cDNA FLJ11842 fis, clone HEMBA1006652, highly similar to Ribosomal protein L7-like 1;cDNA FLJ51993, highly similar to Ribosomal protein L7-like 1;cDNA FLJ50850, highly similar to Ribosomal protein L7-like 1"	RPL7L1	"Q6DKI1;A8K5J5;B3KMP5;B7Z4G0;B7Z652"
60S ribosome	60S ribosomal protein L8	RPL8	"P62917;A8K094"
60S ribosome	60S ribosomal protein L9	"RPL9;OK/SW-cl.103;RPL9P7;RPL9P8;RPL9P9"	"P32969;Q53Z07"
