  Protein IDs,  Majority protein IDs,  Protein names,  Gene names,  Organelle,  Protein complex,  Main organelle_all,  Second organelle_all,  Alpha_all,  Corr_all,  Main organelle_LFD,  Second organelle_LFD,  Alpha_LFD,  Corr_LFD,  Main organelle_HFD3,  Second organelle_HFD3,  Alpha_HFD3,  Corr_HFD3,  Main organelle_HFD12,  Second organelle_HFD12,  Alpha_HFD12,  Corr_HFD12,,,,,,,,,,
P54775,P54775,26S protease regulatory subunit 6B,Psmc4,,Proteasome,Cytoplasm,Endosome,0.175233,0.843398,Cytoplasm,Golgi,0.274668,0.805577,Cytoplasm,Golgi,0.226704,0.846375,Cytoplasm,Endosome,0.0917381,0.885955,,,,,,,,,,
P62192,P62192,26S protease regulatory subunit 4,Psmc1,,Proteasome,Cytoplasm,Endosome,0.194546,0.854499,Cytoplasm,Golgi,0.275778,0.83254,Cytoplasm,Endosome,0.206485,0.834814,Cytoplasm,Endosome,0.125085,0.900546,,,,,,,,,,
P62196;Q8K1K2,P62196;Q8K1K2,26S protease regulatory subunit 8,Psmc5,,Proteasome,Cytoplasm,Endosome,0.212279,0.808451,Cytoplasm,Golgi,0.348174,0.791853,Cytoplasm,Golgi,0.216263,0.789251,Cytoplasm,Endosome,0.146405,0.867164,,,,,,,,,,
P62334,P62334,26S protease regulatory subunit 10B,Psmc6,,Proteasome,Cytoplasm,Endosome,0.211498,0.84464,Cytoplasm,Golgi,0.313999,0.830424,Cytoplasm,Golgi,0.187921,0.854453,Cytoplasm,Endosome,0.16334,0.8723,,,,,,,,,,
P70195,P70195,Proteasome subunit beta type-7,Psmb7,,Proteasome,Cytoplasm,LD,0,0.864768,Cytoplasm,Golgi,0.264794,0.800915,Cytoplasm,Golgi,0.209083,0.862309,Cytoplasm,Endosome,0.0944092,0.903677,,,,,,,,,,
P97371;G3UXZ5;G3UXY0;G3X9K9;G3UWN9;G3UXR1,P97371;G3UXZ5;G3UXY0;G3X9K9;G3UWN9,Proteasome activator complex subunit 1,Psme1,,Proteasome,Cytoplasm,ER,0,0.988661,Cytoplasm,Endosome,0,0.979482,Cytoplasm,ER,0,0.968335,Cytoplasm,PM,0,0.981119,,,,,,,,,,
P97372;G3X9V0;E0CZ90,P97372;G3X9V0;E0CZ90,Proteasome activator complex subunit 2,Psme2,,Proteasome,Cytoplasm,PM,0,0.981213,Cytoplasm,ER,0,0.98052,Cytoplasm,ER,0,0.980002,Cytoplasm,Golgi-LD,0,0.965971,,,,,,,,,,
P99026,P99026,Proteasome subunit beta type-4,Psmb4,,Proteasome,Cytoplasm,LD,0,0.89331,Cytoplasm,Golgi,0.208408,0.841325,Cytoplasm,Golgi,0.16945,0.867037,Cytoplasm,Golgi-LD,0,0.912937,,,,,,,,,,
Q3TXS7;J3QN38;D6RGR5,Q3TXS7,26S proteasome non-ATPase regulatory subunit 1,Psmd1,,Proteasome,Cytoplasm,Endosome,0.246227,0.817814,Cytoplasm,Golgi,0.365745,0.817441,Cytoplasm,Golgi,0.284361,0.814826,Cytoplasm,Endosome,0.159451,0.869357,,,,,,,,,,
Q5SSW2;F6R7K9;Q5SSW2-2;Q5SSW0,Q5SSW2,Proteasome activator complex subunit 4,Psme4,,Proteasome,Cytoplasm,Endosome,0.168801,0.831337,Cytoplasm,Golgi,0.327125,0.81511,Cytoplasm,Golgi,0.31387,0.827933,Cytoplasm,Endosome,0.129344,0.857646,,,,,,,,,,
Q60692,Q60692,Proteasome subunit beta type-6,Psmb6,,Proteasome,Cytoplasm,Endosome,0.238563,0.811074,Cytoplasm,Golgi,0.358571,0.795556,Cytoplasm,Golgi,0.280149,0.771654,Cytoplasm,Endosome,0.168216,0.860962,,,,,,,,,,
Q6PDI5;Q6PDI5-2;A2ALV7;A2ALV6;A2ALV8;A2ALW1;A2ALV9,Q6PDI5;Q6PDI5-2;A2ALV7,Proteasome-associated protein ECM29 homolog,Ecm29;AI314180,,Proteasome,Cytoplasm,Endosome,0.235384,0.751871,Cytoplasm,Golgi,0.477857,0.791882,Cytoplasm,Golgi,0.299188,0.777962,Cytoplasm,Endosome,0.206134,0.79973,,,,,,,,,,
Q8BG32;G3UXL5;G3UWW7;G3UYH2;G3UYI4;G3UYL3;G3UYL8;G3UX15;G3UX67;G3UWV7;G3UZ33,Q8BG32;G3UXL5,26S proteasome non-ATPase regulatory subunit 11,Psmd11,,Proteasome,Cytoplasm,Endosome,0.161653,0.892911,Cytoplasm,Endosome,0.210901,0.868799,Cytoplasm,Endosome,0.200142,0.8648,Cytoplasm,Endosome,0.0855081,0.916439,,,,,,,,,,
Q8CDN6,Q8CDN6,Thioredoxin-like protein 1,Txnl1,,Proteasome,Cytoplasm,LD,0,0.95398,Cytoplasm,LD,0,0.938312,Cytoplasm,Mitochondria,0,0.956851,Cytoplasm,Golgi-LD,0,0.943953,,,,,,,,,,
Q8R317;Q8R317-2,Q8R317;Q8R317-2,Ubiquilin-1,Ubqln1,,Proteasome,Cytoplasm,LD,0,0.941721,Cytoplasm,LD,0,0.86284,Cytoplasm,Endosome,0.0881318,0.904082,Cytoplasm,Endosome,0.150464,0.903977,,,,,,,,,,
Q8VDM4;E9Q2S8,Q8VDM4,26S proteasome non-ATPase regulatory subunit 2,Psmd2,,Proteasome,Cytoplasm,LD,0,0.852671,Cytoplasm,Golgi,0.24088,0.830241,Cytoplasm,Golgi,0.172279,0.838392,Cytoplasm,Endosome,0.125613,0.877907,,,,,,,,,,
Q99JI4,Q99JI4,26S proteasome non-ATPase regulatory subunit 6,Psmd6,,Proteasome,Cytoplasm,Endosome,0.21215,0.841843,Cytoplasm,Golgi,0.297474,0.857074,Cytoplasm,Golgi,0.279661,0.818014,Cytoplasm,Endosome,0.177108,0.870225,,,,,,,,,,
Q9CQT5,Q9CQT5,Proteasome maturation protein,Pomp,,Proteasome,Cytoplasm,Golgi,0.424434,0.615207,Cytoplasm,ER,0.129988,0.538673,Nucleus,Golgi,0.544388,0.326505,Cytoplasm,ER,0.145468,0.504222,,,,,,,,,,
Q9CR00;A0A0G2JGN6,Q9CR00;A0A0G2JGN6,26S proteasome non-ATPase regulatory subunit 9,Psmd9,,Proteasome,Cytoplasm,Peroxisome,0,0.975476,Cytoplasm,ER,0,0.975303,Cytoplasm,Peroxisome,0,0.952545,Cytoplasm,Peroxisome,0,0.940048,,,,,,,,,,
Q9CX56;Q9CPS5,Q9CX56;Q9CPS5,26S proteasome non-ATPase regulatory subunit 8,Psmd8,,Proteasome,Cytoplasm,LD,0,0.8304,Cytoplasm,Golgi,0.356228,0.843453,Cytoplasm,Golgi,0.235833,0.801712,Cytoplasm,Golgi-LD,0,0.885435,,,,,,,,,,
Q9D8W5;B1AT36;Q3TRH2,Q9D8W5;B1AT36;Q3TRH2,26S proteasome non-ATPase regulatory subunit 12,Psmd12,,Proteasome,Cytoplasm,Endosome,0.189641,0.843088,Cytoplasm,Golgi,0.29181,0.832414,Cytoplasm,Golgi,0.22509,0.837623,Cytoplasm,Endosome,0.0886483,0.898384,,,,,,,,,,
Q9JKV1;A0A0A6YVU8;D3YUD8,Q9JKV1;A0A0A6YVU8;D3YUD8,Proteasomal ubiquitin receptor ADRM1,Adrm1;Gm9774,,Proteasome,Cytoplasm,Endosome,0.2996,0.78288,Cytoplasm,Golgi,0.470486,0.754499,Cytoplasm,Endosome,0.238493,0.718219,Cytoplasm,Endosome,0.399851,0.638242,,,,,,,,,,
Q9JMA1;E9PYI8,Q9JMA1;E9PYI8,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,Usp14,,Proteasome,Cytoplasm,LD,0,0.898869,Cytoplasm,LD,0,0.893171,Cytoplasm,Golgi,0.189919,0.863849,Cytoplasm,Golgi-LD,0,0.912928,,,,,,,,,,
Q9QUM9;E0CXB1;E0CYT2,Q9QUM9;E0CXB1,Proteasome subunit alpha type-6,Psma6,,Proteasome,Cytoplasm,LD,0,0.858529,Cytoplasm,Golgi,0.27373,0.816998,Cytoplasm,Golgi,0.158655,0.867215,Cytoplasm,Endosome,0.0762955,0.901614,,,,,,,,,,
Q9R1P0;E9PW69;E9Q0X0,Q9R1P0;E9PW69,Proteasome subunit alpha type-4;Proteasome subunit alpha type,Psma4,,Proteasome,Cytoplasm,LD,0,0.883639,Cytoplasm,Golgi,0.185648,0.854945,Cytoplasm,LD,0,0.859291,Cytoplasm,Endosome,0.0939598,0.895213,,,,,,,,,,
Q9R1P1;D3YUM8,Q9R1P1,Proteasome subunit beta type-3,Psmb3,,Proteasome,Cytoplasm,Endosome,0.19092,0.856589,Cytoplasm,Endosome,0.249715,0.790361,Cytoplasm,Golgi,0.201462,0.814498,Cytoplasm,Endosome,0.115854,0.880728,,,,,,,,,,
Q9R1P3,Q9R1P3,Proteasome subunit beta type-2,Psmb2,,Proteasome,Cytoplasm,LD,0,0.819119,Cytoplasm,Golgi,0.324761,0.81289,Cytoplasm,Golgi,0.2378,0.803858,Cytoplasm,Endosome,0.137989,0.851479,,,,,,,,,,
Q9R1P4,Q9R1P4,Proteasome subunit alpha type-1,Psma1,,Proteasome,Cytoplasm,LD,0,0.873309,Cytoplasm,Golgi,0.187838,0.871622,Cytoplasm,Golgi,0.167476,0.857221,Cytoplasm,Endosome,0.0876065,0.882134,,,,,,,,,,
Q9WUP7;Q9WUP7-2;A0A087WP81;A0A087WRL3,Q9WUP7;Q9WUP7-2;A0A087WP81,Ubiquitin carboxyl-terminal hydrolase isozyme L5,Uchl5,,Proteasome,Cytoplasm,Endosome,0.166217,0.813794,Cytoplasm,Golgi,0.30947,0.798797,Cytoplasm,Golgi,0.253605,0.80787,Cytoplasm,Endosome,0.0790933,0.85708,,,,,,,,,,
Q9WVJ2;E9Q5I9;E9Q0U1;F6ZQQ3;F6PXS6;E9PY93,Q9WVJ2;E9Q5I9;E9Q0U1,26S proteasome non-ATPase regulatory subunit 13,Psmd13,,Proteasome,Cytoplasm,LD,0,0.865849,Cytoplasm,Golgi,0.263676,0.853411,Cytoplasm,Golgi,0.186099,0.838328,Cytoplasm,Endosome,0.100323,0.898869,,,,,,,,,,
Q9Z2U0,Q9Z2U0,Proteasome subunit alpha type-7,Psma7,,Proteasome,Cytoplasm,LD,0,0.883287,Cytoplasm,Golgi,0.23175,0.860394,Cytoplasm,Golgi,0.13788,0.876447,Cytoplasm,Mitochondria,0,0.919009,,,,,,,,,,
Q9Z2U1;D3YX79;A0A0G2JF97,Q9Z2U1;D3YX79,Proteasome subunit alpha type-5;Proteasome subunit alpha type,Psma5;Gm8394,,Proteasome,Cytoplasm,Endosome,0.169769,0.876921,Cytoplasm,Golgi,0.227938,0.836078,Cytoplasm,Endosome,0.203431,0.868171,Cytoplasm,Endosome,0.0745056,0.909739,,,,,,,,,,
A0A087WPH7,A0A087WPH7,,Psmc3,,Proteasome,Cytoplasm,Endosome,0.439248,0.201437,Nucleus,Cytoplasm,0.292822,0.0564264,,,NaN,NaN,,,NaN,NaN,,,,,,,,,,
O35226-2;O35226-3;O35226-5;F7AI87,O35226-2;O35226-3;O35226-5,26S proteasome non-ATPase regulatory subunit 4,Psmd4,,Proteasome,Cytoplasm,Golgi,0.786249,0.140207,,,NaN,NaN,Nucleus,Golgi,0.33297,0.0949161,,,NaN,NaN,,,,,,,,,,
D3YTQ9,D3YTQ9,,Rps15,,Ribosome,PM,Endosome,0.437701,0.146853,Endosome,ER,0.0298743,0.33111,Nucleus,Lysosome,0.173902,0.0161394,,,NaN,NaN,,,,,,,,,,
O09167;Q9CQM8,O09167;Q9CQM8,60S ribosomal protein L21,Rpl21,,Ribosome,ER,Peroxisome,0,0.946817,ER,Endosome,0.123148,0.929737,ER,Peroxisome,0,0.938743,ER,Cytoplasm,0,0.909256,,,,,,,,,,
O55142,O55142,60S ribosomal protein L35a,Rpl35a,,Ribosome,ER,Endosome,0.185733,0.954074,ER,Endosome,0.213094,0.928277,ER,Endosome,0.220628,0.959602,ER,Peroxisome,0,0.9354,,,,,,,,,,
P12970;F6VBB8;F6SSI5,P12970,60S ribosomal protein L7a,Rpl7a,,Ribosome,ER,Peroxisome,0,0.953907,ER,Peroxisome,0,0.94669,ER,Peroxisome,0,0.936376,ER,Cytoplasm,0,0.962832,,,,,,,,,,
P14115,P14115,60S ribosomal protein L27a,Rpl27a,,Ribosome,ER,Lysosome,0,0.956484,ER,Lysosome,0,0.942303,ER,Peroxisome,0,0.95963,ER,Endosome,0,0.917499,,,,,,,,,,
P14131,P14131,40S ribosomal protein S16,Rps16,,Ribosome,ER,Peroxisome,0,0.953444,ER,Endosome,0.123799,0.903728,ER,PM,0,0.963137,ER,Lysosome,0,0.943659,,,,,,,,,,
P14148;F6XI62,P14148;F6XI62,60S ribosomal protein L7,Rpl7,,Ribosome,ER,Lysosome,0,0.954861,ER,PM,0,0.95122,ER,Nucleus,0.05658,0.93537,ER,Endosome,0,0.959836,,,,,,,,,,
P14206,P14206,40S ribosomal protein SA,Rpsa,,Ribosome,ER,Peroxisome,0,0.949993,ER,Endosome,0.118334,0.935218,ER,Peroxisome,0,0.938755,ER,Golgi-LD,0,0.946489,,,,,,,,,,
P14869;E9Q070;S4R1N1;D3YVM5,P14869;E9Q070;S4R1N1;D3YVM5,60S acidic ribosomal protein P0,Rplp0;Gm8730,,Ribosome,ER,Peroxisome,0,0.94494,ER,PM,0,0.930815,ER,Peroxisome,0,0.91311,ER,Endosome,0,0.951227,,,,,,,,,,
P19253;E9Q5A0;S4R281,P19253;E9Q5A0;S4R281,60S ribosomal protein L13a,Rpl13a,,Ribosome,ER,Peroxisome,0,0.963191,ER,Endosome,0.094909,0.942405,ER,Peroxisome,0,0.954508,ER,Endosome,0,0.938336,,,,,,,,,,
P25444;D3YVC1;J3QMG5;D3YWJ3;E9Q1N8;F6YTZ4;D3Z536,P25444;D3YVC1;J3QMG5;D3YWJ3;E9Q1N8;F6YTZ4;D3Z536,40S ribosomal protein S2,Rps2;Gm5786;Gm18025;Gm6576;Gm8225,,Ribosome,ER,PM,0,0.963481,ER,Peroxisome,0,0.954597,ER,Peroxisome,0,0.961188,ER,Endosome,0,0.963192,,,,,,,,,,
P27659;A0A087WQK0;A0A087WNS0,P27659,60S ribosomal protein L3,Rpl3,,Ribosome,ER,Peroxisome,0,0.966605,ER,Peroxisome,0,0.955612,ER,Peroxisome,0,0.96076,ER,Endosome,0,0.960837,,,,,,,,,,
P35979;A0A0A6YVW4,P35979,60S ribosomal protein L12,Rpl12,,Ribosome,ER,Lysosome,0,0.958091,ER,PM,0,0.963788,ER,Nucleus,0.0672753,0.934028,ER,Lysosome,0,0.952398,,,,,,,,,,
P35980;G3UZJ6;G3UZK4;G3UYV6;G3UX28,P35980;G3UZJ6;G3UZK4,60S ribosomal protein L18,Rpl18,,Ribosome,ER,Peroxisome,0,0.965714,ER,Endosome,0.101506,0.944379,ER,Peroxisome,0,0.962175,ER,Golgi-LD,0,0.972149,,,,,,,,,,
P41105;F6Z0X0,P41105;F6Z0X0,60S ribosomal protein L28,Rpl28,,Ribosome,ER,Cytoplasm,0,0.971543,ER,Lysosome,0,0.930829,ER,PM,0,0.96754,ER,Golgi-LD,0,0.969461,,,,,,,,,,
P47911;E9PUX4,P47911;E9PUX4,60S ribosomal protein L6,Rpl6;Gm5428,,Ribosome,ER,Lysosome,0,0.951028,ER,Lysosome,0,0.946626,ER,Cytoplasm,0,0.955291,ER,Endosome,0,0.933522,,,,,,,,,,
P47915;F6QL70;D3Z1N9;W4VSN7;F6YH22;F6VZG1,P47915;F6QL70;D3Z1N9;W4VSN7,60S ribosomal protein L29,Rpl29;Gm17669;Gm10709;Gm3550,,Ribosome,ER,Lysosome,0,0.896149,ER,Endosome,0.33015,0.864484,ER,Lysosome,0,0.902483,ER,Mitochondria,0.03751,0.903828,,,,,,,,,,
P47955,P47955,60S acidic ribosomal protein P1,Rplp1,,Ribosome,ER,PM,0,0.94052,ER,Mitochondria,0,0.910258,ER,Mitochondria,0,0.86801,ER,Mitochondria,0.138507,0.876819,,,,,,,,,,
P47962;D3YYV8,P47962;D3YYV8,60S ribosomal protein L5,Rpl5,,Ribosome,ER,Peroxisome,0,0.961682,ER,Endosome,0.134341,0.940796,ER,Peroxisome,0,0.94788,ER,Cytoplasm,0,0.965027,,,,,,,,,,
P47963,P47963,60S ribosomal protein L13,Rpl13,,Ribosome,ER,Lysosome,0,0.956971,ER,Peroxisome,0,0.926597,ER,Peroxisome,0,0.955185,ER,Lysosome,0,0.928547,,,,,,,,,,
P51410;A0A0G2JES3;D3Z629;A0A0G2JDK9;D3YZT0;A0A0G2JFQ3;S4R1R7,P51410;A0A0G2JES3;D3Z629;A0A0G2JDK9,60S ribosomal protein L9,Rpl9,,Ribosome,ER,Nucleus,0.04503,0.936084,ER,Endosome,0.145053,0.937521,ER,Peroxisome,0,0.925003,ER,Endosome,0,0.939332,,,,,,,,,,
P60867,P60867,40S ribosomal protein S20,Rps20,,Ribosome,ER,Peroxisome,0,0.935762,ER,Endosome,0.155504,0.882072,ER,Peroxisome,0,0.918811,ER,Cytoplasm,0,0.917253,,,,,,,,,,
P61255;B1ARA3;B1ARA5,P61255;B1ARA3;B1ARA5,60S ribosomal protein L26,Rpl26,,Ribosome,ER,Peroxisome,0,0.95861,ER,Peroxisome,0,0.939134,ER,Peroxisome,0,0.912389,ER,Lysosome,0,0.920808,,,,,,,,,,
P61358;A2A4Q0,P61358,60S ribosomal protein L27,Rpl27,,Ribosome,ER,Endosome,0,0.951377,ER,Endosome,0.107817,0.909417,ER,Cytoplasm,0,0.951417,ER,Endosome,0,0.939632,,,,,,,,,,
P61514,P61514,60S ribosomal protein L37a,Rpl37a,,Ribosome,ER,Peroxisome,0,0.94487,ER,Endosome,0.158142,0.91118,ER,Peroxisome,0,0.937547,ER,Cytoplasm,0,0.937126,,,,,,,,,,
P62082;F6SVV1,P62082;F6SVV1,40S ribosomal protein S7,Rps7;Gm9493,,Ribosome,ER,Peroxisome,0,0.931662,ER,Endosome,0.154329,0.921096,ER,Peroxisome,0,0.940064,ER,Endosome,0,0.925975,,,,,,,,,,
P62242,P62242,40S ribosomal protein S8,Rps8,,Ribosome,ER,Peroxisome,0,0.964862,ER,Peroxisome,0,0.947387,ER,Peroxisome,0,0.955709,ER,Endosome,0,0.953336,,,,,,,,,,
P62245;F8WJ41;D3YVB4;D3Z712,P62245;F8WJ41;D3YVB4;D3Z712,40S ribosomal protein S15a,Rps15a,,Ribosome,ER,Endosome,0.126785,0.906045,ER,Endosome,0.269613,0.900285,ER,Endosome,0.321402,0.926805,ER,Cytoplasm,0,0.94416,,,,,,,,,,
P62264;D3YVF4;D3Z7I1,P62264;D3YVF4;D3Z7I1,40S ribosomal protein S14,Rps14,,Ribosome,ER,Endosome,0.183326,0.923425,ER,Endosome,0.361187,0.889708,ER,Endosome,0.306745,0.885291,ER,Golgi-LD,0,0.917379,,,,,,,,,,
P62267,P62267,40S ribosomal protein S23,Rps23,,Ribosome,ER,Peroxisome,0,0.956548,ER,Peroxisome,0,0.943362,ER,Peroxisome,0,0.940105,ER,Golgi-LD,0,0.926864,,,,,,,,,,
P62270;F6YVP7;S4R1N6,P62270;F6YVP7;S4R1N6,40S ribosomal protein S18,Rps18;Gm10260,,Ribosome,ER,Endosome,0.167818,0.917249,ER,Endosome,0.32418,0.896781,ER,Endosome,0.252103,0.900012,ER,Cytoplasm,0,0.934267,,,,,,,,,,
P62281,P62281,40S ribosomal protein S11,Rps11,,Ribosome,ER,Peroxisome,0,0.960034,ER,Endosome,0.223799,0.942171,ER,Peroxisome,0,0.956765,ER,Golgi-LD,0,0.944041,,,,,,,,,,
P62301,P62301,40S ribosomal protein S13,Rps13,,Ribosome,ER,Peroxisome,0,0.96153,ER,Peroxisome,0,0.935049,ER,Peroxisome,0,0.945838,ER,Cytoplasm,0,0.91528,,,,,,,,,,
P62702;V9GWY0,P62702,"40S ribosomal protein S4, X isoform",Rps4x,,Ribosome,ER,Peroxisome,0,0.953167,ER,Peroxisome,0,0.954555,ER,Peroxisome,0,0.965417,ER,Lysosome,0,0.937663,,,,,,,,,,
P62717;F6YJW4,P62717,60S ribosomal protein L18a,Rpl18a,,Ribosome,ER,Peroxisome,0,0.948112,ER,Peroxisome,0,0.938968,ER,Peroxisome,0,0.932419,ER,Lysosome,0,0.957619,,,,,,,,,,
P62751;D3YTY6,P62751,60S ribosomal protein L23a,Rpl23a,,Ribosome,ER,Peroxisome,0,0.969498,ER,Peroxisome,0,0.955689,ER,Peroxisome,0,0.959568,ER,Golgi-LD,0,0.967568,,,,,,,,,,
P62754,P62754,40S ribosomal protein S6,Rps6,,Ribosome,ER,Endosome,0.196464,0.940984,ER,Endosome,0.279473,0.918194,ER,Peroxisome,0,0.945372,ER,Peroxisome,0,0.92293,,,,,,,,,,
P62830;A2A6F8,P62830,60S ribosomal protein L23,Rpl23,,Ribosome,ER,Cytoplasm,0,0.968147,ER,Peroxisome,0,0.952396,ER,Peroxisome,0,0.96256,ER,Endosome,0,0.965229,,,,,,,,,,
