"protein ID","gene name","GI number","protein name","protein description",COG,aproNOG,PSORTb,"LipoP prediction","topology class","BOMP betabarrel","Li OM protein",POI,"selected marker protein",identified,"Cytu OGEprot","Cyti OGEprot","Tmu OGEprot","Tmi OGEprot","Imu OGEprot","Imi OGEprot","Omu OGEprot","Omi OGEprot","Cytu Gelfilt","Cyti Gelfilt","Tmu Gelfilt","Tmi Gelfilt","Imu Gelfilt","Imi Gelfilt","Cytu OGEpep","Cyti OGEpep","Tmu OGEpep","Tmi OGEpep","Imu OGEpep","Imi OGEpep","Omu OGEpep","Omi OGEpep","normalized spectral count proportion (TM)","exclusive localization","predominant localization","P-score Cyt","P-score TM","spectral count proportion (OM)","exclusive localization","predominant localization","P-score IM","P-score OM","predominant localization","KNN classification (based on markers)","KNN classification (based on pred. SCL)","potential SCL change","OM candidate","PP candidate (KNN, l=9 constraint)","PP candidates (KNN, l=8 constraint)","KNN based potential SCL change"
BH00110,,49474842,"tRNA/rRNA methyltransferase",,"COG0566 (rRNA methylases)","aproNOG03254 (Trna/Rrna methyltransferase)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,1.35238095238095,0,0,0,0,1,0,5,11.2207792207792,7,4,1,0,0.87,,TM,0,8.7,0.08333333333333,,,9.2,0.1,,IM,IM,,,,,
BH00120,,49474843,"SAM dependent methyltransferase",,"COG1092 (Predicted SAM-dependent methyltransferases)","aproNOG05778 (Sam-Dependent methyltransferase)",Unknown,,,,,,,1,2,4.05714285714286,0,0,1,2,0,0,2,2.7047619047619,0,0,2,1,0,1.35238095238095,6,9.81818181818182,4,23,3,1,0.57,,,1.7,0.1,0.11764705882353,,,,,,,,,,,,
BH00130,,49474844,"hypothetical protein (expressed, exptl. proteomics evidence)",,,aproNOG11828,"Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,0,0,0,0,0,0,1,0,3,5.61038961038961,6,2,0,0,0,0,2,2,3,0,0.9,,TM,0,7.6,0.42857142857143,,,1.3,6.5,,,,,,,,
BH00140,ihfB,49474845,"integration host factor subunit beta","This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control","COG0776 (Bacterial nucleoid DNA-binding protein)","aproNOG09079 (This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control)",Cytoplasmic,,,,,,,1,34,41.9238095238095,0,0,0,0,0,0,13,9.46666666666667,7,25.2467532467532,7,2,56,63.5619047619048,9,12.6233766233766,15,14,5,3,0.2,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00150,,49474846,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG5375 (Uncharacterized protein conserved in bacteria)",aproNOG09946,Unknown,,transmembrane,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4025974025974,0,4,0,0,1,TM,TM,0,2.5,0,IM,IM,7.6,0,IM,,IM,,,,,
BH00160,,49474847,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG1934 (Uncharacterized protein conserved in bacteria)",aproNOG09334,Unknown,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4.20779220779221,0,4,0,0,1,TM,TM,0,6.8,0,IM,IM,7.6,0,IM,,IM,,,,,
BH00170,,49474848,"ABC transporter/ATP-binding protein",,"COG1137 (ABC-type (unclassified) transport system, ATPase component)","aproNOG03420 (ABC transporter protein)",Cytoplasmic,,,,,"ABC ATP",,1,0,0,10,0,0,0,9,0,0,0,0,19.6363636363636,26,4,0,0,50,43.4805194805195,86,49,71,40,1,TM,TM,0,10,0.47058823529412,,OM,0,10,OM,IM,OM,,x,,,
BH00180,ptsN,49474849,"nitrogen regulatory IIA",,"COG1762 (Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type))","aproNOG06051 (PTS IIA-like nitrogen-regulatory protein PtsN)",Cytoplasmic,,,,,,,1,0,0,18,28.0519480519481,0,7,0,0,2,0,0,9.81818181818182,6,1,14,24.3428571428571,13,23.8441558441558,12,27,0,0,0.7,,,0,0.8,0,,,,,,,,,,,,
BH00190,,49474850,"hypothetical protein (expressed, exptl. proteomics evidence)",,,aproNOG07834,Unknown,,secreted,,,,,1,2,17.5809523809524,405,1.4025974025974,57,27,3,0,15,28.4,59,300.155844155844,420,111,17,66.2666666666667,134,89.7662337662338,304,202,69,35,0.87,,TM,0,10,0.15351506456241,,IM,10,0,IM,,IM,"TM to Cyt",,,,
BH00200,,49474851,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG0820 (Predicted Fe-S-cluster redox enzyme)","aproNOG00442 (Specifically methylates position 2 of adenine 2503 in 23S rRNA (By similarity) protein)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1.4025974025974,0,0,0,0,8,21.038961038961,16,34,0,0,1,TM,TM,0,10,0,IM,IM,10,0,IM,IM,IM,,,,,
BH00210,,49474852,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG1280 (Putative threonine efflux protein)","aproNOG07182 (Lysine exporter protein LysE/YggA)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,0,0,0,IM,IM,6.6,0,IM,,IM,,,,,
BH00240,lysK,49474853,"lysyl-tRNA synthetase","class I; LysRS1; catalyzes a two-step reaction, first charging a lysine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA; in Methanosarcina barkeri this enzyme charges both tRNA molecules for lysine that exist in this organism (but the tRNALysUUU very poorly) and in the presence of LysRS2 can charge tRNAPyl with lysine","COG1384 (Lysyl-tRNA synthetase (class I))","aproNOG00897 (Lysyl-Trna synthetase; class I; LysRS1; catalyzes a two-step reaction, first charging a lysine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA; in Methanosarcina barkeri this enzyme charges both tRNA molecules for lysine that exist in this organism (but the tRNALysUUU very poorly) and in the presence of LysRS2 can charge tRNAPyl with lysine)",Cytoplasmic,,,,,,,1,110,132.533333333333,39,53.2987012987013,12,43,0,0,32,50.0380952380952,12,15.4285714285714,13,7,64,89.2571428571429,28,57.5064935064935,54,55,12,7,0.3,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00250,prfC,49474854,"peptide chain release factor 3",,"COG4108 (Peptide chain release factor RF-3)","aproNOG02223 (Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP (By similarity))",Cytoplasmic,,,,,,,1,4,10.8190476190476,3,9.81818181818182,0,4,0,0,10,6.76190476190476,0,0,0,0,23,22.9904761904762,3,16.8311688311688,11,28,2,0,0.3,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00260,trxA,49474855,thioredoxin,,"COG0526 (Thiol-disulfide isomerase and thioredoxins)","aproNOG08667 (Thioredoxin protein)",Cytoplasmic,,,,,,,1,42,68.9714285714286,68,74.3376623376623,23,27,6,5,51,68.9714285714286,29,5.61038961038961,9,29,113,189.333333333333,9,16.8311688311688,21,21,10,8,0.28,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00270,addA,49474856,"ATP-dependent nuclease subunit A",,"COG1074 (ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains))","aproNOG01116 (Atp-Dependent DNA helicase)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,1.35238095238095,0,0,0,0,0,0,13,15.4285714285714,16,32,2,0,0.95,,TM,0,10,0.04,,,10,0,,IM,IM,,,,,
BH00280,,49474857,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG3893 (Inactivated superfamily I helicase); COG2887 (RecB family exonuclease)","aproNOG01797 (Double-Strand break repair protein AddB)","Cytoplasmic Membrane",,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,7.01298701298701,36,24,6,2,0.95,,TM,0,9.8,0.11764705882353,,,10,0,,IM,IM,,,,,
BH00300,,49474858,"sensor histidine kinase",,"COG0642 (Signal transduction histidine kinase); COG2202 (FOG: PAS/PAC domain)","aproNOG02552 (Histidine kinase)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,8,2.80519480519481,7,4,0,0,2,5.40952380952381,0,0,4,1,0,0,67,54.7012987012987,148,71,8,4,0.95,,TM,0,10,0.0495867768595,,IM,9.5,0,IM,IM,IM,,,,,
BH00310,ahcY,49474859,"S-adenosyl-L-homocysteine hydrolase","catalyzes the formation of L-homocysteine from S-adenosyl-L-homocysteine","COG0499 (S-adenosylhomocysteine hydrolase)","aproNOG02587 (S-Adenosyl-L-Homocysteine hydrolase; catalyzes the formation of L-homocysteine from S-adenosyl-L-homocysteine)",Cytoplasmic,,,,,,,1,71,74.3809523809524,30,14.025974025974,8,10,1,0,42,58.152380952381,8,1.4025974025974,2,9,28,40.5714285714286,21,32.2597402597403,24,23,8,6,0.25,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,x,
BH00320,,49474860,"NADH-ubiquinone oxidoreductase",,"COG0702 (Predicted nucleoside-diphosphate-sugar epimerases)","aproNOG00466 (Nadh-Ubiquinone oxidoreductase)","Cytoplasmic Membrane",,,,,,,1,0,0,69,9.81818181818182,25,7,1,0,1,1.35238095238095,2,19.6363636363636,28,13,3,2.7047619047619,53,26.6493506493507,133,85,26,6,0.96,,TM,0,10,0.11660777385159,,IM,10,0,IM,IM,IM,,,,,
BH00330,folC,49474861,"folylpolyglutamate synthase",,"COG0285 (Folylpolyglutamate synthase)","aproNOG00895 (Folc bifunctional protein)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7047619047619,6,11.2207792207792,8,9,0,0,0.82,,TM,0,6.3,0,IM,IM,10,0,IM,IM,IM,,,,,
BH00340,accD,49474862,"acetyl-CoA carboxylase subunit beta","catalyzes the carboxylation of acetyl-CoA to malonyl-CoA; forms a tetramer of AccA2D2 subunits","COG0777 (Acetyl-CoA carboxylase beta subunit)","aproNOG01545 (Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein and then the CO group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA)",Cytoplasmic,,,,,,,1,1,10.8190476190476,259,109.402597402597,219,159,4,0,1,1.35238095238095,23,47.6883116883117,100,64,0,0,81,84.1558441558442,145,106,19,2,0.98,,TM,0,10,0.03822629969419,,IM,10,0,IM,,IM,,,,,
BH00360,,49474863,"CysZ-like protein","role in sulfur assimilation","COG2981 (Uncharacterized protein involved in cysteine biosynthesis)","aproNOG05660 (Protein involved in cysteine biosynthetic process)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.80519480519481,0,1,0,0,1,TM,TM,0,7.6,0,IM,IM,3,0,IM,,IM,,,,,
BH00380,dfp,49474864,"bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase","catalyzes the conjugation of cysteine to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, which is then decarboxylated to form 4'-phosphopantotheine","COG0452 (Phosphopantothenoylcysteine synthetase/decarboxylase)","aproNOG02026 (Phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase; catalyzes the conjugation of cysteine to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, which is then decarboxylated to form 4'-phosphopantotheine)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,2,5.61038961038961,13,1,0,0,25,21.038961038961,37,24,8,1,1,TM,TM,0,10,0.12857142857143,,,10,0,,IM,IM,,,,,
BH00390,aarF,49474865,"ubiquinone biosynthesis protein aarF",,"COG0661 (Predicted unusual protein kinase)","aproNOG00451 (Required, indirectly, for the hydroxylation of 2-octaprenylphenol to 2-octaprenyl-6-hydroxy-phenol, the fourth step in ubiquinone biosynthesis (By similarity) protein)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,11,2.80519480519481,5,0,0,0,0,0,0,9.81818181818182,23,0,0,0,51,43.4805194805195,102,69,10,1,1,TM,TM,0,10,0.05882352941176,,IM,8.3,0,IM,IM,IM,,,,,
BH00400,ubiE,49474866,"ubiquinone/menaquinone biosynthesis methyltransferase","Catalyzes the carbon methylation reaction in the biosynthesis of ubiquinone","COG2226 (Methylase involved in ubiquinone/menaquinone biosynthesis)","aproNOG00164 (Ubiquinone/Menaquinone biosynthesis methyltransferase)",Cytoplasmic,,,,,,,1,0,2.7047619047619,18,8.41558441558442,9,6,0,0,0,1.35238095238095,0,0,8,5,0,0,32,26.6493506493507,66,30,3,0,0.95,,TM,0,10,0.02631578947368,,IM,9.8,0,IM,IM,IM,,,,,
BH00410,gyrB,49474867,"DNA gyrase subunit B","negatively supercoils closed circular double-stranded DNA","COG0187 (Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit)","aproNOG00484 (DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity))",Cytoplasmic,,,,,,,1,64,66.2666666666667,86,95.3766233766234,10,81,0,2,87,68.9714285714286,39,21.038961038961,37,55,58,77.0857142857143,113,108,159,141,28,9,0.52,,,0.8,0,0.0906976744186,,,,,,Cyt,Cyt,,,,,
BH00430,,49474868,"ABC transporter periplasmic amino acid-binding protein",,"COG0834 (ABC-type amino acid transport/signal transduction systems, periplasmic component/domain)","aproNOG03878 (ABC transporter, periplasmic amino acid-binding protein)","ambiguous (Cytoplasmic 5.41 / Periplasmic 4.48)",,transmembrane,,,,PP,1,4,8.11428571428571,0,0,0,0,0,0,0,0,2,0,4,2,1,4.05714285714286,2,5.61038961038961,6,12,0,1,0.36,,Cyt,8.8,0,,,,,,Cyt,,Cyt,,,x,x,
BH00440,comM,49474869,"competence protein comM",,"COG0606 (Predicted ATPase with chaperone activity)","aproNOG03418 (Mg chelatase)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12.6233766233766,23,17,2,0,1,TM,TM,0,10,0.04761904761905,,,10,0,,IM,IM,,,,,
BH00450,,49474870,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG0729 (Outer membrane protein)","aproNOG00416 (Surface antigen (D15) protein)","Outer Membrane",,transmembrane,,1,,OM,1,0,0,38,0,1,0,162,22,0,5.40952380952381,0,32.2597402597403,17,9,1,2.7047619047619,80,92.5714285714286,150,108,225,177,0.96,,TM,0,10,0.69349112426035,,OM,0,10,OM,OM,OM,,x,,,
BH00460,,49474871,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG2911 (Uncharacterized protein conserved in bacteria)",aproNOG02589,"Cytoplasmic Membrane",,transmembrane,,,,,1,13,33.8095238095238,79,4.20779220779221,41,20,0,0,2,8.11428571428571,8,25.2467532467532,91,8,1,1.35238095238095,134,116.415584415584,292,183,37,12,0.86,,TM,0,10,0.08376068376068,,IM,10,0,IM,,IM,,,,,
BH00480,msbA,49474872,"ABC transporter ATP-binding protein",,"COG1132 (ABC-type multidrug transport system, ATPase and permease components)","aproNOG02648 (ABC transporter protein)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,98,4.20779220779221,43,21,0,0,0,0,0,22.4415584415584,47,4,0,0,69,54.7012987012987,107,80,19,5,1,TM,TM,0,10,0.08727272727273,,IM,10,0,IM,IM,IM,,,,,
BH00490,infC,49474873,"translation initiation factor IF-3","IF-3 has several functions that are required and promote translation initiation including; preventing association of 70S by binding to 30S; monitoring codon-anticodon interactions by promoting disassociation of fMet-tRNA(fMet) from initiation complexes formed on leaderless mRNAs or incorrectly bound noninitiatior tRNAs and complexes with noncanonical start sites; stimulates codon-anticodon interactions at P-site; involved in moving mRNA to the P-site; and in recycling subunits","COG0290 (Translation initiation factor 3 (IF-3))","aproNOG01916 (Translation initiation factor IF-3; IF-3 has several functions that are required and promote translation initiation including; preventing association of 70S by binding to 30S; monitoring codon-anticodon interactions by promoting disassociation of fMet-tRNA(fMet) from initiation complexes formed on leaderless mRNAs or incorrectly bound noninitiatior tRNAs and complexes with noncanonical start sites; stimulates codon-anticodon interactions at P-site; involved in moving mRNA to the P-site; and in recycling subunits)",Cytoplasmic,,,,,,,1,25,20.2857142857143,85,29.4545454545455,11,32,6,3,81,81.1428571428572,32,2.80519480519481,58,106,55,79.7904761904762,23,23.8441558441558,56,55,22,18,0.36,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00500,,49474874,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG0596 (Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily))",aproNOG02485,Cytoplasmic,,,,,,,1,24,35.1619047619048,41,21.038961038961,10,6,0,0,28,21.6380952380952,4,0,2,0,36,27.0476190476191,22,15.4285714285714,47,28,3,1,0.38,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00510,,49474875,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG1451 (Predicted metal-dependent hydrolase)",aproNOG04616,Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.20779220779221,9,16,2,0,1,TM,TM,0,8.2,0.07407407407407,,,9.9,0,,IM,IM,,,,,
BH00520,dapE,49474876,"succinyl-diaminopimelate desuccinylase","dapE-encoded N-succinyl-L,L-diaminopimelic acid desuccinylase (DapE), catalyzes the hydrolysis of N-succinyl-L,Ldiaminopimelate L,L-SDAP to L,L-diaminopimelate and succinate. It is a metalloprotease containing dinuclear active sites. Its structure is similar to the carboxypeptidase G2 from Pseudomonas sp. strain RS-16 and the aminopeptidase from Aeromonas proteolytica.","COG0624 (Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases)","aproNOG00682 (Succinyl-Diaminopimelate desuccinylase; dapE-encoded N-succinyl-L,L-diaminopimelic acid desuccinylase (DapE), catalyzes the hydrolysis of N-succinyl-L,Ldiaminopimelate L,L-SDAP to L,L-diaminopimelate and succinate. It is a metalloprotease containing dinuclear active sites. Its structure is)",Cytoplasmic,,,,,,,1,5,4.05714285714286,2,0,2,3,0,0,0,0,0,0,0,0,20,21.6380952380952,3,1.4025974025974,8,15,1,0,0.11,,Cyt,10,0,,,,,,Cyt,,Cyt,,,,,
BH00530,hemN,49474877,"coproporphyrinogen III oxidase","catalyzes the oxygen-independent formation of protoporphyrinogen-IX from coproporphyrinogen-III","COG0635 (Coproporphyrinogen III oxidase and related Fe-S oxidoreductases)","aproNOG02950 (Coproporphyrinogen III oxidase)",Cytoplasmic,,,,,,,1,5,4.05714285714286,1,5.61038961038961,6,5,1,0,0,0,0,2.80519480519481,0,3,1,6.76190476190476,10,9.81818181818182,15,10,6,3,0.63,,,0.3,0.2,0.21739130434783,,,,,,IM,IM,,,,,
BH00540,,49474878,"deoxyribonucleotide triphosphate pyrophosphatase","HAM1-like protein; Rec-dependent growth; RgdB; yggV; it is suspected that this protein functions to remove misincorporated bases such as xanthine or hypoxanthine","COG0127 (Xanthosine triphosphate pyrophosphatase)","aproNOG02525 (Deoxyribonucleotide triphosphate pyrophosphatase; HAM1-like protein; Rec-dependent growth; RgdB; yggV; it is suspected that this protein functions to remove misincorporated bases such as xanthine or hypoxanthine)",Cytoplasmic,,,,,,,1,2,4.05714285714286,8,0,6,2,0,0,1,4.05714285714286,0,2.80519480519481,12,1,0,2.7047619047619,11,15.4285714285714,25,22,2,0,0.73,,,0,2.8,0.03508771929825,,,,,,IM,IM,,,,,
BH00550,hrcA,49474879,"heat-inducible transcription repressor","Negative regulator of class I heat shock genes (grpE-dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons","COG1420 (Transcriptional regulator of heat shock gene)","aproNOG01591 (Negative regulator of class I heat shock genes (grpE-dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons protein)",Cytoplasmic,,,,,,,1,19,16.2285714285714,69,53.2987012987013,40,54,3,2,7,5.40952380952381,2,32.2597402597403,30,7,12,16.2285714285714,24,23.8441558441558,46,50,11,2,0.73,,,0,1.8,0.08653846153846,,,,,,,,,,,,
BH00560,grpE,49474880,"heat shock protein GrpE","with DnaK and DnaJ acts in response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins; may act as a thermosensor","COG0576 (Molecular chaperone GrpE (heat shock protein))","aproNOG06550 (Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with dnaK and grpE. It is the nucleotide exchange factor for dnaK and may function as a thermosensor. Unfolded proteins bind initially to dnaJ; upon interaction with the dnaJ-bound protein, dnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from dnaK; ATP binding to dnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP- dependent interactions between dnaJ, dnaK and grpE are required for fully efficient folding (By similarity))",Cytoplasmic,,,,,,,1,99,148.761904761905,76,61.7142857142857,28,51,13,7,129,261.009523809524,67,30.8571428571429,52,83,45,125.771428571429,37,36.4675324675325,33,26,7,6,0.28,,Cyt,10,0,,,,,,Cyt,Cyt,Cyt,,,,,
BH00570,,49474881,"ABC transporter permease",,"COG1514 (2'-5' RNA ligase)","aproNOG05154 (2'-5' RNA ligase)",Unknown,,,,,,,1,1,2.7047619047619,7,15.4285714285714,0,0,0,0,1,0,7,9.81818181818182,12,10,17,27.0476190476191,6,11.2207792207792,19,10,1,1,0.54,,,2.2,0,0.06451612903226,,,,,,,Cyt,,,,,
BH00580,ptsH,49474882,"phosphocarrier protein",,"COG1925 (Phosphotransferase system, HPr-related proteins)","aproNOG10302 (Phosphocarrier protein HPr)",Cytoplasmic,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
